Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,56.07,56.44,56.07,56.23,4117800,54.45
2011-12-29,55.81,56.39,55.81,56.33,4440400,54.55
2011-12-28,56.00,56.37,55.77,55.83,4013900,54.06
2011-12-27,55.82,56.34,55.82,56.23,3504100,54.45
2011-12-23,55.85,56.03,55.54,56.02,5263000,54.25
2011-12-22,55.45,55.85,55.11,55.65,9192000,53.89
2011-12-21,54.74,55.46,54.72,55.44,10255900,53.68
2011-12-20,54.69,54.92,54.62,54.86,7628300,53.12
2011-12-19,54.82,54.93,54.16,54.35,6196500,52.63
2011-12-16,54.94,54.96,54.63,54.89,10825400,53.15
2011-12-15,54.65,54.94,54.57,54.89,8166100,53.15
2011-12-14,54.14,54.46,53.99,54.23,6409600,52.51
2011-12-13,54.35,54.84,54.17,54.35,6615900,52.63
2011-12-12,54.23,54.50,53.80,54.27,5386400,52.55
2011-12-09,54.29,54.74,53.99,54.57,4937500,52.84
2011-12-08,54.58,54.75,54.07,54.18,6245000,52.46
2011-12-07,54.39,54.88,54.06,54.70,8691600,52.97
2011-12-06,54.49,54.80,54.09,54.54,5415100,52.81
2011-12-05,54.45,54.73,53.98,54.31,5935600,52.59
2011-12-02,54.58,54.82,53.95,54.15,6405600,52.44
2011-12-01,54.19,54.79,54.19,54.52,7200300,52.79
2011-11-30,54.16,54.60,54.08,54.55,9719700,52.82
2011-11-29,53.43,53.69,53.00,53.05,5999500,51.37
2011-11-28,52.69,53.24,52.65,53.20,5598100,51.52
2011-11-25,52.20,52.49,52.05,52.05,2214200,50.40
2011-11-23,52.50,52.90,52.31,52.35,5795100,50.69
2011-11-22,52.69,53.02,52.43,52.69,5274300,51.02
2011-11-21,52.76,53.29,52.61,52.77,6271100,51.10
2011-11-18,53.60,53.92,53.41,53.52,6046400,51.83
2011-11-17,53.59,53.96,52.89,53.41,5748100,51.72
2011-11-16,54.28,54.38,53.70,53.77,5485600,52.07
2011-11-15,54.44,54.78,54.12,54.50,6263300,52.77
2011-11-14,54.52,54.59,53.96,54.24,4788600,52.52
2011-11-11,54.35,54.60,54.21,54.53,4934600,52.80
2011-11-10,53.25,54.09,53.16,53.95,5405900,52.24
2011-11-09,53.66,53.76,52.65,52.94,6910800,51.26
2011-11-08,53.72,54.32,53.49,54.26,6458400,52.54
2011-11-07,53.12,53.74,53.01,53.63,5734100,51.93
2011-11-04,53.58,53.64,52.85,53.33,5131300,51.64
2011-11-03,53.12,53.96,53.11,53.84,6931500,52.14
2011-11-02,53.29,53.48,52.70,52.88,6239300,51.21
2011-11-01,52.95,53.50,52.67,52.76,8824300,51.09
2011-10-31,53.55,54.41,53.55,53.87,8134600,52.16
2011-10-28,54.21,54.41,53.70,54.22,7494900,52.50
2011-10-27,54.12,54.30,53.66,54.13,10112700,52.42
2011-10-26,53.48,53.75,53.07,53.65,8455700,51.95
2011-10-25,53.49,53.84,52.94,52.99,9652500,51.31
2011-10-24,53.57,53.84,53.24,53.45,10732100,51.76
2011-10-21,54.58,54.65,53.61,53.86,13365800,52.15
2011-10-20,53.50,54.38,53.30,54.05,17518000,52.34
2011-10-19,55.53,55.61,52.96,53.25,37476400,51.56
2011-10-18,51.95,52.81,51.53,52.44,7221100,50.78
2011-10-17,52.41,52.75,51.94,52.04,6484400,50.39
2011-10-14,52.40,52.76,52.31,52.73,4551700,51.06
2011-10-13,52.53,52.54,51.82,52.15,4836900,50.50
2011-10-12,52.27,52.86,52.18,52.33,6450600,50.67
2011-10-11,52.56,52.88,52.32,52.70,23143500,50.57
2011-10-10,52.20,52.62,51.97,52.62,10965800,50.49
2011-10-07,51.59,52.00,51.39,51.53,28702200,49.44
2011-10-06,51.18,51.32,50.66,51.18,25391500,49.11
2011-10-05,50.65,51.18,50.15,51.11,7248700,49.04
2011-10-04,49.70,50.60,48.96,50.50,10800000,48.46
2011-10-03,50.89,51.71,50.11,50.15,11280500,48.12
2011-09-30,51.51,52.25,51.14,51.14,8254600,49.07
2011-09-29,51.45,52.29,51.23,51.85,7445600,49.75
2011-09-28,51.42,51.95,50.83,50.91,5875500,48.85
2011-09-27,50.59,51.67,50.43,51.20,7943500,49.13
2011-09-26,51.15,51.27,50.21,50.75,9946700,48.70
2011-09-23,50.73,51.22,50.39,50.96,10277700,48.90
2011-09-22,50.76,50.99,49.95,50.69,12609500,48.64
2011-09-21,52.88,53.28,51.72,51.74,7641500,49.65
2011-09-20,52.24,53.20,52.10,52.77,7479200,50.63
2011-09-19,51.41,52.14,51.30,51.99,6773300,49.89
2011-09-16,51.58,52.18,51.32,52.17,10099200,50.06
2011-09-15,51.36,51.49,50.86,51.29,6683500,49.21
2011-09-14,50.84,51.41,49.97,50.92,6881400,48.86
2011-09-13,50.60,50.80,50.28,50.58,5763600,48.53
2011-09-12,50.06,50.53,49.63,50.51,7288600,48.47
2011-09-09,51.11,51.13,50.23,50.43,8846700,48.39
2011-09-08,51.99,52.17,51.41,51.44,8868900,49.36
2011-09-07,51.83,52.46,51.58,52.30,6405900,50.18
2011-09-06,49.75,51.34,49.41,51.29,7914500,49.21
2011-09-02,51.66,51.74,51.00,51.04,5225800,48.97
2011-09-01,52.40,52.91,51.82,51.94,6868300,49.84
2011-08-31,52.00,52.62,51.79,52.51,10572600,50.38
2011-08-30,51.05,51.87,50.56,51.74,7193800,49.65
2011-08-29,50.58,51.24,50.44,51.21,4592600,49.14
2011-08-26,49.60,50.27,48.63,50.15,8251800,48.12
2011-08-25,51.24,51.24,49.76,49.94,6654700,47.92
2011-08-24,50.28,51.12,50.15,51.11,6938100,49.04
2011-08-23,49.41,50.59,49.38,50.51,7878000,48.47
2011-08-22,49.88,50.00,49.26,49.38,7560800,47.38
2011-08-19,48.54,49.54,48.50,49.08,9371100,47.09
2011-08-18,49.29,49.68,48.22,48.87,9960200,46.89
2011-08-17,50.11,50.52,49.62,50.15,4971200,48.12
2011-08-16,49.76,50.42,49.23,50.07,7202400,48.04
