Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,28.75,28.80,28.56,28.60,1904600,27.90
2011-12-29,28.40,28.83,28.36,28.74,2361600,28.04
2011-12-28,29.09,29.10,28.30,28.37,3212500,27.68
2011-12-27,28.99,29.17,28.75,29.04,1782500,28.33
2011-12-23,28.80,29.22,28.74,29.06,2421600,28.35
2011-12-22,28.68,28.91,28.56,28.70,2990000,28.00
2011-12-21,28.28,28.69,28.16,28.67,3148800,27.97
2011-12-20,27.70,28.45,27.60,28.35,4430900,27.66
2011-12-19,27.76,27.88,27.19,27.27,4226800,26.60
2011-12-16,28.29,28.29,27.65,27.70,5950800,27.02
2011-12-15,27.79,28.07,27.51,27.96,5100500,27.28
2011-12-14,27.64,27.76,27.40,27.43,4249700,26.76
2011-12-13,28.41,28.77,27.71,27.84,7499200,27.16
2011-12-12,28.81,28.89,28.14,28.34,3787100,27.65
2011-12-09,28.84,29.21,28.75,29.12,2974900,28.41
2011-12-08,29.32,29.38,28.67,28.74,5097000,28.04
2011-12-07,29.38,29.68,29.13,29.55,5439100,28.83
2011-12-06,29.91,30.01,29.58,29.60,4557500,28.88
2011-12-05,30.12,30.34,29.66,29.96,4194400,29.23
2011-12-02,30.49,30.50,29.87,29.99,3662300,29.26
2011-12-01,30.17,30.55,30.09,30.22,4526900,29.48
2011-11-30,29.96,30.26,29.80,30.12,9203100,29.38
2011-11-29,29.00,29.21,28.80,29.06,4043500,28.35
2011-11-28,28.78,28.99,28.58,28.90,4786200,28.19
2011-11-25,27.72,28.22,27.67,27.90,1552200,27.22
2011-11-23,27.99,28.09,27.65,27.79,4260900,27.11
2011-11-22,28.31,28.89,28.25,28.41,4628700,27.72
2011-11-21,28.45,28.48,27.92,28.29,4977700,27.60
2011-11-18,28.95,29.16,28.80,28.90,3435000,28.19
2011-11-17,28.85,29.05,28.45,28.71,5630800,28.01
2011-11-16,29.29,29.50,28.88,28.94,4603000,28.23
2011-11-15,29.46,29.78,29.16,29.64,3435800,28.92
2011-11-14,29.49,29.87,29.40,29.78,3876200,28.88
2011-11-11,29.30,29.74,29.30,29.69,3624900,28.80
2011-11-10,29.05,29.20,28.55,28.88,3640500,28.01
2011-11-09,28.98,29.18,28.37,28.52,5098400,27.66
2011-11-08,29.51,29.89,29.20,29.85,4493600,28.95
2011-11-07,28.82,29.41,28.65,29.39,3867400,28.50
2011-11-04,29.08,29.18,28.65,29.05,3722900,28.17
2011-11-03,28.78,29.47,28.51,29.37,4927500,28.48
2011-11-02,28.30,28.70,28.07,28.54,5101200,27.68
2011-11-01,27.55,28.44,27.25,27.74,8077200,26.90
2011-10-31,29.70,29.89,28.94,28.94,5967100,28.07
2011-10-28,30.01,30.41,29.75,30.34,4304100,29.43
2011-10-27,29.45,30.46,29.33,30.20,6923300,29.29
2011-10-26,28.48,29.02,28.05,28.90,4192500,28.03
2011-10-25,28.75,28.80,28.11,28.15,3894200,27.30
2011-10-24,28.82,29.10,28.50,28.94,3950700,28.07
2011-10-21,28.05,28.59,27.95,28.59,5085400,27.73
2011-10-20,27.55,27.83,27.17,27.77,2836400,26.93
2011-10-19,27.77,27.94,27.32,27.42,4059600,26.59
2011-10-18,27.00,28.09,26.90,27.91,4502000,27.07
2011-10-17,27.46,27.60,26.86,27.02,3957400,26.21
2011-10-14,27.36,27.78,27.31,27.75,3459800,26.91
2011-10-13,26.94,27.17,26.63,27.11,4500700,26.29
2011-10-12,26.58,27.47,26.49,27.08,6195500,26.26
2011-10-11,25.88,26.51,25.88,26.36,4205200,25.57
2011-10-10,25.95,26.28,25.70,26.01,3586000,25.23
2011-10-07,26.08,26.20,25.34,25.45,4853400,24.68
2011-10-06,25.09,25.93,24.84,25.91,5233300,25.13
2011-10-05,24.67,25.22,24.31,25.17,6094400,24.41
2011-10-04,23.88,24.67,23.69,24.61,8800000,23.87
2011-10-03,24.62,25.14,24.14,24.16,6155800,23.43
2011-09-30,25.42,25.67,24.81,24.81,7309700,24.06
2011-09-29,25.55,25.80,25.29,25.77,5720600,24.99
2011-09-28,25.71,25.86,25.10,25.11,5438500,24.35
2011-09-27,26.22,26.42,25.63,25.77,7680800,24.99
2011-09-26,25.53,25.54,24.42,25.53,8126200,24.76
2011-09-23,25.19,25.60,25.01,25.19,6938900,24.43
2011-09-22,26.32,26.39,25.10,25.41,13314800,24.64
2011-09-21,28.15,28.22,27.17,27.18,6142700,26.36
2011-09-20,28.04,28.34,27.87,28.03,5119200,27.19
2011-09-19,27.98,28.00,27.46,27.81,4907300,26.97
2011-09-16,28.55,28.84,28.32,28.62,7235100,27.76
2011-09-15,27.67,28.19,27.40,28.19,6079400,27.34
2011-09-14,27.16,27.72,26.80,27.41,4638200,26.58
2011-09-13,27.03,27.23,26.80,27.10,3840300,26.28
2011-09-12,26.65,27.07,26.50,27.02,5757300,26.21
2011-09-09,27.30,27.31,26.79,27.11,6942700,26.29
2011-09-08,27.75,28.00,27.50,27.55,4984400,26.72
2011-09-07,27.52,28.11,27.39,27.92,6593100,27.08
2011-09-06,26.67,27.19,26.60,27.10,5458300,26.28
2011-09-02,27.72,28.04,27.36,27.43,4801200,26.60
2011-09-01,28.50,28.74,28.22,28.26,4844500,27.41
2011-08-31,28.92,28.96,28.27,28.48,8210900,27.62
2011-08-30,28.58,28.85,28.36,28.73,5489000,27.86
2011-08-29,28.15,28.86,28.10,28.74,5621700,27.87
2011-08-26,27.42,28.16,27.00,27.80,5679200,26.96
2011-08-25,28.50,28.50,27.57,27.65,5005000,26.82
2011-08-24,28.12,28.45,27.94,28.43,4357900,27.57
2011-08-23,27.51,28.25,27.32,28.25,6782400,27.40
2011-08-22,28.12,28.31,27.16,27.27,7980700,26.45
2011-08-19,27.10,28.13,27.08,27.52,7542100,26.69
2011-08-18,27.61,27.79,27.02,27.51,7964000,26.68
2011-08-17,28.24,28.72,28.12,28.33,5170900,27.48
2011-08-16,27.93,28.27,27.68,28.04,5631800,27.19
2011-08-15,27.43,28.45,27.37,28.29,6527200,27.28
2011-08-12,27.62,27.79,27.25,27.28,7132800,26.31
2011-08-11,26.57,27.94,26.48,27.53,9412800,26.55
2011-08-10,27.17,27.30,26.10,26.17,11258700,25.24
2011-08-09,26.96,27.73,26.00,27.71,10820800,26.72
2011-08-08,27.67,27.87,26.29,26.29,13997800,25.35
2011-08-05,28.32,28.90,27.65,28.64,13393700,27.62
2011-08-04,29.24,29.40,28.05,28.05,12163300,27.05
2011-08-03,28.59,29.77,28.59,29.64,12431300,28.58
2011-08-02,29.30,29.54,28.60,28.60,14450300,27.58
2011-08-01,30.91,30.95,30.10,30.48,6174000,29.39
2011-07-29,30.51,31.15,30.37,30.38,6963900,29.30
2011-07-28,31.05,31.36,30.62,30.81,5772000,29.71
2011-07-27,31.47,31.59,30.83,31.01,5474000,29.91
2011-07-26,31.90,32.05,31.51,31.60,4313000,30.47
2011-07-25,31.84,32.07,31.67,31.83,3812700,30.70
2011-07-22,32.36,32.38,31.73,32.12,4047500,30.98
2011-07-21,31.75,32.41,31.48,32.27,7045400,31.12
2011-07-20,30.87,31.56,30.72,31.30,7554000,30.19
2011-07-19,29.71,30.63,29.60,30.56,4990300,29.47
2011-07-18,30.09,30.20,29.53,29.63,5685800,28.57
2011-07-15,29.94,30.34,29.94,30.30,4838200,29.22
2011-07-14,30.57,30.79,29.81,29.89,7046000,28.83
2011-07-13,30.93,31.13,30.42,30.44,6624500,29.36
2011-07-12,30.39,31.00,30.39,30.79,5910900,29.69
2011-07-11,30.77,30.84,30.38,30.51,4908500,29.42
2011-07-08,30.45,31.06,30.31,31.04,10826700,29.93
2011-07-07,31.12,31.12,30.38,30.45,7581900,29.37
2011-07-06,30.91,31.00,30.45,30.75,4539800,29.65
2011-07-05,30.88,31.03,30.50,31.01,5902100,29.91
2011-07-01,30.43,30.89,30.09,30.83,4938100,29.73
2011-06-30,30.35,30.44,29.99,30.15,6570100,29.08
2011-06-29,29.86,30.38,29.66,30.31,4837600,29.23
2011-06-28,29.78,29.78,29.47,29.60,4461400,28.55
2011-06-27,29.52,29.74,29.41,29.62,4318300,28.56
2011-06-24,29.56,29.70,29.30,29.30,7020000,28.26
2011-06-23,29.92,29.95,29.30,29.51,7792100,28.46
2011-06-22,30.46,30.73,30.27,30.30,3677100,29.22
2011-06-21,30.79,30.92,30.50,30.57,5479500,29.48
2011-06-20,30.04,30.66,29.88,30.44,5995300,29.36
2011-06-17,29.86,30.20,29.75,30.17,10036000,29.10
2011-06-16,29.67,29.93,28.98,29.52,10032300,28.47
2011-06-15,30.05,30.07,29.46,29.58,5592700,28.53
2011-06-14,30.02,30.29,29.88,30.29,6938900,29.21
2011-06-13,29.80,29.92,29.52,29.80,5876700,28.74
2011-06-10,30.00,30.04,29.53,29.54,4577000,28.49
2011-06-09,29.82,30.23,29.60,30.09,6970400,29.02
2011-06-08,30.02,30.09,29.66,29.75,15461200,28.69
2011-06-07,30.47,30.47,30.08,30.13,7077800,29.06
2011-06-06,30.33,30.54,30.21,30.26,6243200,29.18
2011-06-03,30.36,30.66,30.27,30.39,6458900,29.31
2011-06-02,31.12,31.18,30.64,30.69,8887700,29.60
2011-06-01,32.49,32.52,31.02,31.11,9206300,30.00
2011-05-31,33.35,33.35,32.11,32.41,7163400,31.26
2011-05-27,31.66,32.28,31.60,32.21,7226500,31.06
2011-05-26,31.13,31.52,30.95,31.34,6023900,30.22
2011-05-25,31.03,31.19,30.72,31.03,5603200,29.92
2011-05-24,31.15,31.27,30.95,30.96,4406200,29.86
2011-05-23,30.94,31.14,30.78,30.97,7515800,29.87
2011-05-20,31.46,31.56,31.10,31.26,6473700,30.15
2011-05-19,31.90,31.90,31.11,31.49,11339100,30.37
2011-05-18,31.82,31.97,31.65,31.76,8234600,30.63
2011-05-17,31.87,31.98,31.66,31.81,6961600,30.68
2011-05-16,32.18,32.31,32.00,32.01,5859800,30.72
2011-05-13,32.25,32.47,32.10,32.20,8705600,30.90
2011-05-12,32.64,32.65,32.03,32.30,9664200,30.99
2011-05-11,32.38,33.24,32.35,32.58,11280300,31.26
2011-05-10,33.73,33.92,33.07,33.41,11601000,32.06
2011-05-09,34.13,34.19,33.86,34.11,4770500,32.73
2011-05-06,34.31,34.44,33.71,33.97,5876000,32.60
2011-05-05,34.53,34.66,34.02,34.08,9458200,32.70
2011-05-04,34.81,35.07,34.40,34.72,10244400,33.32
2011-05-03,36.12,36.15,34.45,34.51,13508000,33.11
2011-05-02,37.28,37.28,36.86,37.00,6944000,35.50
2011-04-29,36.64,37.09,36.30,37.02,5683100,35.52
2011-04-28,36.36,36.64,36.00,36.34,4231000,34.87
2011-04-27,36.41,36.43,35.77,36.31,4402300,34.84
2011-04-26,35.93,36.40,35.75,36.35,3700000,34.88
2011-04-25,36.08,36.08,35.54,35.69,2658100,34.25
2011-04-21,35.94,36.10,35.79,36.05,2889100,34.59
2011-04-20,35.42,35.85,35.37,35.81,4648400,34.36
2011-04-19,34.47,34.98,34.39,34.96,5176300,33.55
2011-04-18,34.44,34.69,34.21,34.45,5369200,33.06
2011-04-15,35.18,35.36,34.81,34.83,5477800,33.42
2011-04-14,35.18,35.31,34.97,35.04,4208600,33.62
2011-04-13,35.60,35.77,35.11,35.14,4182500,33.72
2011-04-12,35.38,35.66,35.35,35.54,3931300,34.10
2011-04-11,35.44,35.83,35.39,35.57,3980200,34.13
2011-04-08,36.32,36.35,35.22,35.27,6823000,33.84
2011-04-07,36.51,36.63,36.14,36.47,3834700,35.00
2011-04-06,37.08,37.16,36.47,36.56,6097400,35.08
2011-04-05,36.76,37.15,36.59,37.02,5050700,35.52
2011-04-04,36.90,36.90,36.48,36.72,3823000,35.23
2011-04-01,36.68,36.75,36.10,36.48,4950100,35.00
2011-03-31,36.02,36.56,35.90,36.01,7058200,34.55
2011-03-30,35.96,36.12,35.70,35.94,3548400,34.49
2011-03-29,35.23,35.72,35.22,35.72,3411300,34.28
2011-03-28,35.43,35.80,35.29,35.35,3884500,33.92
2011-03-25,35.59,35.75,35.12,35.30,8687200,33.87
2011-03-24,36.11,36.37,35.79,36.07,4470000,34.61
2011-03-23,36.02,36.27,35.91,36.11,4447900,34.65
2011-03-22,36.13,36.25,35.74,36.04,8507300,34.58
2011-03-21,35.33,35.97,35.17,35.88,5189600,34.43
2011-03-18,35.16,35.29,34.81,34.96,5176600,33.55
2011-03-17,35.30,35.35,34.67,34.75,4904800,33.34
2011-03-16,35.38,35.40,34.12,34.44,7779600,33.05
2011-03-15,34.90,35.69,34.70,35.50,5186100,34.06
2011-03-14,35.67,36.18,35.38,35.80,4295000,34.35
2011-03-11,35.35,36.28,35.16,36.09,4805100,34.63
2011-03-10,36.17,36.47,35.45,35.45,7129400,34.02
2011-03-09,36.97,36.97,36.46,36.60,6330000,35.12
2011-03-08,36.87,37.09,36.70,36.99,4888900,35.49
2011-03-07,37.04,37.14,36.50,36.74,5910700,35.25
2011-03-04,37.49,37.71,36.75,36.95,5320000,35.46
2011-03-03,36.96,37.35,36.94,37.29,3506200,35.78
2011-03-02,36.37,36.97,36.24,36.77,4690700,35.28
2011-03-01,37.50,37.61,36.59,36.62,4906100,35.14
2011-02-28,37.06,37.63,37.03,37.18,5707900,35.68
2011-02-25,36.56,37.03,36.56,36.88,4607600,35.39
2011-02-24,35.95,36.56,35.95,36.43,7244000,34.96
2011-02-23,36.87,36.95,35.47,35.87,10422600,34.42
2011-02-22,37.23,38.02,36.90,36.98,7257900,35.48
2011-02-18,37.41,37.96,37.10,37.65,6852100,36.13
2011-02-17,36.89,37.49,36.59,37.48,5522800,35.96
2011-02-16,37.04,37.31,36.68,37.12,7193300,35.62
2011-02-15,36.58,36.60,36.14,36.46,8077700,34.99
2011-02-14,36.13,36.73,36.13,36.65,6259200,35.01
2011-02-11,35.38,36.26,35.20,36.22,9066400,34.60
2011-02-10,35.96,36.19,35.05,35.44,9499600,33.86
2011-02-09,36.18,36.50,35.68,36.02,6175400,34.41
2011-02-08,36.01,36.09,35.63,36.09,6512500,34.48
2011-02-07,36.15,36.29,35.91,35.95,6906400,34.35
2011-02-04,35.61,36.09,35.21,36.09,7477100,34.48
2011-02-03,35.26,35.60,34.81,35.45,6754200,33.87
2011-02-02,34.87,35.40,34.76,35.33,13420700,33.75
2011-02-01,34.85,35.20,34.43,34.70,19583800,33.15
2011-01-31,33.11,33.30,32.63,32.67,8415400,31.21
2011-01-28,33.58,33.70,32.64,32.76,5808900,31.30
2011-01-27,33.61,33.76,33.23,33.43,4999900,31.94
2011-01-26,33.73,33.83,33.22,33.42,4919600,31.93
2011-01-25,33.29,33.51,33.10,33.34,5588200,31.85
2011-01-24,33.41,33.63,33.28,33.42,4523900,31.93
2011-01-21,33.68,33.96,33.29,33.45,6257400,31.96
2011-01-20,33.75,33.87,32.23,33.39,11039800,31.90
2011-01-19,34.31,34.58,33.70,33.93,9593500,32.42
2011-01-18,33.67,34.50,33.60,33.72,7764500,32.22
2011-01-14,33.47,33.51,33.04,33.51,4814100,32.01
2011-01-13,32.75,33.26,32.64,33.23,7071700,31.75
2011-01-12,32.42,32.78,32.31,32.56,7139500,31.11
2011-01-11,32.22,32.37,32.04,32.21,4708000,30.77
2011-01-10,31.61,32.28,31.61,32.09,6427900,30.66
2011-01-07,31.95,32.03,31.36,31.95,8929400,30.52
2011-01-06,31.07,31.88,31.05,31.69,12048900,30.28
2011-01-05,30.50,30.89,30.35,30.52,5516700,29.16
2011-01-04,30.44,30.87,30.29,30.38,8274900,29.02
2011-01-03,30.39,30.55,30.13,30.40,5111900,29.04
