Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.69,33.69,33.13,33.13,1304100,31.50
2011-12-29,33.12,33.65,33.12,33.59,1297200,31.94
2011-12-28,33.18,33.24,32.97,33.06,1085500,31.43
2011-12-27,32.80,33.25,32.75,33.23,1145400,31.60
2011-12-23,32.85,33.05,32.72,32.83,1042600,31.22
2011-12-22,32.73,32.84,32.58,32.72,1185500,31.11
2011-12-21,32.04,32.71,32.04,32.60,2397000,31.00
2011-12-20,31.81,32.20,31.77,32.09,1740100,30.51
2011-12-19,31.77,31.98,31.39,31.49,1671100,29.94
2011-12-16,32.07,32.28,31.64,31.71,2586100,30.15
2011-12-15,32.10,32.30,31.95,31.99,2208700,30.42
2011-12-14,32.17,32.24,31.64,31.67,3601800,30.11
2011-12-13,32.07,32.58,32.00,32.18,1818600,30.60
2011-12-12,32.10,32.21,31.61,31.89,1553400,30.32
2011-12-09,31.93,32.40,31.88,32.33,1975700,30.74
2011-12-08,31.93,32.08,31.63,31.76,2418600,30.20
2011-12-07,32.05,32.24,31.93,32.12,2288400,30.54
2011-12-06,31.88,32.52,31.86,32.31,3537900,30.72
2011-12-05,32.42,32.56,31.50,31.81,5410800,30.25
2011-12-02,33.84,33.87,32.31,32.47,4688900,30.49
2011-12-01,33.91,34.11,33.64,33.70,1877300,31.65
2011-11-30,33.05,33.83,32.91,33.81,3282700,31.75
2011-11-29,31.99,32.55,31.96,32.50,2169700,30.52
2011-11-28,32.09,32.20,31.67,31.83,1659900,29.89
2011-11-25,31.39,31.72,31.38,31.51,705800,29.59
2011-11-23,31.54,31.68,31.28,31.38,1404700,29.47
2011-11-22,31.94,32.09,31.65,31.79,2183000,29.85
2011-11-21,32.04,32.06,31.61,31.94,1482200,30.00
2011-11-18,32.20,32.49,32.16,32.29,1335100,30.32
2011-11-17,32.22,32.35,31.66,31.98,2287000,30.03
2011-11-16,32.37,32.57,32.19,32.20,2045900,30.24
2011-11-15,32.67,32.79,32.39,32.64,1454500,30.65
2011-11-14,32.80,32.88,32.38,32.45,1475600,30.47
2011-11-11,32.96,33.15,32.74,32.99,1646900,30.98
2011-11-10,33.19,33.21,32.33,32.64,2595400,30.65
