Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,11.85,11.96,11.81,11.84,1541900,11.79
2011-12-29,11.81,11.95,11.79,11.88,2324700,11.83
2011-12-28,11.94,11.94,11.67,11.72,2370200,11.68
2011-12-27,11.80,11.97,11.74,11.91,2191600,11.86
2011-12-23,11.83,11.92,11.78,11.87,4001500,11.82
2011-12-22,11.66,11.84,11.64,11.80,4791300,11.75
2011-12-21,11.69,11.69,11.49,11.59,5751700,11.55
2011-12-20,11.67,11.76,11.58,11.69,8518000,11.65
2011-12-19,11.59,11.70,11.44,11.48,5287000,11.44
2011-12-16,11.65,11.75,11.43,11.50,7936900,11.46
2011-12-15,11.68,11.85,11.56,11.57,5811800,11.53
2011-12-14,11.62,11.70,11.48,11.51,5527500,11.47
2011-12-13,11.81,11.93,11.61,11.67,7046900,11.63
2011-12-12,11.73,11.88,11.60,11.72,5027900,11.68
2011-12-09,11.60,11.90,11.59,11.86,5688000,11.81
2011-12-08,11.94,12.00,11.47,11.51,8389900,11.47
2011-12-07,11.99,12.12,11.96,12.04,3942400,11.99
2011-12-06,12.10,12.19,11.95,12.07,5660700,12.02
2011-12-05,12.13,12.20,11.97,12.08,5512800,12.03
2011-12-02,12.20,12.21,11.86,11.94,7119800,11.89
2011-12-01,12.01,12.24,11.97,12.11,6622400,12.06
2011-11-30,12.00,12.11,11.88,12.08,7044000,12.03
2011-11-29,11.66,11.77,11.45,11.65,5773100,11.61
2011-11-28,11.41,11.62,11.33,11.42,6274000,11.38
2011-11-25,11.07,11.25,11.07,11.09,1478300,11.05
2011-11-23,11.15,11.22,10.96,11.12,8625900,11.08
2011-11-22,11.44,11.51,11.11,11.25,7039300,11.21
2011-11-21,11.60,11.61,11.28,11.49,5940100,11.45
2011-11-18,11.61,11.81,11.55,11.75,6264300,11.71
2011-11-17,11.67,11.68,11.37,11.49,7689500,11.45
2011-11-16,11.65,11.92,11.56,11.70,5345000,11.66
2011-11-15,11.65,11.88,11.61,11.82,3646000,11.77
2011-11-14,11.64,11.79,11.59,11.70,4206700,11.66
2011-11-11,11.73,11.78,11.60,11.78,3523700,11.73
2011-11-10,11.62,11.67,11.35,11.48,4755300,11.44
2011-11-09,11.80,11.80,11.36,11.41,7521500,11.37
2011-11-08,11.95,12.14,11.84,12.12,4959400,12.07
2011-11-07,11.85,11.96,11.78,11.93,5436700,11.88
2011-11-04,11.97,12.11,11.61,11.91,8018000,11.86
2011-11-03,11.40,11.67,11.30,11.58,5835800,11.54
2011-11-02,11.12,11.42,11.08,11.29,5817000,11.25
2011-11-01,10.80,11.21,10.80,10.94,7131300,10.90
2011-10-31,11.49,11.50,11.22,11.22,5034200,11.18
2011-10-28,11.50,11.70,11.30,11.65,5400500,11.61
2011-10-27,11.29,11.70,11.29,11.51,9985800,11.47
2011-10-26,11.13,11.25,10.86,10.96,6523200,10.92
2011-10-25,11.16,11.16,10.80,10.82,5223100,10.78
2011-10-24,11.22,11.39,11.13,11.23,5623000,11.19
2011-10-21,10.95,11.20,10.95,11.19,5589300,11.15
2011-10-20,10.78,10.86,10.57,10.82,5589700,10.78
2011-10-19,10.71,10.97,10.65,10.79,6712600,10.75
2011-10-18,10.26,10.82,10.18,10.70,9919000,10.66
2011-10-17,10.48,10.52,10.23,10.25,4963600,10.21
2011-10-14,10.55,10.65,10.48,10.51,5118400,10.47
2011-10-13,10.36,10.46,10.14,10.39,6205400,10.35
2011-10-12,10.27,10.58,10.23,10.47,5510600,10.43
2011-10-11,10.26,10.46,10.20,10.21,5218200,10.17
2011-10-10,10.26,10.48,10.16,10.35,5359300,10.31
2011-10-07,10.21,10.22,9.86,10.02,6427600,9.98
2011-10-06,9.69,10.22,9.66,10.16,6571900,10.12
2011-10-05,9.47,9.79,9.29,9.76,8246500,9.72
2011-10-04,9.29,9.44,9.00,9.44,9700000,9.40
2011-10-03,9.68,9.85,9.44,9.44,7379700,9.40
2011-09-30,10.12,10.12,9.76,9.76,7583300,9.72
2011-09-29,10.19,10.28,10.04,10.26,6978900,10.22
2011-09-28,10.21,10.31,9.94,9.95,7917900,9.91
2011-09-27,10.33,10.44,10.13,10.19,9308600,10.15
2011-09-26,10.02,10.10,9.72,10.07,8120600,10.03
2011-09-23,9.80,10.14,9.75,9.87,9893500,9.83
2011-09-22,9.99,10.02,9.69,9.83,15174100,9.79
2011-09-21,10.69,10.84,10.35,10.36,7751900,10.32
2011-09-20,10.96,11.07,10.68,10.72,6521400,10.68
2011-09-19,10.87,10.98,10.81,10.93,6312300,10.89
2011-09-16,10.97,11.15,10.93,11.06,6120600,11.02
2011-09-15,10.70,10.89,10.60,10.89,6818300,10.85
2011-09-14,10.44,10.71,10.35,10.59,6553100,10.55
2011-09-13,10.43,10.51,10.28,10.38,6985700,10.34
2011-09-12,10.08,10.41,10.08,10.40,7209300,10.36
2011-09-09,10.49,10.59,10.21,10.33,7673100,10.29
2011-09-08,10.87,10.98,10.66,10.68,7097200,10.64
2011-09-07,10.74,10.98,10.56,10.86,10993700,10.82
2011-09-06,9.97,10.56,9.88,10.53,11678700,10.49
2011-09-02,10.43,10.50,10.23,10.32,5475800,10.28
2011-09-01,10.85,10.92,10.63,10.64,6646900,10.60
2011-08-31,10.77,10.94,10.72,10.86,5256200,10.82
2011-08-30,10.83,10.89,10.62,10.65,5946000,10.61
2011-08-29,10.56,10.88,10.55,10.87,4429900,10.83
2011-08-26,10.16,10.47,9.90,10.35,5355700,10.31
2011-08-25,10.69,10.76,10.09,10.23,8183100,10.19
2011-08-24,10.38,10.69,10.38,10.66,4596200,10.62
2011-08-23,10.22,10.47,10.05,10.47,5797000,10.43
2011-08-22,10.42,10.62,10.04,10.17,9074800,10.13
2011-08-19,10.31,10.50,10.16,10.18,8231600,10.14
2011-08-18,10.60,10.65,10.22,10.45,11701400,10.41
2011-08-17,10.97,11.23,10.81,10.91,6814100,10.87
2011-08-16,10.92,11.02,10.75,10.88,6208300,10.84
2011-08-15,10.60,11.04,10.60,11.02,5832000,10.98
2011-08-12,10.49,10.78,10.46,10.51,9171200,10.47
2011-08-11,9.71,10.56,9.71,10.43,15999700,10.39
2011-08-10,9.69,9.91,9.42,9.68,15179700,9.64
2011-08-09,9.69,9.95,9.32,9.90,12565600,9.86
2011-08-08,10.44,10.48,9.22,9.60,16622900,9.56
2011-08-05,11.00,11.15,10.49,10.82,14234300,10.78
2011-08-04,11.45,11.51,10.75,10.75,11527600,10.71
2011-08-03,11.71,11.79,11.33,11.69,10343500,11.65
2011-08-02,12.05,12.13,11.70,11.73,10841000,11.69
2011-08-01,12.39,12.43,12.06,12.18,5516200,12.13
2011-07-29,12.35,12.55,12.18,12.31,5647500,12.26
2011-07-28,12.69,12.73,12.44,12.46,6857000,12.41
2011-07-27,12.72,12.84,12.69,12.71,9696300,12.66
2011-07-26,12.90,12.90,12.69,12.80,4852500,12.75
2011-07-25,12.59,12.95,12.55,12.88,9087400,12.83
