Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,87.99,88.40,87.73,87.74,1074200,87.54
2011-12-29,87.03,88.20,86.87,88.13,1199300,87.93
2011-12-28,87.83,87.88,86.49,86.80,832000,86.60
2011-12-27,87.33,88.30,87.14,87.89,699800,87.69
2011-12-23,87.58,87.58,86.56,87.42,990300,87.22
2011-12-22,87.11,87.13,85.79,86.68,1296700,86.48
2011-12-21,86.83,87.12,85.74,86.96,1751800,86.76
2011-12-20,85.56,87.11,85.55,86.91,2162900,86.71
2011-12-19,84.16,85.45,84.08,84.68,1670000,84.49
2011-12-16,84.02,84.48,83.33,83.66,2060100,83.47
2011-12-15,83.38,84.00,83.05,83.66,1446900,83.47
2011-12-14,81.80,82.90,81.80,82.47,1378600,82.28
2011-12-13,82.60,83.41,81.64,82.10,1602300,81.91
2011-12-12,82.84,83.13,81.82,82.27,1263400,82.08
2011-12-09,82.10,83.99,81.89,83.49,1249800,83.30
2011-12-08,83.71,83.80,81.80,81.95,1487700,81.76
2011-12-07,83.88,84.61,82.65,84.13,1270100,83.94
2011-12-06,84.05,84.76,83.36,84.17,1394700,83.98
2011-12-05,84.83,85.00,83.22,83.72,1762800,83.53
2011-12-02,84.78,84.88,83.48,83.57,1490000,83.38
2011-12-01,83.98,84.74,83.37,84.18,1405600,83.99
2011-11-30,83.64,84.27,83.29,83.72,2144100,83.53
2011-11-29,81.26,82.20,81.01,81.38,1361600,81.19
2011-11-28,80.36,81.58,80.27,81.08,1417000,80.90
2011-11-25,78.60,79.16,78.42,78.68,474600,78.50
2011-11-23,79.26,79.55,78.52,78.84,1775500,78.66
2011-11-22,81.24,81.30,79.62,79.69,3248800,79.51
2011-11-21,81.10,81.69,80.21,81.16,1725300,80.98
2011-11-18,82.26,82.93,81.81,82.40,1492000,82.21
2011-11-17,82.65,82.84,80.83,81.87,1428700,81.68
2011-11-16,82.90,84.64,82.51,82.99,1326500,82.80
2011-11-15,84.15,84.34,83.15,83.80,1289700,83.61
2011-11-14,84.63,85.05,83.89,84.14,1041900,83.95
2011-11-11,83.78,85.43,83.78,85.02,1269500,84.83
2011-11-10,83.14,83.73,81.95,82.82,1879000,82.63
2011-11-09,83.63,84.14,82.44,82.75,1525800,82.56
2011-11-08,84.57,85.37,83.64,85.31,1430800,85.12
2011-11-07,83.75,84.50,83.19,84.50,1193200,84.26
2011-11-04,84.00,84.38,82.91,83.61,1267800,83.37
2011-11-03,84.21,84.76,83.80,84.50,1452600,84.26
2011-11-02,83.18,83.86,82.54,83.35,2009700,83.11
2011-11-01,81.96,83.31,81.43,81.77,2695400,81.54
2011-10-31,84.20,84.85,83.71,84.12,2055200,83.88
2011-10-28,84.56,85.00,84.16,84.40,2238700,84.16
2011-10-27,85.72,85.85,83.56,84.98,3617700,84.74
2011-10-26,85.21,86.34,82.80,83.74,4931600,83.50
2011-10-25,88.32,88.65,86.80,86.96,1721200,86.71
2011-10-24,88.43,89.25,87.89,89.01,2179200,88.75
2011-10-21,87.71,88.50,87.36,88.38,2920700,88.13
2011-10-20,85.13,86.79,85.13,86.58,1758200,86.33
2011-10-19,85.57,85.66,84.29,84.95,1933900,84.71
2011-10-18,84.00,86.35,83.69,85.64,1715900,85.39
2011-10-17,85.46,85.83,84.00,84.17,1740800,83.93
2011-10-14,85.84,86.36,85.21,86.21,1662300,85.96
2011-10-13,83.71,84.52,83.02,84.30,1185100,84.06
2011-10-12,83.84,84.96,83.21,83.94,1950100,83.70
2011-10-11,82.52,83.88,82.16,83.60,2285200,83.36
2011-10-10,82.65,83.27,82.25,82.97,1153000,82.73
2011-10-07,82.37,82.37,81.19,81.50,1261800,81.27
2011-10-06,80.91,82.15,80.20,82.12,1608400,81.88
2011-10-05,80.14,81.20,79.78,81.05,3131200,80.82
2011-10-04,78.67,80.32,77.71,80.08,4000000,79.85
2011-10-03,81.79,82.55,79.36,79.63,3191800,79.40
2011-09-30,83.80,84.81,82.35,82.38,3048100,82.14
2011-09-29,85.28,85.92,83.65,85.03,2403400,84.79
2011-09-28,84.41,85.49,83.89,84.10,2193100,83.86
2011-09-27,84.73,85.57,84.16,84.55,1955000,84.31
2011-09-26,82.98,83.25,81.07,83.11,1950100,82.87
2011-09-23,80.56,82.84,80.40,82.12,1894500,81.88
2011-09-22,79.48,81.30,79.04,80.83,3535600,80.60
2011-09-21,83.55,84.13,81.37,81.45,2082800,81.22
2011-09-20,83.11,85.49,82.61,83.40,2027900,83.16
2011-09-19,82.14,83.24,81.87,82.93,1608000,82.69
2011-09-16,82.91,83.23,82.00,83.20,2707000,82.96
2011-09-15,81.73,82.35,80.72,82.35,1986600,82.11
2011-09-14,79.94,81.67,79.01,80.71,2273700,80.48
2011-09-13,78.53,79.68,78.25,79.31,2099400,79.08
2011-09-12,77.47,78.19,76.36,78.18,2284900,77.96
2011-09-09,80.45,80.45,77.91,78.57,2279100,78.34
2011-09-08,81.60,82.97,80.79,81.06,2347800,80.83
2011-09-07,80.13,82.47,80.06,82.42,1821600,82.18
2011-09-06,77.11,79.50,76.80,79.02,1657600,78.79
2011-09-02,79.30,80.47,78.94,79.03,1346300,78.80
2011-09-01,81.59,81.94,80.42,80.89,1841900,80.66
