Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.12,32.41,32.12,32.28,1930100,32.28
2011-12-29,32.05,32.39,31.91,32.30,2305700,32.30
2011-12-28,32.22,32.44,31.57,31.81,3426900,31.81
2011-12-27,31.85,32.56,31.85,32.21,3783200,32.21
2011-12-23,31.34,31.99,31.13,31.93,4721500,31.93
2011-12-22,27.50,31.95,27.50,31.63,23369900,31.63
2011-12-21,27.51,27.56,25.96,26.67,4376200,26.67
2011-12-20,26.96,27.71,26.93,27.67,3220100,27.67
2011-12-19,26.72,27.15,26.50,26.56,3331100,26.56
2011-12-16,26.76,27.21,26.58,26.65,5056800,26.65
2011-12-15,26.95,27.27,26.81,27.01,2942700,27.01
2011-12-14,26.37,27.11,25.90,26.66,4054600,26.66
2011-12-13,27.47,27.91,26.36,26.50,4029900,26.50
2011-12-12,27.92,27.92,27.23,27.38,2897500,27.38
2011-12-09,27.40,28.42,27.24,28.21,3218500,28.21
2011-12-08,27.87,28.07,27.20,27.30,3532100,27.30
2011-12-07,28.17,28.30,27.43,28.04,4184300,28.04
2011-12-06,29.14,29.15,28.14,28.23,4002500,28.23
2011-12-05,29.54,29.75,28.97,29.18,3331500,29.18
2011-12-02,29.54,30.03,28.81,29.00,7265800,29.00
2011-12-01,28.82,29.50,28.62,29.16,3638700,29.16
2011-11-30,28.59,29.31,28.43,28.91,4639500,28.91
2011-11-29,27.61,28.02,27.38,27.74,4059400,27.74
2011-11-28,27.18,28.14,27.03,27.66,3398100,27.66
2011-11-25,26.09,26.81,26.06,26.31,1616800,26.31
2011-11-23,26.81,26.99,26.28,26.28,3226000,26.28
2011-11-22,27.31,27.94,26.88,27.07,3129600,27.07
2011-11-21,27.64,27.64,26.60,27.33,4542800,27.33
2011-11-18,28.07,28.22,27.70,27.97,3685400,27.97
2011-11-17,28.96,29.10,27.92,28.13,4056900,28.13
2011-11-16,29.35,29.54,28.82,28.88,3241400,28.88
2011-11-15,28.91,29.65,28.58,29.46,4115300,29.46
2011-11-14,29.92,30.31,29.03,29.13,3912200,29.13
2011-11-11,29.35,30.22,29.20,29.93,5030600,29.93
2011-11-10,29.32,29.38,28.18,28.94,4579400,28.94
2011-11-09,29.67,29.92,28.91,29.01,5544000,29.01
2011-11-08,29.92,30.47,29.40,30.43,5599800,30.43
2011-11-07,29.73,29.86,29.05,29.55,6530300,29.55
2011-11-04,28.90,29.90,28.66,29.82,6542000,29.82
2011-11-03,28.26,29.45,27.96,29.20,11323600,29.20
2011-11-02,26.97,28.01,26.89,27.81,6064000,27.81
2011-11-01,25.91,27.00,25.73,26.64,5835300,26.64
2011-10-31,27.70,27.80,26.82,26.94,5457600,26.94
2011-10-28,27.27,28.34,27.21,28.29,4895100,28.29
2011-10-27,27.40,28.50,26.84,27.45,15161000,27.45
2011-10-26,23.79,24.09,22.83,23.78,6724100,23.78
2011-10-25,24.32,24.63,23.26,23.30,4100400,23.30
2011-10-24,24.04,24.70,23.95,24.66,2848000,24.66
2011-10-21,23.73,24.04,23.51,23.85,4091100,23.85
2011-10-20,23.03,23.54,22.45,23.48,3761200,23.48
2011-10-19,23.67,23.83,22.80,22.96,4661000,22.96
2011-10-18,24.04,24.04,22.62,23.83,6566900,23.83
2011-10-17,24.25,24.88,24.14,24.20,4930500,24.20
2011-10-14,24.87,25.07,23.85,24.46,6032600,24.46
2011-10-13,24.02,25.12,23.95,24.49,10141300,24.49
2011-10-12,23.71,23.80,23.13,23.37,5981300,23.37
2011-10-11,23.24,23.75,22.84,23.35,3790500,23.35
2011-10-10,23.42,23.87,22.97,23.46,4055000,23.46
2011-10-07,22.97,23.50,22.73,23.02,5817500,23.02
2011-10-06,22.50,23.22,22.03,22.88,5654300,22.88
2011-10-05,21.20,22.43,20.87,22.35,7835600,22.35
2011-10-04,18.32,20.57,18.25,20.56,7430400,20.56
2011-10-03,19.73,19.93,18.59,18.65,5102200,18.65
2011-09-30,20.80,20.83,19.88,19.88,3108900,19.88
2011-09-29,21.70,21.85,20.51,20.99,3278900,20.99
2011-09-28,22.16,22.27,21.16,21.24,3322100,21.24
2011-09-27,21.67,22.77,21.67,22.14,3960000,22.14
2011-09-26,20.94,21.21,20.23,21.14,2136500,21.14
2011-09-23,20.04,20.96,19.99,20.80,3703500,20.80
2011-09-22,20.50,20.64,19.96,20.19,5808700,20.19
2011-09-21,21.81,22.31,21.34,21.36,3808200,21.36
2011-09-20,22.44,22.51,21.79,21.83,2322600,21.83
2011-09-19,22.32,22.45,21.91,22.24,2595700,22.24
2011-09-16,22.80,22.98,22.30,22.72,3929500,22.72
2011-09-15,22.60,22.84,22.22,22.67,3114800,22.67
2011-09-14,21.44,22.74,21.37,22.37,4669200,22.37
2011-09-13,20.93,21.43,20.92,21.26,2635800,21.26
2011-09-12,20.43,20.96,20.41,20.91,3382500,20.91
2011-09-09,21.34,21.44,20.53,20.77,2895900,20.77
2011-09-08,21.51,22.05,21.36,21.59,3754000,21.59
2011-09-07,21.06,21.65,20.74,21.59,2901400,21.59
2011-09-06,19.60,20.50,19.50,20.35,3373100,20.35
2011-09-02,21.04,21.08,20.42,20.50,2948400,20.50
2011-09-01,22.03,22.28,21.41,21.46,2999900,21.46
2011-08-31,22.10,22.57,21.76,21.94,3072800,21.94
2011-08-30,21.39,22.19,21.29,21.97,4512500,21.97
2011-08-29,20.88,21.67,20.70,21.62,3038300,21.62
2011-08-26,19.93,20.84,19.73,20.64,3599000,20.64
2011-08-25,20.74,20.75,19.98,20.01,3435300,20.01
2011-08-24,20.76,20.87,20.06,20.66,3107300,20.66
2011-08-23,20.09,20.83,19.97,20.82,3748500,20.82
2011-08-22,20.67,20.89,19.90,19.97,4250500,19.97
2011-08-19,20.52,21.27,20.20,20.28,4061700,20.28
2011-08-18,21.80,21.96,20.65,20.81,5199500,20.81
2011-08-17,22.84,23.08,22.44,22.62,3136800,22.62
2011-08-16,23.03,23.12,22.53,22.85,3747400,22.85
2011-08-15,22.69,23.35,22.69,23.25,3572000,23.25
2011-08-12,22.39,22.61,22.03,22.55,4471200,22.55
2011-08-11,21.41,22.55,21.27,22.29,6644700,22.29
2011-08-10,21.42,21.90,21.01,21.24,6842900,21.24
2011-08-09,21.26,22.09,20.70,21.89,11358700,21.89
2011-08-08,21.76,22.47,20.80,21.09,8371400,21.09
2011-08-05,23.16,23.48,21.75,22.59,9202500,22.59
2011-08-04,23.34,23.61,22.85,22.88,8102800,22.88
2011-08-03,23.00,23.69,22.65,23.62,5014900,23.62
2011-08-02,23.50,23.79,22.93,23.03,6645100,23.03
2011-08-01,24.53,24.79,23.53,23.77,6649100,23.77
2011-07-29,23.69,24.60,23.66,24.22,8557100,24.22
2011-07-28,24.52,25.14,23.64,23.84,27882400,23.84
2011-07-27,30.33,30.51,29.29,29.48,9353500,29.48
2011-07-26,30.52,31.07,30.41,30.69,3849200,30.69
2011-07-25,30.04,30.47,29.90,30.41,3393200,30.41
2011-07-22,29.37,30.57,29.31,30.37,4519500,30.37
2011-07-21,29.32,29.59,28.97,29.41,2697700,29.41
2011-07-20,29.25,29.46,28.96,29.36,2971400,29.36
2011-07-19,29.37,29.57,29.12,29.24,2873900,29.24
2011-07-18,29.72,29.72,28.92,29.06,4056200,29.06
2011-07-15,29.92,30.09,29.46,29.85,3526100,29.85
2011-07-14,30.86,30.93,29.52,29.62,6301800,29.62
2011-07-13,31.23,31.54,30.90,30.95,2971700,30.95
2011-07-12,30.84,31.19,30.52,30.94,3550400,30.94
2011-07-11,31.25,31.49,30.59,30.81,3516500,30.81
2011-07-08,31.36,31.91,31.19,31.66,3727700,31.66
2011-07-07,31.81,31.92,31.49,31.54,3311200,31.54
2011-07-06,31.07,31.84,31.05,31.43,3465900,31.43
2011-07-05,31.35,31.49,30.95,31.18,2764100,31.18
2011-07-01,31.37,31.65,30.98,31.49,5017900,31.49
2011-06-30,30.94,31.52,30.87,31.47,5188700,31.47
2011-06-29,30.22,30.88,30.20,30.80,4805600,30.80
2011-06-28,29.56,30.11,29.53,30.11,3271400,30.11
2011-06-27,29.24,29.74,29.04,29.50,2152300,29.50
2011-06-24,29.79,29.88,29.06,29.25,3052500,29.25
2011-06-23,29.42,29.86,28.98,29.84,5091400,29.84
2011-06-22,29.99,30.21,29.65,29.86,2997700,29.86
2011-06-21,29.32,30.12,29.20,30.06,4120200,30.06
2011-06-20,29.24,29.55,29.12,29.24,3826600,29.24
2011-06-17,29.81,29.84,29.12,29.49,5462000,29.49
2011-06-16,29.00,29.69,28.92,29.47,5737100,29.47
2011-06-15,29.16,29.37,28.69,28.99,5687600,28.99
2011-06-14,29.64,30.00,29.43,29.54,4864100,29.54
2011-06-13,29.39,29.74,29.06,29.39,3827500,29.39
2011-06-10,29.99,30.02,29.25,29.45,6321300,29.45
2011-06-09,30.25,30.48,29.90,30.04,5900800,30.04
2011-06-08,31.18,31.22,29.84,30.26,8710300,30.26
2011-06-07,31.97,32.20,31.30,31.37,5645200,31.37
2011-06-06,32.72,32.95,31.65,31.84,5456500,31.84
2011-06-03,33.08,33.61,32.72,32.83,3857200,32.83
2011-06-02,33.21,33.89,33.14,33.62,5151500,33.62
2011-06-01,33.90,34.41,33.19,33.19,5228500,33.19
2011-05-31,33.91,34.26,33.69,33.94,5185300,33.94
