Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,27.50,27.65,27.41,27.41,2346700,26.74
2011-12-29,27.34,27.60,27.28,27.57,2324600,26.89
2011-12-28,27.43,27.48,27.13,27.18,2357900,26.51
2011-12-27,27.45,27.71,27.45,27.50,2281700,26.83
2011-12-23,27.44,27.63,27.32,27.62,2139300,26.94
2011-12-22,27.19,27.46,27.09,27.41,3663200,26.74
2011-12-21,27.05,27.25,26.89,27.15,4169400,26.48
2011-12-20,26.54,27.10,26.49,26.97,4492700,26.31
2011-12-19,26.48,26.59,26.01,26.10,3692800,25.46
2011-12-16,26.53,26.79,26.29,26.44,5837700,25.79
2011-12-15,26.49,26.61,26.14,26.34,4565000,25.69
2011-12-14,25.92,26.67,25.91,26.25,5657500,25.61
2011-12-13,26.40,26.75,25.86,26.00,6208700,25.36
2011-12-12,26.68,26.69,26.13,26.33,7022400,25.68
2011-12-09,26.68,27.04,26.56,26.93,4848000,26.27
2011-12-08,26.96,27.06,26.52,26.58,4367300,25.93
2011-12-07,26.77,27.39,26.66,27.27,4980900,26.60
2011-12-06,26.96,27.33,26.87,27.12,3121000,26.46
2011-12-05,27.07,27.39,26.80,27.01,4478200,26.35
2011-12-02,27.00,27.25,26.62,26.68,5570600,26.03
2011-12-01,26.70,26.70,26.30,26.56,3385900,25.91
2011-11-30,25.98,26.82,25.95,26.79,6572600,26.13
2011-11-29,25.32,25.76,25.22,25.53,5344200,24.90
2011-11-28,25.08,25.31,25.01,25.30,4200700,24.68
2011-11-25,24.58,25.13,24.53,24.70,2617900,23.89
2011-11-23,24.89,25.13,24.50,24.50,5390600,23.70
2011-11-22,25.29,25.55,25.18,25.22,3185400,24.39
2011-11-21,25.54,25.61,25.14,25.39,4506400,24.56
2011-11-18,25.83,26.03,25.73,25.98,4549700,25.13
2011-11-17,25.95,26.24,25.46,25.61,4829400,24.77
2011-11-16,26.24,26.49,25.99,26.03,4480000,25.18
2011-11-15,26.29,26.78,26.22,26.63,4245900,25.76
2011-11-14,26.45,26.57,26.22,26.49,4479200,25.62
2011-11-11,26.59,26.90,26.53,26.64,4038800,25.77
2011-11-10,26.14,26.39,26.02,26.20,4610200,25.34
2011-11-09,25.76,26.52,25.64,25.85,8749300,25.00
2011-11-08,26.56,26.64,26.26,26.49,7425600,25.62
2011-11-07,25.85,26.42,25.79,26.39,3471200,25.52
2011-11-04,25.63,26.05,25.55,25.90,4355400,25.05
2011-11-03,26.37,26.44,25.74,25.98,8442400,25.13
2011-11-02,26.48,26.58,25.75,26.00,7719200,25.15
2011-11-01,26.39,27.19,25.51,26.09,8245700,25.23
2011-10-31,27.07,27.25,26.34,26.34,8107900,25.48
2011-10-28,27.69,27.71,27.13,27.16,6471300,26.27
2011-10-27,27.37,27.98,27.25,27.72,7497400,26.81
2011-10-26,26.95,27.14,26.51,26.85,5246200,25.97
2011-10-25,26.85,27.11,26.39,26.50,4758300,25.63
2011-10-24,26.92,27.35,26.78,27.07,4317300,26.18
2011-10-21,26.70,26.91,26.30,26.90,6755600,26.02
2011-10-20,25.40,26.49,25.34,26.44,7199600,25.57
2011-10-19,25.40,25.96,25.20,25.48,6537900,24.64
2011-10-18,24.24,25.72,24.10,25.44,5752300,24.61
2011-10-17,24.78,24.88,24.11,24.15,3270200,23.36
2011-10-14,25.00,25.09,24.41,24.96,3220900,24.14
2011-10-13,24.86,24.96,24.28,24.64,3795500,23.83
2011-10-12,24.72,25.48,24.65,25.14,4249800,24.32
2011-10-11,24.54,24.82,24.36,24.49,2888500,23.69
2011-10-10,24.20,24.76,24.16,24.76,3054200,23.95
2011-10-07,24.60,24.62,23.72,23.72,4472200,22.94
2011-10-06,24.03,24.57,23.75,24.55,3341700,23.74
2011-10-05,23.75,24.28,23.27,24.14,4388700,23.35
2011-10-04,22.47,23.69,22.34,23.63,6403200,22.85
2011-10-03,23.49,23.85,22.69,22.71,5622000,21.97
2011-09-30,24.16,24.37,23.69,23.69,6415600,22.91
2011-09-29,23.98,24.65,23.98,24.56,5994500,23.75
2011-09-28,23.77,24.02,23.51,23.52,5848600,22.75
2011-09-27,23.65,24.47,23.43,23.80,7004800,23.02
2011-09-26,22.99,23.59,22.55,23.53,6330300,22.76
2011-09-23,22.65,23.07,22.54,22.77,4545200,22.02
2011-09-22,22.78,22.83,22.27,22.68,7764700,21.94
2011-09-21,24.18,24.35,23.07,23.09,5755400,22.33
2011-09-20,24.58,24.80,24.32,24.32,5282300,23.52
2011-09-19,24.47,24.63,24.25,24.46,4908200,23.66
2011-09-16,25.10,25.28,24.76,24.94,6962400,24.12
2011-09-15,25.22,25.28,24.64,25.11,6537900,24.29
2011-09-14,25.25,25.41,24.62,24.90,6771400,24.08
2011-09-13,25.27,25.46,24.86,25.08,5686600,24.26
2011-09-12,24.70,25.27,24.45,25.27,4922000,24.44
2011-09-09,25.16,25.25,24.69,24.81,5104100,24.00
2011-09-08,25.60,25.85,25.18,25.31,4120800,24.48
2011-09-07,24.99,25.88,24.91,25.85,5303200,25.00
2011-09-06,24.27,24.60,24.11,24.56,7012900,23.75
2011-09-02,25.52,25.59,24.96,24.96,4463000,24.14
2011-09-01,26.17,26.42,25.89,25.91,4414200,25.06
2011-08-31,26.18,26.43,26.02,26.23,4996200,25.37
2011-08-30,25.97,26.25,25.46,26.04,5294400,25.19
2011-08-29,25.09,26.39,24.98,26.30,8220900,25.44
2011-08-26,24.08,24.83,23.62,24.45,7552200,23.44
2011-08-25,25.33,25.67,24.19,24.43,7718800,23.43
2011-08-24,24.85,25.31,24.65,25.19,5106600,24.15
