Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.37,37.47,37.09,37.10,1596700,36.72
2011-12-29,37.34,37.54,37.10,37.47,1721100,37.08
2011-12-28,37.28,37.74,36.97,37.24,3521300,36.86
2011-12-27,37.55,37.69,37.09,37.20,3301000,36.82
2011-12-23,38.20,38.41,37.40,37.58,2975600,37.19
2011-12-22,35.86,38.20,35.77,37.99,7962700,37.60
2011-12-21,36.16,36.48,35.11,35.70,3968200,35.33
2011-12-20,34.54,36.42,34.54,36.16,6835600,35.79
2011-12-19,33.98,34.56,33.91,34.07,4600300,33.72
2011-12-16,33.83,34.93,33.71,34.09,7366100,33.74
2011-12-15,34.13,34.16,33.44,33.64,5024600,33.29
2011-12-14,34.49,34.75,33.79,33.90,3900700,33.55
2011-12-13,35.87,35.96,34.38,34.66,6628700,34.30
2011-12-12,35.55,35.74,34.84,35.58,5599000,35.21
2011-12-09,34.35,36.09,33.84,35.89,11734200,35.52
2011-12-08,35.93,36.50,35.29,35.48,4591300,35.11
2011-12-07,36.62,36.78,35.93,36.37,4744900,35.99
2011-12-06,37.76,37.76,36.62,36.84,4118700,36.46
2011-12-05,37.83,38.19,37.36,37.61,4005500,37.22
2011-12-02,37.89,38.08,37.12,37.15,4862200,36.77
2011-12-01,37.67,37.94,37.16,37.55,3312100,37.16
2011-11-30,35.69,37.74,35.57,37.67,5418100,37.28
2011-11-29,35.22,35.90,34.76,34.90,3269100,34.54
2011-11-28,35.05,35.46,34.79,35.17,2546000,34.81
2011-11-25,34.44,34.88,34.12,34.12,1491500,33.77
2011-11-23,35.00,35.11,34.62,34.66,4466200,34.30
2011-11-22,35.14,35.79,34.83,35.46,5187000,35.09
2011-11-21,34.94,35.49,34.10,35.14,5295400,34.78
2011-11-18,35.41,35.66,34.94,35.21,3794600,34.85
2011-11-17,36.25,36.41,34.64,35.35,5124000,34.98
2011-11-16,37.60,38.00,36.38,36.47,4371400,36.09
2011-11-15,37.05,38.11,36.89,37.86,3415000,37.47
2011-11-14,37.26,37.86,36.99,37.22,2812700,36.84
2011-11-11,37.08,37.61,36.96,37.35,4981100,36.96
