Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,10.72,10.84,10.70,10.71,6529300,10.47
2011-12-29,10.70,10.79,10.62,10.68,8106000,10.45
2011-12-28,10.86,10.90,10.59,10.62,9531200,10.39
2011-12-27,10.76,10.95,10.75,10.83,8893100,10.59
2011-12-23,10.54,10.82,10.53,10.82,12538000,10.58
2011-12-22,10.25,10.57,10.25,10.53,20375300,10.30
2011-12-21,10.42,10.45,10.17,10.20,23424500,9.98
2011-12-20,10.31,10.63,10.31,10.42,28154100,10.19
2011-12-19,10.33,10.50,10.12,10.13,11819000,9.91
2011-12-16,10.29,10.51,10.24,10.33,17622000,10.10
2011-12-15,10.50,10.52,10.18,10.19,17333200,9.97
2011-12-14,10.49,10.53,10.32,10.33,14920900,10.10
2011-12-13,10.57,10.66,10.43,10.50,26733000,10.27
2011-12-12,11.02,11.04,10.47,10.52,21755000,10.29
2011-12-09,10.93,11.28,10.80,11.20,11978000,10.95
2011-12-08,11.20,11.29,10.90,10.91,14242600,10.67
2011-12-07,11.12,11.34,10.94,11.25,16954300,11.00
2011-12-06,11.06,11.17,10.99,11.09,11736600,10.85
2011-12-05,11.01,11.08,10.86,10.99,13699700,10.75
2011-12-02,10.90,11.08,10.80,10.83,15135100,10.59
2011-12-01,10.73,10.84,10.57,10.77,14450100,10.53
2011-11-30,10.50,10.80,10.44,10.78,24240100,10.54
2011-11-29,10.43,10.46,10.21,10.25,17752500,10.02
2011-11-28,10.48,10.61,10.30,10.40,17515700,10.17
2011-11-25,10.22,10.43,10.16,10.16,8492400,9.94
2011-11-23,10.48,10.49,10.17,10.21,18230900,9.99
2011-11-22,10.83,10.94,10.52,10.57,19257000,10.34
2011-11-21,11.03,11.10,10.80,10.89,16919800,10.65
2011-11-18,11.47,11.52,11.13,11.23,16189100,10.91
2011-11-17,12.03,12.15,11.32,11.53,28977700,11.20
2011-11-16,12.40,12.75,12.38,12.47,16320500,12.11
2011-11-15,12.29,12.73,12.24,12.64,11726600,12.27
2011-11-14,12.68,12.80,12.43,12.54,10406500,12.18
2011-11-11,12.42,12.80,12.33,12.73,12230000,12.36
2011-11-10,12.26,12.39,12.07,12.25,11544200,11.90
2011-11-09,12.40,12.40,12.10,12.14,16894700,11.79
2011-11-08,12.50,12.65,12.40,12.64,11854400,12.27
2011-11-07,12.36,12.45,12.19,12.41,10733000,12.05
2011-11-04,12.31,12.53,12.16,12.42,9429700,12.06
2011-11-03,12.12,12.42,11.90,12.36,13353300,12.00
2011-11-02,12.00,12.14,11.90,12.04,12590100,11.69
2011-11-01,12.01,12.12,11.88,11.92,16066500,11.58
2011-10-31,12.50,12.62,12.32,12.32,13697300,11.96
2011-10-28,12.47,12.62,12.30,12.62,12205200,12.25
2011-10-27,12.04,12.60,12.04,12.54,18205600,12.18
2011-10-26,11.89,12.00,11.61,11.84,12536800,11.50
2011-10-25,11.74,12.00,11.74,11.76,11800100,11.42
2011-10-24,11.77,11.99,11.74,11.93,11536500,11.58
2011-10-21,11.42,11.84,11.42,11.69,15549100,11.35
2011-10-20,11.44,11.47,11.01,11.33,12727000,11.00
2011-10-19,11.67,11.74,11.44,11.48,10954200,11.15
2011-10-18,11.57,11.70,11.27,11.66,17781300,11.32
2011-10-17,11.53,11.56,11.33,11.39,16922600,11.06
2011-10-14,11.68,11.68,11.36,11.60,13781000,11.26
2011-10-13,11.28,11.63,11.21,11.58,18025000,11.25
2011-10-12,11.09,11.40,11.06,11.30,16696400,10.97
2011-10-11,11.00,11.08,10.87,10.98,11952700,10.66
2011-10-10,10.91,11.11,10.84,11.01,13178400,10.69
2011-10-07,10.82,10.95,10.60,10.71,16191300,10.40
2011-10-06,10.65,10.82,10.45,10.75,18381800,10.44
2011-10-05,10.26,10.60,10.08,10.59,16704500,10.28
2011-10-04,9.70,10.27,9.70,10.27,23364700,9.97
2011-10-03,10.27,10.42,9.85,9.85,24505000,9.57
2011-09-30,10.54,10.66,10.35,10.36,18089800,10.06
2011-09-29,10.78,10.81,10.40,10.62,25321100,10.31
2011-09-28,10.86,10.93,10.55,10.61,19060600,10.30
2011-09-27,10.58,11.11,10.50,10.79,25223100,10.48
2011-09-26,10.65,10.68,10.20,10.38,25063600,10.08
2011-09-23,10.26,10.78,10.19,10.59,17181000,10.28
2011-09-22,10.65,10.67,10.21,10.36,25528200,10.06
2011-09-21,11.15,11.25,10.85,10.85,17630200,10.54
2011-09-20,11.21,11.47,11.10,11.13,13160600,10.81
2011-09-19,11.20,11.30,11.10,11.23,13675400,10.91
2011-09-16,11.69,11.79,11.50,11.57,17112700,11.24
2011-09-15,11.62,11.71,11.46,11.67,20687600,11.33
2011-09-14,11.07,11.38,11.01,11.25,24538400,10.92
2011-09-13,10.93,11.07,10.90,11.02,22218100,10.70
2011-09-12,10.64,10.87,10.62,10.86,17445000,10.55
2011-09-09,10.69,11.11,10.67,10.73,18458800,10.42
2011-09-08,11.02,11.24,10.83,10.85,17079600,10.54
2011-09-07,10.87,11.09,10.86,11.09,18919300,10.77
2011-09-06,10.58,10.71,10.50,10.67,16793000,10.36
2011-09-02,10.89,10.96,10.80,10.84,11990900,10.53
2011-09-01,11.38,11.43,11.06,11.06,12294800,10.74
2011-08-31,11.52,11.63,11.27,11.32,14787800,10.99
2011-08-30,11.30,11.50,11.23,11.42,14408300,11.09
2011-08-29,11.11,11.41,11.09,11.39,11015100,11.06
2011-08-26,10.75,11.07,10.62,11.06,15078000,10.66
2011-08-25,10.84,11.09,10.80,10.81,21521400,10.42
2011-08-24,11.39,11.44,11.07,11.36,16652700,10.95
2011-08-23,10.81,11.44,10.80,11.44,16136100,11.03
2011-08-22,11.01,11.13,10.81,10.86,13481900,10.47
2011-08-19,10.87,11.18,10.80,10.82,16116600,10.43
2011-08-18,11.28,11.30,10.88,10.99,17854900,10.59
2011-08-17,11.71,11.95,11.50,11.62,10676700,11.20
2011-08-16,11.73,11.87,11.52,11.68,13342400,11.26
2011-08-15,11.63,11.87,11.58,11.87,10950200,11.44
2011-08-12,11.75,11.95,11.54,11.60,16471100,11.18
2011-08-11,11.31,11.87,11.23,11.72,30026000,11.30
2011-08-10,11.27,11.58,11.09,11.25,34632000,10.85
2011-08-09,11.20,11.46,10.85,11.44,34263800,11.03
2011-08-08,11.13,11.50,11.01,11.09,34939400,10.69
2011-08-05,11.64,11.93,11.10,11.44,31988000,11.03
2011-08-04,12.02,12.02,11.48,11.48,29740000,11.07
2011-08-03,12.08,12.24,11.88,12.21,19515900,11.77
2011-08-02,12.19,12.25,12.02,12.08,18050400,11.65
2011-08-01,12.50,12.60,12.12,12.33,16794300,11.89
2011-07-29,12.38,12.55,12.24,12.32,20689500,11.88
2011-07-28,12.61,12.71,12.37,12.48,15867400,12.03
2011-07-27,12.97,12.99,12.60,12.64,21146800,12.19
2011-07-26,13.15,13.27,13.06,13.10,10203000,12.63
2011-07-25,13.00,13.20,12.92,13.10,12042600,12.63
2011-07-22,12.96,13.21,12.89,13.15,17464100,12.68
2011-07-21,12.64,12.99,12.58,12.93,14268700,12.47
2011-07-20,12.70,12.79,12.57,12.69,13474600,12.23
2011-07-19,12.39,12.72,12.39,12.66,13042400,12.20
2011-07-18,12.36,12.53,12.23,12.30,20060700,11.86
2011-07-15,12.26,12.49,12.18,12.45,20020800,12.00
2011-07-14,12.45,12.64,12.24,12.27,23025700,11.83
2011-07-13,12.72,12.73,12.41,12.44,21473000,11.99
2011-07-12,12.88,12.88,12.52,12.64,28255900,12.19
2011-07-11,13.02,13.45,12.92,12.98,19567300,12.51
2011-07-08,13.22,13.31,13.00,13.10,14697400,12.63
2011-07-07,13.14,13.52,13.13,13.44,16123800,12.96
2011-07-06,13.05,13.08,12.83,13.04,13686000,12.57
2011-07-05,13.29,13.30,13.00,13.09,12813000,12.62
2011-07-01,13.01,13.31,12.88,13.29,11675100,12.81
2011-06-30,12.73,13.08,12.71,13.01,18352500,12.54
2011-06-29,12.73,12.80,12.59,12.67,13868400,12.21
2011-06-28,12.69,12.73,12.52,12.71,12299900,12.25
2011-06-27,12.40,12.75,12.32,12.66,17841100,12.20
2011-06-24,12.71,12.76,12.39,12.40,34190200,11.95
2011-06-23,12.44,12.79,12.33,12.76,17001400,12.30
2011-06-22,12.60,12.75,12.58,12.58,9896800,12.13
2011-06-21,12.46,12.76,12.40,12.68,12415400,12.22
2011-06-20,12.40,12.57,12.35,12.42,15531500,11.97
2011-06-17,12.60,12.62,12.26,12.41,15527900,11.96
2011-06-16,12.57,12.62,12.36,12.47,15158000,12.02
2011-06-15,12.58,12.77,12.50,12.57,16768900,12.12
2011-06-14,12.57,12.83,12.57,12.70,17633100,12.24
2011-06-13,12.48,12.69,12.40,12.48,11304900,12.03
2011-06-10,12.75,12.78,12.43,12.58,16247000,12.13
2011-06-09,12.80,13.00,12.74,12.78,17881400,12.32
2011-06-08,12.96,12.99,12.69,12.73,15379000,12.27
2011-06-07,13.00,13.24,12.99,13.03,19150800,12.56
2011-06-06,12.92,13.05,12.86,12.89,11463700,12.43
2011-06-03,13.04,13.15,12.93,12.96,14818800,12.49
2011-06-02,13.05,13.31,13.05,13.15,26164300,12.68
2011-06-01,13.74,13.75,13.08,13.08,41485700,12.61
2011-05-31,13.51,13.78,13.50,13.78,15690400,13.28
2011-05-27,13.58,13.66,13.41,13.43,17064500,12.95
2011-05-26,13.80,13.81,13.50,13.64,16979800,13.07
2011-05-25,13.86,13.91,13.36,13.86,27067900,13.28
2011-05-24,13.83,13.92,13.65,13.71,25015700,13.14
2011-05-23,13.92,13.93,13.72,13.79,21100000,13.22
2011-05-20,14.28,14.36,14.05,14.09,17189500,13.50
2011-05-19,14.20,14.50,14.09,14.33,19202300,13.73
2011-05-18,14.30,14.55,14.28,14.50,17221900,13.90
2011-05-17,14.52,14.53,14.26,14.31,23388200,13.71
2011-05-16,14.80,14.80,14.50,14.52,17248200,13.92
2011-05-13,15.04,15.09,14.78,14.80,15158700,14.18
2011-05-12,14.91,15.15,14.89,15.09,17600000,14.46
2011-05-11,15.07,15.07,14.83,14.92,16500000,14.30
2011-05-10,15.14,15.17,14.98,15.06,16187800,14.43
2011-05-09,15.20,15.23,15.01,15.04,14623800,14.41
2011-05-06,15.23,15.44,15.15,15.23,16860400,14.60
2011-05-05,15.05,15.28,14.82,14.96,25298800,14.34
2011-05-04,15.88,15.90,14.87,15.09,35295800,14.46
2011-05-03,15.13,15.26,15.03,15.24,16800000,14.61
2011-05-02,15.34,15.49,15.10,15.15,23471800,14.52
2011-04-29,15.76,15.76,15.46,15.69,29186300,15.04
2011-04-28,15.89,15.95,15.50,15.69,21704300,15.04
2011-04-27,15.61,15.97,15.60,15.92,16734000,15.26
2011-04-26,15.34,15.61,15.30,15.61,16597600,14.96
2011-04-25,15.27,15.31,15.13,15.30,11308500,14.66
2011-04-21,15.19,15.26,15.01,15.25,12822500,14.62
2011-04-20,15.15,15.44,15.13,15.28,18697000,14.64
2011-04-19,14.47,14.77,14.47,14.61,14145500,14.00
2011-04-18,14.56,14.60,14.41,14.48,19711100,13.88
2011-04-15,14.86,14.90,14.62,14.72,19034200,14.11
2011-04-14,14.73,14.85,14.66,14.78,19631400,14.17
2011-04-13,15.08,15.14,14.82,14.88,16177000,14.26
2011-04-12,15.20,15.24,14.89,15.03,17063400,14.40
2011-04-11,15.33,15.40,15.17,15.33,12408700,14.69
2011-04-08,15.57,15.64,15.26,15.31,10591800,14.67
2011-04-07,15.67,15.69,15.24,15.50,18218500,14.86
2011-04-06,15.61,15.85,15.54,15.75,13351600,15.09
2011-04-05,15.40,15.62,15.38,15.53,13785600,14.88
2011-04-04,15.53,15.58,15.26,15.40,21009900,14.76
2011-04-01,15.81,15.85,15.46,15.53,12739400,14.88
2011-03-31,15.74,15.86,15.59,15.62,11448600,14.97
2011-03-30,15.76,15.89,15.56,15.73,11390500,15.08
2011-03-29,15.41,15.82,15.37,15.70,16816500,15.05
2011-03-28,15.44,15.55,15.38,15.47,11868500,14.83
2011-03-25,15.43,15.59,15.35,15.43,13937100,14.79
2011-03-24,15.31,15.46,15.13,15.44,14958900,14.80
2011-03-23,15.05,15.21,14.81,15.16,17119100,14.53
2011-03-22,15.16,15.28,15.05,15.11,10673300,14.48
2011-03-21,15.10,15.36,15.05,15.21,13053300,14.58
2011-03-18,15.06,15.10,14.78,14.84,19567600,14.22
2011-03-17,14.68,14.97,14.67,14.83,15750300,14.21
2011-03-16,14.78,14.94,14.36,14.46,24530800,13.86
2011-03-15,14.48,14.96,14.25,14.88,21222000,14.26
2011-03-14,14.93,15.09,14.81,14.96,15936300,14.34
2011-03-11,14.88,15.24,14.77,15.00,16362700,14.38
2011-03-10,15.08,15.23,14.93,14.96,23029200,14.34
2011-03-09,15.73,15.77,15.16,15.30,32174600,14.66
2011-03-08,15.98,16.00,15.67,15.79,28212900,15.13
2011-03-07,16.77,16.77,15.74,15.96,24768000,15.30
2011-03-04,16.84,16.87,16.58,16.73,14204700,16.03
2011-03-03,16.49,16.93,16.49,16.85,17570800,16.15
2011-03-02,16.12,16.47,16.12,16.42,19128000,15.74
2011-03-01,16.55,16.75,16.16,16.20,34048400,15.53
2011-02-28,16.13,16.54,16.13,16.43,26338800,15.75
2011-02-25,16.10,16.15,15.71,16.12,20071400,15.38
2011-02-24,15.69,15.87,15.52,15.83,18660300,15.11
2011-02-23,15.82,16.04,15.45,15.64,24399900,14.92
