Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,60.86,60.91,59.93,60.01,4859400,59.24
2011-12-29,60.18,60.72,60.16,60.59,1476000,59.81
2011-12-28,60.52,60.67,59.69,60.07,1581800,59.30
2011-12-27,60.25,60.82,60.10,60.70,1393200,59.92
2011-12-23,60.08,60.44,59.83,60.44,1334600,59.67
2011-12-22,59.49,60.30,59.49,59.99,3129000,59.22
2011-12-21,59.48,60.00,59.27,59.39,2997100,58.63
2011-12-20,58.31,59.98,58.24,59.80,3892600,59.03
2011-12-19,59.44,59.66,56.99,57.18,4567800,56.45
2011-12-16,59.20,59.41,58.07,59.14,8009000,58.38
2011-12-15,58.22,58.92,57.91,58.80,3381500,58.05
2011-12-14,58.12,58.47,57.72,57.99,2160600,57.25
2011-12-13,58.41,59.05,57.93,58.13,2596400,57.39
2011-12-12,58.35,58.39,57.67,58.15,1981500,57.41
2011-12-09,58.05,58.68,57.97,58.59,2231000,57.84
2011-12-08,58.67,58.89,57.75,57.82,3152100,57.08
2011-12-07,59.00,59.57,58.46,59.30,1801600,58.19
2011-12-06,59.05,59.49,58.82,59.24,1937800,58.14
2011-12-05,59.36,59.68,58.95,59.13,3416800,58.03
2011-12-02,59.08,59.37,58.76,59.08,2771700,57.98
2011-12-01,58.78,59.42,58.38,58.60,2450500,57.51
2011-11-30,58.90,59.61,58.29,59.00,5434300,57.90
2011-11-29,56.75,57.96,56.63,57.74,3044400,56.66
2011-11-28,56.90,57.12,56.23,56.55,3212600,55.50
2011-11-25,55.20,56.22,55.20,55.72,1536400,54.68
2011-11-23,55.58,55.84,55.03,55.42,2335200,54.39
2011-11-22,55.84,56.58,55.55,56.00,2700600,54.96
2011-11-21,56.23,56.49,55.53,55.90,1887900,54.86
2011-11-18,57.18,57.25,56.62,56.76,2906400,55.70
2011-11-17,57.66,57.93,56.69,56.93,2625600,55.87
2011-11-16,57.84,58.13,57.03,57.17,1986900,56.10
2011-11-15,57.10,58.60,57.01,58.41,2409400,57.32
2011-11-14,57.91,58.27,57.23,57.36,1461600,56.29
2011-11-11,57.35,58.42,57.13,58.18,2019500,57.10
2011-11-10,57.75,57.80,56.27,56.63,2799100,55.57
2011-11-09,57.27,58.33,57.04,57.18,2996800,56.11
2011-11-08,58.55,58.58,57.55,58.36,2225300,57.27
2011-11-07,57.95,58.43,57.07,58.33,2877200,57.24
2011-11-04,57.26,57.96,56.81,57.92,2449100,56.84
2011-11-03,57.40,58.00,56.30,57.42,4083900,56.35
2011-11-02,57.23,57.53,55.52,56.70,3805100,55.64
2011-11-01,53.49,58.00,53.02,56.92,6614600,55.86
2011-10-31,55.84,56.15,55.05,55.10,2848000,54.07
2011-10-28,56.63,56.82,56.06,56.32,2094100,55.27
2011-10-27,57.09,57.25,55.51,56.79,2889400,55.73
2011-10-26,56.26,56.30,54.86,55.63,3570000,54.59
2011-10-25,56.71,56.93,55.87,55.95,2602100,54.91
2011-10-24,56.41,57.28,56.33,57.24,2666200,56.17
2011-10-21,55.44,56.38,54.81,56.34,2846200,55.29
2011-10-20,54.82,55.77,54.72,55.05,2387800,54.02
2011-10-19,55.57,55.94,54.58,54.99,3171600,53.97
2011-10-18,55.03,56.02,54.14,55.67,2028900,54.63
2011-10-17,55.43,55.81,54.87,55.07,2013000,54.04
2011-10-14,55.65,56.17,55.45,55.83,2254700,54.79
2011-10-13,55.25,55.33,54.64,55.15,3015900,54.12
2011-10-12,55.81,56.33,55.26,55.43,2690300,54.40
2011-10-11,55.54,55.71,55.11,55.27,2714400,54.24
2011-10-10,55.81,56.06,55.38,55.92,2469000,54.88
2011-10-07,55.61,56.27,54.85,54.93,4396600,53.91
2011-10-06,55.04,55.79,54.79,55.59,3890000,54.55
2011-10-05,53.64,55.46,53.45,55.06,4987900,54.03
2011-10-04,52.12,54.06,51.05,54.01,5500000,53.00
2011-10-03,53.75,54.68,52.82,52.86,6671000,51.87
2011-09-30,53.06,54.15,53.05,53.80,5541100,52.80
2011-09-29,54.79,54.88,52.51,53.59,3179000,52.59
2011-09-28,54.65,54.68,53.83,53.96,3249800,52.95
2011-09-27,54.10,55.56,53.81,54.58,3825500,53.56
2011-09-26,52.78,53.60,52.28,53.50,4522500,52.50
2011-09-23,51.91,53.05,51.82,52.29,3679500,51.32
2011-09-22,52.64,53.21,51.47,52.30,6830300,51.33
2011-09-21,55.43,55.86,54.04,54.10,3848800,53.09
2011-09-20,55.51,56.21,54.97,55.15,3213600,54.12
2011-09-19,53.98,55.41,53.91,55.21,2584200,54.18
2011-09-16,54.91,55.00,54.10,54.90,3759100,53.88
2011-09-15,54.52,54.92,54.04,54.86,3334900,53.84
2011-09-14,53.20,54.75,52.54,54.16,3700700,53.15
2011-09-13,52.41,52.99,51.95,52.90,3053100,51.91
2011-09-12,51.76,52.32,51.45,52.30,4007200,51.33
2011-09-09,52.89,53.13,52.17,52.38,4011300,51.40
2011-09-08,53.22,53.77,53.21,53.41,3773300,52.41
2011-09-07,53.75,53.97,53.24,53.50,2714200,52.50
2011-09-06,52.43,53.19,51.46,53.05,2513800,52.06
2011-09-02,53.15,53.78,52.72,53.14,2729200,52.15
2011-09-01,54.06,54.99,53.98,54.26,3957300,53.25
2011-08-31,53.71,54.89,53.33,53.86,6200500,52.86
2011-08-30,52.16,53.39,52.01,53.20,2764500,52.21
2011-08-29,52.24,52.88,51.86,52.24,3028100,51.27
2011-08-26,50.31,51.95,48.75,51.86,3752800,50.89
2011-08-25,51.68,51.77,50.35,50.51,3665800,49.57
2011-08-24,50.59,51.63,50.50,51.50,2866300,50.54
