Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,173.36,175.17,172.49,173.10,4279800,173.10
2011-12-29,169.62,174.55,166.97,173.86,8209300,173.86
2011-12-28,176.39,176.65,172.28,173.89,3659500,173.89
2011-12-27,177.73,178.59,176.16,176.27,2950900,176.27
2011-12-23,179.22,179.68,175.60,177.28,3496500,177.28
2011-12-22,175.09,179.67,174.21,179.03,4694900,179.03
2011-12-21,181.92,183.50,172.49,174.35,8066700,174.35
2011-12-20,182.69,183.17,180.54,182.52,4600100,182.52
2011-12-19,182.00,183.17,179.00,179.33,4533600,179.33
2011-12-16,182.42,184.41,180.31,181.26,6664100,181.26
2011-12-15,182.05,184.80,179.53,181.26,7259900,181.26
2011-12-14,179.00,180.75,170.25,180.21,11614200,180.21
2011-12-13,188.56,189.68,178.50,180.51,9297300,180.51
2011-12-12,190.03,191.15,187.63,189.52,4343200,189.52
2011-12-09,191.21,193.95,188.40,193.03,5158800,193.03
2011-12-08,193.57,195.89,190.08,190.48,4361100,190.48
2011-12-07,191.03,196.71,189.12,195.32,6427300,195.32
2011-12-06,195.98,198.32,190.11,191.99,5202000,191.99
2011-12-05,198.86,199.00,193.67,196.24,5922100,196.24
2011-12-02,197.07,199.66,195.18,196.03,7526200,196.03
2011-12-01,191.85,198.07,191.59,197.13,7327700,197.13
2011-11-30,194.76,195.30,188.75,192.29,7717000,192.29
2011-11-29,194.78,195.50,187.30,188.39,6575100,188.39
2011-11-28,191.65,194.62,190.54,194.15,7207300,194.15
2011-11-25,190.41,190.83,181.51,182.40,4972000,182.40
2011-11-23,193.06,194.60,187.89,188.99,8011300,188.99
2011-11-22,186.95,194.04,183.58,192.34,9915600,192.34
2011-11-21,193.29,193.36,185.05,189.25,11321200,189.25
2011-11-18,205.33,205.34,197.11,197.14,8437500,197.14
2011-11-17,212.51,212.90,202.10,204.52,7983100,204.52
2011-11-16,216.27,216.97,211.23,211.99,5509400,211.99
2011-11-15,218.00,220.33,214.26,217.83,5739000,217.83
2011-11-14,215.65,222.35,214.25,218.93,6522200,218.93
2011-11-11,212.52,217.88,210.31,217.39,5163100,217.39
2011-11-10,213.50,214.06,208.10,210.79,5044600,210.79
2011-11-09,214.95,215.70,210.60,211.22,4680600,211.22
