Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,46.94,47.02,46.76,46.80,640500,46.23
2011-12-29,46.75,46.90,46.64,46.87,1232500,46.30
2011-12-28,47.10,47.22,46.72,46.75,1098100,46.18
2011-12-27,46.92,47.23,46.79,47.12,1522500,46.54
2011-12-23,47.03,47.18,46.66,46.86,1449800,46.29
2011-12-22,46.31,47.08,46.22,47.00,2272900,46.42
2011-12-21,45.85,46.37,45.80,46.30,2019800,45.73
2011-12-20,45.23,45.84,45.13,45.79,2700800,45.23
2011-12-19,44.85,45.05,44.44,44.58,1628300,44.03
2011-12-16,45.42,45.65,44.71,44.86,2638600,44.31
2011-12-15,45.49,45.55,45.07,45.21,1874000,44.66
2011-12-14,44.49,45.21,44.46,45.06,3111600,44.51
2011-12-13,45.44,45.61,44.36,44.51,3365300,43.97
2011-12-12,45.83,45.97,45.08,45.33,1490700,44.78
2011-12-09,46.15,46.46,45.84,46.29,2477700,45.72
2011-12-08,45.84,46.20,45.72,45.80,3399300,45.24
2011-12-07,46.45,46.45,45.83,46.23,1939300,45.66
2011-12-06,46.25,46.38,46.05,46.19,1562200,45.62
2011-12-05,46.61,46.66,45.96,46.25,2083600,45.68
2011-12-02,46.31,46.55,45.98,46.01,1690600,45.45
2011-12-01,45.76,46.04,45.58,45.87,1073900,45.31
2011-11-30,44.63,46.06,44.62,45.97,3475400,45.41
2011-11-29,44.68,44.81,44.37,44.46,1114300,43.92
2011-11-28,44.96,44.97,44.33,44.69,1654100,44.14
2011-11-25,43.42,44.36,43.37,44.23,1163700,43.69
2011-11-23,43.75,44.07,43.45,43.68,2519600,43.15
2011-11-22,44.60,44.74,43.95,44.01,2525400,43.47
2011-11-21,45.14,45.42,44.48,44.80,2362600,44.25
2011-11-18,46.34,46.35,45.74,45.78,2839700,45.22
2011-11-17,46.50,46.83,46.20,46.42,2761800,45.85
2011-11-16,46.92,47.31,46.46,46.50,1863400,45.93
2011-11-15,47.40,47.69,47.22,47.37,1673600,46.79
2011-11-14,47.91,47.99,47.26,47.45,1172500,46.87
2011-11-11,47.98,48.48,47.87,48.09,1733100,47.50
2011-11-10,48.02,48.02,47.09,47.39,2698100,46.81
2011-11-09,47.23,47.91,47.15,47.50,3568900,46.92
2011-11-08,47.85,48.39,47.43,48.30,2312500,47.71
2011-11-07,47.25,47.47,46.77,47.42,2266800,46.84
2011-11-04,46.78,47.68,46.74,47.41,2979900,46.83
2011-11-03,47.31,47.47,46.41,47.30,2283400,46.72
2011-11-02,46.39,47.29,46.28,46.91,4248700,46.34
2011-11-01,45.27,46.26,45.25,45.56,5526500,45.00
2011-10-31,47.12,47.38,46.56,46.62,5234000,46.05
2011-10-28,49.29,49.86,45.83,47.99,7038100,47.40
2011-10-27,50.64,51.11,49.81,50.94,3468800,50.17
2011-10-26,49.73,50.26,48.97,49.72,3162500,48.97
2011-10-25,48.97,49.69,48.27,49.09,3689400,48.35
2011-10-24,49.28,50.27,49.28,50.18,2991000,49.42
2011-10-21,47.79,49.33,47.79,49.33,4326700,48.58
2011-10-20,46.53,47.44,46.22,47.31,4556200,46.59
2011-10-19,45.80,47.25,45.63,46.59,3607200,45.88
2011-10-18,44.58,46.32,44.45,45.98,2497500,45.28
2011-10-17,44.94,44.94,44.37,44.44,2878600,43.77
2011-10-14,45.15,45.20,44.63,45.12,1805600,44.44
2011-10-13,44.71,44.90,44.28,44.72,1760400,44.04
2011-10-12,44.59,45.28,44.39,44.87,2970400,44.19
2011-10-11,43.95,44.49,43.70,44.32,1908300,43.65
2011-10-10,44.14,44.52,43.89,44.41,3005700,43.74
2011-10-07,44.29,44.33,43.11,43.30,3132500,42.64
2011-10-06,43.02,44.01,42.70,43.98,3354900,43.31
2011-10-05,42.11,43.42,41.64,43.27,4956900,42.61
2011-10-04,40.06,42.30,39.90,42.15,4500000,41.51
2011-10-03,41.63,42.42,40.62,40.62,3994000,40.00
2011-09-30,41.60,42.49,41.38,41.98,4631200,41.34
2011-09-29,40.92,42.29,40.86,42.29,4576500,41.65
2011-09-28,41.15,41.24,39.99,40.05,3034400,39.44
2011-09-27,41.44,42.20,40.95,41.21,2942100,40.59
2011-09-26,40.54,40.79,39.74,40.74,3455300,40.12
2011-09-23,40.31,40.77,39.88,40.00,3106900,39.39
2011-09-22,40.66,41.01,39.68,40.43,4355700,39.82
2011-09-21,43.04,43.20,41.13,41.13,2909100,40.51
2011-09-20,43.73,44.03,43.04,43.06,1650900,42.41
2011-09-19,43.27,43.74,42.93,43.47,1842800,42.81
2011-09-16,43.99,44.12,43.08,44.02,2571500,43.35
2011-09-15,43.40,43.98,43.11,43.77,3082200,43.11
2011-09-14,43.23,43.31,42.49,42.90,2980100,42.25
2011-09-13,43.62,43.67,42.33,42.84,3220900,42.19
2011-09-12,43.21,43.51,42.43,43.40,2811800,42.74
2011-09-09,44.52,44.58,43.41,43.59,2696500,42.93
2011-09-08,45.39,45.78,44.93,45.02,1820200,44.34
2011-09-07,45.00,45.77,44.93,45.74,1370500,45.05
2011-09-06,43.59,44.41,43.59,44.36,2294500,43.69
2011-09-02,45.63,45.84,44.83,44.83,2173900,44.15
2011-09-01,46.81,47.28,46.11,46.17,2416800,45.47
2011-08-31,47.16,47.24,46.24,46.73,2381900,46.02
2011-08-30,46.94,47.04,46.16,46.70,1292700,45.99
2011-08-29,46.57,47.15,46.35,47.15,1930000,46.44
2011-08-26,45.07,46.36,44.82,46.04,2396900,45.34
2011-08-25,45.60,45.82,44.47,45.15,2579000,44.47
2011-08-24,45.37,45.95,44.74,45.38,3101500,44.69
2011-08-23,43.75,45.48,43.66,45.47,2821400,44.78
2011-08-22,45.23,45.23,43.18,43.55,3063200,42.89
2011-08-19,43.74,45.15,43.69,44.28,2773300,43.61
2011-08-18,45.08,45.11,43.96,44.25,3133900,43.58
2011-08-17,46.27,46.79,45.90,46.41,1634200,45.71
2011-08-16,46.03,46.32,45.45,46.04,2092500,45.34
