Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,76.31,76.86,75.91,76.33,1584500,75.96
2011-12-29,75.97,76.32,75.47,76.19,1485400,75.82
2011-12-28,77.60,77.85,75.34,75.61,1883100,75.24
2011-12-27,76.23,77.77,76.18,77.23,1744900,76.85
2011-12-23,76.39,76.69,75.75,76.67,1287800,76.30
2011-12-22,75.89,76.48,75.46,76.17,2118800,75.80
2011-12-21,74.80,76.07,73.71,75.79,3185700,75.42
2011-12-20,73.20,75.24,73.17,74.60,3349200,74.24
2011-12-19,73.18,73.43,71.18,71.40,2837700,71.05
2011-12-16,73.44,73.99,72.04,72.94,4658500,72.58
2011-12-15,75.08,75.15,72.42,72.67,4128600,72.32
2011-12-14,75.52,75.91,73.41,73.72,4350500,73.36
2011-12-13,78.42,79.53,75.77,76.49,3534000,76.12
2011-12-12,78.02,78.61,76.57,77.81,2698600,77.43
2011-12-09,77.78,80.64,77.78,80.25,2839700,79.77
2011-12-08,79.66,79.85,76.94,77.30,3143100,76.84
2011-12-07,81.03,81.30,79.77,80.61,3317300,80.13
2011-12-06,82.00,82.50,81.17,81.54,3281000,81.05
2011-12-05,82.11,82.62,80.88,81.73,3210500,81.24
2011-12-02,81.43,82.63,80.31,80.48,3471900,80.00
2011-12-01,80.74,81.49,80.04,80.38,3501900,79.90
2011-11-30,80.16,81.81,79.87,81.27,6280200,80.78
2011-11-29,76.02,77.55,75.41,76.76,4214600,76.30
2011-11-28,75.28,77.21,74.79,75.77,5015900,75.32
2011-11-25,71.56,73.14,71.25,71.84,1291000,71.41
2011-11-23,73.53,73.66,71.85,71.95,3122900,71.52
2011-11-22,75.61,76.45,74.11,74.53,3347300,74.08
2011-11-21,75.02,76.19,74.32,75.70,2810900,75.25
2011-11-18,77.24,77.96,76.19,76.70,3392600,76.24
2011-11-17,78.77,79.12,75.55,76.44,4367100,75.98
2011-11-16,79.31,81.15,78.70,78.95,4086100,78.48
2011-11-15,80.91,81.29,79.31,79.94,5332900,79.46
2011-11-14,80.42,80.59,78.60,79.28,3219500,78.80
2011-11-11,81.00,81.73,80.40,80.72,4655200,80.24
2011-11-10,78.69,79.75,77.32,79.49,5106000,79.01
2011-11-09,80.30,80.68,77.69,77.81,6778700,77.34
2011-11-08,83.61,84.42,82.21,83.95,5012500,83.45
2011-11-07,82.15,82.96,80.29,82.55,3068500,82.05
2011-11-04,81.70,82.69,80.73,82.46,3855100,81.97
2011-11-03,81.53,83.01,80.16,82.73,4102600,82.23
2011-11-02,79.51,81.30,79.22,80.81,4457300,80.33
2011-11-01,74.27,78.60,73.72,77.37,6905000,76.91
2011-10-31,81.62,81.88,78.50,78.50,5011600,78.03
2011-10-28,81.92,83.98,81.26,83.74,4195900,83.24
2011-10-27,81.62,83.50,80.59,82.65,5653700,82.15
2011-10-26,78.91,79.60,76.14,79.01,3254300,78.54
2011-10-25,79.12,79.30,76.62,77.55,4518300,77.08
2011-10-24,78.95,80.05,78.08,79.19,4489600,78.72
2011-10-21,78.08,79.10,77.37,79.04,3817000,78.57
2011-10-20,77.85,78.42,75.53,76.95,5463200,76.49
2011-10-19,78.10,79.57,76.85,77.70,5913500,77.23
2011-10-18,74.53,79.83,73.72,78.91,8556600,78.44
2011-10-17,73.60,75.58,72.54,74.44,11415500,73.99
2011-10-14,68.60,70.62,67.93,70.57,3929200,70.15
2011-10-13,66.15,67.56,65.26,67.04,3301700,66.64
2011-10-12,67.67,68.84,67.00,67.31,3956500,66.91
2011-10-11,66.73,68.17,65.90,66.59,4547300,66.19
2011-10-10,66.74,67.68,66.14,67.58,3739600,67.17
2011-10-07,66.83,67.61,64.66,65.12,4747300,64.73
2011-10-06,65.10,66.93,63.52,66.48,7501100,66.08
2011-10-05,62.81,66.03,61.16,65.48,6366000,65.09
2011-10-04,59.43,61.76,57.11,61.56,7400000,61.19
2011-10-03,62.17,63.37,60.35,60.53,6850500,60.17
2011-09-30,65.69,65.93,63.03,63.05,7010900,62.67
2011-09-29,69.63,70.06,65.46,67.15,4666400,66.75
2011-09-28,71.64,72.69,67.52,67.68,3965700,67.27
2011-09-27,71.87,74.25,70.71,71.31,5257000,70.88
2011-09-26,67.15,70.00,65.50,69.81,4153300,69.39
2011-09-23,67.55,68.50,66.05,66.58,4710700,66.18
2011-09-22,69.00,70.11,67.00,68.74,7143500,68.33
2011-09-21,76.23,76.40,72.64,72.72,5011400,72.28
2011-09-20,74.96,77.45,74.15,76.24,6467000,75.78
2011-09-19,72.72,75.04,72.17,74.23,3562400,73.78
2011-09-16,75.14,75.48,73.35,74.77,4435200,74.32
2011-09-15,73.36,74.75,72.71,74.54,3388300,74.09
2011-09-14,71.92,73.11,69.91,72.12,4516100,71.69
2011-09-13,70.66,71.96,69.06,71.35,3561300,70.92
2011-09-12,68.42,70.50,67.99,70.31,3904700,69.89
2011-09-09,70.67,71.58,68.94,69.88,5585600,69.37
2011-09-08,72.27,73.74,71.89,72.29,2847100,71.76
2011-09-07,71.96,73.65,71.63,73.42,3568600,72.89
2011-09-06,67.11,70.60,66.93,70.44,4588800,69.93
2011-09-02,70.06,70.72,68.62,69.71,3495800,69.20
2011-09-01,73.69,74.86,71.97,72.02,4796400,71.50
2011-08-31,73.97,75.73,72.92,73.75,4937200,73.21
2011-08-30,71.44,73.27,70.61,72.65,3550400,72.12
2011-08-29,70.80,71.86,70.28,71.75,2672300,71.23
2011-08-26,67.12,69.68,65.49,69.27,3460100,68.77
2011-08-25,69.14,70.10,67.15,67.49,4027300,67.00
2011-08-24,67.90,70.15,67.47,68.72,5271500,68.22
2011-08-23,66.00,68.86,65.28,68.82,3618200,68.32
2011-08-22,68.11,68.22,65.03,65.43,3777000,64.95
2011-08-19,65.89,69.33,65.73,66.09,5085600,65.61
2011-08-18,70.40,70.64,66.06,66.95,6672000,66.46
2011-08-17,72.59,74.06,71.69,72.78,3436800,72.25
2011-08-16,73.06,73.77,70.77,71.82,3982900,71.30
2011-08-15,72.74,74.68,72.56,74.32,3916100,73.78
2011-08-12,74.26,74.99,70.87,71.71,4444900,71.19
