Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,54.00,54.27,53.83,53.87,1485300,53.87
2011-12-29,53.33,54.33,53.22,54.08,1741000,54.08
2011-12-28,54.41,54.50,53.20,53.26,1257400,53.26
2011-12-27,53.70,54.58,53.26,54.53,859700,54.53
2011-12-23,52.83,53.81,52.56,53.76,1093400,53.76
2011-12-22,52.06,53.02,51.97,52.62,1090000,52.62
2011-12-21,51.81,52.24,51.46,52.15,1838600,52.15
2011-12-20,50.89,51.92,50.77,51.86,1778400,51.86
2011-12-19,50.30,51.16,49.84,50.31,1393900,50.31
2011-12-16,50.14,50.41,49.93,50.15,2991300,50.15
2011-12-15,49.94,50.44,49.91,49.94,1265400,49.94
2011-12-14,49.76,50.14,49.33,49.43,1858600,49.43
2011-12-13,50.92,51.32,49.74,50.04,1838000,50.04
2011-12-12,50.21,50.40,49.70,50.24,1259400,50.24
2011-12-09,49.28,50.44,49.22,50.36,1137500,50.36
2011-12-08,49.41,50.12,48.97,49.09,1405500,49.09
2011-12-07,49.77,50.21,49.45,49.45,1739400,49.45
2011-12-06,49.60,50.35,49.60,50.14,975900,50.14
2011-12-05,50.45,50.58,49.15,49.51,2408100,49.51
2011-12-02,49.20,50.22,49.12,49.89,2147500,49.89
2011-12-01,48.12,49.25,47.54,48.87,1255400,48.87
2011-11-30,48.16,48.67,47.81,48.48,2002700,48.48
2011-11-29,46.23,47.62,45.90,47.12,1921400,47.12
2011-11-28,45.55,46.32,45.43,45.82,1420900,45.82
2011-11-25,44.63,45.28,44.63,44.75,846800,44.75
2011-11-23,44.49,45.34,44.49,44.96,1603400,44.96
2011-11-22,44.65,45.09,44.38,44.89,1857700,44.89
2011-11-21,44.64,45.16,44.31,44.82,2112500,44.82
2011-11-18,45.16,45.57,44.79,44.98,1844000,44.98
2011-11-17,45.96,46.17,44.99,45.24,1139100,45.24
2011-11-16,46.29,47.05,45.97,46.09,1085600,46.09
2011-11-15,46.47,47.14,46.00,46.85,797700,46.85
2011-11-14,47.00,47.43,46.30,46.53,850800,46.53
2011-11-11,46.96,47.55,46.87,47.29,910700,47.29
2011-11-10,46.70,47.74,46.17,46.53,1254200,46.53
2011-11-09,46.83,47.17,45.68,46.14,1540600,46.14
2011-11-08,47.47,48.13,46.66,47.67,1142300,47.67
2011-11-07,47.31,47.68,46.91,47.41,933900,47.41
2011-11-04,47.04,47.50,46.09,47.24,1705800,47.24
2011-11-03,45.70,47.45,45.64,47.31,2167000,47.31
2011-11-02,45.44,45.92,44.54,45.36,4299100,45.36
2011-11-01,46.80,47.14,45.60,45.92,1660000,45.92
2011-10-31,47.67,48.68,47.19,47.35,2259000,47.35
2011-10-28,49.48,49.60,47.76,48.16,2154800,48.16
2011-10-27,48.15,50.02,48.15,49.71,2481600,49.71
2011-10-26,47.09,47.86,45.75,47.59,2198100,47.59
2011-10-25,47.61,48.79,47.30,47.46,2333000,47.46
2011-10-24,47.76,48.50,47.61,48.24,2462000,48.24
2011-10-21,46.85,48.04,46.77,47.64,2160800,47.64
2011-10-20,46.89,48.25,46.11,46.18,3293400,46.18
2011-10-19,46.56,48.85,46.15,46.74,7325600,46.74
2011-10-18,42.33,43.82,41.51,43.33,2243800,43.33
2011-10-17,43.88,44.19,41.85,42.18,1524000,42.18
2011-10-14,43.46,44.45,43.26,43.94,983600,43.94
2011-10-13,44.08,44.11,42.66,43.09,1061600,43.09
2011-10-12,44.15,44.49,43.24,44.11,1626100,44.11
2011-10-11,42.77,43.69,42.37,43.53,1125300,43.53
2011-10-10,43.18,44.02,42.22,42.69,1268600,42.69
2011-10-07,43.19,43.34,42.10,42.72,1121700,42.72
2011-10-06,42.09,43.24,41.38,43.06,1337000,43.06
2011-10-05,40.26,42.89,40.08,42.22,2711500,42.22
2011-10-04,37.80,39.06,37.08,38.91,1919300,38.91
2011-10-03,39.25,39.97,37.90,38.38,1649500,38.38
2011-09-30,40.37,41.36,39.61,39.61,1147500,39.61
2011-09-29,42.58,43.27,39.45,40.96,2445000,40.96
2011-09-28,42.60,42.82,41.71,41.95,1090900,41.95
2011-09-27,42.83,43.18,41.94,42.34,971800,42.34
2011-09-26,41.67,42.29,40.05,42.18,1388900,42.18
2011-09-23,40.38,41.77,40.23,41.35,1554900,41.35
2011-09-22,42.28,42.65,39.54,40.42,3407800,40.42
2011-09-21,45.12,45.23,43.41,43.46,1379000,43.46
2011-09-20,45.90,46.46,44.83,45.18,1376700,45.18
2011-09-19,46.52,46.85,45.03,45.63,1353100,45.63
2011-09-16,47.57,47.78,47.00,47.26,1895000,47.26
2011-09-15,46.55,47.53,46.42,47.45,1237500,47.45
2011-09-14,45.31,46.82,45.31,46.10,1303300,46.10
2011-09-13,45.50,45.76,44.78,45.13,1266800,45.13
2011-09-12,45.03,45.70,44.33,45.34,1390400,45.34
2011-09-09,45.82,46.39,45.38,45.62,1099900,45.62
2011-09-08,46.19,47.18,45.64,46.25,1278800,46.25
2011-09-07,45.49,46.60,45.17,46.42,1630000,46.42
2011-09-06,43.57,45.38,43.50,45.12,1601000,45.12
2011-09-02,45.17,45.29,44.05,44.55,1856600,44.55
2011-09-01,47.00,47.30,45.71,46.07,1540000,46.07
2011-08-31,47.11,47.58,46.29,46.83,1963700,46.83
2011-08-30,45.82,47.38,45.82,47.04,1529600,47.04
2011-08-29,45.23,46.04,45.22,46.02,1282100,46.02
2011-08-26,44.36,45.24,43.52,44.86,1357600,44.86
2011-08-25,46.43,46.73,44.32,44.43,1200600,44.43
2011-08-24,45.37,46.38,45.05,46.27,1552400,46.27
2011-08-23,44.93,45.44,43.92,45.43,2567900,45.43
2011-08-22,45.74,45.80,44.82,44.92,1687300,44.92
2011-08-19,44.79,45.80,44.68,44.93,2007500,44.93
2011-08-18,45.38,46.21,44.99,45.31,2330000,45.31
2011-08-17,47.00,48.19,46.44,46.78,1865100,46.78
2011-08-16,45.36,47.91,44.84,46.99,3365100,46.99
2011-08-15,45.03,45.92,44.89,45.85,1812200,45.85
2011-08-12,43.87,45.32,43.01,44.94,2895900,44.94
2011-08-11,43.84,45.33,43.32,44.82,2314500,44.82
2011-08-10,43.53,44.94,43.32,43.41,2976600,43.41
2011-08-09,43.95,45.10,42.60,45.05,3793800,45.05
2011-08-08,45.19,45.85,43.47,43.48,3856300,43.48
2011-08-05,48.55,48.70,45.25,46.11,4364400,46.11
2011-08-04,49.41,50.59,47.85,47.87,2838600,47.87
2011-08-03,49.36,50.21,49.00,50.03,2009800,50.03
2011-08-02,50.56,51.05,49.96,50.02,1598300,50.02
