Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,79.35,79.35,78.03,78.08,551000,76.71
2011-12-29,79.37,80.15,79.03,79.53,427700,78.14
2011-12-28,80.26,80.39,78.90,79.01,307800,77.63
2011-12-27,79.51,80.59,79.51,80.22,237600,78.82
2011-12-23,79.50,80.00,79.37,79.90,333600,78.50
2011-12-22,78.58,79.82,78.52,79.56,455600,78.17
2011-12-21,78.72,79.19,77.59,78.51,394800,77.14
2011-12-20,77.51,78.87,77.39,78.72,632800,77.34
2011-12-19,76.97,77.36,76.06,76.24,342400,74.91
2011-12-16,77.09,77.56,75.98,76.56,625600,75.22
2011-12-15,75.80,76.80,75.80,76.48,502500,75.14
2011-12-14,75.85,76.20,74.87,75.05,622200,73.74
2011-12-13,76.60,77.65,75.40,75.85,441000,74.52
2011-12-12,76.75,77.11,75.68,76.59,562200,74.94
2011-12-09,76.58,78.34,76.35,77.73,995800,76.05
2011-12-08,76.83,77.08,76.21,76.37,503200,74.72
2011-12-07,76.15,77.52,75.91,77.07,735800,75.41
2011-12-06,77.02,77.35,76.34,76.39,499800,74.74
2011-12-05,77.46,77.90,76.77,77.22,766300,75.55
2011-12-02,76.81,77.42,76.04,76.70,637300,75.04
2011-12-01,76.50,76.88,76.23,76.48,801600,74.83
2011-11-30,75.03,77.10,74.50,76.95,1186100,75.29
2011-11-29,73.36,73.72,72.51,72.81,521800,71.24
2011-11-28,71.49,73.18,71.25,73.06,813100,71.48
2011-11-25,69.71,70.40,69.51,69.71,139500,68.20
2011-11-23,70.33,70.64,69.73,69.97,602600,68.46
2011-11-22,70.02,71.84,69.79,70.79,767400,69.26
2011-11-21,69.85,70.59,69.57,70.28,522000,68.76
2011-11-18,70.47,71.62,70.46,70.94,918200,69.41
2011-11-17,72.42,72.77,69.69,70.03,600200,68.52
2011-11-16,72.40,74.25,72.17,72.66,866400,71.09
2011-11-15,72.48,73.22,71.71,72.84,374500,71.27
2011-11-14,72.62,73.07,72.11,72.68,541400,71.11
2011-11-11,71.83,73.57,71.83,73.11,528000,71.53
2011-11-10,71.10,71.56,69.82,71.34,625700,69.80
2011-11-09,70.53,71.26,69.85,70.05,784400,68.54
2011-11-08,71.77,72.00,70.16,71.98,565400,70.43
2011-11-07,71.04,71.89,70.21,71.79,680600,70.24
2011-11-04,70.58,71.31,69.46,71.19,626800,69.65
2011-11-03,69.78,71.07,69.28,70.84,840700,69.31
2011-11-02,68.71,69.32,68.08,69.14,560600,67.65
2011-11-01,67.05,68.97,66.91,67.48,919400,66.02
2011-10-31,70.52,70.90,68.93,68.95,420200,67.46
2011-10-28,71.10,72.39,70.36,71.43,746700,69.89
2011-10-27,70.98,71.91,68.82,71.22,1167100,69.68
2011-10-26,68.71,69.94,68.01,69.28,1041100,67.78
2011-10-25,69.00,69.49,67.84,67.98,849200,66.51
2011-10-24,69.01,69.57,68.74,69.28,574400,67.78
2011-10-21,68.85,69.01,67.65,69.01,642900,67.52
2011-10-20,67.61,68.42,66.81,67.98,592600,66.51
2011-10-19,68.75,69.03,67.47,67.64,561200,66.18
2011-10-18,67.41,69.25,67.01,68.93,618600,67.44
2011-10-17,68.74,68.89,67.32,67.61,753100,66.15
2011-10-14,68.00,69.05,67.72,69.05,553000,67.56
2011-10-13,67.30,67.87,66.39,67.51,460000,66.05
2011-10-12,67.17,68.20,66.73,67.76,958800,66.30
2011-10-11,67.41,67.50,66.45,66.71,631600,65.27
2011-10-10,67.19,67.94,66.73,67.85,738000,66.39
2011-10-07,66.73,67.15,65.76,66.07,1072600,64.64
2011-10-06,65.13,66.39,64.41,66.24,918900,64.81
2011-10-05,64.22,65.49,63.32,65.29,844200,63.88
2011-10-04,61.78,64.04,61.30,63.97,976600,62.59
2011-10-03,63.53,64.65,62.44,62.47,996700,61.12
