Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,48.02,48.36,47.56,47.80,898700,46.81
2011-12-29,47.51,48.36,47.29,47.94,900900,46.95
2011-12-28,48.49,48.66,46.91,47.36,1008800,46.38
2011-12-27,47.73,49.40,47.40,48.66,869700,47.65
2011-12-23,48.72,48.75,47.67,48.12,838000,47.12
2011-12-22,45.97,48.91,45.92,48.44,1789400,47.44
2011-12-21,45.73,46.64,44.75,45.84,1467300,44.89
2011-12-20,44.22,46.35,44.22,45.71,1780300,44.76
2011-12-19,44.92,45.03,42.64,42.85,982200,41.96
2011-12-16,44.40,45.43,44.05,44.71,1616800,43.78
2011-12-15,44.83,44.96,43.94,44.05,1421600,42.96
2011-12-14,43.97,44.10,42.74,43.71,1937700,42.63
2011-12-13,46.83,47.29,43.93,44.31,1410600,43.22
2011-12-12,47.77,47.77,45.75,46.38,1689700,45.23
2011-12-09,47.44,49.13,47.14,48.88,1270800,47.67
2011-12-08,48.63,49.25,47.02,47.22,1236900,46.05
2011-12-07,49.54,49.79,48.33,49.56,1310700,48.34
2011-12-06,49.79,50.64,48.88,49.89,1401800,48.66
2011-12-05,51.19,51.25,48.98,49.81,2231800,48.58
2011-12-02,50.74,50.84,49.09,49.94,1749000,48.71
2011-12-01,49.93,51.10,49.41,49.91,1352000,48.68
2011-11-30,48.29,50.32,48.29,50.22,2310300,48.98
2011-11-29,46.05,46.75,45.42,45.65,1409200,44.52
2011-11-28,44.89,46.68,44.89,46.04,1556600,44.90
2011-11-25,43.31,44.42,43.11,43.33,967400,42.26
2011-11-23,44.69,44.72,42.50,42.96,2031000,41.90
2011-11-22,45.88,46.38,44.74,45.37,1206100,44.25
2011-11-21,45.95,46.46,44.93,45.94,1656600,44.81
2011-11-18,47.33,47.95,46.26,47.24,1322600,46.07
2011-11-17,48.37,49.22,46.42,46.95,2622100,45.79
2011-11-16,48.60,50.63,48.11,48.36,2287800,47.17
2011-11-15,49.07,50.42,48.02,50.00,2461100,48.77
2011-11-14,49.84,51.00,48.97,49.68,1924000,48.45
2011-11-11,48.77,50.35,48.77,49.99,2266400,48.76
2011-11-10,47.35,48.31,46.42,47.65,1505600,46.47
2011-11-09,48.04,48.13,46.00,46.44,2484800,45.29
2011-11-08,49.99,50.31,48.63,49.85,1191100,48.62
2011-11-07,49.32,50.25,48.13,49.62,2423000,48.39
2011-11-04,47.09,49.92,47.00,49.62,2205400,48.39
2011-11-03,47.26,48.56,45.21,47.79,2367600,46.61
2011-11-02,46.69,46.99,45.63,46.51,2154200,45.36
2011-11-01,43.56,46.47,43.07,45.20,2997700,44.08
2011-10-31,48.80,48.80,46.40,46.40,2547400,45.25
2011-10-28,46.71,50.50,46.29,50.21,3273300,48.97
2011-10-27,46.61,48.75,44.90,46.92,4595000,45.76
2011-10-26,42.94,44.22,41.63,43.66,4198400,42.58
2011-10-25,42.80,42.84,40.06,40.26,2701600,39.27
2011-10-24,40.98,44.06,40.91,42.91,2893200,41.85
2011-10-21,39.42,40.67,39.24,40.56,2340100,39.56
2011-10-20,38.25,38.88,37.07,38.72,2556900,37.76
2011-10-19,39.91,39.96,38.27,38.43,1651200,37.48
2011-10-18,38.37,40.29,37.79,39.92,2308600,38.93
2011-10-17,40.50,40.70,38.43,38.56,1650500,37.61
2011-10-14,41.28,41.57,39.89,40.59,1110700,39.59
2011-10-13,39.13,40.42,38.51,40.04,1656200,39.05
2011-10-12,39.67,40.68,39.26,39.51,2698300,38.53
2011-10-11,38.26,39.63,38.01,39.14,1656500,38.17
2011-10-10,38.45,39.54,38.21,38.99,1884800,38.03
2011-10-07,38.54,38.73,36.45,37.23,2898700,36.31
2011-10-06,35.42,38.32,35.41,38.18,5295600,37.24
2011-10-05,32.88,35.68,31.97,35.40,5026200,34.53
2011-10-04,33.02,33.22,30.79,32.78,7700000,31.97
2011-10-03,36.53,37.23,33.66,33.75,3641100,32.92
2011-09-30,37.96,37.99,36.86,36.99,2273600,36.08
2011-09-29,40.47,41.03,37.55,38.80,4499000,37.84
2011-09-28,41.72,42.28,39.11,39.25,2865000,38.28
2011-09-27,40.50,43.86,40.50,41.62,5040100,40.59
2011-09-26,37.80,39.00,37.11,38.77,2342700,37.81
2011-09-23,36.62,38.50,35.91,37.44,2776400,36.52
2011-09-22,40.26,40.26,35.98,36.87,6628400,35.96
2011-09-21,45.01,45.20,42.30,42.40,2036400,41.35
