Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,17.39,17.58,17.30,17.47,2446200,16.76
2011-12-29,17.23,17.47,17.19,17.44,1783400,16.73
2011-12-28,17.37,17.41,17.13,17.17,1997000,16.47
2011-12-27,17.37,17.50,17.34,17.37,1727500,16.66
2011-12-23,17.12,17.48,17.12,17.48,2495700,16.77
2011-12-22,17.09,17.28,17.07,17.10,4149100,16.40
2011-12-21,16.87,17.18,16.82,17.17,2908100,16.47
2011-12-20,16.66,16.93,16.66,16.90,5363600,16.21
2011-12-19,16.84,16.84,16.42,16.47,3933900,15.80
2011-12-16,16.90,16.90,16.42,16.72,12202400,16.04
2011-12-15,16.96,16.99,16.64,16.73,6139500,16.05
2011-12-14,17.45,17.93,16.94,16.96,20724700,16.27
2011-12-13,16.62,16.70,16.13,16.14,8815800,15.48
2011-12-12,16.52,16.72,16.41,16.53,4335500,15.86
2011-12-09,16.82,16.95,16.58,16.58,6250000,15.91
2011-12-08,17.17,17.17,16.77,16.80,4300700,16.12
2011-12-07,16.94,17.38,16.90,17.30,4187600,16.60
2011-12-06,17.01,17.15,16.84,17.03,4393500,16.34
2011-12-05,16.92,17.11,16.70,17.00,5902000,16.31
2011-12-02,16.87,17.06,16.67,16.67,5167200,15.99
2011-12-01,16.98,17.23,16.73,16.74,5595000,16.06
2011-11-30,17.00,17.11,16.81,17.00,6616900,16.31
2011-11-29,16.50,16.83,16.47,16.58,4429900,15.91
2011-11-28,16.47,16.62,16.32,16.45,4649800,15.78
2011-11-25,16.24,16.34,16.09,16.09,2421800,15.44
2011-11-23,16.49,16.49,16.20,16.36,3832500,15.69
2011-11-22,16.61,16.85,16.51,16.59,3745500,15.91
2011-11-21,16.72,16.93,16.45,16.69,6850700,16.01
2011-11-18,17.14,17.21,16.68,16.84,8148700,16.15
2011-11-17,17.51,17.69,17.02,17.07,8378900,16.38
2011-11-16,17.71,17.82,17.50,17.53,5801500,16.82
2011-11-15,17.82,17.86,17.44,17.61,11133700,16.89
2011-11-14,18.17,18.26,17.75,17.85,6554800,17.12
2011-11-11,18.33,18.40,18.17,18.23,4379200,17.49
2011-11-10,18.54,18.55,18.10,18.13,6701400,17.39
2011-11-09,18.63,18.73,18.42,18.60,5644400,17.62
2011-11-08,18.84,19.04,18.50,19.00,4935900,18.00
2011-11-07,18.55,18.80,18.32,18.72,9531400,17.74
2011-11-04,18.08,18.55,18.07,18.52,12292400,17.55
2011-11-03,18.17,18.42,17.74,18.28,14567100,17.32
2011-11-02,17.96,18.05,17.65,17.84,8329600,16.90
2011-11-01,17.66,17.96,17.55,17.66,8985900,16.73
2011-10-31,18.57,18.75,18.03,18.28,9001700,17.32
2011-10-28,18.76,19.18,18.42,18.87,12138500,17.88
2011-10-27,19.97,20.09,18.51,18.81,31533600,17.82
2011-10-26,23.49,23.60,22.85,23.01,6524000,21.80
2011-10-25,23.80,23.82,23.03,23.06,3419600,21.85
2011-10-24,23.40,23.94,23.25,23.85,3799000,22.60
2011-10-21,22.75,23.44,22.75,23.44,4212500,22.21
2011-10-20,22.48,22.70,22.13,22.61,2917300,21.42
2011-10-19,22.61,22.86,22.46,22.48,3830500,21.30
2011-10-18,22.03,22.84,21.73,22.57,5430000,21.38
2011-10-17,22.23,22.26,21.82,22.06,3383900,20.90
2011-10-14,22.23,22.49,22.01,22.30,3246600,21.13
2011-10-13,22.32,22.32,21.65,21.99,4277400,20.83
2011-10-12,21.45,22.10,21.36,21.88,4381700,20.73
2011-10-11,20.71,21.35,20.68,21.32,4569400,20.20
2011-10-10,20.18,20.86,20.17,20.86,3551800,19.76
2011-10-07,20.51,20.58,19.67,19.82,4021300,18.78
2011-10-06,19.60,20.42,19.47,20.42,3391000,19.35
2011-10-05,19.34,19.71,19.15,19.67,3597500,18.64
2011-10-04,18.63,19.29,18.17,19.26,5600000,18.25
2011-10-03,19.36,19.64,18.96,18.97,4307600,17.97
2011-09-30,19.55,20.03,19.51,19.60,3722500,18.57
2011-09-29,19.96,20.25,19.51,19.83,3976200,18.79
2011-09-28,20.51,20.52,19.50,19.61,5008200,18.58
2011-09-27,20.76,20.96,20.31,20.45,3929600,19.38
2011-09-26,20.22,20.30,19.74,20.25,2654900,19.19
2011-09-23,19.84,20.12,19.60,19.94,4516800,18.89
2011-09-22,20.23,20.46,19.87,19.98,7768700,18.93
2011-09-21,21.70,21.75,20.85,21.01,5354200,19.91
2011-09-20,21.79,22.25,21.66,21.73,3840000,20.59
2011-09-19,21.71,21.73,21.32,21.61,2439100,20.47
2011-09-16,21.81,22.12,21.64,22.10,3713200,20.94
2011-09-15,21.69,21.75,21.36,21.61,4490100,20.47
2011-09-14,21.33,21.69,20.91,21.36,6587100,20.24
2011-09-13,21.22,21.41,21.05,21.34,4573300,20.22
2011-09-12,20.88,21.25,20.80,21.20,5092000,20.09
2011-09-09,21.58,21.62,21.00,21.10,4055000,19.99
2011-09-08,21.93,22.27,21.63,21.65,2216200,20.51
2011-09-07,21.58,22.10,21.58,22.10,2472200,20.94
2011-09-06,20.87,21.36,20.87,21.24,3361700,20.12
2011-09-02,21.76,21.92,21.43,21.48,2628900,20.35
2011-09-01,22.49,22.76,22.11,22.12,2622600,20.96
2011-08-31,22.42,22.77,22.30,22.56,3403600,21.37
2011-08-30,21.95,22.43,21.58,22.28,3490100,21.11
2011-08-29,21.98,22.26,21.71,22.04,4440400,20.88
2011-08-26,21.14,21.83,20.82,21.68,2963900,20.54
2011-08-25,21.83,21.93,21.29,21.37,4078200,20.25
2011-08-24,21.27,21.75,21.15,21.73,5004000,20.59
2011-08-23,20.64,21.37,20.64,21.36,4010900,20.24
2011-08-22,20.98,21.10,20.56,20.65,3562300,19.56
2011-08-19,20.70,21.22,20.51,20.53,5238000,19.45
2011-08-18,21.16,21.33,20.71,20.96,5758800,19.86
2011-08-17,21.91,22.25,21.70,21.74,4566800,20.60
2011-08-16,21.60,22.03,21.49,21.80,4549300,20.65
2011-08-15,21.21,21.81,21.00,21.78,4258200,20.64
2011-08-12,21.29,21.65,21.04,21.12,6879900,20.01
2011-08-11,20.29,21.26,20.25,21.00,7750300,19.90
2011-08-10,21.17,21.56,20.44,20.48,8772300,19.19
2011-08-09,21.01,21.68,20.30,21.63,8816400,20.26
2011-08-08,22.42,22.75,20.76,20.76,8537300,19.45
2011-08-05,23.32,23.66,22.60,23.21,8753900,21.74
2011-08-04,24.42,24.54,22.77,22.88,7990900,21.43
2011-08-03,25.09,25.10,24.40,24.60,6372100,23.05
2011-08-02,25.70,25.77,25.10,25.11,4020100,23.52
2011-08-01,26.39,26.40,25.59,25.85,3492400,24.22
2011-07-29,26.50,26.68,26.00,26.23,3621300,24.57
2011-07-28,27.59,27.59,26.62,26.65,6615700,24.97
2011-07-27,28.04,28.26,27.67,27.74,3155200,25.99
2011-07-26,28.22,28.63,28.19,28.24,2454200,26.46
2011-07-25,28.42,28.43,28.06,28.09,2149000,26.31
2011-07-22,28.85,28.96,28.62,28.69,2019400,26.88
2011-07-21,28.67,28.93,28.50,28.90,2436400,27.07
2011-07-20,28.51,28.63,28.30,28.50,3461000,26.70
2011-07-19,27.94,28.46,27.83,28.45,2933700,26.65
2011-07-18,27.99,27.99,27.59,27.90,3097000,26.14
2011-07-15,28.06,28.20,27.60,28.11,3738700,26.33
2011-07-14,28.17,28.18,27.84,27.94,2833700,26.17
2011-07-13,28.17,28.43,27.99,28.12,1637900,26.34
2011-07-12,28.24,28.37,28.00,28.01,2178900,26.24
2011-07-11,28.33,28.74,28.02,28.21,2486300,26.43
2011-07-08,28.43,28.75,28.40,28.53,2280700,26.73
2011-07-07,28.52,28.88,28.27,28.74,4291700,26.92
2011-07-06,27.74,27.82,27.36,27.42,3711400,25.69
2011-07-05,28.03,28.07,27.68,27.72,2720000,25.97
2011-07-01,27.90,28.10,27.80,27.98,2785100,26.21
2011-06-30,27.81,28.04,27.73,28.00,3008400,26.23
2011-06-29,27.80,27.99,27.71,27.77,2489800,26.02
2011-06-28,27.55,27.83,27.48,27.76,1704700,26.01
2011-06-27,27.42,27.62,27.39,27.45,2425600,25.72
2011-06-24,27.62,27.68,27.27,27.53,2289100,25.79
2011-06-23,27.43,27.74,27.01,27.68,3210700,25.93
2011-06-22,28.14,28.25,27.79,27.82,2263700,26.06
2011-06-21,27.72,28.29,27.68,28.27,3043700,26.48
2011-06-20,27.40,27.65,27.31,27.61,2319900,25.87
2011-06-17,27.41,27.58,27.29,27.36,2570900,25.63
2011-06-16,27.35,27.43,27.04,27.22,4633200,25.50
2011-06-15,27.79,27.85,27.26,27.32,2686100,25.59
2011-06-14,27.87,28.05,27.71,27.92,2564500,26.16
2011-06-13,27.55,27.72,27.32,27.55,2441800,25.81
2011-06-10,27.63,27.72,27.36,27.36,3162300,25.63
2011-06-09,27.74,27.82,27.56,27.67,2759400,25.92
2011-06-08,27.83,27.90,27.56,27.62,2654300,25.87
2011-06-07,28.13,28.21,27.91,27.92,2841400,26.16
2011-06-06,28.14,28.28,27.85,28.05,3487700,26.28
2011-06-03,28.45,28.66,28.20,28.26,2539200,26.47
2011-06-02,29.20,29.24,28.53,28.83,2568500,27.01
2011-06-01,29.71,29.71,29.26,29.30,2385400,27.45
2011-05-31,29.45,29.78,29.43,29.71,2281800,27.83
2011-05-27,29.26,29.49,29.11,29.26,1465600,27.41
2011-05-26,29.05,29.28,28.97,29.13,2862200,27.29
2011-05-25,29.15,29.74,29.07,29.15,3985800,27.31
2011-05-24,29.80,30.17,29.76,29.98,3444700,28.09
2011-05-23,29.73,29.80,29.51,29.72,2877200,27.84
