Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,28.76,28.82,28.43,28.68,688200,27.68
2011-12-29,28.49,28.80,28.30,28.77,596900,27.77
2011-12-28,28.65,28.65,28.28,28.39,1091200,27.40
2011-12-27,28.47,28.73,28.39,28.62,496200,27.62
2011-12-23,28.57,28.66,28.26,28.64,566800,27.64
2011-12-22,28.05,28.44,27.99,28.35,801700,27.36
2011-12-21,27.90,28.05,27.43,27.95,821900,26.97
2011-12-20,27.39,27.98,27.39,27.91,923700,26.94
2011-12-19,27.69,27.83,26.68,26.80,1033600,25.86
2011-12-16,27.56,27.99,27.23,27.47,3863200,26.51
2011-12-15,27.52,27.55,27.12,27.28,1062600,26.33
2011-12-14,27.31,27.63,26.90,27.12,1322000,26.17
2011-12-13,28.24,28.49,27.24,27.44,1511800,26.48
2011-12-12,28.09,28.15,27.34,28.06,1682900,27.08
2011-12-09,27.28,28.71,27.26,28.56,1612400,27.56
2011-12-08,27.54,27.60,27.02,27.10,1298800,26.15
2011-12-07,27.54,27.96,27.19,27.82,1084000,26.85
2011-12-06,27.40,27.94,27.07,27.72,1397400,26.75
2011-12-05,26.96,27.38,26.84,27.30,1911000,26.35
2011-12-02,27.28,27.38,26.65,26.97,2183200,25.79
2011-12-01,26.25,27.05,26.25,26.90,1270900,25.72
2011-11-30,26.03,26.22,25.67,26.21,1909000,25.06
2011-11-29,25.04,25.53,24.84,25.29,932800,24.18
2011-11-28,25.10,25.20,24.70,24.90,866900,23.81
2011-11-25,23.98,24.73,23.98,24.25,486900,23.19
2011-11-23,24.61,24.66,24.01,24.08,918600,23.02
2011-11-22,25.17,25.19,24.71,24.87,799000,23.78
2011-11-21,25.60,25.62,24.97,25.22,1070300,24.11
2011-11-18,26.20,26.28,25.80,26.05,680800,24.91
2011-11-17,26.39,26.46,25.86,26.06,1064800,24.92
2011-11-16,26.79,26.99,26.39,26.42,1016700,25.26
2011-11-15,26.44,27.16,26.19,27.03,1460100,25.84
2011-11-14,25.77,26.63,25.64,26.54,3126500,25.38
2011-11-11,26.05,26.20,25.86,26.03,1412900,24.89
2011-11-10,25.79,25.94,25.29,25.63,1113500,24.51
2011-11-09,25.84,25.98,25.30,25.43,1125800,24.31
