Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,324.88,329.40,324.24,324.97,225900,324.97
2011-12-29,328.59,329.31,325.40,326.25,161000,326.25
2011-12-28,329.69,332.00,327.39,328.22,191300,328.22
2011-12-27,330.60,331.48,329.42,330.25,374600,330.25
2011-12-23,330.07,331.17,327.99,330.30,211700,330.30
2011-12-22,330.75,331.05,327.85,329.00,272900,329.00
2011-12-21,324.94,331.69,324.94,330.00,369500,330.00
2011-12-20,325.16,327.09,324.22,325.29,673400,325.29
2011-12-19,325.68,327.01,323.92,324.96,253800,324.96
2011-12-16,328.96,330.46,325.94,326.00,392000,326.00
2011-12-15,325.32,330.04,323.70,327.32,293900,327.32
2011-12-14,325.61,326.00,322.42,324.32,208900,324.32
2011-12-13,332.46,334.63,324.33,326.10,243200,326.10
2011-12-12,324.98,332.39,324.97,330.89,344600,330.89
2011-12-09,329.70,332.30,329.22,329.82,608200,329.82
2011-12-08,333.58,334.20,329.10,329.67,263400,329.67
2011-12-07,337.75,338.27,333.37,333.86,391600,333.86
2011-12-06,341.06,343.90,332.87,337.81,498500,337.81
2011-12-05,334.54,339.44,332.01,338.97,296400,338.97
2011-12-02,337.00,339.00,330.22,330.22,207700,330.22
2011-12-01,329.01,336.33,329.01,335.30,249000,335.30
2011-11-30,325.74,330.70,325.74,328.38,281900,328.38
2011-11-29,319.14,324.46,318.75,323.43,175600,323.43
2011-11-28,326.23,329.28,318.33,319.51,272000,319.51
2011-11-25,316.59,322.96,315.26,322.96,151600,322.96
2011-11-23,319.32,320.72,316.60,318.06,183900,318.06
2011-11-22,324.41,325.05,320.29,320.82,264600,320.82
2011-11-21,327.48,328.72,323.47,325.33,209400,325.33
2011-11-18,329.65,331.14,327.64,329.40,137800,329.40
2011-11-17,331.59,332.63,327.21,328.32,154900,328.32
2011-11-16,336.04,337.40,331.24,332.04,134800,332.04
2011-11-15,336.48,338.26,334.79,337.15,165700,337.15
2011-11-14,337.85,341.89,335.63,336.23,202400,336.23
2011-11-11,332.10,337.96,330.48,337.66,230200,337.66
2011-11-10,327.61,331.21,327.00,330.71,233500,330.71
2011-11-09,330.00,332.88,325.01,325.64,277400,325.64
2011-11-08,326.37,334.00,326.37,333.79,300900,333.79
2011-11-07,323.97,327.60,323.84,327.11,139800,327.11
2011-11-04,324.67,326.24,322.31,325.00,300600,325.00
2011-11-03,325.61,326.32,321.58,324.66,355600,324.66
2011-11-02,327.51,327.62,323.77,324.44,389100,324.44
2011-11-01,318.58,329.35,317.31,325.67,491200,325.67
2011-10-31,326.01,328.51,323.59,323.59,399800,323.59
2011-10-28,330.61,331.64,326.03,327.82,245800,327.82
2011-10-27,333.09,333.75,329.51,330.73,456200,330.73
2011-10-26,333.78,333.78,325.84,327.79,304200,327.79
2011-10-25,330.09,332.92,327.40,327.93,333600,327.93
2011-10-24,328.00,330.89,327.39,330.19,452900,330.19
2011-10-21,331.32,331.64,327.11,327.50,384600,327.50
2011-10-20,327.03,328.61,325.18,326.95,346600,326.95
2011-10-19,326.03,327.41,323.73,324.99,509500,324.99
2011-10-18,326.30,327.31,324.53,326.03,489900,326.03
2011-10-17,325.75,331.43,325.74,327.00,334400,327.00
2011-10-14,329.00,330.00,326.77,328.12,336400,328.12
2011-10-13,327.14,328.76,325.00,326.56,359900,326.56
2011-10-12,328.09,329.95,323.74,327.66,427500,327.66
