Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,34.93,35.51,34.82,34.93,1381200,34.58
2011-12-29,34.14,35.13,34.03,35.06,1909300,34.71
2011-12-28,35.25,35.35,34.02,34.11,1835900,33.77
2011-12-27,35.19,35.57,35.16,35.25,1398300,34.90
2011-12-23,34.84,35.38,34.69,35.36,1385500,35.01
2011-12-22,33.91,35.04,33.91,34.84,1885900,34.50
2011-12-21,34.43,34.65,33.85,34.36,2683300,34.02
2011-12-20,33.99,34.78,33.95,34.58,3671600,34.24
2011-12-19,33.63,33.95,33.14,33.23,3565300,32.90
2011-12-16,33.73,34.24,33.26,33.46,3122800,33.13
2011-12-15,33.53,33.78,33.19,33.45,3202700,33.12
2011-12-14,33.00,33.45,32.51,32.93,3274500,32.60
2011-12-13,34.06,34.40,32.97,33.15,3051500,32.82
2011-12-12,34.81,34.92,33.34,33.73,3912900,33.40
2011-12-09,34.85,35.48,34.45,35.33,2542500,34.98
2011-12-08,36.23,36.39,34.32,34.42,4322600,34.08
2011-12-07,36.67,37.00,35.61,36.66,3017900,36.30
2011-12-06,37.13,37.35,36.48,36.98,2483400,36.61
2011-12-05,37.53,37.88,36.77,37.06,3272700,36.69
2011-12-02,38.39,38.58,36.67,36.76,3494500,36.40
2011-12-01,37.30,38.38,37.05,37.82,3179200,37.45
2011-11-30,36.58,37.69,36.53,37.50,3346700,37.13
2011-11-29,35.37,35.64,34.85,35.02,2820200,34.67
2011-11-28,35.13,35.88,34.72,35.16,3078000,34.81
2011-11-25,33.42,34.38,33.22,33.83,2286300,33.50
2011-11-23,35.01,35.12,33.60,33.60,4256400,33.27
2011-11-22,35.62,36.12,35.04,35.58,2653300,35.23
2011-11-21,35.81,35.99,34.88,35.79,4004900,35.44
2011-11-18,37.50,37.50,36.61,36.81,3807900,36.45
2011-11-17,38.34,38.56,36.90,37.21,4500800,36.84
2011-11-16,37.34,39.39,37.19,38.58,8279100,38.20
2011-11-15,37.96,38.57,37.21,38.25,4189300,37.87
2011-11-14,37.13,37.81,37.00,37.55,2608000,37.18
2011-11-11,37.60,38.20,37.21,37.46,3916500,37.09
2011-11-10,36.90,37.49,36.38,36.86,3815200,36.50
2011-11-09,37.41,37.64,35.69,36.07,6587800,35.71
2011-11-08,38.02,38.79,37.55,38.75,3594200,38.37
2011-11-07,36.80,37.85,36.45,37.74,3927800,37.37
2011-11-04,36.57,37.06,35.82,36.91,3163600,36.54
2011-11-03,36.81,37.45,36.04,37.13,4647700,36.76
2011-11-02,35.82,36.55,35.50,36.16,4039600,35.80
2011-11-01,35.24,36.06,34.66,35.29,7594200,34.94
2011-10-31,39.85,39.97,37.07,37.07,7473900,36.70
2011-10-28,39.84,41.05,39.70,40.89,6317400,40.49
2011-10-27,37.80,40.40,37.06,40.00,8921900,39.60
2011-10-26,35.98,36.06,34.83,35.79,6226900,35.44
2011-10-25,36.95,37.39,35.82,35.93,5272600,35.57
2011-10-24,35.59,37.73,35.44,37.54,6109300,37.17
2011-10-21,34.28,35.44,34.21,35.27,4310200,34.92
2011-10-20,33.13,33.85,32.48,33.73,4820100,33.40
2011-10-19,33.31,33.81,32.84,32.99,3493100,32.66
2011-10-18,33.03,33.72,32.14,33.48,6051600,33.15
2011-10-17,33.02,33.46,32.76,33.07,4999200,32.74
2011-10-14,33.16,33.55,33.02,33.34,5820500,33.01
2011-10-13,33.33,33.41,31.89,32.47,8445300,32.15
2011-10-12,34.21,34.58,33.40,33.78,7601400,33.45
2011-10-11,32.87,34.11,32.56,33.93,3915600,33.59
2011-10-10,32.14,33.45,32.02,33.31,3855000,32.98
2011-10-07,32.30,32.64,30.43,31.37,8089600,31.06
2011-10-06,31.97,33.56,31.45,33.54,5007200,33.21
2011-10-05,31.13,32.17,30.70,32.12,4909500,31.80
2011-10-04,28.87,31.03,28.67,31.01,5400000,30.70
2011-10-03,30.90,31.04,29.38,29.40,5196900,29.11
2011-09-30,31.83,32.16,31.05,31.25,4196200,30.94
2011-09-29,32.50,32.89,31.36,32.52,4770700,32.20
2011-09-28,33.65,33.70,31.58,31.64,4643200,31.33
2011-09-27,33.41,34.56,33.15,33.56,4764300,33.23
2011-09-26,32.04,32.52,31.37,32.39,5482000,32.07
2011-09-23,31.00,32.22,30.83,31.68,4342900,31.37
2011-09-22,31.09,31.59,30.73,31.29,6316600,30.98
2011-09-21,35.09,35.10,32.19,32.25,8347300,31.93
2011-09-20,35.35,36.49,35.04,35.05,4309200,34.70
2011-09-19,35.41,35.41,33.92,34.96,5956300,34.61
2011-09-16,37.19,37.41,35.72,36.36,5001800,36.00
2011-09-15,37.12,37.23,36.08,37.04,4867300,36.67
2011-09-14,35.12,37.24,34.63,36.58,6879200,36.22
2011-09-13,33.52,35.00,33.39,34.78,5494600,34.44
2011-09-12,32.68,33.54,32.08,33.41,5290300,33.08
2011-09-09,33.65,34.53,33.04,33.36,4476800,33.03
2011-09-08,35.41,35.51,33.89,34.14,6198900,33.80
2011-09-07,34.43,35.90,34.42,35.69,6352400,35.34
2011-09-06,32.79,34.04,32.15,33.92,7563100,33.58
2011-09-02,34.90,35.08,33.99,34.40,5670000,34.06
2011-09-01,36.80,37.35,35.67,35.84,4857800,35.49
2011-08-31,36.76,38.06,36.45,36.87,5399600,36.50
2011-08-30,36.48,37.08,35.88,36.62,3897500,36.26
2011-08-29,35.44,36.86,35.25,36.72,7728800,36.36
2011-08-26,32.64,34.95,32.11,34.87,7350000,34.52
2011-08-25,33.43,33.88,32.56,33.03,6785600,32.70
2011-08-24,31.86,33.13,31.56,33.08,5674800,32.75
2011-08-23,30.73,32.24,30.22,31.86,8532100,31.54
2011-08-22,31.99,32.20,30.42,30.50,6803800,30.20
2011-08-19,31.74,32.76,31.03,31.08,6063300,30.77
2011-08-18,34.59,34.61,32.00,32.23,7357200,31.91
2011-08-17,36.87,37.25,35.18,35.80,4705500,35.45
2011-08-16,36.97,38.13,36.03,36.63,7709000,36.27
2011-08-15,36.72,37.57,36.44,37.50,6493800,37.13
2011-08-12,34.95,36.94,34.41,36.21,9430600,35.85
2011-08-11,32.12,34.98,31.86,34.51,8069900,34.17
2011-08-10,33.32,33.75,31.78,31.85,10161300,31.53
2011-08-09,33.27,34.24,32.10,34.21,8170700,33.87
2011-08-08,35.45,35.93,32.36,32.56,9480700,32.24
