Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,49.68,49.87,49.43,49.48,1482600,48.16
2011-12-29,49.47,49.86,49.28,49.79,1861600,48.46
2011-12-28,49.59,49.60,49.00,49.37,2631300,48.05
2011-12-27,49.84,49.87,49.42,49.52,2286000,48.19
2011-12-23,49.98,50.05,49.68,50.05,2013800,48.71
2011-12-22,49.50,49.90,49.37,49.76,2405300,48.43
2011-12-21,49.01,49.55,48.91,49.47,3332700,48.15
2011-12-20,47.81,49.04,47.70,48.97,2596800,47.66
2011-12-19,48.51,48.58,47.55,47.65,2793000,46.37
2011-12-16,48.67,48.80,47.96,48.08,5035100,46.79
2011-12-15,48.48,49.06,48.28,48.36,3701000,47.07
2011-12-14,49.19,49.28,48.34,48.41,4625700,47.11
2011-12-13,49.80,50.06,49.19,49.30,5158900,47.98
2011-12-12,50.29,50.32,49.49,49.76,3384200,48.43
2011-12-09,49.79,50.57,49.73,50.37,2941600,49.02
2011-12-08,50.50,50.66,49.39,49.48,4333600,48.16
2011-12-07,51.17,51.17,50.46,50.74,4611400,49.38
2011-12-06,51.75,52.00,51.36,51.69,2814900,49.98
2011-12-05,52.18,52.67,51.21,51.61,3168700,49.90
2011-12-02,52.49,52.78,51.24,51.46,3455100,49.76
2011-12-01,51.52,52.42,51.48,52.13,4054300,50.41
2011-11-30,51.08,51.72,50.54,51.66,5123800,49.95
2011-11-29,49.14,49.74,49.04,49.42,4684000,47.79
2011-11-28,48.35,49.39,48.35,49.03,3267900,47.41
2011-11-25,47.69,48.27,47.69,47.72,1128600,46.14
2011-11-23,48.31,48.32,47.83,47.83,4265700,46.25
2011-11-22,49.19,49.38,48.62,48.69,4447800,47.08
2011-11-21,49.72,50.29,49.10,49.10,6072000,47.48
2011-11-18,51.23,51.46,50.27,50.42,8449200,48.75
2011-11-17,53.49,53.84,51.13,51.36,7426500,49.66
2011-11-16,54.21,54.90,53.70,53.93,3404700,52.15
2011-11-15,53.98,54.78,53.93,54.57,3196200,52.77
