Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,58.69,58.84,57.97,57.97,1539900,57.97
2011-12-29,57.92,58.63,57.78,58.62,1524800,58.62
2011-12-28,57.82,58.16,57.41,57.88,2497100,57.88
2011-12-27,57.58,57.83,57.08,57.64,3901800,57.64
2011-12-23,57.83,57.85,56.95,57.46,3283100,57.46
2011-12-22,59.12,59.12,56.72,57.58,8457900,57.58
2011-12-21,61.95,62.41,60.57,61.43,3114300,61.43
2011-12-20,61.14,62.27,61.14,61.55,2803900,61.55
2011-12-19,61.13,61.81,60.54,60.68,2135300,60.68
2011-12-16,61.67,62.34,60.95,61.22,3653800,61.22
2011-12-15,60.99,61.69,60.45,61.17,1526900,61.17
2011-12-14,61.08,61.14,60.15,60.66,1586200,60.66
2011-12-13,62.77,62.77,60.82,61.13,1394800,61.13
2011-12-12,62.92,62.92,61.96,62.46,1621800,62.46
2011-12-09,62.38,63.38,62.20,63.22,1406200,63.22
2011-12-08,62.30,62.72,61.88,61.97,2460200,61.97
2011-12-07,61.65,63.13,61.53,62.83,2100200,62.83
2011-12-06,62.36,62.57,61.61,61.88,1198600,61.88
2011-12-05,61.70,62.25,61.33,62.20,1835200,62.20
2011-12-02,60.73,61.25,60.59,60.81,1354900,60.81
2011-12-01,60.27,61.03,60.03,60.11,2132100,60.11
2011-11-30,61.19,61.37,59.75,60.51,3080300,60.51
2011-11-29,59.64,60.24,59.23,59.69,1942500,59.69
2011-11-28,59.37,60.65,59.18,59.50,2995000,59.50
2011-11-25,58.10,58.74,57.89,57.90,554200,57.90
2011-11-23,58.12,59.12,58.02,58.19,1542500,58.19
2011-11-22,59.20,59.67,58.57,58.62,1807300,58.62
2011-11-21,59.20,59.66,58.29,59.20,1238800,59.20
2011-11-18,60.13,60.31,59.46,59.99,1817000,59.99
2011-11-17,60.74,61.59,59.70,60.17,2489700,60.17
2011-11-16,61.19,61.72,60.37,60.61,1610500,60.61
2011-11-15,61.04,61.92,60.93,61.59,1899000,61.59
2011-11-14,61.72,62.13,60.90,61.24,1533300,61.24
2011-11-11,60.43,62.08,60.26,61.92,1871500,61.92
2011-11-10,62.26,62.26,59.21,59.74,4266700,59.74
2011-11-09,62.42,62.98,61.13,61.47,1957100,61.47
2011-11-08,63.27,63.83,62.30,63.44,1807200,63.44
2011-11-07,62.20,62.98,61.47,62.96,1714400,62.96
2011-11-04,61.53,62.13,61.09,62.03,1187800,62.03
2011-11-03,62.26,62.33,61.08,61.99,2356500,61.99
2011-11-02,62.22,62.38,61.24,61.90,1708400,61.90
2011-11-01,60.60,62.50,60.33,61.52,3361200,61.52
2011-10-31,60.56,62.63,60.56,61.84,3539900,61.84
2011-10-28,62.49,62.97,60.42,61.15,2855800,61.15
2011-10-27,62.35,63.30,61.81,62.77,2129100,62.77
2011-10-26,61.64,61.71,59.87,60.94,2284700,60.94
2011-10-25,61.99,62.20,60.93,61.02,2472500,61.02
2011-10-24,62.00,62.71,61.58,62.23,2729700,62.23
2011-10-21,60.64,62.00,60.44,61.81,3509000,61.81
2011-10-20,60.20,60.65,58.98,59.71,2612000,59.71
2011-10-19,60.97,61.61,60.01,60.18,1944100,60.18
2011-10-18,60.52,61.45,59.79,60.99,2346700,60.99
2011-10-17,61.07,61.69,60.25,60.25,2694700,60.25
2011-10-14,60.70,61.23,60.01,61.17,2781600,61.17
2011-10-13,59.59,60.38,59.07,59.79,2023100,59.79
2011-10-12,60.04,60.57,59.52,59.68,2235900,59.68
2011-10-11,58.50,59.56,58.19,59.46,2462500,59.46
2011-10-10,57.97,59.00,57.75,58.88,1794000,58.88
2011-10-07,57.55,57.98,56.84,57.13,1880500,57.13
2011-10-06,55.71,57.49,55.23,57.49,3073500,57.49
2011-10-05,55.66,55.80,54.48,55.69,3515700,55.69
2011-10-04,54.07,55.51,53.15,55.45,4417400,55.45
2011-10-03,56.84,57.34,54.71,55.26,3010100,55.26
2011-09-30,58.64,58.98,57.30,57.31,2548000,57.31
2011-09-29,59.71,60.25,57.59,59.39,4615000,59.39
2011-09-28,59.58,60.06,58.70,58.81,2635900,58.81
2011-09-27,59.88,60.12,59.14,59.43,2908300,59.43
2011-09-26,57.90,59.05,57.48,59.04,3730000,59.04
2011-09-23,57.23,58.03,56.62,57.22,3230900,57.22
2011-09-22,56.67,59.19,56.48,57.84,7141000,57.84
2011-09-21,59.09,59.42,57.48,57.48,4685000,57.48
2011-09-20,60.00,60.29,58.88,58.94,3709900,58.94
2011-09-19,59.78,60.41,59.27,59.86,3574000,59.86
2011-09-16,59.65,60.91,59.30,59.94,4522300,59.94
2011-09-15,59.98,60.00,58.67,59.36,2903800,59.36
2011-09-14,59.34,60.00,57.86,59.37,3064900,59.37
2011-09-13,58.22,59.59,57.66,59.21,2909900,59.21
2011-09-12,55.40,58.08,55.39,58.01,2985400,58.01
2011-09-09,56.69,57.36,55.87,56.29,2337700,56.29
2011-09-08,57.93,58.23,57.08,57.40,2459600,57.40
2011-09-07,57.31,58.30,57.31,58.24,2935600,58.24
2011-09-06,55.01,56.71,54.78,56.61,3018300,56.61
2011-09-02,56.09,57.10,55.87,56.44,3147000,56.44
2011-09-01,57.22,58.30,56.76,57.13,3332200,57.13
2011-08-31,57.35,57.79,56.34,56.86,2798000,56.86
2011-08-30,56.74,57.94,56.51,57.16,2951700,57.16
2011-08-29,55.45,57.01,55.26,56.99,2660200,56.99
2011-08-26,52.97,55.28,52.52,54.90,2219600,54.90
2011-08-25,54.13,54.71,53.06,53.19,1942500,53.19
2011-08-24,53.36,54.46,52.93,53.70,2129300,53.70
2011-08-23,51.82,53.37,51.40,53.32,1901300,53.32
2011-08-22,51.70,52.02,50.92,51.66,2022700,51.66
2011-08-19,50.33,52.14,50.27,50.64,2331200,50.64
2011-08-18,51.91,52.13,50.52,51.01,2798200,51.01
2011-08-17,54.05,54.55,52.77,53.33,1697700,53.33
2011-08-16,54.14,54.45,53.40,54.01,2597800,54.01
2011-08-15,54.94,55.27,53.75,54.60,1877900,54.60
2011-08-12,53.60,54.48,52.74,54.43,3084800,54.43
2011-08-11,50.51,53.63,50.17,52.98,3835700,52.98
2011-08-10,51.41,51.55,49.80,50.06,5101700,50.06
2011-08-09,50.62,52.64,49.47,52.55,4781800,52.55
2011-08-08,51.25,52.16,48.75,49.73,5796300,49.73
2011-08-05,53.54,53.75,51.00,52.90,4477400,52.90
2011-08-04,53.63,54.15,52.79,52.85,4321700,52.85
2011-08-03,55.01,55.07,53.59,54.25,5327200,54.25
2011-08-02,56.84,57.51,54.91,54.94,3020800,54.94
2011-08-01,58.85,58.97,56.36,57.29,3332600,57.29
2011-07-29,57.40,58.84,56.83,58.49,2377600,58.49
2011-07-28,57.84,58.70,57.59,57.71,1649900,57.71
2011-07-27,59.26,59.56,57.72,57.84,2579300,57.84
2011-07-26,59.23,59.82,59.13,59.52,1706700,59.52
2011-07-25,59.23,59.72,59.13,59.36,1217500,59.36
2011-07-22,59.49,59.89,59.37,59.70,1014000,59.70
2011-07-21,59.34,60.20,59.30,59.48,1504000,59.48
2011-07-20,59.49,59.78,58.84,59.02,1636100,59.02
2011-07-19,59.60,60.15,59.25,59.55,2348100,59.55
2011-07-18,58.26,59.20,58.00,59.17,2944000,59.17
2011-07-15,59.04,59.23,58.06,58.66,1927000,58.66
2011-07-14,59.61,60.25,58.64,58.81,1984100,58.81
2011-07-13,59.64,59.93,59.27,59.44,2333100,59.44
2011-07-12,59.47,59.86,59.13,59.13,1915500,59.13
2011-07-11,59.49,59.86,58.98,59.35,1500300,59.35
2011-07-08,59.64,60.16,59.35,60.14,1626100,60.14
2011-07-07,59.74,60.55,59.73,60.31,1886200,60.31
2011-07-06,59.24,59.49,58.93,59.10,2481800,59.10
2011-07-05,59.49,59.50,58.99,59.30,2412200,59.30
2011-07-01,58.48,59.53,58.40,59.39,2231300,59.39
2011-06-30,58.05,58.62,58.02,58.37,1665600,58.37
2011-06-29,58.00,58.23,57.70,58.01,3095000,58.01
2011-06-28,56.72,58.17,56.62,58.02,2905600,58.02
2011-06-27,56.39,57.11,56.23,56.46,2283800,56.46
2011-06-24,56.82,57.63,56.15,56.59,5463200,56.59
2011-06-23,55.23,57.00,54.77,56.93,8792800,56.93
2011-06-22,53.80,54.47,53.57,54.06,3699100,54.06
2011-06-21,53.15,54.35,53.04,54.06,3528600,54.06
2011-06-20,52.00,52.80,51.83,52.59,3215900,52.59
2011-06-17,53.00,53.13,51.98,51.99,6193800,51.99
2011-06-16,52.99,53.24,52.47,52.86,3589300,52.86
2011-06-15,53.85,53.89,52.35,52.91,3238000,52.91
2011-06-14,53.65,54.89,53.65,54.43,3213800,54.43
2011-06-13,53.21,53.55,52.85,53.21,2256100,53.21
2011-06-10,53.34,54.28,52.88,52.91,3006200,52.91
2011-06-09,52.90,53.85,52.89,53.47,3808800,53.47
2011-06-08,52.57,52.76,52.16,52.64,4018900,52.64
2011-06-07,51.71,52.98,51.65,52.51,3840700,52.51
2011-06-06,51.36,51.87,51.25,51.65,2500800,51.65
2011-06-03,51.92,52.07,51.35,51.61,3128600,51.61
2011-06-02,53.13,53.15,52.12,52.55,2729100,52.55
2011-06-01,53.55,54.47,53.07,53.07,2848800,53.07
2011-05-31,53.98,54.19,53.42,53.89,2930000,53.89
2011-05-27,53.80,53.97,53.33,53.46,1972100,53.46
2011-05-26,53.90,54.15,53.56,53.81,2245400,53.81
2011-05-25,54.21,54.47,53.22,54.21,1466800,54.21
2011-05-24,53.85,54.00,53.49,53.65,1258900,53.65
2011-05-23,53.39,54.08,53.05,53.69,2300000,53.69
2011-05-20,54.70,54.88,53.81,53.83,3226900,53.83
2011-05-19,55.16,55.42,54.45,54.91,1605900,54.91
2011-05-18,54.72,55.15,54.25,55.15,2140000,55.15
2011-05-17,54.71,55.16,54.44,54.84,1892800,54.84
2011-05-16,55.38,55.59,54.74,54.95,2060700,54.95
2011-05-13,56.25,56.25,55.39,55.65,1371200,55.65
2011-05-12,55.95,56.31,55.58,56.18,1800000,56.18
