Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,25.24,25.32,25.08,25.17,1900100,24.55
2011-12-29,25.08,25.50,25.07,25.36,2882100,24.73
2011-12-28,25.40,25.46,24.92,24.98,3503700,24.36
2011-12-27,25.30,25.57,25.17,25.36,2129800,24.73
2011-12-23,25.48,25.50,25.20,25.48,2411700,24.85
2011-12-22,24.91,25.54,24.90,25.34,4656300,24.71
2011-12-21,24.56,24.76,24.36,24.75,3301000,24.14
2011-12-20,23.89,24.69,23.89,24.54,5236800,23.93
2011-12-19,24.00,24.20,23.45,23.56,3928400,22.98
2011-12-16,23.86,24.31,23.85,24.05,9107300,23.45
2011-12-15,23.50,23.86,23.39,23.66,6361400,23.07
2011-12-14,22.88,23.51,22.88,23.20,5371300,22.63
2011-12-13,23.65,23.79,22.91,23.13,6782800,22.56
2011-12-12,23.30,23.47,23.09,23.31,4181600,22.73
2011-12-09,23.30,23.87,23.20,23.79,4588400,23.20
2011-12-08,23.58,23.65,22.98,23.06,4824600,22.49
2011-12-07,23.40,23.97,23.19,23.88,4534600,23.29
2011-12-06,23.61,23.84,23.41,23.54,3542100,22.96
2011-12-05,23.81,23.98,23.48,23.70,4533500,23.11
2011-12-02,23.31,23.78,23.27,23.40,5769300,22.82
2011-12-01,23.00,23.17,22.62,23.06,4382100,22.49
2011-11-30,22.56,23.18,22.33,23.17,7618900,22.60
2011-11-29,21.87,22.01,21.58,21.67,3958100,21.13
2011-11-28,22.23,22.31,21.60,21.83,5474800,21.29
2011-11-25,21.05,21.49,21.03,21.17,1585800,20.65
2011-11-23,21.65,21.70,21.04,21.04,5325500,20.52
2011-11-22,22.00,22.24,21.73,21.90,3818900,21.36
2011-11-21,22.29,22.33,21.93,22.06,5041000,21.51
2011-11-18,22.90,22.90,22.51,22.68,5029500,22.12
2011-11-17,22.89,23.36,22.55,22.67,5819500,22.11
2011-11-16,23.06,23.64,22.92,22.95,5081500,22.38
2011-11-15,22.95,23.52,22.89,23.39,4347200,22.81
2011-11-14,23.46,23.48,22.89,23.13,4875300,22.56
2011-11-11,23.52,23.70,23.35,23.58,4741700,23.00
2011-11-10,23.23,23.33,22.91,23.06,4524400,22.49
2011-11-09,23.59,23.70,22.73,22.83,8180400,22.26
2011-11-08,23.76,24.27,23.59,24.19,5274500,23.59
2011-11-07,23.25,23.63,23.25,23.61,4935200,23.03
2011-11-04,23.58,23.67,23.19,23.37,5838600,22.79
2011-11-03,23.60,23.94,22.92,23.85,7433900,23.26
2011-11-02,23.06,23.43,22.86,23.34,6181800,22.76
2011-11-01,22.32,23.25,22.14,22.48,9744200,21.92
2011-10-31,23.51,24.04,23.31,23.34,6840300,22.76
2011-10-28,23.91,24.05,23.66,23.91,5094300,23.32
2011-10-27,24.25,24.30,23.55,24.05,10674600,23.45
2011-10-26,23.38,23.42,22.76,23.13,8331300,22.56
2011-10-25,23.40,23.40,22.81,22.87,5975900,22.30
2011-10-24,23.10,23.89,22.99,23.68,7548300,23.09
2011-10-21,22.82,23.18,22.67,23.05,9085200,22.48
2011-10-20,22.50,22.64,21.66,22.53,12216100,21.97
2011-10-19,22.91,23.23,22.10,22.30,11341300,21.75
2011-10-18,21.83,23.10,21.79,22.90,8323200,22.33
2011-10-17,22.19,22.32,21.66,21.66,5924500,21.12
2011-10-14,22.93,22.99,22.24,22.54,6326100,21.98
2011-10-13,22.64,22.75,21.96,22.53,5872900,21.97
2011-10-12,22.46,23.28,22.42,22.80,9244100,22.24
2011-10-11,21.77,22.74,21.54,22.40,19431900,21.69
2011-10-10,21.60,22.02,21.57,22.02,13523500,21.32
2011-10-07,22.02,22.03,20.78,20.93,20541300,20.27
2011-10-06,20.95,21.92,20.62,21.88,19861200,21.19
2011-10-05,21.03,21.13,20.39,21.00,9377100,20.33
2011-10-04,20.21,21.02,19.76,21.02,14303200,20.35
2011-10-03,21.26,21.71,20.56,20.58,6757800,19.93
2011-09-30,21.72,21.79,21.25,21.33,6686900,20.65
2011-09-29,21.78,22.13,21.38,22.08,6352000,21.38
2011-09-28,22.05,22.21,21.24,21.27,7499100,20.60
2011-09-27,22.66,22.89,21.83,22.00,7978000,21.30
2011-09-26,21.12,22.09,20.95,22.06,5996400,21.36
2011-09-23,20.48,20.97,20.48,20.86,5894300,20.20
2011-09-22,20.38,20.90,20.24,20.60,10935800,19.95
2011-09-21,22.23,22.35,20.98,21.00,7634700,20.33
2011-09-20,22.06,22.53,21.86,22.19,5100200,21.49
2011-09-19,22.22,22.22,21.70,21.88,4797500,21.19
2011-09-16,22.59,22.90,22.16,22.67,6405100,21.95
2011-09-15,22.31,22.50,22.11,22.50,5360500,21.79
2011-09-14,21.80,22.26,21.40,22.00,6414900,21.30
2011-09-13,21.42,21.98,21.33,21.62,5649400,20.93
2011-09-12,20.58,21.33,20.54,21.33,6968200,20.65
2011-09-09,21.29,21.63,20.81,20.90,8841900,20.24
2011-09-08,22.03,22.09,21.31,21.61,7408600,20.92
2011-09-07,21.27,22.25,21.20,22.24,6618800,21.53
2011-09-06,20.13,20.94,20.09,20.89,8424600,20.23
2011-09-02,20.92,21.36,20.82,20.91,5688300,20.25
2011-09-01,22.21,22.36,21.65,21.66,5175200,20.97
2011-08-31,21.91,22.39,21.85,22.29,6677600,21.58
2011-08-30,21.68,21.97,21.42,21.71,6825900,21.02
2011-08-29,21.05,21.75,21.00,21.74,5832800,21.05
2011-08-26,20.28,20.99,19.83,20.74,9895900,20.08
2011-08-25,21.28,21.70,19.96,20.34,8958200,19.69
2011-08-24,19.68,20.56,19.56,20.55,8251700,19.90
2011-08-23,19.20,19.82,18.92,19.82,10016100,19.19
2011-08-22,19.75,19.83,19.14,19.17,8169000,18.56
2011-08-19,19.60,20.02,19.25,19.27,7113100,18.66
2011-08-18,20.36,20.36,19.61,19.79,10170700,19.16
2011-08-17,20.92,21.27,20.77,20.98,4864300,20.31
2011-08-16,21.00,21.17,20.61,20.81,7009100,20.15
2011-08-15,20.86,21.22,20.84,21.19,6225200,20.52
2011-08-12,21.30,21.69,20.44,20.54,7675900,19.89
2011-08-11,20.16,21.32,19.90,21.06,9288600,20.39
2011-08-10,21.66,21.71,19.85,19.86,15958600,19.23
2011-08-09,21.92,22.25,20.71,22.23,10270700,21.52
2011-08-08,22.33,22.99,20.93,21.37,14352300,20.69
2011-08-05,23.99,24.14,23.03,23.31,9813300,22.57
2011-08-04,24.22,24.47,23.64,23.69,8644300,22.94
2011-08-03,24.39,24.63,23.94,24.60,6080500,23.82
2011-08-02,25.44,25.52,24.33,24.39,9871000,23.62
2011-08-01,26.02,26.11,25.37,25.61,4961400,24.80
2011-07-29,25.46,25.91,25.38,25.68,3851100,24.87
2011-07-28,25.76,26.05,25.69,25.77,2979800,24.95
2011-07-27,26.18,26.37,25.63,25.67,6105900,24.86
2011-07-26,26.28,26.36,25.99,26.32,4303300,25.49
2011-07-25,25.86,26.15,25.72,26.10,3582200,25.27
2011-07-22,26.27,26.27,25.69,26.18,4570400,25.35
2011-07-21,25.97,26.44,25.85,26.29,6476300,25.46
2011-07-20,25.38,25.69,25.19,25.63,6472500,24.82
2011-07-19,25.05,25.39,24.74,25.28,5791300,24.48
2011-07-18,25.15,25.21,24.59,24.98,4556700,24.19
2011-07-15,25.47,25.48,25.14,25.32,5846500,24.52
2011-07-14,25.84,25.86,25.06,25.32,6608900,24.52
2011-07-13,25.82,26.19,25.62,25.70,5835500,24.88
2011-07-12,25.50,25.99,25.47,25.64,4668100,24.83
2011-07-11,25.71,25.79,25.29,25.54,5773600,24.73
2011-07-08,26.29,26.52,26.09,26.09,6352700,25.26
2011-07-07,27.00,27.36,26.97,26.99,4814300,26.13
2011-07-06,27.00,27.00,26.54,26.76,3698800,25.91
2011-07-05,27.25,27.29,26.97,27.13,3907900,26.11
