Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,23.10,23.50,23.07,23.37,4120600,22.48
2011-12-29,22.89,23.17,22.88,23.11,3552100,22.23
2011-12-28,23.43,23.51,22.89,23.00,4364100,21.97
2011-12-27,23.20,23.58,22.85,23.43,6687400,22.38
2011-12-23,23.12,23.29,23.00,23.28,3759100,22.24
2011-12-22,22.85,23.30,22.77,23.22,6018400,22.18
2011-12-21,23.04,23.10,22.70,22.88,5944900,21.86
2011-12-20,22.83,23.26,22.69,23.06,9391800,22.03
2011-12-19,23.25,23.39,22.48,22.56,8941300,21.55
2011-12-16,23.53,23.59,23.13,23.19,8805700,22.15
2011-12-15,23.47,23.85,23.12,23.36,8529800,22.32
2011-12-14,23.83,24.08,23.01,23.35,14835500,22.31
2011-12-13,25.48,25.71,23.62,23.73,31746700,22.67
2011-12-12,28.02,28.46,27.45,28.07,7806000,26.82
2011-12-09,27.40,28.21,27.18,28.11,4685700,26.85
2011-12-08,28.05,28.51,27.33,27.42,5906900,26.20
2011-12-07,28.00,28.25,27.32,28.12,5207000,26.86
2011-12-06,28.32,28.51,27.98,28.13,5905100,26.87
2011-12-05,27.96,28.53,27.82,28.37,5401500,27.10
2011-12-02,27.41,27.75,27.15,27.60,5143100,26.37
2011-12-01,26.86,27.36,26.80,27.07,6444800,25.86
2011-11-30,28.24,28.42,26.95,27.09,9965300,25.88
2011-11-29,26.62,27.98,26.50,27.86,8963300,26.62
2011-11-28,26.95,27.03,26.22,26.49,5706700,25.31
2011-11-25,25.54,26.38,25.54,25.63,2795800,24.49
2011-11-23,25.97,26.17,25.63,25.71,3224000,24.56
2011-11-22,26.28,26.43,25.90,26.18,4582500,25.01
2011-11-21,26.62,26.74,25.81,26.41,6144900,25.23
2011-11-18,27.55,27.69,26.90,27.06,5412000,25.85
2011-11-17,28.09,28.16,27.25,27.52,6125900,26.29
2011-11-16,27.76,28.34,27.67,28.06,6530200,26.81
2011-11-15,27.43,28.10,27.43,28.06,7092900,26.81
2011-11-14,27.93,28.13,27.52,27.64,3804300,26.41
2011-11-11,27.62,28.36,27.60,28.09,5186200,26.84
2011-11-10,27.68,28.09,27.02,27.30,7661900,26.08
2011-11-09,26.63,27.96,26.62,27.22,10188900,26.00
2011-11-08,26.50,26.88,25.88,26.84,6642400,25.64
2011-11-07,27.19,27.53,26.24,26.46,6674400,25.28
2011-11-04,26.70,27.52,26.70,27.31,5305000,26.09
2011-11-03,26.82,27.05,25.98,27.01,5404100,25.80
2011-11-02,26.46,27.00,26.40,26.59,6004100,25.40
2011-11-01,25.52,26.48,25.33,25.93,5213100,24.77
2011-10-31,26.65,26.96,26.10,26.23,6598600,25.06
2011-10-28,27.24,27.33,26.25,26.50,6594300,25.32
2011-10-27,27.18,27.60,26.96,27.05,8961600,25.84
2011-10-26,26.44,26.85,25.88,26.65,6126800,25.46
2011-10-25,26.11,26.58,25.90,26.05,3768600,24.89
2011-10-24,26.12,26.84,26.10,26.43,4071400,25.25
2011-10-21,26.01,26.39,25.69,26.08,3580500,24.91
2011-10-20,25.00,25.81,24.65,25.73,5085300,24.58
2011-10-19,25.23,25.43,24.87,25.04,3940100,23.92
2011-10-18,24.94,25.64,24.53,25.38,4822600,24.25
2011-10-17,25.43,25.75,24.82,24.87,4028100,23.76
2011-10-14,25.91,26.04,25.43,25.66,3956100,24.51
2011-10-13,25.72,26.04,25.47,25.55,3860300,24.41
2011-10-12,25.94,26.31,25.56,25.82,4944000,24.67
2011-10-11,25.12,25.87,24.93,25.79,4940400,24.64
2011-10-10,25.20,25.30,24.80,25.09,4674300,23.97
2011-10-07,24.84,25.47,24.74,24.77,10051900,23.66
2011-10-06,23.19,24.26,23.17,24.26,5034400,23.18
2011-10-05,22.94,23.35,22.69,23.16,9137900,22.13
2011-10-04,21.84,22.80,21.79,22.78,9300000,21.76
2011-10-03,23.19,23.51,22.10,22.12,9517400,21.13
2011-09-30,23.88,23.96,23.29,23.30,5148400,22.26
2011-09-29,24.90,25.05,23.74,24.38,8157100,23.14
2011-09-28,24.80,24.86,24.42,24.47,8760700,23.22
2011-09-27,25.64,25.70,24.53,24.69,9193600,23.43
2011-09-26,24.29,25.28,24.10,25.22,4782800,23.94
2011-09-23,24.14,24.37,23.95,24.18,6440600,22.95
2011-09-22,23.36,24.46,23.32,24.25,9221900,23.01
2011-09-21,24.85,25.11,24.11,24.12,4358700,22.89
2011-09-20,25.24,25.58,24.77,24.79,5679200,23.53
2011-09-19,25.04,25.27,24.78,25.10,5405600,23.82
2011-09-16,25.91,26.10,25.25,25.43,10768100,24.13
2011-09-15,24.26,25.71,24.26,25.68,12546800,24.37
2011-09-14,23.07,24.35,22.90,24.01,13162600,22.79
2011-09-13,24.70,24.70,22.74,23.35,32901200,22.16
2011-09-12,24.30,25.20,24.07,24.96,8745900,23.69
2011-09-09,23.87,24.68,23.75,24.50,7660200,23.25
2011-09-08,24.37,24.42,24.00,24.20,4787800,22.97
2011-09-07,23.62,24.55,23.48,24.55,5422400,23.30
2011-09-06,23.33,23.50,23.00,23.30,8019200,22.11
2011-09-02,24.43,24.50,23.90,24.10,5095100,22.87
2011-09-01,25.59,25.73,24.79,24.79,4379800,23.53
2011-08-31,25.35,25.92,25.27,25.59,4877800,24.29
2011-08-30,25.25,25.50,24.99,25.23,4868500,23.94
2011-08-29,25.06,25.50,24.89,25.43,3621800,24.13
2011-08-26,24.00,24.98,23.78,24.79,4024100,23.53
2011-08-25,25.06,25.26,24.06,24.14,5105800,22.91
2011-08-24,24.47,25.13,24.30,25.05,3776600,23.77
2011-08-23,24.05,24.68,23.81,24.38,5937800,23.14
2011-08-22,24.46,24.63,23.73,23.95,5982300,22.73
2011-08-19,23.70,24.92,23.64,24.06,7017400,22.83
2011-08-18,24.15,24.15,23.25,24.02,11864600,22.80
2011-08-17,25.03,25.33,24.52,24.81,4870800,23.55
2011-08-16,24.26,24.94,24.25,24.87,5207000,23.60
