Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,85.74,86.32,85.41,85.50,280000,84.82
2011-12-29,84.60,85.96,84.60,85.78,337300,85.10
2011-12-28,85.74,85.74,84.43,84.49,402800,83.82
2011-12-27,85.15,85.85,84.81,85.60,580000,84.92
2011-12-23,84.43,85.13,83.99,85.12,686200,84.44
2011-12-22,84.30,84.90,83.65,84.23,945000,83.56
2011-12-21,82.45,84.04,82.22,84.04,1943200,83.37
2011-12-20,86.46,87.88,86.45,87.78,759600,87.08
2011-12-19,86.25,87.09,85.26,85.28,585500,84.60
2011-12-16,87.01,87.35,85.82,86.16,947200,85.47
2011-12-15,85.67,87.15,85.18,86.71,846800,86.02
2011-12-14,84.09,85.10,84.05,84.61,998700,83.94
2011-12-13,85.04,85.26,83.98,84.44,684100,83.77
2011-12-12,85.24,85.37,84.13,84.58,482100,83.91
2011-12-09,84.12,85.96,84.12,85.70,267600,85.02
2011-12-08,85.70,85.86,84.02,84.12,539500,83.45
2011-12-07,85.62,86.59,84.91,86.12,357900,85.44
2011-12-06,86.77,86.93,85.61,85.89,483500,85.21
2011-12-05,86.68,87.50,86.00,86.51,493600,85.82
2011-12-02,87.75,88.12,85.44,85.71,600900,85.03
2011-12-01,87.21,88.31,86.88,87.25,500100,86.56
2011-11-30,85.96,87.20,85.86,87.19,779300,86.50
2011-11-29,84.99,85.26,83.47,83.77,655000,83.10
2011-11-28,85.07,85.45,84.13,84.69,561500,84.02
2011-11-25,81.91,83.37,81.86,83.37,480500,82.71
2011-11-23,83.44,83.61,82.39,82.39,668100,81.73
2011-11-22,83.90,84.38,83.03,83.90,499200,83.23
2011-11-21,84.53,84.77,83.58,84.23,603800,83.56
2011-11-18,86.66,86.70,85.14,85.25,641100,84.57
2011-11-17,86.45,86.71,85.57,86.07,645100,85.39
2011-11-16,87.09,87.96,86.55,86.90,753500,86.21
2011-11-15,87.95,88.52,87.63,87.95,686800,87.25
2011-11-14,88.67,88.72,87.54,87.94,498700,87.24
2011-11-11,88.40,89.29,88.40,88.89,436800,88.18
2011-11-10,87.95,88.22,87.16,87.50,712800,86.80
