Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,74.68,75.39,74.55,74.72,1033700,72.91
2011-12-29,74.00,74.73,73.86,74.55,940800,72.74
2011-12-28,74.92,74.93,73.75,73.80,1124900,72.01
2011-12-27,74.35,75.08,74.32,74.80,932200,72.99
2011-12-23,74.00,74.48,73.83,74.44,1190600,72.64
2011-12-22,73.63,74.10,73.50,73.76,1419400,71.97
2011-12-21,73.07,73.84,72.75,73.63,1473200,71.85
2011-12-20,71.37,73.14,71.25,73.02,1553800,71.25
2011-12-19,70.78,71.28,70.50,70.66,1310300,68.95
2011-12-16,71.38,71.45,70.05,70.65,2815500,68.94
2011-12-15,71.87,72.10,71.00,71.15,1751500,69.43
2011-12-14,71.73,71.98,71.39,71.52,1278000,69.79
2011-12-13,72.68,72.76,71.51,71.80,1427300,70.06
2011-12-12,72.87,73.00,71.97,72.52,1344000,70.76
2011-12-09,72.82,73.20,72.55,72.92,1446900,71.15
2011-12-08,73.07,73.52,72.41,72.53,2026200,70.77
2011-12-07,73.68,74.31,72.69,74.12,2315500,71.89
2011-12-06,74.64,74.78,73.66,73.87,1213400,71.64
2011-12-05,74.66,74.88,73.79,74.41,1916800,72.17
2011-12-02,74.42,75.02,73.12,73.64,2227100,71.42
2011-12-01,73.77,75.10,73.77,74.14,1903500,71.91
2011-11-30,73.39,73.99,72.94,73.78,2133600,71.56
2011-11-29,72.16,72.60,71.62,71.77,1805700,69.61
2011-11-28,72.34,72.85,71.52,71.99,1837100,69.82
2011-11-25,70.81,71.38,70.81,71.11,902500,68.97
2011-11-23,71.46,71.78,70.61,70.77,1973100,68.64
2011-11-22,72.00,72.62,71.32,72.12,1396200,69.95
2011-11-21,72.33,72.33,71.61,71.84,1285700,69.67
2011-11-18,73.95,74.06,72.97,73.15,1495500,70.95
2011-11-17,74.25,74.52,73.47,73.73,1923000,71.51
2011-11-16,74.47,75.49,74.11,74.37,1599400,72.13
2011-11-15,73.93,75.90,73.92,75.64,1676300,73.36
2011-11-14,74.05,74.54,73.96,74.31,1185600,72.07
2011-11-11,74.35,74.63,73.35,74.12,1763400,71.89
2011-11-10,73.36,73.88,72.64,73.56,1506700,71.34
2011-11-09,73.22,73.46,72.20,72.61,1875600,70.42
2011-11-08,74.52,74.79,73.59,74.71,1674700,72.46
2011-11-07,73.86,75.06,72.89,74.43,2947900,72.19
2011-11-04,72.25,73.21,71.47,72.68,3195800,70.49
2011-11-03,73.22,73.30,71.93,72.38,2666500,70.20
2011-11-02,71.00,73.87,70.76,72.60,6287700,70.41
2011-11-01,76.87,77.18,75.50,76.11,1587500,73.82
2011-10-31,79.11,79.54,78.21,78.23,1443100,75.87
2011-10-28,78.79,79.81,78.70,79.64,981300,77.24
2011-10-27,79.34,79.56,77.77,78.67,1238300,76.30
2011-10-26,77.14,77.87,75.98,76.72,1348100,74.41
2011-10-25,77.56,78.67,76.58,76.72,1380500,74.41
2011-10-24,76.55,78.50,76.15,78.23,1617100,75.87
2011-10-21,74.20,76.43,74.11,76.43,1562600,74.13
2011-10-20,74.04,74.31,72.51,73.47,1462800,71.26
2011-10-19,73.71,74.84,73.59,73.86,1203900,71.63
2011-10-18,72.71,74.27,72.17,73.49,1343800,71.28
2011-10-17,74.00,74.25,72.65,72.79,734200,70.60
2011-10-14,74.30,74.46,73.54,74.29,1015100,72.05
2011-10-13,74.17,74.17,73.31,73.87,1189500,71.64
2011-10-12,74.04,74.90,73.81,74.20,1610400,71.96
2011-10-11,74.32,74.69,73.35,73.42,1105900,71.21
