Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,51.06,51.44,50.83,51.23,442600,50.51
2011-12-29,50.92,51.29,50.85,51.18,663100,50.46
2011-12-28,51.11,51.11,50.71,50.92,470600,50.20
2011-12-27,50.72,51.29,50.62,51.01,794500,50.29
2011-12-23,50.72,50.73,50.38,50.60,462700,49.89
2011-12-22,50.48,50.50,50.15,50.28,615000,49.57
2011-12-21,50.03,50.43,49.65,50.24,741100,49.53
2011-12-20,49.25,50.07,49.18,49.89,599300,49.19
2011-12-19,49.15,49.81,48.70,48.77,639000,48.08
2011-12-16,50.01,50.01,48.75,49.15,1262900,48.46
2011-12-15,50.00,50.05,49.58,49.65,613300,48.95
2011-12-14,49.95,50.18,49.56,49.63,621300,48.93
2011-12-13,51.22,51.52,49.88,50.00,545400,49.30
2011-12-12,51.16,51.37,50.58,51.12,461900,50.40
2011-12-09,51.73,52.31,51.64,52.15,476500,51.42
2011-12-08,51.94,51.94,51.17,51.35,426300,50.63
2011-12-07,51.82,52.36,51.46,52.08,540700,51.35
2011-12-06,52.47,52.53,51.65,52.16,445300,51.43
2011-12-05,52.47,52.69,51.87,52.37,722200,51.63
2011-12-02,52.43,52.69,51.86,51.98,526500,51.25
2011-12-01,52.33,52.52,51.88,51.94,495500,51.21
2011-11-30,51.98,52.71,51.65,52.52,940400,51.78
2011-11-29,50.28,50.86,50.22,50.72,463000,50.01
2011-11-28,49.50,50.50,49.50,50.11,417600,49.40
2011-11-25,48.34,49.34,48.22,48.53,219100,47.85
2011-11-23,49.14,49.33,48.62,48.77,500700,48.08
2011-11-22,49.80,50.22,49.34,49.70,484900,49.00
2011-11-21,49.11,50.19,49.00,50.05,748400,49.35
2011-11-18,50.56,50.56,49.60,49.72,602900,49.02
2011-11-17,50.25,50.50,49.57,50.08,537900,49.37
2011-11-16,50.41,51.07,50.01,50.33,585400,49.62
2011-11-15,50.26,51.35,50.26,50.96,623500,50.24
2011-11-14,50.42,50.93,50.15,50.51,544400,49.80
2011-11-11,50.56,51.15,50.48,50.63,770300,49.92
2011-11-10,49.29,50.03,49.18,49.88,450500,49.18
2011-11-09,49.26,49.47,48.52,48.71,676200,48.02
2011-11-08,50.00,50.37,49.47,50.22,766000,49.51
2011-11-07,49.16,50.03,48.38,49.99,1025800,49.29
2011-11-04,49.75,49.75,48.78,49.42,708600,48.54
2011-11-03,50.58,50.77,49.28,49.89,1092100,49.00
2011-11-02,49.06,49.77,48.56,49.68,911900,48.79
2011-11-01,49.03,49.43,47.85,48.60,2078200,47.73
2011-10-31,49.09,50.15,49.09,49.43,913000,48.55
2011-10-28,50.54,50.65,49.20,49.37,1238500,48.49
2011-10-27,51.03,51.04,49.96,50.72,1288100,49.81
2011-10-26,48.99,49.50,48.76,49.32,647800,48.44
2011-10-25,49.10,49.49,48.52,48.65,620900,47.78
2011-10-24,49.18,50.10,49.15,49.41,822100,48.53
2011-10-21,48.67,49.32,48.62,49.17,1046400,48.29
2011-10-20,48.66,48.94,48.07,48.33,822600,47.47
2011-10-19,47.87,48.89,47.66,48.71,1017100,47.84
2011-10-18,46.69,48.81,46.69,48.36,1578500,47.50
2011-10-17,47.00,47.20,46.77,47.05,621100,46.21
2011-10-14,47.42,47.51,46.56,47.18,953100,46.34
2011-10-13,46.82,47.19,46.76,47.17,1109800,46.33
2011-10-12,47.62,47.62,47.07,47.08,1338100,46.24
2011-10-11,47.00,47.29,46.70,47.06,1160700,46.22
2011-10-10,46.67,47.27,46.30,46.70,837900,45.87
2011-10-07,47.99,48.00,45.94,46.05,1193600,45.23
2011-10-06,46.05,49.48,45.45,46.02,1265300,45.20
2011-10-05,44.82,45.55,44.06,45.48,2060700,44.67
2011-10-04,43.53,45.08,42.30,44.75,2700000,43.95
2011-10-03,53.70,54.49,52.80,54.20,2387000,53.23
2011-09-30,56.29,56.37,54.08,54.08,1468300,53.11
2011-09-29,57.30,57.84,55.89,56.89,756500,55.87
2011-09-28,57.67,58.15,56.29,56.42,909400,55.41
2011-09-27,58.25,58.79,57.36,57.68,861800,56.65
2011-09-26,55.99,57.24,55.14,57.15,858800,56.13
2011-09-23,54.88,55.89,54.88,55.52,1307400,54.53
2011-09-22,53.96,55.31,53.87,55.11,2548800,54.13
2011-09-21,56.89,57.41,55.39,55.46,1435600,54.47
2011-09-20,57.51,58.19,56.98,57.06,1364000,56.04
2011-09-19,56.72,57.55,56.18,57.51,1524200,56.48
2011-09-16,58.49,58.76,57.39,57.58,2477800,56.55
2011-09-15,58.51,58.51,57.44,57.82,1942000,56.79
2011-09-14,56.97,58.60,56.63,58.11,1919200,57.07
2011-09-13,55.00,56.74,54.59,56.59,1132300,55.58
2011-09-12,54.32,55.27,53.64,54.85,857200,53.87
2011-09-09,55.78,56.01,54.56,55.04,1026500,54.06
2011-09-08,56.66,57.41,55.96,56.21,663000,55.21
2011-09-07,55.67,57.26,55.50,57.24,919600,56.22
2011-09-06,54.19,54.98,53.24,54.63,936100,53.65
2011-09-02,55.77,55.77,54.67,54.84,555600,53.86
2011-09-01,57.05,57.59,56.50,56.67,984800,55.66
2011-08-31,56.92,57.74,56.62,57.12,1093800,56.10
2011-08-30,56.00,57.03,55.47,56.59,650300,55.58
2011-08-29,55.16,56.28,55.07,56.23,533500,55.23
2011-08-26,52.98,55.26,52.49,54.77,806300,53.79
2011-08-25,54.30,54.59,53.30,53.49,1058300,52.53
2011-08-24,53.00,54.27,52.75,54.17,727500,53.20
2011-08-23,51.77,53.23,51.36,53.21,838300,52.26
2011-08-22,52.49,52.76,51.44,51.65,722100,50.73
2011-08-19,51.96,53.25,51.41,51.47,1089000,50.55
2011-08-18,54.55,54.71,52.08,52.54,1238400,51.60
2011-08-17,56.36,56.60,55.54,55.93,762000,54.93
2011-08-16,56.16,56.56,55.44,55.97,1209400,54.97
2011-08-15,56.45,56.62,55.72,56.58,654500,55.57
