Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,96.24,96.71,95.76,96.06,719500,95.18
2011-12-29,94.31,96.26,94.19,96.09,624300,95.21
2011-12-28,95.67,95.82,93.85,93.97,664000,93.11
2011-12-27,95.58,96.59,95.37,95.78,716500,94.90
2011-12-23,95.54,95.96,94.70,95.92,676700,95.04
2011-12-22,94.95,96.09,94.71,95.11,1049100,94.24
2011-12-21,95.45,95.51,93.91,94.24,1509700,93.38
2011-12-20,95.05,96.10,94.77,95.27,1474300,94.40
2011-12-19,94.34,94.38,92.09,92.77,2076100,91.92
2011-12-16,93.52,94.63,92.95,94.09,1718700,93.23
2011-12-15,93.44,95.01,92.08,92.81,1537600,91.96
2011-12-14,94.96,96.12,94.21,94.55,1506200,91.43
2011-12-13,97.40,98.29,94.51,95.93,1630000,92.77
2011-12-12,98.30,98.30,95.62,96.89,1106800,93.70
2011-12-09,97.01,100.47,96.58,99.93,1308200,96.64
2011-12-08,99.24,99.27,96.07,96.48,1797900,93.30
2011-12-07,99.88,101.62,98.54,100.72,902100,97.40
2011-12-06,99.95,101.51,99.16,100.52,948100,97.21
2011-12-05,100.88,101.35,99.68,100.83,1211400,97.51
2011-12-02,99.28,101.68,97.98,98.44,1822300,95.20
2011-12-01,100.16,100.23,98.12,99.19,704400,95.92
2011-11-30,96.00,101.03,95.60,100.82,1672400,97.50
2011-11-29,94.24,94.66,93.44,93.88,1039100,90.79
2011-11-28,94.88,95.57,93.34,94.20,1131700,91.09
2011-11-25,91.54,92.99,91.22,91.63,502500,88.61
2011-11-23,93.95,94.07,91.77,91.87,1334700,88.84
2011-11-22,95.19,97.18,94.46,95.43,1440400,92.28
2011-11-21,97.61,97.63,94.52,95.47,2057500,92.32
2011-11-18,100.31,100.49,98.73,99.36,1270000,96.08
2011-11-17,102.13,102.13,98.37,99.43,2643400,96.15
2011-11-16,103.45,104.71,102.38,102.60,1135800,99.22
2011-11-15,104.19,105.90,103.68,104.81,1036100,101.36
2011-11-14,106.96,107.26,104.25,104.92,944500,101.46
2011-11-11,106.71,108.48,106.30,107.59,1165000,104.04
2011-11-10,104.19,105.74,103.27,104.77,930100,101.32
2011-11-09,105.89,106.14,103.18,103.43,1351000,100.02
2011-11-08,107.77,109.92,106.77,109.06,940800,105.47
2011-11-07,106.47,107.42,104.67,107.29,694300,103.75
2011-11-04,105.96,107.35,103.81,106.93,1112000,103.41
2011-11-03,106.03,107.13,101.44,106.83,1417800,103.31
2011-11-02,103.18,104.26,101.34,103.64,943200,100.22
2011-11-01,97.51,104.19,97.51,100.00,2360500,96.70
2011-10-31,107.61,108.66,106.44,106.63,1769600,103.12
2011-10-28,108.60,112.38,107.88,110.92,2749800,107.26
2011-10-27,106.18,110.68,105.29,108.24,4110600,104.67
2011-10-26,104.10,104.10,99.13,100.85,1997400,97.53
2011-10-25,104.36,104.36,100.82,101.04,1699100,97.71
2011-10-24,103.80,106.72,103.37,106.27,1320500,102.77
2011-10-21,101.37,103.59,100.75,103.53,1088300,100.12
2011-10-20,99.24,100.67,98.30,100.03,1540700,96.73
2011-10-19,101.69,102.29,99.70,100.29,1394000,96.98
2011-10-18,98.28,103.34,97.05,102.17,1508300,98.80
2011-10-17,100.37,100.77,97.91,98.22,1642200,94.98
2011-10-14,99.53,102.15,99.11,101.12,1806900,97.79
2011-10-13,96.75,98.41,94.50,97.90,1572500,94.67
2011-10-12,98.85,98.85,97.03,97.43,2301700,94.22
2011-10-11,98.41,98.41,94.83,96.85,1794300,93.66
2011-10-10,97.87,99.94,97.47,99.77,1044900,96.48
2011-10-07,99.84,99.84,94.89,94.93,1672700,91.80
2011-10-06,97.30,99.62,95.87,99.45,1378400,96.17
2011-10-05,94.97,98.22,92.43,97.85,1804500,94.62
2011-10-04,89.00,95.74,87.71,95.61,2600000,92.46
2011-10-03,92.67,94.95,90.29,90.38,2661300,87.40
2011-09-30,98.31,98.68,93.58,95.64,2679500,92.49
2011-09-29,100.24,101.18,98.12,100.51,1542000,97.20
2011-09-28,101.48,102.01,97.39,97.63,1955400,94.41
2011-09-27,104.78,105.28,101.00,101.74,1979400,98.14
2011-09-26,99.78,101.73,97.41,101.60,2080000,98.01
2011-09-23,96.17,100.14,96.13,98.76,2881900,95.27
2011-09-22,107.42,107.50,96.51,96.79,5564600,93.37
2011-09-21,115.08,115.99,110.64,110.67,1277500,106.76
2011-09-20,116.28,118.17,115.17,115.30,1327300,111.23
2011-09-19,117.00,117.00,114.02,115.66,1384400,111.57
2011-09-16,120.04,120.88,116.94,119.33,1412300,115.11
2011-09-15,117.24,120.25,116.03,120.07,1487100,115.83
2011-09-14,114.40,117.14,111.92,115.49,1638700,111.41
2011-09-13,112.00,114.38,109.21,113.77,1581700,109.75
2011-09-12,110.20,113.14,109.32,113.12,1083600,109.12
2011-09-09,113.17,113.61,111.00,111.69,1436900,107.74
2011-09-08,114.74,115.84,113.34,114.31,1157400,110.27
2011-09-07,113.70,115.83,112.52,115.74,1384600,111.65
2011-09-06,109.82,112.22,108.94,112.05,997700,108.09
2011-09-02,116.40,117.62,113.06,113.71,1244600,109.69
2011-09-01,119.77,120.34,117.86,118.12,976600,113.95
2011-08-31,119.85,121.35,118.71,119.92,791500,115.68
2011-08-30,118.58,120.51,117.51,118.53,1317800,114.34
2011-08-29,117.50,119.46,117.38,119.27,967800,115.06
2011-08-26,113.97,116.75,111.41,115.84,1180100,111.75
2011-08-25,117.88,120.00,114.10,115.16,1514000,111.09
2011-08-24,114.24,117.32,113.08,116.82,1531100,112.69
2011-08-23,112.72,115.05,110.62,115.05,2024500,110.98
2011-08-22,114.22,114.83,111.11,112.40,1695100,108.43
2011-08-19,109.24,113.46,108.37,110.63,2541600,106.72
2011-08-18,111.46,111.55,108.36,109.72,2825700,105.84
2011-08-17,114.75,115.95,114.39,115.75,1324300,111.66
2011-08-16,113.55,116.27,113.40,114.74,1340700,110.69
2011-08-15,116.80,117.00,114.45,115.92,1434400,111.82
2011-08-12,117.20,118.31,114.64,115.68,1073600,111.59
2011-08-11,110.76,117.20,109.01,115.66,1574400,111.57
2011-08-10,111.42,113.10,108.36,109.44,2690000,105.57
2011-08-09,109.53,115.40,106.58,115.32,2449600,111.24
2011-08-08,112.78,115.55,106.20,106.63,2816000,102.86
2011-08-05,119.81,120.38,113.06,117.66,2189000,113.50
2011-08-04,122.78,123.39,117.28,117.56,1363100,113.41
2011-08-03,122.65,125.21,121.00,124.90,1041900,120.49
2011-08-02,125.51,127.82,122.14,122.33,1590500,118.01
2011-08-01,128.47,129.16,125.12,126.44,1436300,121.97
2011-07-29,128.24,128.92,126.50,126.96,1350700,122.47
2011-07-28,127.26,131.70,127.24,129.42,1204900,124.85
2011-07-27,131.76,131.95,126.51,126.93,985500,122.44
2011-07-26,133.15,133.69,131.63,132.81,585200,128.12
2011-07-25,131.43,133.51,131.43,132.88,456400,128.18
2011-07-22,134.52,135.21,133.21,133.51,543400,128.79
2011-07-21,131.86,135.07,131.74,134.82,962800,130.06
2011-07-20,131.37,131.96,130.05,130.68,663900,126.06
2011-07-19,129.13,130.47,128.74,130.41,645500,125.80
2011-07-18,129.50,130.04,126.88,128.28,644800,123.75
2011-07-15,130.80,131.25,128.80,130.32,776800,125.71
2011-07-14,131.74,132.44,129.61,130.28,668200,125.68
2011-07-13,132.45,133.26,130.94,131.24,857400,126.60
2011-07-12,131.50,133.52,131.17,131.36,876600,126.72
2011-07-11,134.58,135.54,131.34,131.76,1115700,127.10
2011-07-08,135.08,137.09,134.64,137.08,1103300,132.24
2011-07-07,136.17,137.56,135.83,137.26,1118100,132.41
