Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,38.22,38.22,37.76,37.76,339900,37.76
2011-12-29,37.99,38.34,37.95,38.18,340000,38.18
2011-12-28,38.42,38.47,37.77,37.81,320300,37.81
2011-12-27,38.06,38.45,37.86,38.34,395300,38.34
2011-12-23,37.85,38.25,37.61,38.11,377000,38.11
2011-12-22,38.27,38.41,37.49,37.75,652300,37.75
2011-12-21,38.29,38.76,37.40,38.20,719500,38.20
2011-12-20,36.64,38.21,36.55,38.10,1064600,38.10
2011-12-19,36.85,37.00,35.85,35.96,699000,35.96
2011-12-16,36.68,37.09,36.47,36.62,1010600,36.62
2011-12-15,36.83,37.05,36.40,36.60,1073100,36.60
2011-12-14,36.56,36.90,36.14,36.62,1370100,36.62
2011-12-13,37.63,37.65,36.60,36.75,1415200,36.75
2011-12-12,36.93,37.40,36.84,37.39,1057000,37.39
2011-12-09,37.09,37.52,36.93,37.24,977700,37.24
2011-12-08,37.19,37.44,36.85,36.96,894500,36.96
2011-12-07,37.34,37.74,37.01,37.52,1321400,37.52
2011-12-06,37.01,37.91,36.89,37.72,1886200,37.72
2011-12-05,36.95,37.43,36.58,37.15,2328800,37.15
2011-12-02,36.75,37.43,35.65,36.28,6178200,36.28
2011-12-01,39.98,40.62,39.61,39.73,1240800,39.73
2011-11-30,40.58,40.69,39.65,40.11,1923200,40.11
2011-11-29,38.09,39.70,37.86,39.52,2275600,39.52
2011-11-28,37.45,38.34,37.45,38.15,1431900,38.15
2011-11-25,36.71,37.24,36.59,36.82,675900,36.82
2011-11-23,37.85,37.92,36.13,36.83,2458700,36.83
2011-11-22,38.22,39.15,38.18,38.77,1164300,38.77
2011-11-21,38.79,38.79,37.92,38.25,1242400,38.25
2011-11-18,39.15,39.36,38.74,39.13,986800,39.13
2011-11-17,39.96,40.36,38.62,38.94,1673300,38.94
2011-11-16,40.67,41.01,39.73,39.93,1468700,39.93
2011-11-15,40.71,41.18,40.43,41.06,880200,41.06
2011-11-14,41.08,41.31,40.71,40.96,634800,40.96
2011-11-11,40.56,41.51,40.56,41.30,669600,41.30
2011-11-10,40.66,40.73,39.94,40.34,864100,40.34
2011-11-09,40.95,41.16,40.02,40.33,1571600,40.33
2011-11-08,41.60,41.81,40.78,41.64,1089200,41.64
2011-11-07,41.19,41.62,40.85,41.50,1163600,41.50
2011-11-04,41.27,41.44,40.27,41.32,2084800,41.32
2011-11-03,38.75,40.66,38.75,40.64,2856200,40.64
2011-11-02,37.75,38.42,37.35,38.12,1731100,38.12
2011-11-01,36.83,37.59,36.64,37.21,1236500,37.21
2011-10-31,37.36,38.50,37.36,37.69,1323900,37.69
2011-10-28,37.76,38.00,37.06,37.64,956900,37.64
2011-10-27,38.44,38.44,37.19,37.70,1359000,37.70
2011-10-26,37.98,37.98,36.88,37.50,869900,37.50
2011-10-25,38.28,38.91,37.56,37.70,1080300,37.70
2011-10-24,37.72,38.44,37.51,38.41,1256400,38.41
2011-10-21,37.46,37.73,37.26,37.48,1363800,37.48
2011-10-20,36.69,37.25,36.45,37.12,1222800,37.12
2011-10-19,36.08,37.16,36.03,36.56,1581500,36.56
2011-10-18,35.09,36.54,34.77,36.13,1901200,36.13
2011-10-17,34.62,35.20,34.62,35.07,1731600,35.07
2011-10-14,34.84,35.00,34.33,34.57,588800,34.57
2011-10-13,34.51,34.90,34.39,34.53,782800,34.53
2011-10-12,35.23,35.28,34.69,34.78,726100,34.78
2011-10-11,34.40,35.13,34.13,35.05,978700,35.05
2011-10-10,34.03,34.54,33.97,34.38,909800,34.38
2011-10-07,34.53,34.56,33.33,33.63,1290000,33.63
2011-10-06,33.70,34.99,33.70,34.28,1910900,34.28
2011-10-05,34.08,34.27,33.19,33.62,1644700,33.62
2011-10-04,32.98,34.06,32.55,34.04,1400000,34.04
2011-10-03,34.73,35.02,33.29,33.33,1106700,33.33
2011-09-30,34.15,35.65,33.93,34.83,2657900,34.83
2011-09-29,35.30,35.30,33.80,34.55,1368000,34.55
2011-09-28,35.46,35.87,34.63,34.73,1396800,34.73
2011-09-27,35.40,36.00,35.24,35.54,2372900,35.54
2011-09-26,33.64,34.82,33.62,34.80,1310100,34.80
2011-09-23,32.18,33.55,32.14,33.37,1404300,33.37
2011-09-22,31.78,33.03,31.70,32.28,2806200,32.28
2011-09-21,33.57,34.14,32.72,32.72,902300,32.72
2011-09-20,33.90,34.41,33.60,33.62,1154400,33.62
2011-09-19,33.01,34.01,32.97,33.82,1319400,33.82
