Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,20.10,20.10,19.79,19.91,3698900,19.45
2011-12-29,19.56,20.10,19.50,20.07,5116500,19.60
2011-12-28,19.93,19.96,19.47,19.58,5465700,19.13
2011-12-27,20.02,20.25,19.86,19.98,3632400,19.52
2011-12-23,20.10,20.15,19.90,20.08,3438700,19.61
2011-12-22,19.66,20.10,19.56,19.98,5540100,19.52
2011-12-21,19.61,19.63,19.21,19.55,6213700,19.10
2011-12-20,18.97,19.67,18.93,19.58,9524900,19.13
2011-12-19,19.11,19.18,18.44,18.59,7835200,18.16
2011-12-16,18.93,19.43,18.65,19.12,14441700,18.68
2011-12-15,18.98,19.14,18.71,18.82,8804900,18.38
2011-12-14,18.51,18.83,18.42,18.58,8472000,18.15
2011-12-13,19.07,19.28,18.44,18.71,8186100,18.28
2011-12-12,19.30,19.31,18.80,19.01,6886100,18.57
2011-12-09,19.32,19.75,19.21,19.60,6747300,19.15
2011-12-08,19.81,19.81,18.97,19.06,9383100,18.62
2011-12-07,19.78,20.11,19.45,20.03,6756200,19.57
2011-12-06,19.82,20.02,19.51,19.89,7941200,19.43
2011-12-05,19.73,20.04,19.61,19.82,10053300,19.36
2011-12-02,19.36,19.73,19.22,19.29,8132500,18.84
2011-12-01,19.48,19.49,18.80,19.10,7142300,18.66
2011-11-30,18.70,19.49,18.57,19.46,13135000,19.01
2011-11-29,18.19,18.38,17.87,18.08,7602500,17.66
2011-11-28,18.18,18.37,17.91,18.09,10638600,17.67
2011-11-25,17.75,18.16,17.70,17.70,3527900,17.29
2011-11-23,17.85,18.01,17.67,17.80,13498800,17.39
2011-11-22,18.40,18.48,18.00,18.02,10293500,17.60
2011-11-21,18.56,18.69,18.23,18.42,13034000,17.99
2011-11-18,19.04,19.11,18.81,18.92,10186100,18.48
2011-11-17,19.45,19.61,18.79,18.94,13784900,18.50
2011-11-16,20.14,20.25,19.61,19.64,13951100,19.18
2011-11-15,20.37,20.66,20.19,20.39,12009100,19.92
2011-11-14,21.32,21.36,20.36,20.55,13556500,20.07
2011-11-11,21.11,21.84,21.10,21.51,11299500,21.01
2011-11-10,20.92,20.93,20.28,20.72,8995300,20.24
2011-11-09,21.23,21.29,20.24,20.30,12614100,19.83
2011-11-08,21.34,21.99,21.21,21.93,9295600,21.42
2011-11-07,20.92,21.28,20.82,21.26,5627900,20.77
2011-11-04,20.99,21.10,20.57,20.99,7952900,20.50
2011-11-03,21.32,21.40,20.47,21.33,7922400,20.84
2011-11-02,20.70,20.99,20.46,20.93,9418400,20.44
2011-11-01,20.39,20.79,20.11,20.22,13668000,19.75
2011-10-31,22.00,22.06,21.28,21.28,11193500,20.79
2011-10-28,22.37,22.46,22.07,22.41,9691700,21.89
2011-10-27,21.85,22.57,21.42,22.39,17110100,21.87
2011-10-26,21.15,21.25,20.31,20.96,18825900,20.35
2011-10-25,21.01,21.21,20.66,20.74,10633500,20.13
2011-10-24,20.75,21.47,20.66,21.26,11320500,20.64
2011-10-21,20.48,20.79,20.34,20.70,13492600,20.09
2011-10-20,19.57,20.36,19.40,20.21,13272300,19.62
2011-10-19,19.77,20.57,19.45,19.54,14207600,18.97
2011-10-18,18.54,19.87,18.45,19.77,16321000,19.19
2011-10-17,18.84,19.03,18.33,18.37,9021600,17.83
2011-10-14,19.16,19.29,18.72,18.97,9107800,18.41
2011-10-13,19.11,19.18,18.75,18.84,12715400,18.29
2011-10-12,19.06,19.70,18.91,19.33,13440400,18.76
2011-10-11,18.65,19.17,18.43,18.90,10989800,18.35
2011-10-10,18.15,18.85,18.15,18.85,9688800,18.30
2011-10-07,18.38,18.47,17.61,17.83,16319700,17.31
2011-10-06,18.15,18.67,17.78,18.34,17171200,17.80
2011-10-05,18.39,18.46,17.75,18.28,20389900,17.75
2011-10-04,17.41,18.87,17.10,18.82,19300000,18.27
2011-10-03,18.43,18.65,17.70,17.72,14800400,17.20
2011-09-30,19.00,19.18,18.58,18.59,12893100,18.05
2011-09-29,19.29,19.47,18.75,19.37,10200000,18.80
2011-09-28,19.33,19.37,18.80,18.83,13596200,18.28
2011-09-27,19.32,19.93,19.15,19.27,14821000,18.71
2011-09-26,18.80,18.92,18.28,18.80,19733500,18.25
2011-09-23,18.55,18.94,18.43,18.52,13496000,17.98
2011-09-22,18.74,18.85,18.34,18.64,24933300,18.09
2011-09-21,20.22,20.35,19.09,19.12,19103400,18.56
2011-09-20,20.45,20.62,20.21,20.21,11549900,19.62
2011-09-19,20.59,20.65,20.12,20.42,15789100,19.82
2011-09-16,21.26,21.35,20.68,21.14,11753500,20.52
2011-09-15,21.02,21.21,20.82,21.19,8048500,20.57
2011-09-14,20.61,21.10,20.14,20.79,11467700,20.18
2011-09-13,20.05,20.73,19.84,20.46,13425300,19.86
2011-09-12,19.61,20.16,19.26,19.98,11834800,19.40
2011-09-09,19.97,20.28,19.53,19.92,16951900,19.34
2011-09-08,20.64,20.90,20.00,20.11,13637800,19.52
2011-09-07,20.00,20.76,19.88,20.72,13306200,20.11
2011-09-06,19.36,19.68,19.20,19.53,14113600,18.96
2011-09-02,20.10,20.46,19.91,19.95,15971600,19.37
2011-09-01,20.20,21.84,20.03,20.63,38604000,20.03
2011-08-31,20.98,21.13,20.41,20.67,11092200,20.07
2011-08-30,20.74,21.06,20.48,20.82,12360400,20.21
2011-08-29,20.46,20.88,20.42,20.86,6382700,20.25
2011-08-26,19.89,20.29,19.32,20.21,10539900,19.62
2011-08-25,20.84,21.08,19.83,20.03,13778200,19.44
2011-08-24,19.39,20.39,19.22,20.35,14472900,19.75
2011-08-23,18.91,19.50,18.77,19.50,13585700,18.93
2011-08-22,19.40,19.48,18.79,18.89,11056300,18.34
2011-08-19,19.44,19.70,18.92,18.95,19136400,18.40
2011-08-18,20.06,20.44,19.44,19.57,23651100,19.00
2011-08-17,20.87,21.10,20.66,20.79,13160500,20.18
2011-08-16,20.56,21.10,20.44,20.81,17418900,20.20
2011-08-15,20.27,20.90,20.11,20.89,16205000,20.28
2011-08-12,21.15,21.32,19.88,19.99,13636500,19.41
2011-08-11,19.75,20.82,19.46,20.51,19002300,19.91
2011-08-10,20.70,20.71,19.34,19.46,23873900,18.89
2011-08-09,21.23,21.41,19.52,21.11,26860000,20.49
2011-08-08,22.26,22.58,20.51,20.57,32523400,19.97
2011-08-05,24.04,24.18,22.64,22.79,27614200,22.12
2011-08-04,24.16,24.29,23.70,23.72,16105400,23.03
2011-08-03,24.22,24.67,23.89,24.65,11872800,23.93
2011-08-02,25.05,25.07,24.21,24.21,13151800,23.50
2011-08-01,25.35,25.53,24.93,25.20,8433300,24.46
2011-07-29,25.10,25.49,24.98,25.11,9061000,24.38
2011-07-28,25.17,25.53,25.15,25.23,6229500,24.49
2011-07-27,25.42,25.53,25.07,25.10,9900600,24.37
2011-07-26,25.70,25.97,25.63,25.71,6475600,24.83
2011-07-25,25.63,25.82,25.42,25.70,7349000,24.82
2011-07-22,25.91,25.93,25.49,25.76,8095600,24.88
2011-07-21,25.16,25.95,25.16,25.87,11380700,24.99
2011-07-20,24.80,25.01,24.68,24.94,7616900,24.09
2011-07-19,25.11,25.11,24.42,24.73,14867400,23.88
2011-07-18,24.92,24.96,24.45,24.64,11519300,23.80
2011-07-15,25.17,25.21,24.91,25.10,9810300,24.24
2011-07-14,25.35,25.72,25.01,25.09,7577500,24.23
2011-07-13,25.26,25.54,25.09,25.16,5316700,24.30
2011-07-12,24.95,25.38,24.92,25.10,8620500,24.24
2011-07-11,25.47,25.52,24.99,25.07,7937700,24.21
2011-07-08,26.00,26.00,25.73,25.80,6747100,24.92
2011-07-07,26.22,26.43,26.15,26.39,6191400,25.49
2011-07-06,25.59,26.14,25.50,25.95,8612100,25.06
2011-07-05,25.93,26.01,25.58,25.70,6648600,24.82
2011-07-01,25.51,26.20,25.51,26.06,8251400,25.17
2011-06-30,25.49,25.75,25.15,25.62,11386000,24.74
2011-06-29,24.81,25.53,24.69,25.44,23450000,24.57
2011-06-28,24.80,24.95,24.15,24.48,22112100,23.64
2011-06-27,24.70,25.08,24.64,24.65,12829500,23.81
2011-06-24,25.42,25.49,24.62,24.64,16087900,23.80
2011-06-23,25.76,25.79,25.30,25.44,11618000,24.57
2011-06-22,26.11,26.33,26.04,26.04,6837100,25.15
2011-06-21,26.26,26.36,26.08,26.32,7132900,25.42
2011-06-20,26.08,26.19,25.95,26.06,8872800,25.17
2011-06-17,26.48,26.50,26.08,26.20,7886900,25.30
2011-06-16,26.02,26.36,26.00,26.23,8435700,25.33
2011-06-15,26.73,26.73,25.95,26.02,9248300,25.13
2011-06-14,26.85,27.09,26.82,26.92,5932400,26.00
2011-06-13,26.66,26.85,26.32,26.66,5250400,25.75
2011-06-10,26.39,26.58,26.07,26.27,7386600,25.37
2011-06-09,26.32,26.75,26.25,26.56,5325400,25.65
2011-06-08,26.51,26.57,26.12,26.22,7855600,25.32
2011-06-07,26.61,26.94,26.49,26.55,7497600,25.64
2011-06-06,26.87,26.95,26.52,26.59,5484000,25.68
2011-06-03,26.83,27.18,26.77,26.90,5889900,25.98
2011-06-02,27.11,27.42,26.97,27.33,7820800,26.40
2011-06-01,28.03,28.03,27.11,27.13,6772700,26.20
2011-05-31,27.88,28.36,27.68,28.11,7855900,27.15
2011-05-27,27.62,27.84,27.47,27.72,4269800,26.77
2011-05-26,27.28,27.65,27.18,27.47,4965100,26.53
2011-05-25,27.39,27.60,27.28,27.39,7434100,26.45
2011-05-24,27.83,27.87,27.27,27.49,7131800,26.55
2011-05-23,27.89,28.00,27.54,27.81,8110100,26.86
2011-05-20,28.58,28.77,28.16,28.19,5741500,27.23
2011-05-19,28.80,28.91,28.53,28.70,2878900,27.72
2011-05-18,28.37,28.76,28.30,28.72,3536400,27.74
2011-05-17,28.01,28.41,28.00,28.41,4968200,27.44
2011-05-16,28.05,28.49,28.00,28.12,5821400,27.16
2011-05-13,28.47,28.56,28.03,28.07,5646400,27.11
2011-05-12,28.31,28.68,28.09,28.49,5849600,27.52
2011-05-11,28.71,28.83,28.28,28.34,8585100,27.37
2011-05-10,28.72,28.93,28.62,28.86,4302400,27.87
2011-05-09,28.55,28.64,28.44,28.57,4388500,27.59
