Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,179.40,179.43,177.87,178.24,252200,172.48
2011-12-29,177.40,179.50,176.55,179.40,342200,173.60
2011-12-28,177.88,177.88,175.90,176.44,301000,170.74
2011-12-27,178.18,179.77,177.02,177.84,310700,172.09
2011-12-23,176.70,178.73,175.00,178.41,313100,172.64
2011-12-22,173.88,176.20,173.51,175.49,588600,169.82
2011-12-21,173.34,174.46,170.11,173.35,601900,167.75
2011-12-20,169.54,173.91,169.22,173.14,608400,167.54
2011-12-19,170.57,170.89,165.09,165.60,667500,160.25
2011-12-16,168.72,170.89,167.87,170.33,940900,164.82
2011-12-15,169.88,169.95,167.50,167.84,443600,162.41
2011-12-14,166.80,168.68,165.28,166.94,691200,161.54
2011-12-13,171.00,172.34,165.37,167.75,498100,162.33
2011-12-12,166.34,170.32,166.34,169.48,532000,164.00
2011-12-09,168.61,173.55,168.29,172.68,729600,167.10
2011-12-08,172.65,172.89,167.13,167.50,715000,162.09
2011-12-07,172.89,175.21,170.98,174.37,497900,168.73
2011-12-06,176.23,176.23,172.00,173.46,530100,167.85
2011-12-05,172.94,176.50,172.12,176.31,1009300,170.61
2011-12-02,169.65,173.22,168.12,169.02,618200,163.56
2011-12-01,169.50,170.24,165.45,167.41,752500,162.00
2011-11-30,167.60,172.53,166.07,172.04,1388200,165.15
2011-11-29,159.55,162.79,158.91,161.03,877300,154.58
2011-11-28,157.81,160.34,157.35,159.83,975200,153.43
2011-11-25,151.23,153.77,150.35,151.27,217100,145.21
2011-11-23,153.78,154.90,151.44,151.49,894700,145.42
2011-11-22,156.32,157.66,154.06,155.81,562800,149.57
2011-11-21,156.43,158.00,154.29,156.61,640400,150.34
2011-11-18,160.89,161.20,158.12,159.26,667800,152.88
2011-11-17,160.96,163.16,158.74,159.60,1014700,153.21
2011-11-16,163.43,164.88,160.94,161.33,810000,154.87
2011-11-15,162.88,168.33,162.40,165.88,1068200,159.24
2011-11-14,162.80,165.19,161.77,163.12,762300,156.59
2011-11-11,161.98,166.00,160.50,164.33,946200,157.75
2011-11-10,156.27,160.76,154.46,159.88,1170000,153.48
2011-11-09,159.06,159.06,152.99,153.23,1086900,147.09
2011-11-08,163.39,163.91,159.43,163.16,816900,156.62
2011-11-07,158.01,160.24,155.60,160.05,720700,153.64
2011-11-04,157.02,158.68,154.57,157.60,541100,151.29
2011-11-03,157.13,160.22,153.05,159.26,841000,152.88
2011-11-02,152.63,155.99,150.74,155.52,772200,149.29
2011-11-01,152.09,155.13,149.84,150.00,1845900,143.99
2011-10-31,166.51,166.92,157.75,157.79,1355800,151.47
2011-10-28,169.10,170.80,165.23,169.78,939300,162.98
2011-10-27,159.97,170.42,159.66,169.12,2000000,162.35
2011-10-26,153.23,155.25,151.42,154.37,963700,148.19
2011-10-25,158.23,158.23,149.93,150.38,915900,144.36
2011-10-24,155.70,158.34,154.13,157.48,776400,151.17
2011-10-21,154.51,155.75,152.15,154.32,941300,148.14
2011-10-20,149.04,153.51,146.53,152.16,1160300,146.06
2011-10-19,153.00,154.00,148.06,148.92,1540800,142.95
2011-10-18,151.02,157.76,150.28,156.30,1155200,150.04
2011-10-17,154.25,155.37,150.25,150.73,619700,144.69
2011-10-14,154.05,159.49,154.05,155.91,1061300,149.66
2011-10-13,155.53,155.53,149.52,153.65,1038100,147.50
2011-10-12,154.49,160.19,154.33,156.00,1219000,149.75
2011-10-11,153.45,155.44,152.02,153.06,776200,146.93
2011-10-10,152.88,156.72,150.93,155.25,1081400,149.03
2011-10-07,152.35,153.00,147.69,147.78,1009800,141.86
2011-10-06,150.47,152.19,145.30,151.67,781000,145.59
2011-10-05,147.52,151.14,145.51,150.49,869300,144.46
2011-10-04,140.06,147.57,137.00,147.20,1300000,141.30
2011-10-03,146.81,148.70,141.43,141.77,1041900,136.09
2011-09-30,149.36,151.57,147.61,148.01,1095600,142.08
2011-09-29,152.73,152.78,148.07,151.66,1147400,145.58
2011-09-28,157.72,157.72,148.26,148.55,952700,142.60
2011-09-27,153.90,157.75,151.14,152.49,1188000,146.38
2011-09-26,148.01,150.64,144.68,150.35,872500,144.33
2011-09-23,143.56,147.88,142.79,147.63,770800,141.72
2011-09-22,142.66,145.45,140.22,144.75,1301400,138.95
2011-09-21,155.39,156.83,147.21,147.22,895800,141.32
2011-09-20,157.54,159.42,155.34,155.58,702200,149.35
2011-09-19,156.50,157.72,154.50,156.25,714100,149.99
2011-09-16,159.98,161.89,157.71,160.88,1152900,154.44
2011-09-15,154.23,159.46,153.50,159.18,1009800,152.80
2011-09-14,153.00,154.32,149.10,152.30,1101800,146.20
2011-09-13,153.36,153.68,150.07,151.22,1192300,145.16
2011-09-12,149.26,152.05,148.10,151.30,939700,145.24
