Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,29.44,29.58,29.28,29.36,3353900,29.02
2011-12-29,29.57,29.75,29.27,29.44,3991200,29.09
2011-12-28,29.59,29.85,29.23,29.41,5069600,29.07
2011-12-27,29.61,30.34,29.50,29.66,5567200,29.31
2011-12-23,29.87,29.96,29.52,29.77,3899100,29.42
2011-12-22,28.84,29.95,28.84,29.77,8635200,29.42
2011-12-21,28.95,29.18,28.39,28.89,7582700,28.55
2011-12-20,28.31,29.14,28.28,29.05,7998700,28.71
2011-12-19,28.94,28.99,27.59,27.74,8391800,27.41
2011-12-16,28.30,29.00,28.25,28.72,12467500,28.38
2011-12-15,29.31,29.65,28.07,28.16,15050600,27.83
2011-12-14,29.88,30.17,28.19,28.45,21648900,28.12
2011-12-13,29.59,29.61,28.05,28.19,12392900,27.86
2011-12-12,29.83,29.83,29.05,29.27,7496000,28.93
2011-12-09,29.50,30.38,29.02,30.29,8963300,29.93
2011-12-08,30.51,31.14,29.70,29.77,9488500,29.42
2011-12-07,29.97,30.93,29.55,30.82,9740500,30.46
2011-12-06,30.44,30.67,30.04,30.10,7726800,29.75
2011-12-05,30.53,30.58,29.90,30.42,8966100,30.06
2011-12-02,30.82,31.24,29.94,29.99,9289200,29.64
2011-12-01,30.61,30.90,30.12,30.64,8025400,30.28
2011-11-30,30.03,30.40,29.55,30.35,11899300,29.99
2011-11-29,30.32,30.38,29.26,29.33,9038100,28.90
2011-11-28,30.56,30.87,29.82,30.17,10837500,29.72
2011-11-25,30.14,30.42,29.51,29.58,5159600,29.14
2011-11-23,31.37,31.40,30.33,30.43,9292000,29.98
2011-11-22,31.93,32.38,31.23,31.62,9320900,31.15
2011-11-21,32.38,32.49,31.76,32.16,6125200,31.69
2011-11-18,33.01,33.13,32.44,32.77,8872700,32.29
2011-11-17,34.89,34.99,32.60,32.93,13185900,32.44
2011-11-16,35.64,36.10,34.92,34.99,9209100,34.47
2011-11-15,35.02,36.20,34.65,35.95,10621600,35.42
2011-11-14,35.14,35.58,34.41,34.52,4659500,34.01
2011-11-11,34.61,35.45,34.44,35.33,5219600,34.81
2011-11-10,34.60,34.84,33.27,34.13,7589200,33.63
2011-11-09,34.74,34.88,33.96,34.05,7238300,33.55
2011-11-08,35.95,36.25,35.28,35.84,5614900,35.31
2011-11-07,35.90,36.08,35.10,35.83,4930700,35.30
2011-11-04,35.00,36.15,34.98,36.01,6128800,35.48
2011-11-03,34.63,35.47,33.63,35.39,8083700,34.87
2011-11-02,34.81,34.90,34.21,34.22,8745600,33.71
2011-11-01,35.06,35.12,34.30,34.50,10104500,33.99
2011-10-31,36.40,36.50,35.71,36.09,5797600,35.56
2011-10-28,36.93,37.01,36.24,36.64,6627300,36.10
2011-10-27,36.74,37.16,36.08,37.01,9109700,36.46
2011-10-26,34.81,36.89,34.25,35.75,18220300,35.22
2011-10-25,36.98,37.33,35.67,35.80,11014900,35.27
2011-10-24,37.50,37.89,36.99,37.39,6817600,36.84
2011-10-21,36.81,37.88,36.78,37.22,6362000,36.67
2011-10-20,37.58,37.70,35.67,36.37,9069900,35.83
2011-10-19,37.89,38.21,37.28,37.42,5999500,36.87
2011-10-18,37.35,38.37,37.13,38.16,5938300,37.60
2011-10-17,37.77,38.30,37.18,37.33,6587100,36.78
2011-10-14,37.50,38.20,37.12,37.93,7666300,37.37
2011-10-13,36.65,37.40,36.52,37.02,7815600,36.47
2011-10-12,36.70,37.35,36.02,36.19,7209400,35.66
2011-10-11,35.95,36.54,35.46,36.52,6856600,35.98
2011-10-10,35.88,36.30,35.59,36.18,5244000,35.65
2011-10-07,35.32,35.96,34.80,35.27,7735500,34.75
