Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,32.36,33.28,32.35,33.11,3246000,32.70
2011-12-29,32.97,32.97,32.38,32.50,3836200,32.10
2011-12-28,33.81,34.04,32.55,32.67,3569800,32.27
2011-12-27,34.20,34.47,33.56,33.71,2703100,33.29
2011-12-23,34.83,34.87,33.94,34.23,2695600,33.81
2011-12-22,34.00,34.88,33.88,34.54,3540800,34.11
2011-12-21,33.21,34.00,32.68,33.90,4142200,33.48
2011-12-20,32.17,33.36,32.12,33.25,4008800,32.84
2011-12-19,33.25,33.25,31.21,31.33,5950100,30.94
2011-12-16,32.83,33.78,32.69,32.98,6957700,32.57
2011-12-15,34.61,34.68,32.64,32.69,5689700,32.28
2011-12-14,33.26,34.32,32.73,33.81,6288400,33.39
2011-12-13,35.03,35.52,33.35,33.64,5220500,33.22
2011-12-12,35.88,35.88,34.01,34.85,6167700,34.42
2011-12-09,35.34,36.96,35.16,36.72,4587800,36.26
2011-12-08,36.55,36.84,35.13,35.30,5405200,34.86
2011-12-07,37.67,37.67,36.26,36.95,6559500,36.49
2011-12-06,38.55,38.72,37.95,38.24,3901100,37.77
2011-12-05,39.25,39.74,38.29,38.61,4903800,38.13
2011-12-02,39.12,39.50,38.09,38.22,4227000,37.75
2011-12-01,39.02,39.50,37.98,38.30,5629300,37.83
2011-11-30,36.04,39.32,35.81,39.23,10242100,38.74
2011-11-29,34.70,35.08,34.22,34.32,4310200,33.89
2011-11-28,34.82,34.90,34.00,34.43,4392600,34.00
2011-11-25,33.26,33.67,32.72,32.78,2285400,32.37
2011-11-23,34.07,34.34,33.15,33.26,6015700,32.85
2011-11-22,35.31,35.84,34.45,34.62,5085000,34.19
2011-11-21,35.16,35.72,34.17,35.42,6371000,34.98
2011-11-18,37.14,37.47,36.03,36.06,6288300,35.61
2011-11-17,39.13,39.33,36.32,36.71,8212100,36.26
2011-11-16,39.38,40.97,39.21,39.31,5409700,38.82
2011-11-15,39.47,40.26,39.00,39.76,5309500,39.27
2011-11-14,40.23,40.86,39.64,39.84,4861700,39.35
2011-11-11,40.83,41.16,40.22,40.43,4757400,39.93
2011-11-10,41.64,41.99,39.66,40.03,7865400,39.53
2011-11-09,41.59,42.10,40.77,40.89,6372500,40.38
2011-11-08,43.84,44.18,42.69,43.40,5155700,42.86
2011-11-07,43.33,44.16,41.89,43.50,5090500,42.96
2011-11-04,42.42,44.65,42.01,43.57,5918800,43.03
2011-11-03,42.37,42.81,41.16,42.62,6831600,42.09
2011-11-02,41.91,42.19,40.42,41.33,6706800,40.82
2011-11-01,41.02,41.54,39.48,40.25,11749100,39.75
