Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,63.98,64.37,63.68,63.74,567900,63.74
2011-12-29,63.71,64.63,63.54,63.87,778900,63.87
2011-12-28,64.40,64.44,63.09,63.65,608600,63.65
2011-12-27,65.14,65.14,64.10,64.29,684500,64.29
2011-12-23,65.09,65.58,64.59,65.58,706100,65.58
2011-12-22,64.60,65.17,64.01,64.69,1046100,64.69
2011-12-21,64.03,64.57,62.95,64.22,1563800,64.22
2011-12-20,63.38,63.61,62.34,63.34,2038800,63.34
2011-12-19,62.78,63.59,61.90,62.11,2549600,62.11
2011-12-16,63.53,63.81,61.98,62.35,19008800,62.35
2011-12-15,61.43,63.70,61.31,62.93,2450400,62.93
2011-12-14,63.37,64.00,61.20,61.90,3755900,61.90
2011-12-13,68.51,68.65,63.25,63.97,3503900,63.97
2011-12-12,68.51,68.59,67.16,68.09,1089300,68.09
2011-12-09,69.40,70.12,69.05,69.15,1811500,69.15
2011-12-08,69.07,69.82,68.03,68.26,1439900,68.26
2011-12-07,69.24,70.26,68.73,69.91,920700,69.91
2011-12-06,69.61,70.54,69.29,70.13,1300700,70.13
2011-12-05,68.54,70.34,68.33,69.76,3770600,69.76
2011-12-02,68.09,68.95,66.62,67.11,1728500,67.11
2011-12-01,65.38,67.88,65.04,67.07,2572700,67.07
2011-11-30,65.51,66.49,64.82,65.92,2603400,65.92
2011-11-29,63.06,63.53,62.00,62.19,1111400,62.19
2011-11-28,63.17,63.62,62.38,63.14,1163200,63.14
2011-11-25,61.52,62.00,60.95,61.20,348200,61.20
2011-11-23,62.22,62.50,61.42,62.01,1222000,62.01
2011-11-22,62.18,63.38,61.70,63.12,1186800,63.12
2011-11-21,62.48,63.03,61.68,62.54,896300,62.54
2011-11-18,64.84,65.18,63.24,63.86,1734700,63.86
2011-11-17,65.62,66.17,63.73,64.57,1347900,64.57
2011-11-16,66.79,67.23,65.21,65.63,1740700,65.63
2011-11-15,67.17,68.05,65.88,67.44,1413300,67.44
2011-11-14,67.69,68.30,66.55,67.35,888900,67.35
2011-11-11,68.45,68.68,67.06,67.96,1593800,67.96
2011-11-10,66.54,68.00,65.74,67.82,1902000,67.82
2011-11-09,68.64,68.66,65.65,66.02,3218100,66.02
2011-11-08,73.81,73.81,69.09,71.04,4523700,71.04
2011-11-07,75.50,76.07,72.95,74.58,1079900,74.58
2011-11-04,74.73,76.25,73.89,75.75,1242500,75.75
2011-11-03,75.42,75.92,73.34,75.52,1380200,75.52
2011-11-02,74.77,75.07,73.23,74.40,1305700,74.40
2011-11-01,73.44,75.00,72.14,73.85,2119700,73.85
2011-10-31,75.16,77.69,75.15,76.49,1806900,76.49
2011-10-28,75.78,77.64,74.00,76.33,2165300,76.33
2011-10-27,75.18,77.70,74.20,76.68,2200200,76.68
2011-10-26,73.97,74.43,71.16,72.52,1149100,72.52
2011-10-25,74.21,74.28,71.61,72.91,948300,72.91
2011-10-24,72.69,74.80,72.04,74.49,1014600,74.49
2011-10-21,70.25,72.87,70.19,72.24,1031300,72.24
2011-10-20,69.49,69.86,67.90,69.42,997500,69.42
2011-10-19,70.96,71.36,69.11,69.56,1012500,69.56
2011-10-18,69.18,71.53,66.94,71.11,2992300,71.11
2011-10-17,70.85,71.82,68.77,69.16,1337400,69.16
2011-10-14,70.82,71.39,69.94,70.86,1099600,70.86
2011-10-13,68.34,69.83,66.75,69.57,1299200,69.57
2011-10-12,69.99,71.75,68.64,68.83,1289500,68.83
2011-10-11,67.81,69.86,67.38,69.52,1533900,69.52
2011-10-10,65.81,68.94,65.57,68.63,1890200,68.63
2011-10-07,64.82,66.12,63.71,64.39,1529400,64.39
2011-10-06,61.38,64.81,60.98,64.16,2135100,64.16
2011-10-05,60.41,61.59,59.27,61.09,2484800,61.09
2011-10-04,55.24,60.18,54.59,60.13,2500000,60.13
2011-10-03,59.90,60.63,56.09,56.14,2619300,56.14
2011-09-30,60.21,61.80,59.29,60.53,1869600,60.53
