Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,100.36,100.69,99.60,99.60,544200,97.46
2011-12-29,99.57,100.21,98.95,100.03,591700,97.88
2011-12-28,101.10,101.10,98.88,99.07,740000,96.94
2011-12-27,100.61,102.32,100.31,101.59,663400,98.87
2011-12-23,100.24,101.14,99.89,101.01,582400,98.30
2011-12-22,98.32,100.53,98.01,100.03,1064600,97.35
2011-12-21,98.37,98.67,97.30,97.90,762200,95.28
2011-12-20,96.48,98.50,96.15,98.39,822700,95.75
2011-12-19,96.09,96.85,94.92,95.11,754600,92.56
2011-12-16,95.68,97.22,95.30,95.96,1305300,93.39
2011-12-15,94.43,96.07,93.56,95.04,1133400,92.49
2011-12-14,92.11,94.52,91.90,93.65,1186200,91.14
2011-12-13,93.73,94.47,91.85,92.54,882800,90.06
2011-12-12,94.62,94.64,92.58,93.35,873700,90.85
2011-12-09,94.18,96.00,93.70,95.49,849000,92.93
2011-12-08,95.40,95.44,93.51,93.79,695000,91.28
2011-12-07,94.67,96.22,93.86,95.87,508700,93.30
2011-12-06,95.17,95.33,94.10,94.91,520200,92.37
2011-12-05,94.96,96.44,94.50,95.23,824800,92.68
2011-12-02,94.43,95.26,93.46,93.73,811200,91.22
2011-12-01,94.94,95.21,93.24,93.57,1071000,91.06
2011-11-30,92.30,95.55,91.74,95.38,1741200,92.82
2011-11-29,90.70,91.21,89.50,89.96,981100,87.55
2011-11-28,91.96,92.48,89.44,90.29,1519700,87.87
2011-11-25,88.64,90.84,88.40,89.15,402300,86.76
2011-11-23,91.28,91.31,88.80,88.82,1014600,86.44
2011-11-22,92.47,93.18,91.58,92.13,764700,89.66
2011-11-21,93.56,93.98,92.43,92.50,1257100,90.02
2011-11-18,94.48,95.21,93.21,95.13,922500,92.58
2011-11-17,95.01,95.78,93.27,93.77,1226600,91.26
2011-11-16,95.53,96.91,95.15,95.29,738600,92.74
2011-11-15,95.47,96.98,94.81,96.39,582900,93.81
2011-11-14,97.49,97.49,95.13,95.60,850300,93.04
2011-11-11,96.79,98.22,96.00,98.09,793800,95.46
2011-11-10,97.01,97.01,94.51,95.39,1072700,92.83
2011-11-09,98.24,99.07,95.43,95.80,1424700,93.23
2011-11-08,99.05,100.64,97.61,100.45,807600,97.76
2011-11-07,98.57,99.83,97.46,98.90,632500,96.25
2011-11-04,98.58,99.06,97.08,98.81,886500,96.16
2011-11-03,99.05,99.80,96.87,99.40,1078600,96.74
2011-11-02,99.07,99.29,96.14,98.33,1473200,95.69
2011-11-01,96.74,98.77,95.63,97.18,2225300,94.58
2011-10-31,98.25,99.78,98.02,98.99,1728400,96.34
2011-10-28,98.50,100.08,98.04,99.84,1298300,97.16
2011-10-27,97.33,99.61,95.67,99.15,1625300,96.49
2011-10-26,91.36,94.86,90.14,94.11,1934500,91.59
2011-10-25,93.82,94.19,92.73,92.99,1053600,90.50
2011-10-24,92.86,95.19,92.54,94.98,1336500,92.43
2011-10-21,91.93,93.63,91.26,92.98,1410000,90.49
2011-10-20,91.09,91.09,88.48,90.85,1305800,88.41
2011-10-19,92.33,93.50,89.85,90.07,1660900,87.66
2011-10-18,90.75,93.21,90.29,92.64,1529700,90.16
2011-10-17,91.46,92.15,90.20,90.56,1174400,88.13
2011-10-14,90.99,92.74,90.69,92.34,1093500,89.86
2011-10-13,89.43,90.63,87.63,89.90,1319100,87.49
2011-10-12,89.54,91.39,88.68,89.92,1366400,87.51
2011-10-11,89.64,90.62,88.51,88.86,1606900,86.48
2011-10-10,87.00,90.59,87.00,90.53,1621600,88.10
2011-10-07,87.30,89.30,85.37,85.47,2239300,83.18
2011-10-06,85.13,87.80,84.00,87.70,1655000,85.35
2011-10-05,86.62,86.62,81.52,85.46,2597700,83.17
2011-10-04,83.13,86.85,82.32,86.54,2900000,84.22
2011-10-03,88.35,90.05,84.64,84.72,2607300,82.45
2011-09-30,91.29,92.72,89.02,89.10,2050200,86.71
2011-09-29,92.69,93.11,91.18,92.68,1664500,90.20
2011-09-28,93.08,93.41,90.63,90.81,1628200,88.38
2011-09-27,94.81,95.40,92.61,93.16,1761300,90.18
2011-09-26,93.03,93.31,90.52,93.00,1610700,90.02
2011-09-23,91.59,92.88,91.31,92.42,1773000,89.46
2011-09-22,92.58,93.18,91.14,92.55,2379500,89.59
2011-09-21,99.94,99.94,94.91,95.05,1755100,92.01
2011-09-20,99.82,101.10,99.45,99.61,1034900,96.42
2011-09-19,100.58,101.74,99.40,99.52,1257000,96.33
2011-09-16,102.84,103.92,101.52,102.50,1753700,99.22
2011-09-15,101.41,102.78,100.42,102.76,1283400,99.47
2011-09-14,100.53,101.21,98.27,100.56,1602000,97.34
2011-09-13,100.64,101.37,99.04,99.74,1991300,96.55
2011-09-12,99.05,100.49,98.31,100.45,1264000,97.23
2011-09-09,102.20,103.00,99.27,100.26,1278800,97.05
2011-09-08,103.84,104.72,103.13,103.55,1213200,100.23
2011-09-07,102.59,104.36,101.01,104.10,2091400,100.77
2011-09-06,98.37,102.69,98.35,101.77,1386600,98.51
2011-09-02,99.91,102.45,99.91,101.25,1035800,98.01
2011-09-01,104.32,104.51,102.06,102.44,963900,99.16
2011-08-31,103.90,104.58,102.67,104.29,1577100,100.95
2011-08-30,103.71,104.22,101.22,103.47,1062000,100.16
2011-08-29,101.85,103.73,101.12,103.64,1208800,100.32
2011-08-26,98.35,100.69,96.43,100.60,1068800,97.38
2011-08-25,101.41,103.03,98.69,99.53,1334400,96.34
2011-08-24,100.38,101.79,98.94,101.12,1723800,97.88
2011-08-23,98.10,100.35,97.51,100.31,1152500,97.10
2011-08-22,100.83,100.83,97.36,97.99,1523700,94.85
2011-08-19,99.02,101.58,98.50,98.78,1747900,95.62
2011-08-18,100.39,101.75,98.84,100.04,2152000,96.84
2011-08-17,102.96,104.67,102.62,104.09,1408800,100.76
2011-08-16,101.64,103.75,100.73,103.02,1406800,99.72
2011-08-15,100.76,103.50,100.63,103.26,1587400,99.95
2011-08-12,101.24,102.30,99.37,100.17,1421200,96.96
2011-08-11,96.73,102.21,95.32,100.31,2883800,97.10
2011-08-10,94.66,100.35,94.00,95.66,4294900,92.60
2011-08-09,90.65,97.16,89.36,97.12,3526700,94.01
2011-08-08,94.68,95.14,89.02,89.10,3011000,86.25
2011-08-05,99.70,100.27,95.25,96.91,2307000,93.81
2011-08-04,101.81,102.15,98.28,98.38,2007300,95.23
2011-08-03,103.28,103.43,100.25,103.12,1583600,99.82
2011-08-02,105.20,106.81,103.45,103.48,1787000,100.17
2011-08-01,108.77,108.98,105.17,105.96,1180800,102.57
2011-07-29,106.21,107.78,105.27,107.36,1091500,103.92
2011-07-28,107.21,107.96,105.78,107.21,1000700,103.78
2011-07-27,110.04,110.10,106.89,106.99,1318700,103.56
2011-07-26,111.08,111.13,109.65,110.37,916900,106.84
2011-07-25,111.12,111.65,110.38,110.92,929200,107.37
2011-07-22,112.57,112.78,111.79,112.27,832900,108.67
2011-07-21,111.55,112.84,111.14,112.36,896300,108.76
2011-07-20,111.28,111.46,110.05,110.66,839200,107.12
2011-07-19,108.96,111.00,108.96,110.99,955800,107.44
2011-07-18,108.90,109.17,107.11,108.10,859500,104.64
2011-07-15,108.44,109.51,107.70,109.46,784800,105.95
2011-07-14,109.01,109.20,107.17,107.97,1151200,104.51
2011-07-13,109.43,110.12,108.43,108.46,715800,104.99
2011-07-12,108.47,110.86,108.31,108.97,1019600,105.48
2011-07-11,109.47,109.88,108.38,108.59,763200,105.11
2011-07-08,110.10,110.84,109.55,110.75,693400,107.20
2011-07-07,111.54,111.94,110.84,111.48,936900,107.91
2011-07-06,109.56,110.91,108.83,110.62,964700,107.08
2011-07-05,107.83,110.24,107.12,109.76,1377600,106.24
2011-07-01,106.00,108.20,105.99,107.83,1025400,104.38
2011-06-30,105.95,106.50,105.17,106.16,939000,102.76
2011-06-29,104.95,105.81,104.40,105.71,847500,102.32
2011-06-28,103.99,104.44,102.97,104.30,990400,100.96
2011-06-27,102.82,104.02,102.50,103.86,1027700,100.05
2011-06-24,103.74,104.56,102.27,102.61,2529900,98.85
2011-06-23,105.47,105.77,102.71,103.67,1607300,99.87
2011-06-22,106.26,107.95,105.92,106.76,1028200,102.84
2011-06-21,106.72,106.91,105.70,106.73,1053900,102.81
2011-06-20,103.53,105.96,103.45,105.68,901000,101.80
2011-06-17,103.59,104.51,102.75,103.93,1958100,100.12
2011-06-16,101.34,102.82,100.73,102.74,1614200,98.97
2011-06-15,102.34,102.65,100.00,101.04,1197900,97.33
2011-06-14,102.61,103.47,102.33,103.15,1294000,99.37
2011-06-13,101.65,102.42,100.83,101.65,1227000,97.92
2011-06-10,103.60,103.65,100.50,101.19,1571600,97.48
2011-06-09,104.55,104.73,102.45,103.16,1083300,99.38
2011-06-08,104.45,105.74,104.18,104.43,1196700,100.60
2011-06-07,103.64,105.67,103.28,104.49,1126300,100.66
2011-06-06,104.37,105.02,102.95,103.21,1098100,99.42
2011-06-03,103.19,105.24,103.19,104.47,1229700,100.64
2011-06-02,104.47,106.00,104.47,104.49,1227900,100.66
2011-06-01,107.68,108.20,104.87,104.98,1393000,101.13
2011-05-31,107.01,108.35,106.62,108.35,1235600,104.37
2011-05-27,106.30,106.50,105.15,106.33,549000,102.43
2011-05-26,103.84,105.97,103.51,105.78,653600,101.90
2011-05-25,104.10,104.74,102.44,104.10,948400,100.28
2011-05-24,103.76,104.22,103.01,103.27,730300,99.48
2011-05-23,103.19,103.96,103.19,103.52,980200,99.72
2011-05-20,106.21,106.45,104.23,104.51,1132200,100.68
2011-05-19,106.18,106.77,105.71,106.29,818700,102.39
2011-05-18,104.65,105.86,104.02,105.71,610100,101.83
2011-05-17,104.17,104.73,103.61,104.41,735000,100.58
2011-05-16,102.85,105.14,102.73,104.59,1274400,100.75
2011-05-13,104.28,104.28,102.56,103.01,1008100,99.23
2011-05-12,104.12,104.32,103.33,104.00,1050900,100.18
2011-05-11,105.45,105.62,104.39,104.52,987500,100.69
2011-05-10,104.00,105.74,103.86,105.71,1120500,101.83
2011-05-09,103.33,104.25,102.96,103.94,663300,100.13
2011-05-06,104.97,105.00,102.88,103.33,1332000,99.54
2011-05-05,103.93,105.23,103.66,104.19,1008100,100.37
2011-05-04,103.77,105.09,103.05,104.51,1284700,100.68
2011-05-03,104.09,105.38,102.36,103.79,1109000,99.98
2011-05-02,105.19,105.33,103.47,104.10,1176800,100.28
2011-04-29,103.83,104.58,102.68,104.53,1500000,100.70
2011-04-28,101.81,104.19,101.62,103.78,1482200,99.97
2011-04-27,101.18,102.27,100.72,101.89,850400,98.15
