Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,26.63,26.65,26.39,26.40,1883900,25.43
2011-12-29,26.46,26.65,26.43,26.62,2043000,25.65
2011-12-28,26.56,26.64,26.35,26.36,1604900,25.40
2011-12-27,26.51,26.68,26.47,26.61,1564500,25.64
2011-12-23,26.37,26.63,26.35,26.60,2162400,25.63
2011-12-22,26.46,26.50,26.29,26.37,2973200,25.41
2011-12-21,26.32,26.53,26.24,26.46,3725300,25.49
2011-12-20,25.95,26.38,25.49,26.19,7917400,25.23
2011-12-19,25.45,25.66,25.09,25.17,4011200,24.25
2011-12-16,25.66,25.76,25.44,25.45,4827400,24.52
2011-12-15,25.48,25.66,25.45,25.55,5594600,24.62
2011-12-14,25.30,25.49,25.16,25.26,3544800,24.34
2011-12-13,25.52,25.72,25.26,25.35,2715500,24.42
2011-12-12,25.64,25.67,25.37,25.45,3431300,24.52
2011-12-09,25.45,25.76,25.44,25.70,2504300,24.76
2011-12-08,25.31,25.67,25.31,25.37,2575800,24.44
2011-12-07,25.51,25.62,25.30,25.49,3259700,24.56
2011-12-06,25.69,25.75,25.52,25.52,2792100,24.59
2011-12-05,25.47,25.75,25.47,25.66,4012500,24.72
2011-12-02,25.45,25.53,25.25,25.29,2348900,24.36
2011-12-01,25.28,25.41,25.13,25.20,2722200,24.28
2011-11-30,24.97,25.27,24.69,25.26,5283300,24.34
2011-11-29,24.46,24.61,24.30,24.53,3701600,23.63
2011-11-28,24.29,24.46,24.19,24.31,3769200,23.42
2011-11-25,23.86,24.07,23.85,23.95,1173700,23.07
2011-11-23,24.06,24.09,23.81,23.86,2841600,22.99
2011-11-22,24.20,24.36,24.04,24.18,3036700,23.30
2011-11-21,24.04,24.27,23.97,24.19,4711300,23.31
2011-11-18,24.41,24.46,24.16,24.28,2701100,23.39
2011-11-17,24.69,24.73,24.20,24.31,4275200,23.42
2011-11-16,24.75,25.10,24.66,24.75,3515400,23.84
2011-11-15,24.91,24.99,24.75,24.94,2625700,24.03
2011-11-14,24.84,24.99,24.74,24.92,8226100,24.01
2011-11-11,25.24,25.24,24.61,24.77,5294000,23.86
2011-11-10,25.29,25.49,25.11,25.33,2205600,24.40
2011-11-09,25.78,25.78,25.05,25.15,3576400,24.23
2011-11-08,25.84,25.97,25.59,25.95,3117400,25.00
2011-11-07,25.35,25.82,25.31,25.78,2940400,24.84
2011-11-04,25.23,25.49,25.19,25.39,3006100,24.46
2011-11-03,25.35,25.47,25.20,25.27,5586300,24.35
2011-11-02,25.35,25.44,25.13,25.25,2702800,24.33
2011-11-01,24.81,25.33,24.65,25.15,5358400,24.23
2011-10-31,25.23,25.55,25.15,25.33,4399600,24.40
2011-10-28,25.35,25.48,25.21,25.27,2754400,24.35
2011-10-27,25.26,25.51,25.03,25.32,4189800,24.39
2011-10-26,25.18,25.29,24.96,25.17,3200200,24.02
2011-10-25,25.34,25.37,24.97,25.00,4554600,23.86
2011-10-24,25.58,25.81,25.32,25.35,10851000,24.19
2011-10-21,25.68,25.85,25.43,25.52,10532800,24.35
2011-10-20,25.46,25.55,25.20,25.43,10410700,24.27
2011-10-19,25.71,25.86,25.38,25.41,3344300,24.25
2011-10-18,25.35,25.90,25.21,25.73,2709100,24.55
2011-10-17,25.50,25.70,25.33,25.37,1870600,24.21
2011-10-14,25.69,25.73,25.43,25.63,2038800,24.46
2011-10-13,25.59,25.75,25.41,25.50,2535200,24.33
2011-10-12,25.36,25.69,25.34,25.60,4253100,24.43
2011-10-11,25.33,25.51,25.23,25.34,2789600,24.18
2011-10-10,25.20,25.32,25.11,25.32,2560400,24.16
2011-10-07,24.99,25.22,24.91,25.03,4318700,23.88
2011-10-06,24.48,24.97,24.39,24.97,3986300,23.83
2011-10-05,24.58,24.60,24.22,24.43,5751600,23.31
2011-10-04,23.70,24.59,23.64,24.58,7800000,23.46
2011-10-03,24.00,24.38,23.96,24.02,5648600,22.92
2011-09-30,24.24,24.58,24.18,24.22,4881900,23.11
2011-09-29,24.33,24.47,24.12,24.36,10657100,23.25
2011-09-28,24.50,24.54,24.01,24.06,3837500,22.96
2011-09-27,24.60,24.78,24.31,24.39,4318600,23.27
2011-09-26,23.72,24.18,23.69,24.15,4772300,23.04
2011-09-23,23.62,23.71,23.30,23.62,5748300,22.54
2011-09-22,22.47,23.76,22.39,23.65,10138000,22.57
2011-09-21,23.04,23.37,22.90,23.03,5709200,21.98
2011-09-20,23.24,23.87,22.65,22.99,9489400,21.94
2011-09-19,23.63,23.71,23.31,23.39,4244100,22.32
2011-09-16,24.33,24.33,23.75,23.93,5968800,22.83
2011-09-15,23.30,23.76,23.08,23.63,7936800,22.55
2011-09-14,23.99,24.00,23.26,23.45,8765200,22.38
2011-09-13,23.85,24.13,23.72,24.06,2801700,22.96
2011-09-12,23.64,23.89,23.45,23.85,3258000,22.76
2011-09-09,24.51,24.54,23.68,23.80,4518400,22.71
2011-09-08,24.61,24.91,24.54,24.76,3163200,23.63
2011-09-07,24.19,24.74,24.15,24.74,2956600,23.61
2011-09-06,23.67,24.04,23.40,23.90,2295000,22.81
2011-09-02,24.33,24.46,24.07,24.09,2219000,22.99
2011-09-01,24.48,24.82,24.34,24.55,3165500,23.43
2011-08-31,24.61,24.68,24.18,24.42,7001500,23.30
2011-08-30,24.24,24.65,24.11,24.55,2883700,23.43
2011-08-29,24.13,24.44,24.08,24.41,2298800,23.29
2011-08-26,23.61,23.99,23.18,23.91,2240900,22.82
2011-08-25,24.08,24.16,23.61,23.66,2555700,22.58
2011-08-24,23.79,24.08,23.69,24.04,2975400,22.94
2011-08-23,23.33,23.92,23.17,23.92,4157900,22.83
2011-08-22,23.58,23.62,23.21,23.27,2953400,22.20
2011-08-19,23.16,23.54,23.10,23.28,4134400,22.21
2011-08-18,23.42,23.58,23.08,23.39,4992500,22.32
2011-08-17,24.02,24.26,23.62,23.75,2988100,22.66
2011-08-16,23.44,23.84,23.33,23.75,5138500,22.66
2011-08-15,23.36,23.62,23.17,23.60,3323500,22.52
2011-08-12,23.22,23.40,22.95,23.19,5147700,22.13
2011-08-11,22.82,23.24,22.56,23.01,6303300,21.96
2011-08-10,22.80,23.18,22.64,22.72,9276400,21.68
2011-08-09,23.23,23.74,22.20,22.99,13790100,21.94
2011-08-08,23.90,24.30,23.35,23.57,12652500,22.49
2011-08-05,24.40,24.50,23.82,24.44,8025900,23.32
2011-08-04,24.87,25.04,24.08,24.12,5384900,23.02
2011-08-03,25.13,25.38,24.94,25.08,4708900,23.93
2011-08-02,25.29,25.46,25.16,25.16,3208200,24.01
2011-08-01,25.83,25.83,25.34,25.48,4089300,24.31
2011-07-29,25.51,25.76,25.36,25.61,4481600,24.44
2011-07-28,25.84,25.95,25.60,25.63,3073500,24.46
2011-07-27,26.10,26.16,25.74,25.78,3402800,24.60
2011-07-26,26.38,26.43,26.18,26.36,3761700,24.93
2011-07-25,26.26,26.60,26.25,26.25,3054000,24.83
2011-07-22,26.50,26.53,26.30,26.52,2904100,25.09
2011-07-21,26.47,26.59,26.37,26.53,3094000,25.09
2011-07-20,26.56,26.57,26.29,26.39,3242300,24.96
2011-07-19,26.19,26.50,26.16,26.49,3551400,25.06
2011-07-18,26.12,26.27,26.03,26.23,7675900,24.81
2011-07-15,25.98,26.37,25.67,26.37,13149600,24.94
2011-07-14,26.30,26.41,26.21,26.26,10847600,24.84
2011-07-13,26.42,26.48,26.24,26.27,4222200,24.85
2011-07-12,26.10,26.50,26.04,26.32,4867700,24.90
2011-07-11,26.15,26.29,25.94,26.15,3665400,24.74
2011-07-08,26.06,26.34,26.02,26.31,4606400,24.89
2011-07-07,26.09,26.50,26.08,26.25,7432900,24.83
2011-07-06,25.74,26.00,25.70,25.99,4116700,24.58
2011-07-05,25.86,25.89,25.64,25.74,2269900,24.35
2011-07-01,25.75,25.90,25.69,25.90,4059000,24.50
2011-06-30,25.76,25.83,25.62,25.81,5050900,24.41
2011-06-29,25.73,25.92,25.56,25.71,3076200,24.32
2011-06-28,25.52,25.86,25.47,25.72,5131600,24.33
2011-06-27,25.69,25.75,25.36,25.39,3883100,24.02
2011-06-24,25.33,25.52,25.15,25.20,5500100,23.84
2011-06-23,24.68,25.64,24.55,25.37,11999700,24.00
2011-06-22,24.94,25.44,24.90,25.42,8296400,24.04
2011-06-21,24.96,25.16,24.81,24.93,7260200,23.58
2011-06-20,24.65,24.97,24.62,24.86,3285100,23.52
2011-06-17,24.87,24.98,24.63,24.65,5231000,23.32
2011-06-16,24.50,24.91,24.27,24.67,6047200,23.34
2011-06-15,24.27,24.31,23.91,24.03,4196100,22.73
2011-06-14,24.45,24.49,24.23,24.40,3571800,23.08
2011-06-13,24.31,24.46,24.16,24.31,2428800,22.99
2011-06-10,24.27,24.46,24.14,24.18,3299200,22.87
2011-06-09,24.36,24.63,24.26,24.55,3225200,23.22
2011-06-08,24.34,24.36,24.00,24.34,3108300,23.02
2011-06-07,24.44,24.65,24.32,24.33,2881300,23.01
2011-06-06,24.39,24.49,24.32,24.36,2896200,23.04
2011-06-03,24.72,24.75,24.42,24.47,3825500,23.15
2011-06-02,25.32,25.33,24.78,24.94,3324800,23.59
2011-06-01,25.43,25.50,25.27,25.29,4284600,23.92
2011-05-31,25.14,25.44,25.05,25.43,3521400,24.05
2011-05-27,25.00,25.18,24.91,25.04,2410200,23.69
2011-05-26,24.73,24.97,24.67,24.93,3286400,23.58
2011-05-25,24.75,25.20,24.75,24.75,5293600,23.41
2011-05-24,25.38,25.48,25.22,25.30,2058600,23.93
2011-05-23,25.35,25.54,25.30,25.37,2580900,24.00
2011-05-20,25.48,25.69,25.32,25.52,2812600,24.14
2011-05-19,25.43,25.62,25.29,25.58,3099200,24.20
2011-05-18,25.24,25.37,25.16,25.35,5728500,23.98
2011-05-17,25.45,25.48,25.15,25.20,5601700,23.84
2011-05-16,25.42,25.55,25.32,25.47,3229700,24.09
2011-05-13,25.50,25.61,25.35,25.52,2690400,24.14
2011-05-12,25.25,25.60,25.20,25.52,3253100,24.14
2011-05-11,25.19,25.39,25.14,25.23,3429500,23.87
2011-05-10,25.35,25.47,25.18,25.28,3261300,23.91
2011-05-09,25.22,25.37,25.02,25.25,3712400,23.88
2011-05-06,25.30,25.57,25.16,25.17,5112000,23.81
2011-05-05,25.32,25.69,25.05,25.07,11899700,23.71
2011-05-04,25.01,25.82,24.87,25.51,18420000,24.13
2011-05-03,24.61,24.84,24.56,24.75,7305500,23.41
2011-05-02,24.50,24.97,24.50,24.68,5621600,23.34
2011-04-29,24.31,24.50,24.09,24.45,7943900,23.13
2011-04-28,24.29,24.37,24.20,24.34,2556900,23.02
2011-04-27,24.15,24.39,24.09,24.34,3039000,23.02
2011-04-26,24.10,24.34,24.09,24.26,3000000,22.73
2011-04-25,24.05,24.13,23.96,24.05,2302200,22.53
2011-04-21,24.53,24.53,24.05,24.12,3512900,22.60
2011-04-20,24.65,24.74,24.33,24.36,3554500,22.82
2011-04-19,24.42,24.56,24.37,24.47,2897400,22.93
2011-04-18,24.43,24.57,24.23,24.37,2803700,22.83
2011-04-15,24.23,24.71,24.21,24.69,6077500,23.13
2011-04-14,23.56,24.24,23.54,24.16,3859200,22.64
2011-04-13,23.65,23.75,23.60,23.60,5013100,22.11
2011-04-12,23.76,23.77,23.51,23.62,3106700,22.13
2011-04-11,23.67,23.86,23.67,23.83,1836000,22.33
2011-04-08,23.86,23.91,23.58,23.65,2367500,22.16
2011-04-07,23.84,23.87,23.66,23.78,1903500,22.28
2011-04-06,23.84,23.99,23.76,23.89,2200800,22.38
2011-04-05,23.81,23.98,23.80,23.82,2761600,22.32
2011-04-04,23.92,23.92,23.76,23.79,1849300,22.29
2011-04-01,23.90,23.95,23.69,23.84,2705000,22.34
2011-03-31,23.90,23.95,23.72,23.75,2768100,22.25
2011-03-30,23.77,23.99,23.77,23.85,4694300,22.35
2011-03-29,23.75,23.84,23.61,23.71,2479900,22.21
2011-03-28,23.84,23.95,23.72,23.74,2450200,22.24
2011-03-25,23.43,23.90,23.43,23.83,5519700,22.33
2011-03-24,23.20,23.47,22.82,23.40,6750500,21.92
2011-03-23,22.64,23.06,22.64,22.93,3257100,21.48
2011-03-22,23.08,23.09,22.89,22.99,3380000,21.54
2011-03-21,22.89,23.10,22.86,23.06,3011300,21.61
2011-03-18,22.69,22.93,22.59,22.77,5399000,21.33
2011-03-17,23.19,23.19,22.44,22.48,6647700,21.06
2011-03-16,22.90,23.00,22.70,22.83,5975500,21.39
2011-03-15,22.94,23.14,22.77,23.03,6631100,21.58
2011-03-14,23.25,23.39,23.17,23.26,5629000,21.79
2011-03-11,23.34,23.47,23.33,23.37,1721000,21.90
2011-03-10,23.13,23.46,23.12,23.35,3290200,21.88
2011-03-09,23.22,23.41,23.20,23.38,2400500,21.91
2011-03-08,23.08,23.29,23.08,23.28,2685900,21.81
2011-03-07,23.20,23.39,23.02,23.05,3639000,21.60
2011-03-04,23.10,23.20,22.99,23.16,3052600,21.70
2011-03-03,23.12,23.23,23.05,23.17,2737100,21.71
2011-03-02,22.93,22.99,22.65,22.93,4047800,21.48
2011-03-01,23.24,23.30,22.90,22.91,3536000,21.47
2011-02-28,23.08,23.25,23.01,23.16,2741700,21.70
2011-02-25,22.86,23.09,22.77,23.00,3816700,21.55
2011-02-24,22.76,22.89,22.63,22.77,3925400,21.33
2011-02-23,22.45,22.81,22.45,22.73,3717100,21.30
2011-02-22,22.49,22.75,22.45,22.54,5127100,21.12
2011-02-18,22.79,22.85,22.64,22.76,3856800,21.32
2011-02-17,22.66,22.81,22.58,22.80,3146500,21.36
2011-02-16,22.50,22.70,22.47,22.67,4094200,21.24
2011-02-15,22.68,22.70,22.36,22.41,4955100,21.00
2011-02-14,22.55,22.78,22.50,22.72,3444700,21.29
2011-02-11,22.65,22.76,22.36,22.52,5918600,21.10
2011-02-10,22.71,22.89,22.65,22.70,2974500,21.27
2011-02-09,22.69,22.95,22.64,22.90,3211000,21.46
2011-02-08,22.76,22.89,22.61,22.70,3618400,21.27
2011-02-07,22.78,22.82,22.64,22.71,3055900,21.28
2011-02-04,22.55,22.85,22.54,22.78,2463600,21.34
2011-02-03,22.46,22.60,22.34,22.54,3378200,21.12
2011-02-02,22.48,22.60,22.43,22.54,2719300,21.12
2011-02-01,22.39,22.63,22.39,22.54,3103700,21.12
2011-01-31,22.48,22.51,22.28,22.33,5343400,20.92
2011-01-28,22.93,23.04,22.43,22.44,4545500,21.02
2011-01-27,23.08,23.08,22.80,22.87,5301300,21.43
2011-01-26,23.66,23.67,23.24,23.29,4765800,21.61
2011-01-25,23.50,23.68,23.39,23.58,3352300,21.87
2011-01-24,23.44,23.65,23.38,23.50,6928200,21.80
2011-01-21,23.51,23.58,23.30,23.47,2933100,21.77
2011-01-20,23.11,23.64,23.08,23.46,3990000,21.76
2011-01-19,23.20,23.40,23.13,23.14,3575800,21.47
2011-01-18,23.16,23.25,23.08,23.22,2847000,21.54
2011-01-14,23.22,23.35,23.05,23.11,3273200,21.44
2011-01-13,23.17,23.37,23.15,23.20,4190600,21.52
2011-01-12,22.78,23.36,22.71,23.21,4871800,21.53
2011-01-11,22.70,22.75,22.64,22.67,3496500,21.03
2011-01-10,22.76,22.77,22.52,22.67,5400700,21.03
2011-01-07,22.67,22.71,22.43,22.61,6251900,20.97
2011-01-06,22.70,22.76,22.63,22.69,5779400,21.05
2011-01-05,22.53,22.85,22.53,22.69,4277500,21.05
2011-01-04,22.65,22.70,22.55,22.64,4112200,21.00
2011-01-03,22.69,22.75,22.52,22.60,5061000,20.97
