Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,40.53,40.93,40.45,40.61,870100,39.66
2011-12-29,40.04,40.68,40.01,40.64,1222800,39.69
2011-12-28,40.65,40.87,40.01,40.06,1190300,39.13
2011-12-27,40.94,41.02,40.58,40.87,1395200,39.71
2011-12-23,41.00,41.03,40.79,40.96,1291300,39.79
2011-12-22,40.79,40.96,40.52,40.89,1427400,39.73
2011-12-21,40.73,40.93,40.45,40.64,1976200,39.48
2011-12-20,40.90,41.15,40.75,40.83,2948000,39.67
2011-12-19,41.08,41.20,40.22,40.34,2548600,39.19
2011-12-16,41.37,41.63,40.94,40.94,2970000,39.77
2011-12-15,41.04,41.23,40.78,41.03,1486800,39.86
2011-12-14,40.94,41.17,40.54,40.58,2289000,39.42
2011-12-13,41.27,41.65,40.73,40.97,2079100,39.80
2011-12-12,41.50,41.59,40.88,41.14,1642200,39.97
2011-12-09,41.45,42.16,41.33,41.89,1838700,40.70
2011-12-08,41.60,41.78,41.19,41.29,3106000,40.11
2011-12-07,41.01,42.18,40.66,41.81,5433000,40.62
2011-12-06,41.18,41.53,40.94,41.03,2740300,39.86
2011-12-05,42.08,42.19,40.84,41.01,3838400,39.84
2011-12-02,42.61,42.62,40.93,41.44,5160300,40.26
2011-12-01,42.47,42.94,42.29,42.37,1675400,41.16
2011-11-30,42.00,42.48,41.59,42.46,2649800,41.25
2011-11-29,41.82,41.82,40.71,40.90,3298800,39.74
2011-11-28,41.43,41.66,41.15,41.64,2502900,40.45
2011-11-25,40.70,40.84,40.29,40.29,900200,39.14
2011-11-23,40.16,41.18,39.81,40.85,3623600,39.69
2011-11-22,40.50,40.97,40.29,40.53,2699800,39.38
2011-11-21,41.16,41.45,40.40,40.65,3422300,39.49
2011-11-18,42.57,42.60,41.86,41.88,2254300,40.69
2011-11-17,42.81,43.16,42.03,42.24,2096600,41.04
2011-11-16,43.87,44.00,42.85,42.90,1998800,41.68
2011-11-15,44.13,44.48,43.79,44.33,1779500,43.07
2011-11-14,44.58,44.88,44.25,44.35,1953300,43.09
2011-11-11,43.78,44.94,43.75,44.91,2650100,43.63
2011-11-10,43.20,43.58,42.73,43.20,1787000,41.97
2011-11-09,43.35,43.52,42.62,42.88,2400000,41.66
2011-11-08,44.35,44.35,43.65,44.14,2625900,42.88
2011-11-07,43.73,44.17,43.38,44.16,1491500,42.90
2011-11-04,44.08,44.37,43.45,43.75,1480500,42.50
2011-11-03,44.37,44.67,43.96,44.25,1875200,42.99
