Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,54.35,54.58,54.14,54.15,645300,52.98
2011-12-29,54.14,54.63,54.10,54.50,798600,53.33
2011-12-28,54.69,54.86,53.82,53.97,629800,52.81
2011-12-27,54.92,55.20,54.62,54.77,684200,53.59
2011-12-23,54.61,55.27,54.27,55.00,669300,53.82
2011-12-22,53.58,54.46,53.43,54.23,1095600,53.06
2011-12-21,53.37,53.68,52.66,53.47,1576400,52.32
2011-12-20,52.09,53.58,51.96,53.42,1145000,52.27
2011-12-19,51.89,52.55,50.77,50.96,1105200,49.86
2011-12-16,52.47,52.97,51.28,51.69,2266400,50.58
2011-12-15,52.54,52.75,51.59,51.98,751000,50.86
2011-12-14,51.85,52.13,51.25,51.85,1227100,50.73
2011-12-13,53.54,53.85,51.86,52.20,1026700,51.08
2011-12-12,54.37,54.52,52.81,53.37,1133400,52.22
2011-12-09,54.26,55.25,53.89,55.05,1033400,53.86
2011-12-08,55.00,55.26,53.69,53.84,1153900,52.68
2011-12-07,56.01,56.19,55.10,55.48,1085300,54.28
2011-12-06,56.19,56.85,55.95,56.49,946500,55.27
2011-12-05,56.17,56.60,55.74,56.04,1493300,54.83
2011-12-02,55.62,55.70,54.91,55.28,1443700,54.09
2011-12-01,55.25,55.45,54.76,54.99,1341700,53.81
2011-11-30,55.05,55.54,54.70,55.53,2121600,54.33
2011-11-29,54.30,54.43,52.93,53.05,1936000,51.91
2011-11-28,51.92,54.25,51.87,54.05,1789400,52.89
2011-11-25,51.98,52.70,51.90,51.96,662400,50.56
2011-11-23,53.26,53.26,52.16,52.29,3114000,50.88
2011-11-22,53.55,54.54,53.19,53.65,36034800,52.20
2011-11-21,54.85,55.28,53.01,53.51,12965100,52.06
2011-11-18,52.04,52.35,51.18,52.14,873400,50.73
2011-11-17,52.82,52.84,51.23,51.56,754500,50.17
2011-11-16,53.35,54.23,52.96,52.97,740000,51.54
2011-11-15,53.72,54.49,53.57,53.89,1014600,52.43
2011-11-14,54.35,54.89,53.66,53.91,825400,52.45
2011-11-11,54.47,55.42,54.40,54.70,824700,53.22
2011-11-10,53.97,54.20,52.94,53.91,853200,52.45
2011-11-09,53.53,54.20,52.38,52.75,758500,51.33
2011-11-08,55.00,55.85,54.69,55.58,1057500,54.08
2011-11-07,55.44,55.65,54.18,55.25,825200,53.76
2011-11-04,53.81,55.64,53.48,55.29,1485600,53.80
2011-11-03,53.39,54.63,52.58,54.30,845200,52.83
2011-11-02,52.17,52.92,51.77,52.64,1069900,51.22
2011-11-01,50.25,52.08,50.09,51.21,1230800,49.83
2011-10-31,54.74,54.74,52.32,52.46,1526000,51.04
2011-10-28,54.68,55.38,54.37,54.92,1346100,53.44
2011-10-27,54.60,56.09,53.72,55.52,1120100,54.02
2011-10-26,53.06,53.17,51.77,52.64,899800,51.22
2011-10-25,52.73,53.40,51.69,52.40,855300,50.98
2011-10-24,51.67,53.89,51.41,53.24,933900,51.80
2011-10-21,51.58,51.84,50.62,51.66,1036900,50.26
2011-10-20,50.00,51.73,49.35,50.65,1417100,49.28
2011-10-19,51.03,51.57,50.32,50.53,1161400,49.17
2011-10-18,49.73,51.51,49.34,51.03,1103600,49.65
2011-10-17,51.44,52.05,49.55,49.64,986900,48.30
2011-10-14,51.92,52.24,50.80,51.57,1046800,50.18
2011-10-13,51.13,51.24,50.39,50.81,539500,49.44
2011-10-12,51.62,52.24,50.96,51.33,1109000,49.94
2011-10-11,50.00,51.28,49.79,51.03,1040900,49.65
2011-10-10,49.62,50.11,49.16,50.04,906600,48.69
2011-10-07,49.65,50.09,47.91,48.39,1252900,47.08
2011-10-06,47.55,49.24,47.06,49.24,1542500,47.91
2011-10-05,46.01,47.77,45.70,47.55,1390000,46.27
2011-10-04,43.85,45.98,43.52,45.87,1500000,44.63
