Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,27.27,27.72,27.14,27.14,4222300,26.78
2011-12-29,27.05,27.32,26.91,27.24,3150400,26.88
2011-12-28,27.01,27.07,26.63,26.91,6474200,26.56
2011-12-27,26.78,27.20,26.76,27.05,3254300,26.69
2011-12-23,26.53,26.98,26.35,26.89,3210000,26.54
2011-12-22,26.16,26.50,25.83,26.45,4786600,26.10
2011-12-21,25.80,26.29,25.65,26.13,5399600,25.79
2011-12-20,25.16,26.10,25.08,25.84,7012800,25.50
2011-12-19,25.08,25.28,24.49,24.63,7474600,24.31
2011-12-16,24.96,25.27,24.63,24.84,7486800,24.51
2011-12-15,25.25,25.30,24.67,24.72,8664800,24.39
2011-12-14,25.26,25.31,24.62,25.04,6495900,24.71
2011-12-13,26.44,26.68,25.39,25.53,7157300,25.19
2011-12-12,26.18,26.36,25.69,26.25,6488600,25.90
2011-12-09,25.93,26.75,25.71,26.64,6398600,26.29
2011-12-08,26.25,26.27,25.56,25.64,6672400,25.30
2011-12-07,25.81,26.60,25.65,26.44,9920500,26.09
2011-12-06,25.64,26.37,25.62,26.23,8307200,25.79
2011-12-05,26.12,26.40,25.49,25.64,9900400,25.21
2011-12-02,25.82,26.00,25.29,25.56,7415100,25.13
2011-12-01,26.12,26.15,25.35,25.42,7865200,24.99
2011-11-30,25.57,26.05,25.47,26.04,11340000,25.60
2011-11-29,24.50,24.85,24.24,24.62,6823900,24.20
2011-11-28,24.50,24.75,24.09,24.39,6112800,23.98
2011-11-25,23.43,23.88,23.43,23.55,3266400,23.15
2011-11-23,23.86,24.02,23.35,23.44,5861600,23.04
2011-11-22,23.97,24.47,23.86,24.26,7153800,23.85
2011-11-21,24.19,24.32,23.87,24.09,8181100,23.68
2011-11-18,25.06,25.06,24.55,24.78,7568700,24.36
2011-11-17,25.04,25.13,24.30,24.75,13186100,24.33
2011-11-16,25.15,25.85,24.97,25.06,7660500,24.64
2011-11-15,25.92,25.98,25.20,25.48,9399400,25.05
