Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,67.67,68.10,67.36,67.60,1781000,67.60
2011-12-29,67.02,67.64,66.85,67.55,1548700,67.55
2011-12-28,68.16,68.16,66.73,66.80,1937800,66.80
2011-12-27,67.27,68.04,67.05,68.01,1319400,68.01
2011-12-23,67.44,67.44,66.60,67.32,1169400,67.32
2011-12-22,66.92,67.10,66.47,67.09,1888600,67.09
2011-12-21,66.56,67.53,65.73,66.55,3209900,66.55
2011-12-20,65.38,66.88,65.36,66.43,5353800,66.43
2011-12-19,63.84,65.00,63.60,64.58,3186400,64.58
2011-12-16,63.43,64.02,62.89,63.69,5738700,63.69
2011-12-15,63.50,63.60,62.98,63.10,3135800,63.10
2011-12-14,63.79,64.61,62.84,63.03,3713200,63.03
2011-12-13,64.10,64.71,63.70,63.96,4324200,63.96
2011-12-12,62.90,64.47,62.56,63.66,5148400,63.66
2011-12-09,61.49,63.71,61.17,63.58,3986700,63.58
2011-12-08,62.39,62.71,61.14,61.29,2499700,61.29
2011-12-07,62.20,62.99,61.87,62.65,2448200,62.65
2011-12-06,61.57,62.50,61.38,62.21,3823100,62.21
2011-12-05,62.20,62.31,60.89,61.31,4352300,61.31
2011-12-02,63.06,63.19,61.08,61.21,4131900,61.21
2011-12-01,63.17,63.21,62.13,62.76,3151200,62.76
2011-11-30,62.25,63.12,61.99,63.08,3540200,63.08
2011-11-29,62.27,62.70,61.08,61.23,3223900,61.23
2011-11-28,61.21,62.10,60.53,62.05,2539100,62.05
2011-11-25,60.03,60.91,60.00,60.24,1605700,60.24
2011-11-23,61.25,61.30,60.42,60.43,2839500,60.43
2011-11-22,60.98,62.05,60.72,61.69,3451000,61.69
2011-11-21,62.52,62.52,60.51,61.32,4826400,61.32
2011-11-18,64.50,64.52,63.00,63.04,3494100,63.04
2011-11-17,65.18,65.30,62.94,64.66,4160100,64.66
2011-11-16,64.77,65.82,64.33,64.87,3052400,64.87
2011-11-15,65.00,65.76,64.75,65.41,2478500,65.41
2011-11-14,64.54,65.15,64.30,65.02,2419000,65.02
2011-11-11,64.74,64.96,62.84,64.57,4933800,64.57
2011-11-10,64.84,64.98,63.45,64.31,3274000,64.31
2011-11-09,64.07,65.14,63.71,64.31,3617000,64.31
2011-11-08,64.65,65.32,64.01,65.18,2721700,65.18
2011-11-07,63.90,64.68,63.15,64.29,2732600,64.29
2011-11-04,63.94,64.03,63.16,63.73,2448500,63.73
2011-11-03,63.65,64.50,63.63,64.14,3138400,64.14
2011-11-02,64.11,64.32,62.94,63.79,3201200,63.79
2011-11-01,63.19,64.06,62.71,63.56,3602300,63.56
2011-10-31,65.70,65.76,64.50,64.83,2973700,64.83
2011-10-28,65.55,66.29,65.41,66.19,3231600,66.19
2011-10-27,65.71,66.83,64.47,65.29,7610200,65.29
2011-10-26,66.88,67.00,65.46,66.47,4106700,66.47
2011-10-25,67.82,67.88,65.78,65.89,3734200,65.89
2011-10-24,67.20,68.25,66.87,67.86,3120200,67.86
2011-10-21,66.76,67.37,66.00,66.93,3138200,66.93
2011-10-20,65.53,66.97,65.04,65.95,2633200,65.95
2011-10-19,65.72,66.10,65.13,65.31,2464400,65.31
2011-10-18,65.03,66.11,64.30,65.87,3288700,65.87
2011-10-17,66.22,66.27,64.69,64.85,3277700,64.85
2011-10-14,67.00,67.01,65.90,66.30,2426700,66.30
2011-10-13,65.20,66.79,64.83,66.36,2397300,66.36
2011-10-12,66.90,66.90,65.41,65.45,3002700,65.45
2011-10-11,65.49,66.90,65.32,66.33,3638000,66.33
2011-10-10,64.55,66.98,64.49,65.53,5013800,65.53
2011-10-07,63.64,63.83,62.83,62.95,3171200,62.95
2011-10-06,63.80,63.80,62.65,63.35,4313700,63.35
2011-10-05,61.15,64.20,61.15,64.08,4779400,64.08
2011-10-04,60.26,61.44,59.32,61.31,3862400,61.31
2011-10-03,61.60,62.41,60.66,60.70,3710000,60.70
2011-09-30,62.03,63.00,61.63,61.91,3831200,61.91
2011-09-29,63.21,63.34,61.84,62.93,3328800,62.93
2011-09-28,64.31,64.51,62.29,62.40,2862200,62.40
2011-09-27,64.50,65.10,63.67,63.97,4290900,63.97
2011-09-26,63.03,63.41,61.41,63.10,3419300,63.10
2011-09-23,63.33,63.75,62.17,62.67,4827900,62.67
2011-09-22,61.86,63.69,61.05,63.54,7234500,63.54
2011-09-21,65.37,65.83,63.73,63.80,5721300,63.80
2011-09-20,61.50,65.86,61.30,65.56,11115400,65.56
2011-09-19,60.43,61.38,60.43,61.19,3239900,61.19
2011-09-16,60.63,61.49,59.98,61.04,4281500,61.04
2011-09-15,60.92,61.15,59.84,60.33,4163600,60.33
2011-09-14,60.57,61.00,59.65,60.23,4781300,60.23
2011-09-13,60.63,61.20,60.10,60.39,4557000,60.39
2011-09-12,58.98,60.57,58.98,60.32,4815200,60.32
2011-09-09,60.15,61.11,59.76,59.77,4427700,59.77
2011-09-08,59.84,61.83,59.66,60.84,4034300,60.84
2011-09-07,59.70,60.28,59.30,60.26,2452500,60.26
2011-09-06,57.12,59.36,56.79,59.23,2888400,59.23
2011-09-02,58.58,59.62,58.26,58.34,2369000,58.34
2011-09-01,59.85,60.14,59.15,59.54,2817500,59.54
2011-08-31,59.67,60.42,58.99,59.47,3283600,59.47
2011-08-30,57.81,59.91,57.58,59.53,3410000,59.53
2011-08-29,57.85,58.31,57.37,58.28,2779900,58.28
2011-08-26,56.23,57.46,55.28,57.30,2457500,57.30
2011-08-25,57.84,57.93,56.21,56.36,3542700,56.36
2011-08-24,57.00,57.84,56.80,57.81,2832800,57.81
2011-08-23,55.68,57.21,55.10,57.17,3574200,57.17
2011-08-22,55.50,55.89,55.17,55.32,3524000,55.32
2011-08-19,53.63,55.33,53.50,54.68,4298700,54.68
2011-08-18,55.11,55.60,53.87,54.55,4282600,54.55
2011-08-17,56.40,57.45,55.57,56.33,2611000,56.33
2011-08-16,55.13,56.48,55.01,56.18,3223500,56.18
2011-08-15,54.67,55.92,54.43,55.74,4025100,55.74
2011-08-12,53.77,54.90,53.34,54.43,3932800,54.43
2011-08-11,51.94,54.28,51.75,53.65,5851000,53.65
2011-08-10,53.68,53.83,51.70,51.85,6406200,51.85
2011-08-09,52.95,54.68,51.81,54.58,7554800,54.58
2011-08-08,54.11,54.63,51.93,52.39,8427900,52.39
2011-08-05,55.86,56.87,54.25,55.52,7223900,55.52
2011-08-04,57.10,58.30,55.48,55.51,7183400,55.51
2011-08-03,57.51,58.39,55.43,58.28,5385000,58.28
2011-08-02,58.26,58.75,57.24,57.29,4073200,57.29
2011-08-01,59.84,60.17,57.93,58.47,4007600,58.47
2011-07-29,59.67,60.47,59.03,59.30,5517200,59.30
2011-07-28,61.18,62.32,59.92,59.96,5574300,59.96
2011-07-27,59.68,59.99,58.67,59.48,3898700,59.48
2011-07-26,60.70,60.70,59.81,59.99,2767000,59.99
2011-07-25,61.22,61.25,60.46,60.81,1695900,60.81
2011-07-22,61.66,61.73,61.08,61.18,2298500,61.18
2011-07-21,60.58,61.98,60.58,61.49,2495600,61.49
2011-07-20,60.73,60.88,59.90,60.37,2414200,60.37
2011-07-19,59.34,60.60,59.34,60.54,2023600,60.54
2011-07-18,60.38,60.67,58.64,59.14,3815200,59.14
2011-07-15,60.77,61.01,60.25,60.67,1730400,60.67
2011-07-14,61.07,61.49,60.42,60.58,1706900,60.58
2011-07-13,61.56,61.75,60.19,61.08,2069500,61.08
2011-07-12,61.27,61.64,61.03,61.06,1881700,61.06
2011-07-11,61.38,61.72,60.72,61.01,1790500,61.01
2011-07-08,61.49,62.49,61.29,61.99,2737200,61.99
2011-07-07,61.00,61.84,60.35,61.68,2816900,61.68
2011-07-06,60.35,60.96,60.17,60.53,2084500,60.53
2011-07-05,60.94,60.99,60.02,60.31,2376900,60.31
2011-07-01,60.75,60.97,60.17,60.88,2517300,60.88
2011-06-30,60.55,60.95,60.13,60.32,2512900,60.32
2011-06-29,60.62,60.70,59.81,60.15,2482500,60.15
2011-06-28,59.64,60.54,59.28,60.53,2473400,60.53
2011-06-27,58.44,59.54,58.26,59.39,1845900,59.39
2011-06-24,59.60,59.72,58.56,58.77,2640200,58.77
2011-06-23,59.17,59.93,58.74,59.89,3399100,59.89
2011-06-22,59.80,60.35,59.55,59.87,2249300,59.87
2011-06-21,59.82,60.14,59.07,60.04,2284200,60.04
2011-06-20,57.92,59.89,57.82,59.59,2948500,59.59
2011-06-17,58.48,59.00,57.85,57.87,4258500,57.87
2011-06-16,57.85,58.38,57.34,57.83,3253000,57.83
2011-06-15,57.80,59.03,57.76,57.99,2782700,57.99
2011-06-14,58.72,58.76,57.98,58.06,2457100,58.06
2011-06-13,58.30,58.76,57.62,58.30,1377500,58.30
2011-06-10,59.49,59.55,58.29,58.30,2396400,58.30
2011-06-09,59.48,60.26,59.28,59.58,2336900,59.58
2011-06-08,58.64,59.88,58.64,59.32,1410700,59.32
2011-06-07,58.62,59.82,58.47,59.29,2668600,59.29
2011-06-06,58.86,59.00,58.28,58.46,1715400,58.46
2011-06-03,59.26,59.62,58.81,58.86,1574100,58.86
2011-06-02,59.81,60.24,59.43,59.84,1414800,59.84
2011-06-01,60.85,60.99,59.85,59.91,2989000,59.91
2011-05-31,60.25,60.91,59.87,60.91,2322500,60.91
2011-05-27,59.34,59.96,59.16,59.88,1684100,59.88
2011-05-26,58.51,59.54,58.15,59.46,2962600,59.46
2011-05-25,58.79,59.55,58.70,58.79,2396800,58.79
2011-05-24,59.35,59.46,58.87,59.39,2219900,59.39
2011-05-23,60.01,60.01,58.82,59.23,2300000,59.23
2011-05-20,60.77,60.99,60.03,60.49,2193900,60.49
2011-05-19,60.49,60.99,60.00,60.87,2604300,60.87
2011-05-18,60.33,60.99,60.10,60.80,2147800,60.80
2011-05-17,59.54,60.48,59.09,60.48,2921600,60.48
2011-05-16,59.74,60.09,59.35,59.52,1629600,59.52
2011-05-13,60.41,60.67,59.59,59.94,2235900,59.94
2011-05-12,59.59,60.27,58.67,60.18,2200000,60.18
2011-05-11,60.10,60.11,58.96,59.78,2800000,59.78
2011-05-10,60.03,60.20,59.64,60.10,2229000,60.10
2011-05-09,59.19,60.11,59.13,59.95,1849100,59.95
2011-05-06,59.66,60.09,58.75,59.30,3627800,59.30
2011-05-05,60.85,60.85,56.43,58.85,7995300,58.85
2011-05-04,60.12,61.70,60.12,60.95,4346600,60.95
2011-05-03,60.01,61.28,59.52,60.11,4300000,60.11
2011-05-02,59.25,60.77,58.90,59.78,4777400,59.78
2011-04-29,58.81,59.74,58.56,58.88,6529800,58.88
2011-04-28,58.72,59.17,57.23,58.84,4800000,58.84
2011-04-27,57.87,59.03,57.73,59.00,4276200,59.00
2011-04-26,56.67,57.75,56.37,57.70,2808900,57.70
2011-04-25,56.62,56.74,55.82,56.35,1611800,56.35
2011-04-21,56.56,56.99,56.11,56.40,2377600,56.40
2011-04-20,56.96,57.30,56.30,56.66,3101500,56.66
2011-04-19,57.25,57.35,55.90,56.38,2287200,56.38
2011-04-18,56.38,57.74,55.79,57.23,4409800,57.23
2011-04-15,56.63,57.40,56.34,56.98,3284900,56.98
2011-04-14,55.54,56.60,54.99,56.34,2769200,56.34
2011-04-13,55.57,56.21,55.31,55.93,1849500,55.93
2011-04-12,55.11,55.52,54.83,55.35,2613100,55.35
2011-04-11,55.88,56.67,55.23,55.36,2701500,55.36
2011-04-08,56.41,56.73,55.54,55.92,1708300,55.92
2011-04-07,55.67,56.31,55.45,56.29,2782600,56.29
2011-04-06,56.27,56.57,55.43,55.80,3229600,55.80
2011-04-05,56.41,56.82,55.76,55.90,3352200,55.90
2011-04-04,57.52,57.89,56.54,56.70,2495800,56.70
2011-04-01,57.73,57.95,56.94,57.30,3246300,57.30
2011-03-31,56.77,57.74,56.73,57.58,3579100,57.58
2011-03-30,55.95,56.97,55.87,56.74,3439700,56.74
2011-03-29,55.00,55.50,54.86,55.49,1872500,55.49
2011-03-28,55.49,55.52,54.87,55.00,1845600,55.00
2011-03-25,55.11,55.70,55.00,55.24,3452900,55.24
2011-03-24,53.60,55.10,53.31,54.89,3077400,54.89
2011-03-23,52.68,53.46,52.59,53.19,1822700,53.19
2011-03-22,53.23,53.66,52.83,52.84,3112100,52.84
2011-03-21,53.52,54.26,53.26,53.29,2666200,53.29
2011-03-18,53.13,53.73,52.71,52.98,6334100,52.98
2011-03-17,53.51,53.55,52.99,53.21,2359800,53.21
2011-03-16,53.19,53.78,52.61,52.88,4476100,52.88
2011-03-15,52.57,53.96,52.23,53.81,4779900,53.81
2011-03-14,52.99,55.08,52.84,53.88,4988400,53.88
2011-03-11,51.85,53.61,51.41,53.18,6050000,53.18
2011-03-10,53.20,53.34,51.85,51.92,4579500,51.92
2011-03-09,53.65,53.99,53.13,53.65,2578100,53.65
2011-03-08,53.80,54.41,53.42,54.07,2262100,54.07
2011-03-07,54.70,54.73,53.42,53.70,4650200,53.70
2011-03-04,53.94,54.36,53.94,54.26,4213800,54.26
2011-03-03,53.96,54.54,53.66,54.04,4314700,54.04
2011-03-02,52.75,54.07,52.68,53.72,3956000,53.72
2011-03-01,53.21,53.68,52.63,53.02,2856400,53.02
2011-02-28,53.98,54.87,53.00,53.10,4268000,53.10
2011-02-25,52.94,53.72,52.75,53.52,2774000,53.52
2011-02-24,52.15,53.00,51.76,52.89,4812900,52.89
2011-02-23,52.83,53.40,52.62,52.71,3416900,52.71
2011-02-22,53.07,53.49,52.78,52.89,3761100,52.89
2011-02-18,53.40,54.14,53.09,53.47,4006400,53.47
2011-02-17,53.96,54.05,53.17,53.63,2757200,53.63
2011-02-16,53.42,54.01,53.19,53.92,4344200,53.92
2011-02-15,53.10,53.27,52.68,53.14,6760700,53.14
2011-02-14,51.80,53.45,51.80,53.43,6645300,53.43
2011-02-11,51.59,52.07,51.52,51.99,8724400,51.99
2011-02-10,50.72,51.85,50.28,51.71,9540700,51.71
2011-02-09,50.72,50.93,50.11,50.74,7145100,50.74
2011-02-08,50.95,51.27,50.53,50.88,5349800,50.88
2011-02-07,51.19,51.60,50.67,50.95,5565300,50.95
2011-02-04,49.49,51.37,48.92,51.29,14907700,51.29
2011-02-03,52.81,52.90,49.00,49.50,18853100,49.50
2011-02-02,52.06,53.29,52.03,53.17,3782500,53.17
2011-02-01,51.99,52.86,51.88,52.24,6115200,52.24
2011-01-31,51.55,52.09,50.95,51.53,7957300,51.53
2011-01-28,54.67,54.70,51.10,51.18,12028200,51.18
2011-01-27,55.86,56.54,54.57,54.85,4711500,54.85
2011-01-26,56.25,56.94,55.92,56.19,2669700,56.19
2011-01-25,56.40,56.51,55.62,56.07,2732300,56.07
2011-01-24,55.87,56.98,55.64,56.63,2497000,56.63
2011-01-21,57.01,57.01,55.97,56.03,3035800,56.03
2011-01-20,56.19,56.86,55.87,56.63,3353800,56.63
2011-01-19,56.71,56.82,55.90,56.32,4595600,56.32
2011-01-18,57.50,57.98,56.79,56.89,3295900,56.89
2011-01-14,57.25,57.69,57.19,57.45,2312200,57.45
2011-01-13,57.77,58.00,57.08,57.25,2221200,57.25
2011-01-12,58.17,58.26,57.26,57.91,2823500,57.91
2011-01-11,56.81,58.06,56.61,58.00,3920500,58.00
2011-01-10,58.73,58.98,56.09,56.44,9004200,56.44
2011-01-07,59.25,59.55,58.83,59.16,2523600,59.16
2011-01-06,59.23,59.78,58.81,58.99,3285600,58.99
2011-01-05,58.40,59.72,58.22,59.39,3578300,59.39
2011-01-04,59.81,60.07,58.54,58.69,3663000,58.69
2011-01-03,59.74,60.90,59.68,60.02,2615900,60.02
