Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,61.73,61.95,61.25,61.25,521200,61.25
2011-12-29,61.55,61.98,61.37,61.79,448800,61.79
2011-12-28,62.33,62.36,61.34,61.50,877200,61.50
2011-12-27,61.25,62.54,61.00,62.41,849100,62.41
2011-12-23,59.76,61.26,59.67,61.15,618700,61.15
2011-12-22,59.86,60.04,59.25,59.93,871600,59.93
2011-12-21,59.82,60.14,58.61,59.67,1675000,59.67
2011-12-20,58.97,60.01,58.63,59.89,1430900,59.89
2011-12-19,56.45,57.85,56.16,57.73,1627600,57.73
2011-12-16,56.03,57.08,55.84,56.35,1985000,56.35
2011-12-15,57.14,57.56,55.69,55.75,2181400,55.75
2011-12-14,57.58,57.77,56.39,56.69,936500,56.69
2011-12-13,59.31,59.99,57.53,57.66,1589300,57.66
2011-12-12,60.01,60.24,58.75,58.94,599800,58.94
2011-12-09,59.49,60.89,59.25,60.71,616800,60.71
2011-12-08,60.16,60.20,59.21,59.31,822600,59.31
2011-12-07,60.81,60.87,59.65,60.24,1136100,60.24
2011-12-06,61.92,62.05,60.85,61.06,850300,61.06
2011-12-05,61.94,62.37,61.42,61.81,1044900,61.81
2011-12-02,62.47,62.58,60.94,60.99,1515200,60.99
2011-12-01,61.23,62.30,60.82,62.13,1349300,62.13
2011-11-30,59.45,61.00,59.45,60.98,1480900,60.98
2011-11-29,58.42,58.86,58.00,58.19,1208800,58.19
2011-11-28,58.24,58.96,57.97,58.65,1002800,58.65
2011-11-25,56.92,57.80,56.82,57.02,593800,57.02
2011-11-23,56.83,58.14,56.59,57.52,1589200,57.52
2011-11-22,57.14,57.63,56.63,57.31,1948100,57.31
2011-11-21,57.01,57.45,56.60,57.15,1936300,57.15
2011-11-18,60.00,60.11,57.73,57.95,2850200,57.95
2011-11-17,62.00,62.14,59.70,59.99,1785500,59.99
2011-11-16,63.48,63.78,62.12,62.20,1263200,62.20
2011-11-15,64.00,64.45,63.45,64.06,871100,64.06
2011-11-14,64.78,64.99,63.81,64.03,1136400,64.03
2011-11-11,64.57,66.09,64.57,65.01,1268800,65.01
2011-11-10,64.07,65.00,63.31,64.12,1426600,64.12
2011-11-09,63.74,64.01,63.00,63.67,1605500,63.67
2011-11-08,64.17,65.65,63.32,65.12,977800,65.12
2011-11-07,63.56,64.21,62.51,63.74,882400,63.74
2011-11-04,63.79,64.14,62.75,63.73,1220500,63.73
2011-11-03,62.93,64.00,62.33,63.90,1257000,63.90
2011-11-02,62.69,63.07,61.82,62.36,1521500,62.36
2011-11-01,62.10,62.75,60.69,62.13,2035600,62.13
2011-10-31,64.36,64.70,63.39,63.43,2196500,63.43
2011-10-28,65.16,66.31,59.81,65.10,4712900,65.10
2011-10-27,67.21,67.86,62.71,65.49,4152800,65.49
2011-10-26,67.40,68.02,65.66,65.97,1595800,65.97
2011-10-25,68.25,68.60,66.89,66.91,1356000,66.91
2011-10-24,66.91,68.89,66.91,68.45,1628800,68.45
2011-10-21,66.51,67.14,65.94,66.83,1304900,66.83
2011-10-20,65.45,66.29,64.76,65.70,1334100,65.70
2011-10-19,65.68,67.59,65.22,65.40,1476500,65.40
2011-10-18,65.61,66.29,65.26,65.70,2116100,65.70
2011-10-17,69.10,69.41,65.59,65.83,2147200,65.83
2011-10-14,69.38,69.97,68.42,69.97,915500,69.97
2011-10-13,67.68,69.04,67.68,68.83,1793200,68.83
2011-10-12,70.22,70.28,67.78,67.84,1594500,67.84
2011-10-11,68.34,70.07,67.46,69.32,1337900,69.32
2011-10-10,67.08,68.74,66.63,68.42,995700,68.42
2011-10-07,67.13,67.94,65.15,66.00,1498900,66.00
2011-10-06,68.03,68.14,66.04,67.00,1336800,67.00
2011-10-05,65.63,68.22,65.06,67.91,1971500,67.91
2011-10-04,64.61,66.22,63.05,64.99,2527700,64.99
2011-10-03,67.88,68.56,65.24,65.56,2237600,65.56
2011-09-30,69.60,70.25,68.52,68.52,1406700,68.52
2011-09-29,71.60,72.29,68.52,70.49,1333300,70.49
2011-09-28,72.94,73.09,70.20,70.36,1516000,70.36
2011-09-27,72.79,74.39,71.35,72.88,1740800,72.88
2011-09-26,70.30,71.58,68.87,71.30,1607700,71.30
2011-09-23,68.24,70.89,67.46,69.16,1676000,69.16
2011-09-22,67.21,69.37,66.71,68.59,1598800,68.59
