Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,70.22,70.50,69.75,69.78,407200,68.27
2011-12-29,69.87,70.13,69.39,70.08,501100,68.56
2011-12-28,70.82,70.92,69.42,69.55,614100,68.04
2011-12-27,69.90,71.01,69.63,70.73,466200,69.20
2011-12-23,69.69,70.11,69.52,70.02,492200,68.50
2011-12-22,68.78,69.87,68.78,69.36,877200,67.86
2011-12-21,68.42,68.65,67.59,68.49,686000,67.01
2011-12-20,66.42,68.32,66.29,68.23,909500,66.75
2011-12-19,67.09,67.49,65.29,65.44,623100,64.02
2011-12-16,66.92,68.26,66.39,66.59,1260600,65.15
2011-12-15,67.14,67.34,66.39,66.69,570500,64.92
2011-12-14,66.57,67.02,66.22,66.31,732400,64.55
2011-12-13,68.19,68.53,66.28,66.70,733600,64.93
2011-12-12,67.93,68.08,66.92,67.66,632600,65.87
2011-12-09,67.76,68.76,67.50,68.44,626600,66.63
2011-12-08,68.51,68.51,67.07,67.25,776400,65.47
2011-12-07,68.19,69.22,67.81,68.81,906900,66.99
2011-12-06,70.22,70.22,68.40,68.54,1352200,66.72
2011-12-05,68.93,69.50,68.82,69.50,1032300,67.66
2011-12-02,67.96,68.89,67.82,67.98,685900,66.18
2011-12-01,68.28,68.40,67.59,67.65,822900,65.86
2011-11-30,67.25,68.54,67.12,68.51,1757800,66.69
2011-11-29,65.92,67.00,65.54,65.60,888400,63.86
2011-11-28,65.25,66.54,65.25,65.87,900000,64.12
2011-11-25,63.39,64.25,63.21,63.63,600000,61.94
2011-11-23,64.21,64.51,63.43,63.74,1001400,62.05
2011-11-22,65.41,65.92,64.65,64.73,1175800,63.01
2011-11-21,65.42,66.05,64.74,65.67,1204800,63.93
2011-11-18,65.64,66.63,65.54,66.01,1258500,64.26
2011-11-17,66.76,67.26,65.38,65.65,1494000,63.91
2011-11-16,67.91,68.31,66.85,66.93,821600,65.16
2011-11-15,68.11,68.93,67.88,68.57,526600,66.75
2011-11-14,68.45,69.05,67.92,68.27,426000,66.46
2011-11-11,68.59,69.00,68.30,68.76,865900,66.94
2011-11-10,68.11,68.42,67.15,67.69,1095300,65.90
2011-11-09,68.93,69.05,66.68,67.16,1401800,65.38
2011-11-08,69.26,70.56,68.91,70.52,911400,68.65
