Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,30.62,30.73,30.45,30.46,614800,29.18
2011-12-29,30.49,30.79,30.49,30.72,512900,29.42
2011-12-28,30.63,30.65,30.33,30.40,800700,29.12
2011-12-27,30.46,30.75,30.43,30.58,533600,29.29
2011-12-23,30.51,30.59,30.34,30.56,786500,29.27
2011-12-22,30.18,30.47,30.11,30.36,973600,29.08
2011-12-21,30.01,30.17,29.79,30.12,887500,28.85
2011-12-20,29.54,30.05,29.54,29.97,1200400,28.71
2011-12-19,29.60,29.71,29.04,29.12,1218200,27.89
2011-12-16,30.00,30.17,29.84,29.98,2401800,28.33
2011-12-15,29.88,29.96,29.65,29.87,1171300,28.23
2011-12-14,29.29,29.92,29.25,29.58,1329900,27.95
2011-12-13,29.63,29.99,29.20,29.43,1568700,27.81
2011-12-12,29.23,29.51,29.18,29.49,4369000,27.87
2011-12-09,29.37,29.74,29.26,29.67,3937900,28.04
2011-12-08,29.61,29.71,29.11,29.16,4168100,27.56
2011-12-07,30.13,30.13,29.52,29.76,3527500,28.12
2011-12-06,29.31,29.85,29.16,29.64,1161400,28.01
2011-12-05,29.46,29.55,29.06,29.33,1213500,27.72
2011-12-02,29.30,29.35,28.84,28.92,1204600,27.33
2011-12-01,29.59,29.59,28.70,29.00,1427700,27.40
2011-11-30,28.78,29.69,28.72,29.65,1666100,28.02
2011-11-29,28.31,28.36,28.05,28.10,870200,26.55
2011-11-28,28.23,28.29,28.02,28.23,1015000,26.68
2011-11-25,27.28,27.78,27.27,27.48,361800,25.97
2011-11-23,27.79,27.86,27.29,27.29,844700,25.79
2011-11-22,28.02,28.16,27.81,28.02,1269800,26.48
2011-11-21,28.39,28.39,27.76,27.96,1569400,26.42
2011-11-18,28.66,28.91,28.42,28.72,1449000,27.14
2011-11-17,28.50,28.90,28.31,28.43,1632200,26.87
2011-11-16,28.86,29.00,28.46,28.52,1158800,26.95
2011-11-15,28.84,29.36,28.77,29.13,840500,27.53
2011-11-14,29.11,29.22,28.85,28.97,842500,27.38
2011-11-11,29.17,29.36,29.06,29.26,722400,27.65
2011-11-10,28.74,28.93,28.52,28.74,987900,27.16
2011-11-09,28.72,28.85,28.13,28.32,1666400,26.76
2011-11-08,29.42,29.51,28.91,29.50,1118900,27.88
2011-11-07,29.17,29.36,28.76,29.24,912900,27.63
2011-11-04,29.00,29.36,28.88,29.21,1035700,27.60
2011-11-03,28.88,29.43,28.46,29.28,1835400,27.67
2011-11-02,28.16,28.64,28.09,28.51,1256100,26.94
2011-11-01,27.93,28.48,27.69,27.74,1874600,26.21
2011-10-31,29.14,29.35,28.78,28.94,1624100,27.35
2011-10-28,30.14,30.25,28.75,29.40,2042500,27.78
2011-10-27,29.90,30.47,29.67,30.33,1848600,28.66
2011-10-26,28.81,29.12,28.61,28.98,1294100,27.39
2011-10-25,28.96,29.01,28.31,28.40,1510300,26.84
2011-10-24,28.51,29.22,27.90,29.18,1582100,27.57
2011-10-21,27.79,28.58,27.73,28.56,2246400,26.99
2011-10-20,27.09,27.55,26.96,27.45,1585700,25.94
2011-10-19,26.89,27.50,26.71,27.14,1806900,25.65
2011-10-18,25.84,27.13,25.84,26.96,1857600,25.48
2011-10-17,26.01,26.55,25.69,25.76,1638800,24.34
2011-10-14,26.75,26.81,26.32,26.69,1087700,25.22
2011-10-13,26.39,26.59,26.01,26.49,1308300,25.03
2011-10-12,26.66,26.85,26.39,26.52,2705000,25.06
2011-10-11,26.93,27.12,26.49,26.50,1963700,25.04
2011-10-10,26.85,27.12,26.71,27.06,1889100,25.57
2011-10-07,27.12,27.12,26.29,26.29,2240000,24.84
2011-10-06,26.71,27.18,26.46,27.01,2066300,25.52
2011-10-05,26.16,26.95,25.90,26.78,2377500,25.31
2011-10-04,24.82,26.08,24.66,26.04,3050400,24.61
2011-10-03,26.13,26.54,25.06,25.06,2207600,23.68
2011-09-30,26.48,26.87,26.33,26.33,1440900,24.88
2011-09-29,26.47,26.84,26.12,26.79,1763700,25.32
2011-09-28,26.60,26.71,25.87,25.90,1197800,24.47
2011-09-27,26.83,27.06,26.35,26.56,1644300,25.10
2011-09-26,25.72,26.28,25.53,26.25,2841000,24.81
2011-09-23,25.43,25.60,25.19,25.45,1361800,24.05
2011-09-22,25.32,25.76,25.15,25.49,2506500,24.09
2011-09-21,27.33,27.33,25.89,25.91,1967200,24.48
2011-09-20,27.05,27.49,26.83,27.32,1675800,25.82
2011-09-19,27.00,27.16,26.70,26.89,1713000,25.41
2011-09-16,27.72,28.02,27.57,27.83,1967600,25.92
2011-09-15,27.53,27.69,27.26,27.69,1257900,25.79
2011-09-14,27.26,27.63,26.74,27.35,1489200,25.47
2011-09-13,27.20,27.42,26.93,27.17,1097800,25.30
2011-09-12,26.49,27.09,26.37,27.08,4565700,25.22
2011-09-09,27.24,27.41,26.71,26.88,2767900,25.03
2011-09-08,27.52,27.95,27.37,27.45,2913400,25.56
2011-09-07,26.99,27.84,26.92,27.81,1258200,25.90
2011-09-06,26.05,26.56,26.01,26.53,1214100,24.71
2011-09-02,26.87,27.35,26.84,26.88,1222800,25.03
2011-09-01,27.97,27.99,27.42,27.42,1235600,25.54
2011-08-31,27.55,28.06,27.50,27.92,1644400,26.00
2011-08-30,27.52,27.73,27.11,27.53,1112900,25.64
2011-08-29,27.00,27.63,27.00,27.62,948600,25.72
2011-08-26,26.31,26.91,25.84,26.58,1353200,24.75
2011-08-25,27.27,27.46,26.18,26.49,1727700,24.67
2011-08-24,26.35,27.10,26.22,27.04,1444400,25.18
2011-08-23,25.50,26.40,25.32,26.40,1715600,24.59
2011-08-22,26.11,26.44,25.35,25.43,1706500,23.68
2011-08-19,25.40,26.12,25.40,25.59,2163700,23.83
2011-08-18,25.81,25.89,25.44,25.71,2456600,23.94
2011-08-17,26.43,26.81,26.26,26.41,1134800,24.60
2011-08-16,26.22,26.69,26.06,26.32,1342000,24.51
2011-08-15,25.75,26.48,25.75,26.45,1375800,24.63
2011-08-12,25.80,26.12,25.27,25.51,1619900,23.76
2011-08-11,24.27,26.02,24.16,25.63,2442500,23.87
2011-08-10,25.00,25.16,23.99,24.03,4084100,22.38
2011-08-09,24.40,25.48,23.65,25.46,4675000,23.71
2011-08-08,25.50,25.85,24.04,24.05,4002700,22.40
2011-08-05,26.37,26.44,25.33,25.97,2607700,24.19
2011-08-04,26.66,26.77,26.12,26.14,2048000,24.34
2011-08-03,26.67,27.02,26.46,26.97,1933700,25.12
2011-08-02,26.90,27.06,26.54,26.55,1464800,24.73
2011-08-01,27.68,27.76,26.93,27.08,1263800,25.22
2011-07-29,27.14,27.71,27.14,27.33,1472600,25.45
2011-07-28,27.76,28.51,27.64,27.71,1390000,25.81
2011-07-27,28.20,28.30,27.73,27.74,1131500,25.83
2011-07-26,28.39,28.47,28.16,28.29,769900,26.35
2011-07-25,28.13,28.51,28.04,28.36,976500,26.41
2011-07-22,28.62,28.70,28.35,28.40,581100,26.45
2011-07-21,28.12,28.74,28.09,28.58,1076300,26.62
2011-07-20,27.97,28.04,27.75,27.89,810300,25.97
2011-07-19,27.46,27.98,27.46,27.86,1175100,25.95
2011-07-18,27.80,27.80,27.32,27.46,1312100,25.57
2011-07-15,28.29,28.33,27.69,27.82,1563600,25.91
2011-07-14,28.42,28.49,27.99,28.08,1186500,26.15
2011-07-13,28.63,28.76,28.30,28.37,1203100,26.42
2011-07-12,28.48,28.77,28.44,28.45,1308700,26.49
2011-07-11,28.77,28.82,28.43,28.47,1304800,26.51
2011-07-08,29.08,29.14,28.86,29.02,948700,27.03
2011-07-07,29.33,29.45,29.18,29.39,1112700,27.37
2011-07-06,29.06,29.29,28.96,29.09,1058100,27.09
2011-07-05,29.47,29.47,29.05,29.20,1061900,27.19
2011-07-01,29.23,29.54,29.12,29.47,1061900,27.44
2011-06-30,29.08,29.32,28.92,29.18,1434100,27.17
2011-06-29,28.59,29.02,28.55,28.99,916700,27.00
2011-06-28,28.38,28.52,28.29,28.46,855500,26.50
2011-06-27,28.21,28.48,28.12,28.35,925300,26.40
2011-06-24,28.25,28.29,27.97,28.13,1132800,26.20
2011-06-23,28.10,28.26,27.80,28.18,1331500,26.24
2011-06-22,28.53,28.67,28.31,28.34,928600,26.39
2011-06-21,28.60,28.67,28.35,28.54,1241700,26.58
2011-06-20,28.48,28.70,28.29,28.54,1029000,26.58
2011-06-17,29.14,29.24,28.84,28.88,1369000,26.52
2011-06-16,28.71,29.04,28.67,28.88,930200,26.52
2011-06-15,29.06,29.14,28.65,28.70,1479500,26.36
2011-06-14,29.13,29.37,29.00,29.22,1132600,26.84
2011-06-13,28.86,29.41,28.83,28.86,1629500,26.50
2011-06-10,29.28,29.39,29.04,29.19,1731200,26.81
2011-06-09,29.20,29.44,29.03,29.42,1259900,27.02
2011-06-08,29.24,29.26,29.03,29.06,1109600,26.69
2011-06-07,29.35,29.49,29.03,29.28,4968600,26.89
2011-06-06,29.40,29.50,29.12,29.18,1120400,26.80
2011-06-03,29.37,29.70,29.37,29.44,1336100,27.04
2011-06-02,29.91,30.13,29.63,29.67,1697100,27.25
2011-06-01,30.28,30.40,29.77,29.77,2693000,27.34
2011-05-31,30.31,30.43,30.10,30.42,1165700,27.94
2011-05-27,30.16,30.24,29.93,30.09,980700,27.63
2011-05-26,29.84,30.16,29.61,30.11,788600,27.65
2011-05-25,29.87,29.94,29.55,29.87,947400,27.43
2011-05-24,30.20,30.24,29.81,29.90,1203900,27.46
2011-05-23,30.37,30.40,30.03,30.19,2201600,27.73
2011-05-20,30.93,31.03,30.62,30.69,835300,28.19
2011-05-19,31.16,31.28,30.79,31.00,1121400,28.47
2011-05-18,30.92,31.15,30.76,31.14,1145300,28.60
2011-05-17,30.76,30.94,30.76,30.93,794700,28.41
2011-05-16,30.86,31.09,30.75,30.92,988400,28.40
2011-05-13,31.28,31.28,30.79,30.91,789300,28.39
2011-05-12,30.83,31.32,30.57,31.29,1500000,28.74
2011-05-11,31.44,31.56,30.92,31.02,936600,28.49
2011-05-10,31.30,31.55,31.21,31.53,612400,28.96
