Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,92.80,93.09,92.10,92.39,1492700,90.17
2011-12-29,92.75,93.31,92.42,93.22,1710200,90.98
2011-12-28,93.45,93.62,92.61,92.73,1410500,90.50
2011-12-27,93.09,93.85,93.02,93.34,1127100,91.10
2011-12-23,92.36,93.15,92.36,93.09,1193200,90.85
2011-12-22,92.89,92.89,91.90,92.41,1616600,90.19
2011-12-21,91.75,93.00,91.58,92.97,2730200,90.74
2011-12-20,90.48,91.60,90.33,91.55,1683500,89.35
2011-12-19,90.46,91.24,89.73,89.91,1651400,87.75
2011-12-16,91.00,91.04,89.28,89.89,3285700,87.73
2011-12-15,89.78,90.80,89.59,90.58,1970400,88.40
2011-12-14,89.81,90.44,89.13,89.30,1881100,87.16
2011-12-13,90.19,90.59,89.51,89.69,2138900,87.54
2011-12-12,90.44,90.84,89.39,90.21,1649800,88.04
2011-12-09,90.48,91.02,90.27,90.46,1484700,88.29
2011-12-08,90.86,91.26,90.28,90.55,1804500,88.38
2011-12-07,90.58,91.57,89.90,91.20,1966000,89.01
2011-12-06,90.67,90.85,90.06,90.54,1721100,88.37
2011-12-05,90.85,90.98,90.10,90.42,1741300,88.25
2011-12-02,90.89,91.25,90.09,90.19,1977300,88.02
2011-12-01,91.21,91.98,89.99,90.11,2962800,87.95
2011-11-30,90.63,91.64,90.52,91.50,3003700,89.30
2011-11-29,88.67,89.89,88.47,89.70,2380300,87.55
2011-11-28,88.10,88.60,87.80,88.28,1949300,86.16
2011-11-25,86.59,87.41,86.43,86.73,576600,84.65
2011-11-23,87.46,87.86,86.19,86.48,2204300,84.40
2011-11-22,87.77,89.09,87.59,88.20,2306600,86.08
2011-11-21,87.52,88.23,86.99,87.44,2037600,85.34
2011-11-18,88.46,89.10,88.16,88.61,1937000,86.48
2011-11-17,88.27,88.72,87.46,88.04,2000600,85.93
2011-11-16,88.33,89.77,88.00,88.64,2310400,86.51
2011-11-15,88.76,89.11,88.37,88.79,2065700,86.66
2011-11-14,88.67,89.10,88.13,88.65,1271900,86.52
2011-11-11,88.53,89.40,88.53,89.17,1480400,87.03
2011-11-10,88.02,88.38,87.19,88.14,1938800,86.02
2011-11-09,88.10,88.49,87.15,87.45,2701400,85.35
2011-11-08,88.92,89.60,88.50,89.44,2831100,87.29
2011-11-07,88.46,89.22,87.02,88.45,2428400,86.33
2011-11-04,88.02,88.22,87.15,88.06,2883700,85.95
2011-11-03,88.22,88.78,87.62,88.52,3391100,86.39
