Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,23.73,23.86,23.66,23.71,5665400,23.25
2011-12-29,23.57,23.86,23.51,23.83,7081900,23.25
2011-12-28,23.74,23.82,23.36,23.46,7827800,22.89
2011-12-27,23.84,23.90,23.64,23.80,6117200,23.23
2011-12-23,23.76,23.92,23.64,23.84,9119300,23.26
2011-12-22,23.60,23.69,23.49,23.63,11944900,23.06
2011-12-21,23.49,23.66,23.28,23.59,13716200,23.02
2011-12-20,23.26,23.66,23.20,23.40,18835100,22.83
2011-12-19,23.36,23.40,22.71,22.87,13455800,22.32
2011-12-16,23.46,24.00,23.22,23.33,29712600,22.77
2011-12-15,23.28,23.56,23.25,23.29,16053000,22.73
2011-12-14,23.16,23.29,22.97,23.18,15373300,22.62
2011-12-13,23.52,23.68,23.08,23.19,18069300,22.63
2011-12-12,22.53,23.38,22.37,23.27,20178500,22.71
2011-12-09,22.61,22.89,22.57,22.68,13960900,22.13
2011-12-08,22.92,22.97,22.41,22.47,14637800,21.93
2011-12-07,23.09,23.33,22.75,23.13,14415300,22.57
2011-12-06,23.24,23.49,23.07,23.19,20503400,22.63
2011-12-05,23.89,23.89,22.98,23.15,21221400,22.59
2011-12-02,23.29,23.70,22.87,23.36,32937900,22.80
2011-12-01,22.70,22.86,22.46,22.57,12088700,22.02
2011-11-30,22.33,22.95,22.29,22.67,23023400,22.12
2011-11-29,21.74,22.04,21.69,21.75,19093000,21.22
2011-11-28,21.50,21.88,21.39,21.75,17094200,21.22
2011-11-25,20.93,21.27,20.90,21.00,5526700,20.49
2011-11-23,21.22,21.36,21.07,21.07,16831300,20.56
2011-11-22,21.40,21.48,21.07,21.39,18060100,20.87
2011-11-21,21.09,21.63,20.97,21.52,21223400,21.00
2011-11-18,21.26,21.50,21.08,21.43,16859900,20.91
2011-11-17,21.51,21.73,21.13,21.25,22337400,20.74
2011-11-16,22.03,22.13,21.44,21.51,18858300,20.99
2011-11-15,22.09,22.44,22.01,22.30,12352400,21.76
2011-11-14,22.41,22.58,22.07,22.21,11931500,21.67
2011-11-11,22.53,22.75,22.34,22.52,17765500,21.98
2011-11-10,21.78,22.28,21.71,22.17,16679100,21.63
2011-11-09,22.24,22.26,21.48,21.61,31545000,21.09
2011-11-08,22.80,22.87,22.25,22.76,15676500,22.21
2011-11-07,22.69,22.82,22.26,22.65,16887000,22.10
2011-11-04,23.11,23.14,22.54,22.75,19762000,22.20
2011-11-03,23.18,23.43,22.78,23.32,20952900,22.76
2011-11-02,23.67,23.86,22.93,23.02,24741400,22.46
