Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,245.04,245.20,242.25,243.67,1156500,46.64
2011-12-29,243.99,247.75,242.59,245.32,1133500,46.95
2011-12-28,244.79,245.87,242.00,242.56,1160000,46.42
2011-12-27,246.16,247.52,245.00,245.21,1178000,46.93
2011-12-23,246.99,246.99,242.85,246.39,2110500,47.16
2011-12-22,244.83,246.95,243.12,245.75,2143500,47.04
2011-12-21,248.00,248.88,237.10,241.34,3614500,46.19
2011-12-20,244.99,249.41,243.82,248.13,2132500,47.49
2011-12-19,242.00,242.85,240.72,242.00,2636500,46.32
2011-12-16,241.06,243.00,239.83,242.00,3830500,46.32
2011-12-15,240.98,242.11,238.00,239.09,2438000,45.76
2011-12-14,239.44,241.67,238.34,238.89,2064000,45.45
2011-12-13,244.45,245.74,238.24,241.00,2105500,45.86
2011-12-12,246.40,247.36,240.00,243.51,3076000,46.33
2011-12-09,245.90,252.15,244.10,248.06,2470500,47.20
2011-12-08,250.57,252.18,243.06,244.58,2838500,46.54
2011-12-07,248.04,255.47,245.10,253.15,2663000,48.17
2011-12-06,249.05,250.78,246.80,248.84,2213000,47.35
2011-12-05,256.76,258.46,247.15,249.11,2995000,47.40
2011-12-02,254.38,259.75,249.97,253.31,3548500,48.20
2011-12-01,247.28,252.22,245.38,250.00,2733000,47.57
2011-11-30,246.42,249.72,245.16,249.28,3075500,47.43
2011-11-29,246.22,246.22,239.46,239.61,3101500,45.59
2011-11-28,241.79,245.43,240.96,245.13,3635000,46.64
2011-11-25,238.23,241.40,235.77,237.89,1081000,45.26
2011-11-23,236.52,242.23,235.50,239.03,4297000,45.48
2011-11-22,240.80,243.70,239.04,240.57,3280000,45.77
2011-11-21,243.67,246.48,239.02,241.53,4953000,45.96
2011-11-18,241.05,251.17,236.98,248.89,7697000,47.36
2011-11-17,241.11,242.66,235.23,238.05,7557000,45.29
2011-11-16,254.00,254.56,238.93,241.18,9497500,45.89
2011-11-15,256.65,260.12,253.75,257.51,3033000,49.00
2011-11-14,261.26,262.97,256.35,257.88,3718500,49.07
2011-11-11,264.77,266.64,259.26,263.57,3383000,50.15
2011-11-10,269.54,270.09,259.10,260.10,3998500,49.49
2011-11-09,271.54,273.58,264.89,265.79,3378000,50.57
2011-11-08,276.02,279.92,273.05,278.94,3386500,53.07
2011-11-07,274.11,275.49,269.17,275.10,3282500,52.34
2011-11-04,265.29,273.64,264.80,271.33,4559500,51.63
