Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,22.31,22.37,22.08,22.08,1167600,21.19
2011-12-29,22.22,22.37,22.16,22.35,1140100,21.45
2011-12-28,22.30,22.30,22.08,22.16,1296400,21.27
2011-12-27,22.03,22.30,21.94,22.22,1174600,21.32
2011-12-23,21.83,22.03,21.80,22.02,1010700,21.13
2011-12-22,21.81,21.85,21.67,21.73,1806600,20.85
2011-12-21,21.41,21.75,21.35,21.75,1379800,20.87
2011-12-20,21.03,21.39,20.93,21.35,1983000,20.49
2011-12-19,20.81,21.00,20.66,20.75,1814000,19.91
2011-12-16,20.83,20.95,20.74,20.87,2742200,20.03
2011-12-15,20.67,20.87,20.61,20.82,3137200,19.98
2011-12-14,20.70,20.72,20.44,20.52,1920700,19.69
2011-12-13,20.74,20.92,20.54,20.71,2141100,19.88
2011-12-12,20.65,20.73,20.40,20.61,2138600,19.78
2011-12-09,20.59,20.76,20.55,20.75,2560300,19.91
2011-12-08,20.84,20.90,20.44,20.53,2526100,19.70
2011-12-07,20.78,20.96,20.65,20.90,2513100,20.06
2011-12-06,20.84,21.01,20.73,20.87,3058300,20.03
2011-12-05,21.03,21.11,20.67,20.80,2583700,19.96
2011-12-02,21.24,21.24,20.75,20.79,2433400,19.95
2011-12-01,20.86,21.13,20.84,21.12,2419400,20.27
2011-11-30,20.85,20.98,20.80,20.92,3710100,20.08
2011-11-29,20.15,20.48,20.11,20.40,2273300,19.58
2011-11-28,20.16,20.20,19.89,20.02,2090300,19.21
2011-11-25,19.60,19.86,19.57,19.71,691800,18.92
2011-11-23,19.86,19.91,19.62,19.63,1804900,18.84
2011-11-22,20.42,20.45,19.90,20.02,3718500,19.21
2011-11-21,20.65,20.68,20.30,20.42,2266400,19.60
2011-11-18,20.68,20.97,20.63,20.88,2830200,20.04
2011-11-17,20.52,20.71,20.27,20.54,3777800,19.71
2011-11-16,20.74,20.84,20.54,20.55,2359500,19.72
2011-11-15,20.86,21.03,20.73,20.91,3407900,20.07
2011-11-14,21.11,21.16,20.79,20.80,1716300,19.96
2011-11-11,20.96,21.21,20.95,21.21,2245700,20.36
2011-11-10,20.78,20.85,20.55,20.76,2388500,19.92
2011-11-09,20.72,20.83,20.45,20.48,3127300,19.65
2011-11-08,20.75,21.03,20.63,21.01,2041200,20.16
2011-11-07,20.51,20.76,20.40,20.74,1809900,19.90
2011-11-04,20.53,20.63,20.29,20.59,2377900,19.76
2011-11-03,20.57,20.81,20.42,20.70,2779900,19.87
2011-11-02,20.21,20.58,20.12,20.36,3011500,19.54
2011-11-01,20.33,20.67,20.22,20.27,4893200,19.25
2011-10-31,20.91,21.05,20.78,20.82,2309900,19.77
2011-10-28,20.80,21.16,20.76,21.11,4327800,20.05
2011-10-27,21.13,21.58,21.04,21.38,3434200,20.31
2011-10-26,20.96,21.14,20.78,20.85,2604100,19.80
2011-10-25,21.03,21.11,20.70,20.74,2183700,19.70
2011-10-24,21.06,21.10,20.90,21.07,6457100,20.01
2011-10-21,20.92,21.03,20.83,20.97,6634900,19.92
2011-10-20,20.54,20.77,20.53,20.72,5802600,19.68
2011-10-19,20.53,20.80,20.47,20.49,2882300,19.46
2011-10-18,20.35,20.62,20.18,20.50,3075100,19.47
2011-10-17,20.45,20.53,20.32,20.37,2840200,19.35
2011-10-14,20.25,20.54,20.19,20.48,2643400,19.45
2011-10-13,19.93,20.10,19.87,20.08,2649000,19.07
2011-10-12,20.03,20.17,19.91,20.05,3439300,19.04
2011-10-11,20.18,20.18,19.93,19.97,2498200,18.97
2011-10-10,20.04,20.26,20.00,20.23,2651900,19.21
2011-10-07,19.85,19.99,19.70,19.82,3250700,18.82
2011-10-06,19.50,19.88,19.44,19.74,4039300,18.75
2011-10-05,19.35,19.54,19.03,19.49,3298500,18.51
2011-10-04,19.15,19.31,18.62,19.30,5400000,18.33
2011-10-03,19.74,19.86,19.16,19.18,4256800,18.22
2011-09-30,19.65,19.94,19.65,19.79,5306300,18.80
2011-09-29,19.93,19.94,19.58,19.79,3040800,18.80
2011-09-28,20.16,20.16,19.56,19.60,3134100,18.62
2011-09-27,20.10,20.18,19.85,20.01,5727300,19.00
2011-09-26,19.81,19.87,19.48,19.73,5205500,18.74
2011-09-23,19.48,19.71,19.41,19.66,6375200,18.67
2011-09-22,19.78,19.96,19.29,19.50,6305800,18.52
2011-09-21,20.44,20.58,20.05,20.06,3117600,19.05
2011-09-20,20.42,20.83,20.29,20.47,3037200,19.44
2011-09-19,20.00,20.34,19.92,20.26,3394900,19.24
2011-09-16,20.29,20.43,20.13,20.31,3831900,19.29
2011-09-15,19.83,20.16,19.71,20.14,4397800,19.13
2011-09-14,19.44,19.84,19.31,19.67,3309400,18.68
2011-09-13,19.17,19.41,18.93,19.39,2938300,18.42
2011-09-12,18.68,19.07,18.64,19.06,2604400,18.10
2011-09-09,19.17,19.19,18.75,18.81,2138400,17.86
2011-09-08,19.21,19.57,19.14,19.31,1762800,18.34
2011-09-07,19.37,19.41,19.14,19.25,2366500,18.28
2011-09-06,18.86,19.13,18.84,19.04,2679400,18.08
2011-09-02,19.23,19.38,19.16,19.30,2005100,18.33
2011-09-01,19.73,19.77,19.42,19.49,2174000,18.51
2011-08-31,19.64,19.78,19.52,19.70,1804500,18.71
2011-08-30,19.42,19.64,19.40,19.48,2785700,18.50
2011-08-29,19.45,19.64,19.39,19.63,1403800,18.64
2011-08-26,19.01,19.31,18.64,19.23,1756100,18.26
2011-08-25,19.57,19.60,19.09,19.16,2379400,18.20
2011-08-24,19.15,19.57,19.12,19.53,2649200,18.55
2011-08-23,18.73,19.19,18.55,19.18,3470000,18.22
2011-08-22,19.17,19.17,18.55,18.64,3255800,17.70
2011-08-19,18.86,19.03,18.78,18.88,4831100,17.93
2011-08-18,18.71,19.05,18.51,19.00,8150500,18.05
2011-08-17,18.93,19.22,18.89,19.03,1995000,18.07
2011-08-16,18.73,18.95,18.57,18.88,2809800,17.93
2011-08-15,18.39,18.92,18.35,18.90,2396600,17.95
2011-08-12,18.58,18.69,18.13,18.24,2148400,17.32
2011-08-11,17.82,18.64,17.75,18.48,5345500,17.55
2011-08-10,17.77,18.26,17.59,17.74,7173300,16.85
2011-08-09,17.43,18.03,16.96,18.01,7757700,17.11
2011-08-08,17.99,18.13,17.12,17.16,6533000,16.30
2011-08-05,18.18,18.35,17.82,18.27,8014300,17.35
2011-08-04,18.56,18.65,17.95,17.98,4487900,17.08
2011-08-03,18.74,18.75,18.37,18.71,3153200,17.77
2011-08-02,19.29,19.34,18.93,18.93,4591900,17.78
2011-08-01,19.59,19.59,19.19,19.46,8693800,18.28
2011-07-29,19.28,19.39,19.09,19.14,5711600,17.98
2011-07-28,19.67,19.80,19.40,19.44,3903700,18.26
2011-07-27,19.90,20.02,19.61,19.61,3772500,18.42
2011-07-26,20.02,20.10,19.87,19.91,2275600,18.70
2011-07-25,19.81,20.08,19.72,20.05,2500400,18.83
2011-07-22,20.00,20.02,19.86,19.93,1219600,18.72
2011-07-21,19.88,20.08,19.86,20.02,2197600,18.80
2011-07-20,19.70,19.85,19.62,19.80,1186400,18.60
2011-07-19,19.46,19.67,19.35,19.64,1227100,18.45
2011-07-18,19.70,19.70,19.36,19.44,1313800,18.26
2011-07-15,19.77,19.79,19.57,19.70,1922800,18.50
2011-07-14,19.83,19.95,19.67,19.73,1889600,18.53
2011-07-13,19.85,19.98,19.72,19.80,2080100,18.60
2011-07-12,19.67,19.92,19.64,19.76,1644200,18.56
2011-07-11,19.88,19.92,19.72,19.76,1167400,18.56
2011-07-08,19.94,20.09,19.90,20.06,1350800,18.84
2011-07-07,20.21,20.22,19.96,20.06,1576000,18.84
2011-07-06,19.93,20.13,19.86,20.04,1248000,18.82
2011-07-05,20.11,20.11,19.85,19.93,1522000,18.72
