Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,36.12,36.97,36.06,36.70,1544100,36.04
2011-12-29,36.93,36.96,35.94,36.15,2395100,35.50
2011-12-28,37.48,37.77,36.63,36.72,2313600,36.06
2011-12-27,37.90,38.23,37.33,37.44,1262900,36.76
2011-12-23,38.42,38.67,37.52,38.05,1434500,37.36
2011-12-22,36.37,38.50,36.15,38.38,4232200,37.69
2011-12-21,36.36,36.70,35.55,36.11,3969900,35.46
2011-12-20,36.05,36.80,35.91,36.34,2876400,35.68
2011-12-19,37.14,37.14,34.95,35.10,2481100,34.47
2011-12-16,36.84,37.26,35.91,36.32,3805600,35.66
2011-12-15,37.73,37.90,36.36,36.45,2828700,35.79
2011-12-14,36.54,37.67,36.18,36.94,2847600,36.27
2011-12-13,38.21,38.94,36.75,37.08,2110200,36.41
2011-12-12,39.04,39.04,37.11,37.99,2322000,37.30
2011-12-09,38.46,40.11,38.45,39.88,2184900,39.16
2011-12-08,39.82,39.92,38.36,38.49,2681900,37.79
2011-12-07,40.48,40.54,39.62,40.20,3294700,39.47
2011-12-06,40.94,41.31,40.17,40.80,1752100,40.06
2011-12-05,41.62,41.95,40.51,40.90,2156200,40.16
2011-12-02,41.48,41.85,40.56,40.72,2501500,39.98
2011-12-01,40.21,41.64,40.05,40.91,2615700,40.17
2011-11-30,39.87,41.72,39.60,41.64,4094200,40.89
2011-11-29,37.56,38.34,37.16,37.49,2067300,36.81
2011-11-28,37.11,37.93,36.89,37.35,2630300,36.68
2011-11-25,35.25,36.00,35.18,35.29,962300,34.65
2011-11-23,36.43,36.74,35.38,35.38,2654800,34.74
2011-11-22,37.70,38.06,36.86,37.16,2112800,36.49
2011-11-21,37.13,37.95,36.22,37.65,3054100,36.97
2011-11-18,38.62,39.59,38.13,38.27,3623000,37.58
2011-11-17,39.79,39.80,37.67,38.08,4923700,37.39
2011-11-16,41.10,41.96,39.86,39.99,3489100,39.27
2011-11-15,41.57,42.28,41.28,41.75,2389000,41.00
2011-11-14,42.69,43.11,41.58,41.90,1815800,41.14
2011-11-11,42.94,43.31,42.61,42.89,2234000,42.12
2011-11-10,42.90,43.40,41.36,41.99,3043800,41.23
2011-11-09,43.21,43.51,41.80,41.91,3108900,41.15
2011-11-08,44.39,45.21,43.98,45.11,2511200,44.30
2011-11-07,44.10,45.30,43.07,44.12,1901200,43.20
2011-11-04,44.72,45.44,43.41,44.84,3107700,43.91
2011-11-03,44.19,44.94,43.10,44.25,3857900,43.33
2011-11-02,42.09,43.25,41.79,43.01,3548300,42.11
2011-11-01,41.42,41.60,39.85,40.91,4709600,40.06
2011-10-31,45.34,45.49,42.76,42.76,4632300,41.87
2011-10-28,44.73,46.90,44.21,46.75,4998000,45.78
2011-10-27,43.00,45.66,41.87,45.23,5739500,44.29
2011-10-26,41.66,42.15,40.12,41.00,5722500,40.15
2011-10-25,42.32,42.32,40.50,40.76,3416000,39.91
2011-10-24,41.74,42.96,41.46,42.86,2755500,41.97
2011-10-21,41.23,41.95,40.66,41.46,3042000,40.60
2011-10-20,40.34,40.71,39.06,40.40,2956700,39.56
2011-10-19,41.17,41.67,40.23,40.45,2891800,39.61
2011-10-18,39.61,41.36,38.68,41.07,3174400,40.21
2011-10-17,41.22,41.38,39.59,39.70,3441600,38.87
2011-10-14,40.17,41.75,40.00,41.42,5073700,40.56
2011-10-13,38.54,39.21,37.12,39.05,3424900,38.24
2011-10-12,38.94,39.70,38.86,38.94,4436900,38.13
2011-10-11,37.59,38.73,37.25,38.45,4015400,37.65
2011-10-10,37.23,38.20,37.13,38.20,3726100,37.40
2011-10-07,37.22,37.56,35.45,36.02,3097700,35.27
2011-10-06,36.07,37.38,35.19,36.91,5252700,36.14
2011-10-05,34.36,36.06,34.26,35.86,5048700,35.11
2011-10-04,30.81,34.45,30.56,34.43,7000000,33.71
2011-10-03,33.26,33.43,31.47,31.70,5650700,31.04
2011-09-30,34.26,35.35,33.72,33.93,4247500,33.22
2011-09-29,36.45,36.57,33.97,35.02,5020900,34.29
2011-09-28,39.12,39.13,35.58,35.62,5755400,34.88
2011-09-27,38.40,39.97,37.71,37.94,5185900,37.15
2011-09-26,34.71,37.30,33.72,37.17,5286200,36.40
2011-09-23,34.03,35.13,33.26,34.09,7676000,33.38
2011-09-22,37.14,37.37,34.16,34.66,8535400,33.94
2011-09-21,39.58,40.22,37.90,37.92,5174800,37.13
2011-09-20,42.35,42.63,40.17,40.37,3736800,39.53
2011-09-19,41.81,42.70,41.50,42.19,3580300,41.31
2011-09-16,43.45,43.70,42.51,43.08,3621700,42.18
2011-09-15,43.14,43.45,42.07,43.20,3372000,42.30
2011-09-14,42.64,43.05,41.64,42.48,5249300,41.59
2011-09-13,43.21,43.43,41.99,42.48,4412400,41.59
2011-09-12,42.39,43.73,41.84,43.23,4150000,42.33
2011-09-09,43.17,43.94,42.18,43.12,4677500,42.22
2011-09-08,45.25,45.88,43.79,43.90,4441800,42.99
2011-09-07,45.42,46.14,44.89,45.56,5715700,44.61
2011-09-06,42.65,43.73,42.03,43.65,3657800,42.74
2011-09-02,43.97,45.16,43.53,44.78,2959700,43.85
2011-09-01,45.93,46.53,45.31,45.39,3206800,44.44
2011-08-31,46.00,46.74,45.16,45.66,3495600,44.71
2011-08-30,44.35,45.88,44.03,45.48,3852800,44.53
2011-08-29,44.20,44.87,43.76,44.72,2968200,43.79
2011-08-26,42.42,43.56,41.20,43.41,3810400,42.51
2011-08-25,42.88,43.62,42.01,42.83,3586900,41.94
2011-08-24,41.97,42.90,40.93,42.80,3187600,41.91
2011-08-23,40.95,42.15,40.10,42.09,4704700,41.21
2011-08-22,43.24,43.54,40.46,40.62,4336800,39.77
2011-08-19,41.60,43.90,41.51,41.71,6109800,40.84
2011-08-18,44.82,45.03,41.86,42.59,14742400,41.70
2011-08-17,42.11,43.06,41.91,42.42,3899100,41.54
2011-08-16,41.99,42.54,41.12,41.70,4020000,40.83
2011-08-15,41.08,42.50,41.07,42.37,3361700,41.49
2011-08-12,41.33,42.18,40.34,40.58,4253900,39.73
2011-08-11,39.31,41.23,38.41,40.70,5261800,39.85
2011-08-10,38.17,40.35,37.19,38.36,5960500,37.56
2011-08-09,38.07,39.29,35.75,39.15,7493600,38.33
2011-08-08,39.67,40.60,36.66,36.93,9875100,36.16
2011-08-05,44.19,44.78,40.44,41.59,7771400,40.63
