Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,77.09,77.23,75.87,75.90,1868400,37.87
2011-12-29,76.31,77.35,76.16,76.95,1653800,38.40
2011-12-28,78.24,78.49,75.94,76.21,1675600,38.03
2011-12-27,77.64,78.87,77.57,77.93,2202800,38.89
2011-12-23,77.89,78.06,76.60,77.99,1661400,38.92
2011-12-22,77.32,78.53,77.32,77.89,2522400,38.87
2011-12-21,77.11,77.57,75.15,77.35,3039000,38.60
2011-12-20,73.76,77.68,73.76,77.12,4560400,38.48
2011-12-19,74.08,74.49,71.76,72.05,3685200,35.95
2011-12-16,72.79,74.28,71.61,74.17,5000200,37.01
2011-12-15,74.09,74.72,71.84,72.10,4107400,35.98
2011-12-14,74.89,74.89,71.18,73.28,6513400,36.57
2011-12-13,78.20,79.67,75.25,76.10,2972200,37.97
2011-12-12,79.69,79.72,76.56,77.63,3435400,38.74
2011-12-09,80.89,81.52,79.70,81.18,3657400,40.51
2011-12-08,81.13,82.04,79.74,80.62,3785400,40.23
2011-12-07,85.50,85.50,80.19,81.49,4580600,40.66
2011-12-06,85.69,86.48,84.15,85.80,2324200,42.81
2011-12-05,88.23,88.87,84.88,85.89,2975200,42.86
2011-12-02,87.04,89.20,86.27,86.41,2959200,43.12
2011-12-01,87.57,89.05,84.48,85.78,4602800,42.80
2011-11-30,85.75,88.66,85.75,88.59,4524200,44.21
2011-11-29,80.19,83.61,80.00,83.09,4682000,41.46
2011-11-28,80.39,81.52,78.97,80.02,4872200,39.93
2011-11-25,74.90,77.26,74.37,76.69,1500400,38.27
2011-11-23,78.69,78.97,75.07,75.28,3765000,37.56
2011-11-22,80.28,81.39,79.25,80.09,2954200,39.96
2011-11-21,80.14,80.72,78.65,80.24,3637600,40.04
2011-11-18,82.08,83.45,80.74,82.14,4009400,40.99
2011-11-17,85.06,85.44,80.28,80.90,4577800,40.37
2011-11-16,85.22,88.36,85.10,85.19,3395400,42.51
2011-11-15,85.81,87.31,85.20,85.80,3480200,42.81
2011-11-14,87.21,87.55,84.94,86.31,2688600,43.07
2011-11-11,87.56,90.00,87.35,88.06,4807400,43.94
2011-11-10,82.51,87.40,82.51,86.55,5862800,43.19
2011-11-09,80.37,82.97,79.69,80.34,4172800,40.09
2011-11-08,84.66,84.66,81.52,83.00,3733600,41.40
2011-11-07,83.93,84.83,82.13,83.67,4409000,41.74
2011-11-04,81.03,84.00,80.41,83.64,3812600,41.72
2011-11-03,82.10,84.00,79.85,82.09,4275200,40.95
2011-11-02,79.63,81.77,78.64,80.42,5130800,40.11
2011-11-01,74.47,78.92,72.73,77.65,6300400,38.73
2011-10-31,78.67,79.33,76.30,77.72,5082800,38.77
2011-10-28,77.16,81.47,76.63,80.20,6059000,40.01
2011-10-27,73.74,80.54,73.00,77.43,12495400,38.62
2011-10-26,67.03,68.34,63.72,66.84,6304800,33.34
2011-10-25,70.39,70.39,65.94,66.12,3964000,32.98
2011-10-24,70.38,71.35,69.12,70.62,4617000,35.23
2011-10-21,69.97,70.95,69.79,70.29,3604400,35.06
2011-10-20,68.00,69.79,67.21,68.87,3737600,34.35
2011-10-19,69.75,70.92,67.67,68.24,5534600,34.04
2011-10-18,68.85,69.99,66.27,69.61,4716800,34.72
2011-10-17,67.74,71.38,67.40,68.91,5328200,34.37
2011-10-14,65.82,68.34,63.93,68.32,4237800,34.08
2011-10-13,63.84,65.37,61.00,64.95,8835800,32.40
2011-10-12,66.25,66.93,64.30,64.40,5031800,32.12
2011-10-11,66.29,67.38,65.01,65.81,2421800,32.83
2011-10-10,65.34,67.96,64.91,67.18,2913800,33.51
2011-10-07,66.16,66.43,62.95,63.62,3631200,31.73
2011-10-06,64.48,67.18,63.73,65.53,3742200,32.69
2011-10-05,62.22,65.02,59.97,64.31,5762000,32.08
2011-10-04,56.92,61.32,55.54,61.18,4213800,30.52
2011-10-03,61.17,61.55,58.27,58.58,3252800,29.22
2011-09-30,62.39,64.45,61.30,61.91,3166600,30.88
2011-09-29,65.69,65.91,62.20,64.13,2923000,31.99
2011-09-28,66.68,67.24,63.52,63.64,3682600,31.74
2011-09-27,66.50,69.03,65.78,66.28,4246600,33.06
2011-09-26,61.66,64.98,60.22,64.90,5873800,32.37
2011-09-23,64.01,64.66,60.61,61.11,5859000,30.48
2011-09-22,66.68,68.63,62.91,64.72,7945000,32.28
2011-09-21,71.24,77.07,70.01,70.03,9163200,34.93
2011-09-20,73.24,74.93,71.32,71.40,4009400,35.62
2011-09-19,68.69,73.78,67.38,72.76,8373800,36.29
2011-09-16,69.74,71.66,68.75,70.56,7734000,35.20
2011-09-15,71.02,71.17,68.48,69.51,4955600,34.67
2011-09-14,70.22,71.07,67.80,70.11,4257800,34.97
2011-09-13,69.47,70.28,67.21,69.79,4051400,34.81
2011-09-12,68.78,71.04,67.29,69.73,5436600,34.78
2011-09-09,73.37,73.54,69.33,70.19,6549600,35.01
2011-09-08,76.20,77.28,74.01,74.30,4877200,37.06
2011-09-07,76.72,78.65,76.35,77.12,3467600,38.47
2011-09-06,72.06,75.35,70.47,75.10,3911600,37.46
2011-09-02,73.49,74.97,72.00,74.24,2709800,37.03
2011-09-01,76.10,78.57,75.25,75.30,3257600,37.56
2011-08-31,77.30,78.47,75.27,75.86,3884000,37.84
2011-08-30,73.64,77.47,73.24,76.67,4830600,38.24
2011-08-29,72.79,74.07,71.64,73.98,3014400,36.90
2011-08-26,68.72,72.13,68.15,71.95,4122600,35.89
2011-08-25,70.57,71.50,68.61,69.50,2919600,34.67
2011-08-24,69.85,70.77,68.38,70.25,2339400,35.04
2011-08-23,66.84,70.23,65.48,70.21,3123400,35.02
2011-08-22,69.05,69.43,64.78,66.11,3640400,32.98
2011-08-19,66.39,69.43,66.15,66.59,3910800,33.22
2011-08-18,70.05,70.05,66.93,67.97,4202600,33.90
2011-08-17,72.95,73.73,71.38,72.10,2900600,35.96
2011-08-16,72.82,73.52,71.01,71.89,3907200,35.86
2011-08-15,73.06,74.39,72.92,74.00,4557600,36.91
2011-08-12,72.53,73.32,70.52,72.22,2814200,36.02
2011-08-11,67.12,72.51,66.20,71.20,5312800,35.52
2011-08-10,64.18,69.98,63.68,66.70,5740600,33.27
2011-08-09,60.20,66.50,59.90,65.64,7266000,32.73
2011-08-08,64.23,64.23,57.80,59.30,7328200,29.57
2011-08-05,68.82,69.75,64.58,66.87,7863000,33.34
2011-08-04,71.64,71.91,67.30,67.51,5189400,33.66
2011-08-03,73.49,74.24,71.09,73.14,4048000,36.47
2011-08-02,74.83,76.28,73.38,73.49,2975200,36.64
2011-08-01,75.61,75.97,73.55,75.26,3044600,37.52
2011-07-29,74.70,75.20,73.70,74.08,4529000,36.94
2011-07-28,72.11,78.94,72.11,75.83,6791000,37.81
2011-07-27,72.47,73.02,70.66,70.96,3572800,35.38
2011-07-26,72.12,74.09,71.22,73.03,2543400,36.41
2011-07-25,70.53,73.16,70.26,72.31,2331200,36.05
2011-07-22,71.37,72.38,70.94,71.93,1918200,35.86
2011-07-21,71.17,72.27,70.75,71.36,2817400,35.58
2011-07-20,71.34,71.34,70.07,70.27,2267200,35.04
2011-07-19,69.48,71.14,69.48,71.08,3458000,35.44
2011-07-18,67.87,68.67,67.00,68.58,3705800,34.19
2011-07-15,66.23,69.78,66.23,68.43,11651000,34.12
2011-07-14,64.83,65.03,62.52,62.60,3124200,31.21
2011-07-13,63.81,65.59,63.62,64.43,3291200,32.12
2011-07-12,63.60,64.39,63.19,63.32,3077800,31.57
2011-07-11,65.34,65.46,63.22,63.40,3717400,31.61
2011-07-08,65.44,66.58,65.07,66.48,2769400,33.15
2011-07-07,67.97,68.78,66.05,66.59,4613800,33.20
2011-07-06,67.08,67.29,65.77,66.49,3490800,33.15
