Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,72.92,73.20,72.71,72.87,4632900,53.11
2011-12-29,71.91,72.91,71.91,72.87,4531300,53.11
2011-12-28,72.94,73.11,71.75,71.82,5287300,52.34
2011-12-27,72.19,73.17,72.19,72.94,4449600,53.16
2011-12-23,71.88,72.44,71.82,72.43,4102600,52.78
2011-12-22,70.73,71.91,70.60,71.74,7530800,52.28
2011-12-21,69.96,70.78,69.74,70.62,6864300,51.47
2011-12-20,69.23,70.00,69.13,69.78,6810200,50.85
2011-12-19,68.04,68.75,67.65,67.85,6324600,49.45
2011-12-16,69.10,69.11,67.98,68.40,17508500,49.85
2011-12-15,69.01,69.33,67.96,68.29,7072000,49.77
2011-12-14,69.42,69.95,68.16,68.52,9251800,49.94
2011-12-13,70.94,71.65,69.56,69.85,9309500,50.90
2011-12-12,71.15,71.40,69.75,70.48,7409400,51.36
2011-12-09,71.39,72.36,71.34,71.95,7065800,52.43
2011-12-08,72.06,72.33,70.80,71.02,7610300,51.76
2011-12-07,72.17,72.88,71.65,72.41,8555200,52.77
2011-12-06,72.91,73.30,72.54,72.54,8567700,52.86
2011-12-05,73.22,73.90,72.33,72.82,9233500,53.07
2011-12-02,72.41,73.12,71.84,72.55,11238100,52.87
2011-12-01,71.16,71.89,71.02,71.76,7117800,52.30
2011-11-30,70.03,71.37,70.01,71.32,11712900,51.98
2011-11-29,67.50,68.49,67.27,68.14,8459000,49.66
2011-11-28,68.08,68.27,66.69,67.27,9943400,49.02
2011-11-25,66.76,67.17,66.13,66.14,4190900,48.20
2011-11-23,67.28,67.76,66.93,66.93,8632100,48.78
2011-11-22,68.68,68.93,67.91,68.14,6783500,49.66
2011-11-21,68.30,69.20,67.87,68.85,8376100,50.18
2011-11-18,69.91,69.99,68.84,69.27,8033400,50.48
2011-11-17,69.62,70.89,68.98,69.56,8659100,50.69
2011-11-16,71.19,71.50,69.41,69.76,10031900,50.84
2011-11-15,71.57,72.50,71.42,71.99,6594900,52.46
2011-11-14,71.81,72.12,71.14,71.70,8267100,52.25
2011-11-11,72.28,72.78,71.98,72.14,6559300,52.57
2011-11-10,71.19,71.82,70.15,71.44,6266300,52.06
2011-11-09,70.82,71.72,69.90,70.22,9284000,51.17
2011-11-08,71.97,72.97,71.18,72.74,7723100,53.01
2011-11-07,70.83,71.87,70.44,71.58,6060400,52.17
2011-11-04,69.83,70.84,69.57,70.71,6260600,51.53
2011-11-03,69.78,70.77,68.95,70.50,9261800,51.38
2011-11-02,69.22,69.86,68.60,69.10,7742100,50.36
2011-11-01,67.91,68.86,67.25,67.92,11458900,49.50
2011-10-31,70.67,70.89,69.65,69.65,10323100,50.76
2011-10-28,72.77,72.97,71.51,71.74,14991200,52.28
2011-10-27,73.23,73.70,72.45,72.85,12154400,53.09
2011-10-26,72.13,72.47,70.16,71.89,9103700,52.39
2011-10-25,72.19,72.19,70.45,70.68,10981400,51.51
2011-10-24,71.82,72.41,71.35,72.12,7285400,52.56
2011-10-21,71.01,72.00,70.88,71.83,8993800,52.35
2011-10-20,69.48,70.62,69.00,70.27,8583100,51.21
2011-10-19,69.35,70.67,69.06,69.56,8860000,50.69
2011-10-18,68.10,70.00,67.89,69.21,9948100,50.44
2011-10-17,68.72,69.16,67.79,68.34,6482500,49.80
2011-10-14,68.00,68.99,67.82,68.99,7553100,50.28
2011-10-13,66.21,67.31,66.09,67.04,8436100,48.86
2011-10-12,67.71,68.52,67.19,67.85,8442700,48.97
2011-10-11,66.35,67.37,66.28,67.02,8806400,48.37
2011-10-10,65.53,67.10,65.44,66.95,8096600,48.32
2011-10-07,64.76,65.08,63.45,64.16,9062900,46.30
2011-10-06,63.20,64.43,62.92,64.35,9486800,46.44
2011-10-05,63.12,64.01,62.23,63.93,12539200,46.14
2011-10-04,60.06,62.35,58.65,62.27,12700000,44.94
2011-10-03,62.71,62.91,60.95,60.99,11712300,44.02
2011-09-30,62.98,64.64,62.98,63.32,10283100,45.70
2011-09-29,64.66,64.67,63.07,64.37,13528200,46.45
2011-09-28,63.78,65.53,63.04,63.23,9604600,45.63
2011-09-27,65.43,65.95,63.88,64.26,9381400,46.38
2011-09-26,62.94,64.21,61.79,64.13,10221900,46.28
2011-09-23,61.86,63.24,61.80,62.51,9172100,45.11
2011-09-22,62.99,63.32,61.83,62.87,15807700,45.37
2011-09-21,66.83,67.20,64.95,64.95,9482300,46.87
2011-09-20,67.09,68.22,66.70,67.01,8196800,48.36
2011-09-19,65.89,67.22,65.39,66.77,8373100,48.19
2011-09-16,67.39,67.50,66.25,67.29,14946600,48.56
2011-09-15,66.49,67.04,66.06,66.92,9265200,48.29
2011-09-14,65.03,66.88,64.32,65.97,10041000,47.61
2011-09-13,64.46,65.28,63.79,64.76,7823800,46.74
2011-09-12,63.42,64.26,62.95,64.24,11817300,46.36
2011-09-09,64.96,65.75,63.87,64.23,12216100,46.35
2011-09-08,67.00,67.50,65.38,65.88,10463400,47.54
2011-09-07,66.66,67.39,66.37,67.31,8808200,48.58
2011-09-06,64.21,65.83,63.80,65.70,11023600,47.41
2011-09-02,66.41,66.92,65.73,66.44,8724500,47.95
2011-09-01,68.66,68.87,67.63,67.97,8955700,49.05
2011-08-31,68.30,68.75,67.55,68.07,9024500,49.12
2011-08-30,66.84,68.33,66.22,67.84,10961800,48.96
2011-08-29,66.68,67.84,66.58,67.78,8035800,48.92
2011-08-26,64.28,66.02,63.50,65.51,7724500,47.28
2011-08-25,66.61,66.88,64.50,64.78,7622600,46.75
2011-08-24,65.37,66.21,64.81,66.12,7665000,47.72
2011-08-23,63.52,65.72,63.49,65.71,11666800,47.42
2011-08-22,65.38,65.69,63.02,63.33,8890300,45.70
2011-08-19,63.08,64.94,63.00,63.59,13728600,45.89
2011-08-18,65.50,65.52,63.09,63.79,16506200,46.04
2011-08-17,67.29,67.61,66.37,66.82,7358900,48.22
2011-08-16,66.83,67.06,65.75,66.54,9622200,48.02
2011-08-15,67.06,68.25,66.78,67.48,9899100,48.70
2011-08-12,66.55,67.12,65.32,66.05,10965300,47.67
2011-08-11,63.04,66.42,62.40,65.52,15774800,47.28
2011-08-10,64.48,65.17,62.05,62.71,15421600,45.26
2011-08-09,62.90,64.69,60.40,64.56,22154100,46.59
2011-08-08,65.17,67.47,61.83,61.92,29291200,44.69
2011-08-05,67.12,69.25,65.25,67.75,18833100,48.89
2011-08-04,69.41,69.51,66.78,66.92,15821800,48.29
2011-08-03,70.64,71.26,69.38,70.56,12113800,50.92
2011-08-02,71.51,72.43,70.60,70.63,9715800,50.97
2011-08-01,73.46,73.46,71.44,71.99,8980500,51.95
2011-07-29,72.02,72.70,71.45,71.99,10091200,51.95
2011-07-28,73.10,73.52,72.55,72.77,8021000,52.52
2011-07-27,74.19,74.49,73.12,73.13,10123300,52.78
2011-07-26,74.56,74.70,73.48,73.61,9786700,53.12
2011-07-25,74.57,75.26,74.33,74.55,8457600,53.80
2011-07-22,75.71,75.85,75.08,75.26,8105200,54.31
2011-07-21,74.82,76.00,74.51,75.81,8572800,54.71
2011-07-20,75.79,75.92,75.00,75.11,8909400,53.73
2011-07-19,75.99,76.38,74.70,75.43,10892900,53.96
2011-07-18,76.35,76.44,75.21,75.44,22642700,53.96
2011-07-15,76.61,77.03,76.15,76.42,41701200,54.67
2011-07-14,80.11,80.13,75.50,75.61,62071900,54.09
2011-07-13,74.42,75.31,73.99,74.40,7429600,53.22
2011-07-12,74.25,75.21,73.99,74.34,7287900,53.18
2011-07-11,74.83,75.07,74.41,74.70,6566200,53.44
2011-07-08,75.34,75.95,75.11,75.91,7710100,54.30
2011-07-07,76.84,77.00,76.26,76.75,6076500,54.90
2011-07-06,75.91,76.15,75.57,76.03,6153800,54.39
2011-07-05,75.91,76.49,75.53,75.85,7864300,54.26
2011-07-01,75.27,76.00,74.57,75.88,7628300,54.28
2011-06-30,74.35,75.27,74.33,75.19,7572000,53.79
2011-06-29,73.69,74.51,73.52,74.02,8049900,52.95
2011-06-28,72.21,73.37,72.17,73.26,6868100,52.41
2011-06-27,71.32,72.19,71.27,71.78,7770000,51.35
2011-06-24,72.76,73.19,71.34,71.43,13508000,51.10
2011-06-23,71.96,73.04,71.00,73.00,9019700,52.22
2011-06-22,73.45,74.32,73.27,73.29,7202400,52.43
2011-06-21,73.00,74.15,72.83,73.73,10126500,52.74
2011-06-20,71.39,72.78,71.07,72.27,11810800,51.70
2011-06-17,72.23,72.95,71.31,71.93,9720300,51.45
2011-06-16,70.69,72.24,70.55,71.62,8331400,51.23
2011-06-15,71.14,71.82,70.08,70.57,7714600,50.48
2011-06-14,71.52,72.66,71.52,71.87,7534400,51.41
2011-06-13,70.75,72.10,70.25,70.75,7057700,50.61
2011-06-10,72.22,72.46,71.40,71.49,7344800,51.14
2011-06-09,71.95,73.12,71.40,72.51,6964600,51.87
2011-06-08,70.90,72.28,70.90,71.46,8029200,51.12
2011-06-07,71.31,71.69,70.72,70.87,10791200,50.70
2011-06-06,71.90,72.50,70.60,70.92,6373100,50.73
2011-06-03,70.81,73.00,70.78,72.39,7326000,51.78
2011-06-02,72.28,72.88,71.43,72.15,6166100,51.61
2011-06-01,73.18,73.54,72.06,72.34,7441000,51.75
2011-05-31,73.85,74.11,72.71,73.22,11567100,52.38
2011-05-27,72.99,73.35,72.25,72.64,4322100,51.96
2011-05-26,71.93,72.71,71.56,72.34,6142200,51.75
2011-05-25,71.97,72.44,71.28,71.97,7613200,51.48
2011-05-24,71.94,73.05,71.82,71.91,7461600,51.44
2011-05-23,71.54,71.71,70.84,71.33,7017300,51.02
2011-05-20,72.60,73.13,71.78,72.61,7810400,51.94
2011-05-19,72.69,73.15,72.05,72.70,6599700,52.00
2011-05-18,71.82,73.42,71.51,72.81,8814000,51.61
2011-05-17,70.69,71.85,70.69,71.54,8286200,50.71
2011-05-16,71.37,72.11,70.73,71.43,8184000,50.63
2011-05-13,71.69,71.99,70.61,71.43,8260600,50.63
2011-05-12,72.36,72.40,70.67,71.52,12500000,50.70
2011-05-11,74.07,74.19,72.03,72.52,10129500,51.41
2011-05-10,73.89,74.79,73.56,74.60,7054200,52.88
2011-05-09,73.50,74.11,73.16,73.72,9557300,52.26
2011-05-06,72.82,74.44,72.50,72.94,11888000,51.70
2011-05-05,72.84,72.96,71.21,71.97,12760300,51.02
2011-05-04,74.67,74.67,72.41,73.65,15742400,52.21
2011-05-03,76.97,77.02,73.40,74.53,17721500,52.83
2011-05-02,78.87,78.98,77.02,77.47,8594000,54.91
2011-04-29,77.47,79.00,77.42,78.89,9241000,55.92
2011-04-28,79.06,79.39,76.97,77.45,13282400,54.90
2011-04-27,80.39,80.98,78.40,79.83,10219700,56.59
2011-04-26,80.59,81.50,80.40,81.21,5900000,57.57
2011-04-25,80.99,81.00,79.76,80.48,5246000,57.05
2011-04-21,80.27,80.90,80.03,80.73,5652700,57.23
2011-04-20,79.48,80.16,79.27,79.99,6624600,56.70
2011-04-19,77.48,78.38,77.48,78.15,5785500,55.40
2011-04-18,77.41,78.02,77.15,77.61,6771700,55.01
2011-04-15,78.79,79.75,78.39,79.12,7322300,56.08
2011-04-14,77.40,78.61,77.20,78.28,5500700,55.49
2011-04-13,77.76,78.04,76.87,77.66,7078100,55.05
2011-04-12,79.04,79.38,76.36,77.16,12940100,54.70
2011-04-11,80.72,81.75,80.00,80.12,6628400,56.79
2011-04-08,80.75,81.18,80.43,80.79,8661700,57.27
2011-04-07,80.32,80.77,79.79,80.40,6220100,56.99
2011-04-06,80.82,80.90,80.30,80.43,7260100,57.01
2011-04-05,80.01,80.60,79.60,80.32,6534700,56.94
2011-04-04,80.00,80.00,79.15,79.68,6260900,56.48
2011-04-01,80.48,80.75,79.37,79.68,7632900,56.48
2011-03-31,80.82,81.80,79.83,79.86,8411800,56.61
2011-03-30,79.52,80.80,79.31,80.69,7750200,57.20
2011-03-29,78.94,79.46,78.30,78.81,8708200,55.86
2011-03-28,80.03,80.52,79.57,79.57,5261000,56.40
2011-03-25,79.85,80.70,79.20,80.24,7670600,56.88
2011-03-24,79.06,80.05,78.84,79.70,9199100,56.50
2011-03-23,76.87,78.93,76.80,78.54,9429800,55.67
2011-03-22,77.75,77.83,77.00,77.22,8474700,54.74
2011-03-21,77.16,77.97,76.67,77.55,12372900,54.97
2011-03-18,77.87,78.59,75.34,75.35,16391100,53.41
2011-03-17,75.06,77.30,74.54,76.72,10554500,54.38
2011-03-16,75.10,75.45,72.89,73.74,12242300,52.27
2011-03-15,72.48,75.55,71.13,74.98,12746400,53.15
2011-03-14,75.50,76.08,75.04,75.84,11350700,53.76
2011-03-11,73.75,76.93,73.51,76.30,7282200,54.09
2011-03-10,76.99,77.13,74.70,75.18,12115000,53.29
2011-03-09,78.18,78.88,77.75,78.04,6352000,55.32
2011-03-08,78.84,78.91,77.15,78.32,8934200,55.52
2011-03-07,80.62,81.00,79.11,79.20,7886400,56.14
2011-03-04,79.63,80.92,79.25,79.98,9180000,56.69
2011-03-03,78.50,79.81,78.40,79.55,8756700,56.39
2011-03-02,77.55,78.90,77.42,78.25,8793200,55.47
2011-03-01,78.30,79.10,77.56,77.83,10312500,55.17
2011-02-28,77.28,78.34,77.10,77.87,8014400,55.20
2011-02-25,77.31,77.69,76.78,77.28,8025800,54.78
2011-02-24,78.91,79.24,76.51,77.28,13165100,54.78
2011-02-23,76.94,79.60,76.87,78.57,14172700,55.69
2011-02-22,77.61,78.74,75.79,76.61,12178500,54.31
2011-02-18,75.95,76.72,75.21,76.62,8539500,54.31
2011-02-17,74.52,75.99,74.29,75.52,8902100,53.53
