Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,84.12,84.34,83.28,83.32,1235500,76.89
2011-12-29,84.20,84.40,83.60,84.34,1021300,77.84
2011-12-28,84.58,84.66,84.03,84.18,1142900,77.69
2011-12-27,84.50,84.75,83.86,84.58,986700,78.06
2011-12-23,83.69,84.70,83.53,84.66,1043100,78.13
2011-12-22,83.95,84.00,83.19,83.77,1677900,77.31
2011-12-21,83.59,84.41,82.96,83.79,2642200,77.33
2011-12-20,83.15,83.91,82.91,83.64,2909500,77.19
2011-12-19,82.80,83.38,81.85,82.06,2236700,75.73
2011-12-16,83.07,83.63,82.32,82.57,3874600,76.20
2011-12-15,83.10,83.33,82.50,82.57,1912000,76.20
2011-12-14,83.57,83.92,82.75,82.75,1891000,76.37
2011-12-13,84.60,84.71,83.38,83.63,2491200,77.18
2011-12-12,84.10,84.60,83.52,84.15,2535900,77.66
2011-12-09,84.68,85.30,84.13,84.37,3893100,77.86
2011-12-08,84.87,86.95,84.00,85.76,4377800,79.15
2011-12-07,87.69,87.98,86.19,87.47,2715800,80.72
2011-12-06,87.56,88.40,86.93,88.06,2350500,81.27
2011-12-05,87.79,88.19,86.65,87.20,1818900,80.48
2011-12-02,87.65,88.68,86.62,86.73,2616600,80.04
2011-12-01,85.00,87.68,84.96,87.09,3572400,80.37
2011-11-30,84.93,85.82,84.50,85.30,3558500,78.72
2011-11-29,82.64,83.66,82.01,83.51,1917300,77.07
2011-11-28,82.76,82.82,81.74,82.23,2005400,75.89
2011-11-25,80.35,81.63,80.30,80.82,826800,74.59
2011-11-23,81.29,81.63,80.41,80.76,2183600,74.53
2011-11-22,81.22,82.11,81.05,81.81,1635300,75.50
2011-11-21,81.22,81.81,80.79,81.29,1872400,75.02
2011-11-18,82.06,82.24,81.44,81.72,2355900,75.42
2011-11-17,82.64,83.17,81.19,81.98,2312000,75.66
2011-11-16,83.94,84.36,82.86,82.94,2459300,76.54
2011-11-15,83.41,84.73,83.15,84.48,1724100,77.97
2011-11-14,82.74,83.99,82.72,83.45,1539500,77.01
2011-11-11,83.35,83.71,82.68,83.04,2500700,76.64
2011-11-10,84.02,84.12,82.45,82.72,2502500,76.34
2011-11-09,83.57,84.04,82.77,83.41,2850300,76.98
2011-11-08,84.14,85.03,83.34,85.00,2499400,78.45
2011-11-07,83.69,84.29,83.21,84.16,2055200,77.45
2011-11-04,84.52,84.68,83.50,83.81,2097100,77.13
2011-11-03,83.89,84.76,82.88,84.70,2623300,77.95
2011-11-02,84.04,84.77,83.56,84.43,2620900,77.70
2011-11-01,82.37,84.24,81.99,83.35,2790400,76.70
2011-10-31,84.55,85.30,83.25,83.25,3073100,76.61
2011-10-28,84.65,85.18,84.26,84.93,1904900,78.16
2011-10-27,85.00,86.14,84.06,85.22,3728300,78.42
2011-10-26,83.41,84.13,82.11,83.73,2421100,77.05
2011-10-25,83.45,84.50,83.05,83.23,2193000,76.59
2011-10-24,84.83,85.18,84.16,84.48,3025600,77.74
2011-10-21,84.77,85.30,84.32,85.30,2957200,78.50
2011-10-20,84.38,85.35,83.78,84.26,2419600,77.54
2011-10-19,84.39,84.99,84.17,84.38,2704000,77.65
2011-10-18,82.35,85.00,82.19,84.57,3544500,77.83
2011-10-17,81.57,82.53,81.54,82.36,2278000,75.79
2011-10-14,82.07,82.81,81.19,81.77,2227700,75.25
2011-10-13,81.44,81.95,81.28,81.67,1839100,75.16
2011-10-12,81.51,82.50,81.21,81.42,2454000,74.93
2011-10-11,80.98,81.06,80.25,80.90,1983800,74.45
2011-10-10,80.00,81.32,79.85,81.23,2324400,74.75
2011-10-07,79.31,79.69,78.72,79.02,3353600,72.72
2011-10-06,79.81,80.00,78.41,79.20,4214800,72.88
2011-10-05,80.99,81.78,78.62,80.25,5043100,73.85
2011-10-04,80.67,81.78,78.61,81.65,4717800,75.14
2011-10-03,81.72,83.22,81.18,81.63,3235000,75.12
2011-09-30,82.38,83.68,82.02,82.13,2764100,75.58
2011-09-29,84.98,85.27,81.99,82.98,2434200,76.36
2011-09-28,84.59,85.30,83.77,83.79,2141000,77.11
2011-09-27,85.61,85.94,83.95,84.33,2494200,77.60
2011-09-26,83.80,84.75,83.36,84.45,3125000,77.72
2011-09-23,82.70,83.90,82.47,83.37,2827400,76.72
2011-09-22,82.73,83.78,81.73,83.18,4549800,76.55
2011-09-21,85.07,86.18,84.39,84.43,2639000,77.70
2011-09-20,85.15,86.34,84.70,85.07,3318300,78.29
2011-09-19,83.54,85.34,83.42,85.03,2567700,78.25
