Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,45.08,45.37,44.90,45.01,1824900,44.03
2011-12-29,44.84,45.12,44.71,45.05,2407700,44.07
2011-12-28,45.84,45.84,44.76,44.86,2526500,43.89
2011-12-27,45.39,45.97,45.23,45.84,1813400,44.85
2011-12-23,45.00,45.50,44.83,45.50,1617500,44.51
2011-12-22,44.19,44.95,44.09,44.82,2243100,43.85
2011-12-21,44.21,44.78,43.77,44.15,2680300,43.19
2011-12-20,43.61,44.49,43.61,44.37,3201800,43.41
2011-12-19,43.49,43.64,42.70,42.82,2222800,41.89
2011-12-16,43.93,43.93,43.04,43.34,5524000,42.40
2011-12-15,43.50,44.37,43.34,43.55,6111900,42.61
2011-12-14,42.05,42.37,41.69,42.16,4502800,41.25
2011-12-13,43.48,43.71,42.05,42.36,5355600,41.44
2011-12-12,43.86,44.03,43.34,43.41,3087100,42.47
2011-12-09,43.54,44.61,43.48,44.36,2334200,43.40
2011-12-08,44.45,44.48,43.29,43.38,2855900,42.44
2011-12-07,44.45,44.94,43.90,44.72,3833500,43.75
2011-12-06,45.47,45.50,44.65,44.69,4438300,43.72
2011-12-05,45.75,46.37,45.19,45.41,2725300,44.43
2011-12-02,47.05,47.09,45.05,45.33,3428400,44.35
2011-12-01,45.37,46.65,45.37,46.45,2800700,45.44
2011-11-30,45.29,45.63,45.05,45.55,3780500,44.56
2011-11-29,44.69,44.69,43.79,43.79,2488400,42.84
2011-11-28,43.96,44.94,43.91,44.47,3300800,43.51
2011-11-25,43.28,43.62,42.87,42.87,1241900,41.94
2011-11-23,43.82,43.97,43.06,43.37,4272000,42.43
2011-11-22,44.43,45.05,44.07,44.35,3130500,43.39
2011-11-21,45.01,45.19,44.16,44.51,3345500,43.55
2011-11-18,46.70,46.70,45.58,45.61,4490400,44.62
2011-11-17,47.17,47.32,45.83,46.34,4028800,45.34
2011-11-16,47.60,48.06,47.00,47.40,4885400,46.37
2011-11-15,48.49,48.87,47.32,48.15,4517500,47.11
2011-11-14,47.28,48.03,46.95,47.31,3270200,46.28
2011-11-11,47.35,48.07,47.06,47.59,3164600,46.56
2011-11-10,45.51,46.90,45.51,46.57,4119600,45.56
2011-11-09,45.96,46.00,44.83,45.04,3508900,44.06
2011-11-08,46.81,47.42,46.11,47.31,2044100,46.28
2011-11-07,45.70,46.67,45.46,46.52,3214800,45.51
2011-11-04,45.48,45.95,44.83,45.61,2797000,44.62
2011-11-03,46.30,46.30,45.16,45.72,3787200,44.73
2011-11-02,45.30,45.85,45.26,45.45,4590900,44.47
2011-11-01,45.48,45.71,44.76,45.15,4572800,44.17
2011-10-31,47.77,47.77,46.77,47.04,3594300,46.02
2011-10-28,47.52,48.45,47.04,48.25,4042400,47.20
2011-10-27,46.22,47.63,46.12,47.42,4863800,46.39
2011-10-26,45.93,45.93,44.35,44.77,5471000,43.80
2011-10-25,46.62,46.69,45.25,45.35,2894600,44.37
2011-10-24,45.35,47.05,45.27,46.95,3226400,45.93
2011-10-21,44.52,45.46,44.35,45.33,3233100,44.35
2011-10-20,45.13,45.34,43.36,43.89,5129000,42.94
