Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,33.54,33.58,33.19,33.24,795700,31.89
2011-12-29,33.30,33.51,33.21,33.49,741400,32.13
2011-12-28,33.33,33.37,33.12,33.17,618700,31.82
2011-12-27,33.15,33.40,33.06,33.25,956400,31.90
2011-12-23,33.24,33.25,33.12,33.16,1103500,31.81
2011-12-22,33.10,33.26,32.97,33.17,1150400,31.82
2011-12-21,32.92,33.50,32.91,33.39,1271900,31.75
2011-12-20,32.69,32.98,32.53,32.93,1623000,31.31
2011-12-19,32.82,33.04,32.47,32.51,1079400,30.92
2011-12-16,32.95,33.23,32.62,32.72,2649400,31.12
2011-12-15,32.47,32.80,32.30,32.68,1639500,31.08
2011-12-14,32.25,32.36,32.08,32.28,1797400,30.70
2011-12-13,32.60,32.77,32.20,32.29,1390100,30.71
2011-12-12,32.78,32.80,32.30,32.47,1691700,30.88
2011-12-09,32.74,32.96,32.59,32.84,1857000,31.23
2011-12-08,32.87,32.98,32.55,32.60,1675000,31.00
2011-12-07,32.85,33.00,32.59,32.89,1660200,31.28
2011-12-06,32.58,33.08,32.55,32.95,1877200,31.33
2011-12-05,32.82,32.90,32.47,32.64,1956400,31.04
2011-12-02,32.66,32.70,32.41,32.54,2154500,30.94
2011-12-01,32.51,32.78,32.44,32.53,2148000,30.93
2011-11-30,32.47,32.67,32.20,32.60,3148800,31.00
2011-11-29,31.83,32.16,31.80,32.00,2375000,30.43
2011-11-28,32.19,32.21,31.58,31.70,2936200,30.15
2011-11-25,31.30,31.89,31.22,31.85,1346000,30.29
2011-11-23,31.59,31.99,31.25,31.25,2821900,29.72
2011-11-22,32.96,33.20,31.43,31.84,7404000,30.28
2011-11-21,33.33,33.80,33.08,33.61,3424200,31.96
2011-11-18,33.57,33.71,33.36,33.65,1834700,32.00
2011-11-17,33.39,33.64,33.16,33.41,2403300,31.77
2011-11-16,33.52,33.84,33.28,33.36,2400600,31.72
2011-11-15,33.52,33.88,33.48,33.76,1157800,32.10
2011-11-14,33.71,33.71,33.46,33.58,939900,31.93
2011-11-11,33.88,33.94,33.46,33.79,1645400,32.13
2011-11-10,33.58,33.69,33.24,33.60,1448400,31.95
2011-11-09,33.73,33.73,33.23,33.33,2013700,31.70
2011-11-08,33.96,34.12,33.81,34.09,2574000,32.42
2011-11-07,33.11,34.05,33.04,34.05,3218000,32.38
2011-11-04,33.09,33.29,32.97,33.15,1336400,31.52
2011-11-03,32.99,33.34,32.82,33.30,2261700,31.67
2011-11-02,33.00,33.00,32.60,32.73,2186600,31.12
2011-11-01,32.86,33.13,32.72,32.84,3579900,31.23
2011-10-31,33.20,33.59,33.19,33.25,2508100,31.62
2011-10-28,33.64,33.66,33.22,33.47,1907000,31.83
2011-10-27,33.86,34.00,33.49,33.57,2620400,31.92
2011-10-26,33.56,33.65,33.27,33.49,1679200,31.85
2011-10-25,33.66,33.75,33.29,33.32,1126900,31.69
2011-10-24,33.91,33.91,33.51,33.67,1513100,32.02
2011-10-21,33.64,34.00,33.52,33.88,1818500,32.22
2011-10-20,33.45,33.69,33.03,33.28,2472900,31.65
2011-10-19,33.64,33.83,33.47,33.49,1958800,31.85
2011-10-18,33.14,33.88,32.93,33.64,2280700,31.99
2011-10-17,33.39,33.56,33.01,33.09,1553700,31.47
2011-10-14,33.54,33.58,33.15,33.49,1621600,31.85
2011-10-13,33.23,33.30,32.94,33.15,2561900,31.52
2011-10-12,33.68,33.68,33.25,33.26,2150100,31.63
2011-10-11,33.23,33.64,33.14,33.48,2351600,31.84
2011-10-10,33.01,33.27,32.86,33.26,2197200,31.63
2011-10-07,32.76,33.01,32.61,32.76,2610800,31.15
2011-10-06,32.44,32.83,32.36,32.64,3141000,31.04
2011-10-05,32.84,32.99,32.54,32.83,3481300,30.94
2011-10-04,32.48,32.94,32.06,32.94,4700000,31.05
2011-10-03,32.11,32.95,32.11,32.66,5193300,30.78
2011-09-30,32.09,32.88,32.03,32.37,2922400,30.51
2011-09-29,32.22,32.49,31.98,32.27,1694500,30.42
2011-09-28,32.40,32.60,31.91,31.91,1816700,30.08
2011-09-27,32.00,32.81,31.99,32.37,2948700,30.51
2011-09-26,31.40,31.80,31.27,31.78,2349200,29.95
2011-09-23,30.90,31.50,30.49,31.26,4078600,29.46
2011-09-22,30.07,30.92,29.93,30.81,3479000,29.04
2011-09-21,31.18,31.40,30.67,30.67,2179800,28.91
2011-09-20,31.23,31.47,31.08,31.23,1982000,29.44
2011-09-19,31.05,31.24,30.78,31.13,1572900,29.34
2011-09-16,31.50,31.58,31.25,31.36,3056800,29.56
2011-09-15,31.45,31.48,31.18,31.39,1942100,29.59
2011-09-14,30.91,31.48,30.74,31.24,2230600,29.45
2011-09-13,30.79,30.93,30.60,30.87,2171500,29.10
2011-09-12,30.63,30.79,30.26,30.70,2040500,28.94
2011-09-09,31.24,31.24,30.73,30.85,2133400,29.08
2011-09-08,31.58,31.74,31.39,31.46,2118900,29.65
2011-09-07,31.57,31.68,31.38,31.65,1622000,29.83
2011-09-06,30.75,31.19,30.68,31.19,2151900,29.40
2011-09-02,31.92,32.26,31.33,31.46,4223700,29.65
2011-09-01,31.84,32.00,31.66,31.86,2365600,30.03
2011-08-31,31.78,31.96,31.57,31.87,2532300,30.04
2011-08-30,31.64,31.82,31.32,31.70,2001900,29.88
2011-08-29,31.12,31.71,31.12,31.71,1931600,29.89
2011-08-26,30.60,31.12,30.19,30.92,1955300,29.14
2011-08-25,31.38,31.42,30.65,30.71,2222400,28.95
2011-08-24,30.84,31.36,30.70,31.32,2831000,29.52
2011-08-23,30.27,30.87,30.12,30.85,2773500,29.08
2011-08-22,30.46,30.50,30.20,30.24,1931100,28.50
2011-08-19,30.28,30.74,30.03,30.03,3304100,28.30
2011-08-18,30.90,31.11,30.29,30.43,3146000,28.68
2011-08-17,31.12,31.41,31.07,31.31,1857600,29.51
2011-08-16,30.92,31.14,30.84,31.00,2679500,29.22
2011-08-15,30.81,31.11,30.55,31.06,2757900,29.28
2011-08-12,30.15,30.73,29.96,30.69,9073100,28.93
2011-08-11,29.89,30.49,29.75,30.23,4465000,28.49
2011-08-10,30.54,30.74,29.69,29.77,8753000,28.06
2011-08-09,30.87,31.08,29.89,30.71,9099100,28.95
2011-08-08,31.50,31.86,30.62,30.69,9071600,28.93
2011-08-05,32.22,32.53,31.75,31.89,6103400,30.06
2011-08-04,32.71,33.09,31.96,31.96,4611800,30.12
2011-08-03,32.60,33.01,32.51,32.95,2390100,31.06
2011-08-02,32.81,32.86,32.63,32.63,1965000,30.76
2011-08-01,33.18,33.22,32.56,32.96,2088200,31.07
2011-07-29,32.95,33.30,32.80,33.05,1784800,31.15
2011-07-28,33.25,33.34,33.06,33.07,915600,31.17
2011-07-27,33.54,33.59,33.18,33.24,1506300,31.33
2011-07-26,33.60,33.77,33.42,33.59,1635900,31.66
2011-07-25,33.69,33.69,33.51,33.53,1282800,31.60
2011-07-22,34.06,34.06,33.76,33.81,1154100,31.87
2011-07-21,33.88,34.11,33.83,33.94,1729800,31.99
2011-07-20,34.02,34.10,33.77,33.77,1457300,31.83
2011-07-19,33.62,33.93,33.47,33.93,1909600,31.98
2011-07-18,33.83,33.88,33.36,33.57,2478700,31.64
2011-07-15,34.05,34.05,33.72,33.92,2768500,31.97
2011-07-14,34.32,34.47,33.95,34.06,3532800,32.10
2011-07-13,34.70,34.85,34.20,34.25,4502900,32.28
2011-07-12,34.50,35.02,34.22,34.59,5747100,32.60
2011-07-11,33.93,34.18,33.82,34.14,2307300,32.18
2011-07-08,33.91,34.29,33.91,34.17,2060400,32.21
2011-07-07,34.63,34.63,33.98,34.08,2345200,32.12
2011-07-06,34.38,34.62,34.32,34.59,2025700,32.33
2011-07-05,34.59,34.61,34.32,34.45,1695400,32.20
2011-07-01,34.48,34.72,34.36,34.65,1526600,32.39
2011-06-30,34.75,34.83,34.42,34.55,2441400,32.29
2011-06-29,34.14,35.10,34.14,34.68,4622300,32.41
2011-06-28,34.07,34.14,33.68,33.74,2125000,31.54
2011-06-27,34.00,34.11,33.79,34.02,1744600,31.80
2011-06-24,33.33,34.19,33.27,33.90,5032300,31.68
2011-06-23,33.61,33.65,32.95,33.11,4913000,30.95
2011-06-22,34.19,34.29,33.95,33.98,1684800,31.76
2011-06-21,34.35,34.35,34.04,34.22,1512200,31.98
2011-06-20,34.07,34.36,34.05,34.23,894400,31.99
2011-06-17,34.13,34.45,34.12,34.17,1802200,31.94
2011-06-16,33.84,34.10,33.70,34.07,1558400,31.84
2011-06-15,33.93,33.93,33.69,33.76,1579400,31.55
2011-06-14,33.94,34.12,33.78,34.05,1506900,31.82
2011-06-13,33.92,34.05,33.70,33.92,1666500,31.70
2011-06-10,33.99,34.02,33.70,33.71,1703700,31.51
2011-06-09,33.68,34.29,33.61,34.04,2271600,31.82
2011-06-08,33.68,33.76,33.48,33.68,1764200,31.48
2011-06-07,33.71,33.82,33.58,33.73,1636500,31.53
2011-06-06,33.65,33.78,33.62,33.66,1519600,31.46
2011-06-03,33.94,34.10,33.68,33.68,1811600,31.48
2011-06-02,34.47,34.53,34.04,34.11,1907900,31.88
2011-06-01,34.67,34.69,34.34,34.44,1893600,32.19
2011-05-31,34.78,34.84,34.57,34.75,1493900,32.48
2011-05-27,34.63,34.77,34.44,34.64,1520200,32.38
2011-05-26,34.63,34.71,34.49,34.55,2708200,32.29
2011-05-25,34.63,35.10,34.55,34.63,3042700,32.37
2011-05-24,34.94,35.39,34.79,35.20,3459000,32.90
2011-05-23,34.45,35.34,34.38,34.95,5628200,32.67
2011-05-20,35.25,35.34,34.97,35.24,2984300,32.94
2011-05-19,35.40,35.66,35.29,35.34,2039200,33.03
2011-05-18,35.10,35.35,35.01,35.28,1571100,32.97
2011-05-17,34.97,35.36,34.86,35.10,2155400,32.81
2011-05-16,35.03,35.29,34.86,35.17,2416300,32.87
2011-05-13,34.30,35.27,34.28,35.19,5912400,32.89
2011-05-12,33.56,34.39,33.56,34.34,2800000,32.10
2011-05-11,33.71,33.91,33.59,33.67,2191200,31.47
2011-05-10,33.54,33.86,33.52,33.76,1479900,31.55
2011-05-09,33.60,33.64,33.39,33.41,2566800,31.23
2011-05-06,33.60,33.87,33.56,33.62,1719500,31.42
2011-05-05,33.51,33.60,33.31,33.43,2435600,31.25
2011-05-04,33.78,33.94,33.57,33.66,2374700,31.46
2011-05-03,33.62,33.92,33.62,33.75,1445600,31.54
2011-05-02,33.62,33.94,33.53,33.80,1816000,31.59
2011-04-29,33.31,33.65,33.31,33.59,1353700,31.39
2011-04-28,33.22,33.45,33.11,33.39,1700800,31.21
2011-04-27,33.14,33.43,33.11,33.22,1733000,31.05
2011-04-26,32.86,33.13,32.79,33.09,1500000,30.93
2011-04-25,32.89,32.99,32.71,32.77,1983000,30.63
2011-04-21,33.36,33.36,32.79,32.89,2506200,30.74
2011-04-20,33.51,33.62,33.19,33.33,1649500,31.15
2011-04-19,33.22,33.33,33.00,33.33,2874600,31.15
2011-04-18,33.55,33.67,33.26,33.26,2817500,31.09
2011-04-15,33.85,33.99,33.75,33.84,2138000,31.63
2011-04-14,33.62,33.94,33.56,33.79,1552700,31.58
2011-04-13,33.82,33.84,33.64,33.69,1849000,31.49
2011-04-12,33.27,34.02,33.27,33.73,2970800,31.53
