Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,18.19,18.29,18.05,18.08,20775000,17.61
2011-12-29,18.15,18.27,18.14,18.25,17640100,17.77
2011-12-28,18.52,18.59,18.11,18.16,26740600,17.68
2011-12-27,18.48,18.64,18.46,18.58,22932400,18.09
2011-12-23,18.15,18.49,18.13,18.47,23341700,17.99
2011-12-22,18.01,18.22,17.97,18.13,37599700,17.66
2011-12-21,18.23,18.35,17.82,17.92,57677700,17.45
2011-12-20,17.92,18.48,17.91,18.41,44825500,17.93
2011-12-19,17.96,18.01,17.62,17.69,39711600,17.23
2011-12-16,18.19,18.53,17.94,17.94,94963600,17.47
2011-12-15,18.17,18.25,17.93,18.04,39810900,17.57
2011-12-14,18.46,18.50,17.88,17.98,59671000,17.51
2011-12-13,18.57,18.85,18.34,18.47,48006900,17.99
2011-12-12,18.62,18.70,18.26,18.53,44118300,18.04
2011-12-09,18.58,18.96,18.49,18.88,44018700,18.39
2011-12-08,18.87,19.07,18.45,18.57,47298800,18.08
2011-12-07,18.76,19.05,18.57,18.99,54876800,18.49
2011-12-06,18.78,18.89,18.71,18.73,29136200,18.24
2011-12-05,18.84,18.89,18.66,18.79,43528500,18.30
2011-12-02,18.68,18.98,18.53,18.55,46249200,18.06
2011-12-01,18.68,18.72,18.32,18.58,41438400,18.09
2011-11-30,18.24,18.79,18.16,18.64,74532800,18.15
2011-11-29,18.01,18.15,17.66,17.68,53296800,17.22
2011-11-28,17.92,18.10,17.84,18.01,45992200,17.54
2011-11-25,17.25,17.80,17.22,17.50,24466200,17.04
2011-11-23,17.72,17.80,17.40,17.41,47636000,16.95
2011-11-22,17.90,18.13,17.70,17.92,39697900,17.45
2011-11-21,18.13,18.31,17.78,18.00,54357100,17.53
2011-11-18,18.46,18.63,18.22,18.42,38219600,17.94
2011-11-17,18.80,18.82,18.22,18.48,55373800,18.00
2011-11-16,18.95,19.15,18.77,18.80,54561100,18.31
2011-11-15,18.81,19.19,18.79,19.12,45564300,18.62
2011-11-14,18.95,19.10,18.86,18.94,46650700,18.44
2011-11-11,18.79,19.15,18.76,19.02,80558400,18.52
2011-11-10,18.69,18.91,18.42,18.61,148101900,18.12
2011-11-09,18.04,18.04,17.44,17.61,80049500,17.15
2011-11-08,18.15,18.34,17.96,18.31,50448200,17.83
2011-11-07,18.00,18.24,17.79,18.01,44475200,17.54
2011-11-04,18.08,18.10,17.75,18.03,39823600,17.56
2011-11-03,17.98,18.20,17.71,18.18,39658500,17.70
2011-11-02,17.74,17.94,17.59,17.85,38986200,17.38
2011-11-01,18.05,18.05,17.53,17.59,67814500,17.13
2011-10-31,18.34,18.55,18.21,18.53,50718200,18.04
2011-10-28,18.28,18.60,18.21,18.56,47736100,18.07
2011-10-27,18.04,18.58,17.99,18.44,105736800,17.96
2011-10-26,17.76,17.89,17.30,17.61,44776600,17.15
2011-10-25,17.54,17.74,17.49,17.62,44039200,17.16
2011-10-24,17.38,17.67,17.26,17.54,37792500,17.08
2011-10-21,17.33,17.60,17.19,17.38,46176900,16.92
2011-10-20,17.20,17.26,16.80,17.19,39739700,16.74
2011-10-19,17.40,17.54,17.05,17.16,35829200,16.71
2011-10-18,17.18,17.67,16.97,17.51,42784700,17.05
2011-10-17,17.37,17.47,17.02,17.17,37621700,16.72
2011-10-14,17.54,17.67,17.35,17.55,43852200,17.09
2011-10-13,17.17,17.43,17.17,17.42,44234300,16.96
2011-10-12,17.13,17.40,17.01,17.25,70255500,16.80
2011-10-11,17.00,17.10,16.86,16.99,53682000,16.55
2011-10-10,16.91,17.14,16.85,17.09,48940100,16.64
2011-10-07,16.76,16.94,16.50,16.66,58373900,16.22
2011-10-06,16.21,16.76,16.17,16.75,74775100,16.31
2011-10-05,15.57,16.52,15.50,16.16,119792300,15.74
2011-10-04,14.95,15.62,14.93,15.58,80847200,15.17
2011-10-03,15.30,15.47,15.17,15.19,79202800,14.73
2011-09-30,15.63,15.77,15.48,15.50,50447300,15.03
2011-09-29,16.09,16.25,15.53,15.85,59527500,15.37
