Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,23.79,23.88,23.52,23.70,1605000,23.09
2011-12-29,23.87,23.91,23.43,23.68,1952500,23.07
2011-12-28,24.17,24.39,23.51,23.76,2584000,23.15
2011-12-27,24.57,24.99,23.93,24.10,2929000,23.48
2011-12-23,26.40,26.58,26.26,26.48,931100,25.80
2011-12-22,25.77,26.33,25.73,26.19,1966900,25.52
2011-12-21,26.27,26.38,25.15,25.67,2146200,25.01
2011-12-20,25.48,26.60,25.42,26.49,1685700,25.62
2011-12-19,25.92,26.19,24.90,25.00,2137900,24.18
2011-12-16,25.74,26.09,25.66,25.93,3012300,25.08
2011-12-15,25.31,25.63,25.28,25.46,2680000,24.62
2011-12-14,24.91,25.07,24.60,24.93,2852000,24.11
2011-12-13,25.47,25.82,24.70,24.93,2034400,24.11
2011-12-12,25.67,26.06,25.06,25.24,2288300,24.41
2011-12-09,25.14,26.25,25.03,25.95,2009400,25.09
2011-12-08,25.18,25.43,24.99,25.02,3277500,24.20
2011-12-07,25.13,25.70,24.92,25.54,1993400,24.70
2011-12-06,25.71,25.71,25.07,25.34,1677700,24.50
2011-12-05,25.10,25.70,24.90,25.63,3067900,24.79
2011-12-02,24.88,25.15,24.56,24.67,1741800,23.86
2011-12-01,24.32,24.84,24.12,24.72,2233500,23.91
2011-11-30,23.74,24.49,23.50,24.43,3230000,23.62
2011-11-29,23.46,23.54,23.16,23.30,4467800,22.53
2011-11-28,23.77,23.88,23.13,23.34,3079400,22.57
2011-11-25,22.98,23.15,22.80,22.93,1312400,22.17
2011-11-23,24.27,24.30,22.97,23.00,3771500,22.24
2011-11-22,24.66,24.83,24.20,24.49,2813400,23.68
2011-11-21,24.80,25.08,24.52,24.84,2991500,24.02
2011-11-18,25.22,25.35,24.65,25.21,2533900,24.38
2011-11-17,25.70,25.84,24.99,25.15,2172400,24.32
2011-11-16,25.99,26.88,25.79,25.82,2546400,24.97
2011-11-15,25.35,27.10,25.06,26.32,6578400,25.45
2011-11-14,26.24,26.24,25.21,25.46,2360400,24.62
2011-11-11,26.02,26.66,25.79,26.48,4118300,25.61
2011-11-10,27.37,27.83,24.92,25.24,6601800,24.41
2011-11-09,29.30,30.29,27.80,27.90,5111900,26.98
2011-11-08,32.60,33.00,32.14,32.97,1693800,31.88
2011-11-07,32.30,32.71,31.90,32.28,1375300,31.22
2011-11-04,32.04,32.62,31.67,32.40,1586700,31.33
2011-11-03,30.70,32.48,30.54,32.40,2177700,31.33
2011-11-02,30.52,30.79,30.06,30.34,1234900,29.34
2011-11-01,30.44,30.64,29.72,29.92,1906500,28.93
2011-10-31,32.07,32.29,31.42,31.46,1478800,30.42
2011-10-28,32.37,32.89,32.09,32.44,1731600,31.37
2011-10-27,31.63,33.12,31.44,32.81,2283100,31.73
2011-10-26,30.60,30.76,29.78,30.62,1101800,29.61
2011-10-25,30.84,30.88,30.12,30.19,1359900,29.19
2011-10-24,30.23,30.97,30.01,30.90,1679500,29.88
2011-10-21,29.68,30.42,29.62,30.03,1309400,29.04
2011-10-20,29.34,29.53,28.48,29.27,1380700,28.31
2011-10-19,30.20,30.22,29.24,29.36,1335000,28.39
2011-10-18,29.59,30.32,28.98,30.11,1468500,29.12
2011-10-17,30.44,30.44,29.50,29.59,1268700,28.61
