Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,37.28,37.53,37.17,37.20,2344800,34.59
2011-12-29,36.70,37.25,36.70,37.19,2536400,34.58
2011-12-28,37.24,37.24,36.59,36.67,2864800,34.09
2011-12-27,37.11,37.34,36.98,37.16,1811100,34.55
2011-12-23,36.95,37.19,36.81,37.10,2145000,34.49
2011-12-22,36.77,36.99,36.62,36.89,4765400,34.30
2011-12-21,35.84,36.58,35.83,36.54,4511500,33.97
2011-12-20,35.41,36.05,35.34,35.91,4842800,33.39
2011-12-19,35.40,35.65,34.81,34.93,4489300,32.48
2011-12-16,35.45,35.69,35.07,35.26,9790200,32.78
2011-12-15,35.60,35.93,35.00,35.30,6271800,32.82
2011-12-14,35.37,35.61,35.00,35.35,5237400,32.87
2011-12-13,35.74,36.05,35.31,35.46,5601600,32.97
2011-12-12,35.66,35.71,35.38,35.69,4792200,33.18
2011-12-09,35.77,35.99,35.61,35.72,4150800,33.21
2011-12-08,36.01,36.08,35.67,35.68,5252600,33.17
2011-12-07,36.20,36.58,35.80,36.14,14973300,33.60
2011-12-06,36.11,36.40,36.02,36.20,5856600,33.66
2011-12-05,35.83,36.43,35.69,36.02,8276400,33.49
2011-12-02,36.29,36.29,35.40,35.48,10413200,32.99
2011-12-01,37.34,37.40,36.55,36.93,7368600,33.66
2011-11-30,37.15,37.54,36.88,37.52,7131500,34.20
2011-11-29,36.45,36.49,36.24,36.35,4692700,33.13
2011-11-28,36.54,36.66,36.12,36.33,6542900,33.11
2011-11-25,35.49,35.98,35.35,35.70,1861400,32.54
2011-11-23,36.14,36.14,35.20,35.50,6452200,32.36
2011-11-22,36.95,36.95,35.82,36.44,7197900,33.21
2011-11-21,37.02,37.39,36.75,36.90,22581500,33.63
2011-11-18,37.16,37.60,37.00,37.25,20053300,33.95
2011-11-17,37.26,37.46,36.72,36.95,15446500,33.68
2011-11-16,36.97,37.80,36.93,37.25,5822600,33.95
2011-11-15,37.42,37.65,37.22,37.58,3051600,34.25
2011-11-14,37.82,37.83,37.44,37.57,3460600,34.24
2011-11-11,37.85,38.01,37.70,37.83,4901800,34.48
2011-11-10,37.08,37.52,36.94,37.46,6538300,34.14
2011-11-09,36.91,37.27,36.54,36.76,8130500,33.51
2011-11-08,36.89,37.64,36.62,37.54,6851700,34.22
2011-11-07,36.40,36.67,36.17,36.55,6055800,33.31
2011-11-04,36.38,36.47,35.75,36.23,5454300,33.02
2011-11-03,36.22,36.88,34.55,36.60,12371600,33.36
2011-11-02,35.16,35.16,34.14,34.55,7058900,31.49
2011-11-01,34.48,34.88,34.11,34.54,5866900,31.48
2011-10-31,35.75,35.91,35.24,35.26,5000900,32.14
2011-10-28,35.58,36.03,35.40,35.96,5133800,32.78
2011-10-27,35.24,36.02,34.91,35.78,6467300,32.61
2011-10-26,34.23,34.63,34.10,34.59,5214200,31.53
2011-10-25,34.73,34.87,34.06,34.12,5723200,31.10
2011-10-24,35.34,35.43,34.73,34.88,4912000,31.79
2011-10-21,35.05,35.45,34.70,35.19,6540000,32.07
2011-10-20,34.63,34.84,34.14,34.77,7126200,31.69
2011-10-19,34.78,35.31,34.58,34.64,4522700,31.57
2011-10-18,34.26,34.87,34.06,34.70,3648900,31.63
2011-10-17,34.56,34.71,34.26,34.33,2947200,31.29
2011-10-14,34.54,34.70,34.36,34.60,3532900,31.54
2011-10-13,34.28,34.52,33.86,34.31,3834200,31.27
2011-10-12,33.72,34.75,33.55,34.38,6026400,31.34
2011-10-11,33.44,33.61,33.17,33.52,5895200,30.55
2011-10-10,33.35,33.63,33.22,33.54,4668900,30.57
2011-10-07,32.49,33.05,32.39,32.79,5590700,29.89
2011-10-06,32.17,32.47,31.97,32.28,9117800,29.42
2011-10-05,32.36,32.43,31.81,32.24,5861200,29.39
2011-10-04,31.86,32.20,31.16,32.17,6100000,29.32
2011-10-03,33.00,33.29,32.09,32.11,6813100,29.27
2011-09-30,33.40,33.89,33.10,33.12,4579500,30.19
2011-09-29,33.97,34.10,33.21,33.72,5421300,30.73
2011-09-28,34.29,34.29,33.50,33.59,5594000,30.62
2011-09-27,34.48,34.70,33.90,34.04,5299000,31.03
2011-09-26,33.69,34.02,33.47,33.99,10063200,30.98
2011-09-23,32.87,33.45,32.80,33.37,4377600,30.42
2011-09-22,32.67,33.20,32.49,32.89,7246000,29.98
2011-09-21,34.54,34.54,33.44,33.45,6148800,30.49
2011-09-20,34.91,35.18,34.61,34.64,4702000,31.57
2011-09-19,34.57,34.77,34.32,34.64,3620400,31.57
2011-09-16,34.52,34.97,34.27,34.97,6423500,31.87
2011-09-15,35.08,35.08,34.23,34.25,5700400,31.22
2011-09-14,34.82,35.00,34.13,34.66,7037700,31.59
2011-09-13,33.67,34.78,33.61,34.64,8688300,31.57
2011-09-12,32.83,33.44,32.60,33.35,5318900,30.40
2011-09-09,33.49,33.49,32.86,33.07,12910700,30.14
2011-09-08,33.78,33.94,33.56,33.68,5658400,30.70
2011-09-07,33.54,34.03,33.38,33.85,4811000,30.85
2011-09-06,33.32,33.57,33.01,33.23,6110200,30.29
2011-09-02,34.04,34.47,33.87,34.15,5000400,31.13
2011-09-01,35.34,35.44,34.27,34.31,7451200,31.27
2011-08-31,35.84,36.24,35.57,36.15,9306100,32.29
2011-08-30,35.28,35.55,35.11,35.36,6432700,31.58
2011-08-29,34.81,35.52,34.10,35.42,4695200,31.64
2011-08-26,34.25,34.63,33.75,34.44,5225200,30.76
2011-08-25,34.98,35.00,34.21,34.43,5430000,30.75
2011-08-24,34.23,34.91,34.22,34.87,5725900,31.15
2011-08-23,34.46,34.52,34.03,34.47,5307700,30.79
2011-08-22,34.52,34.61,33.60,33.99,5540500,30.36
2011-08-19,33.76,34.43,33.69,33.70,5553200,30.10
2011-08-18,34.52,34.74,33.88,34.07,8149000,30.43
2011-08-17,34.69,35.35,34.67,35.31,5931000,31.54
2011-08-16,34.84,34.97,34.14,34.38,7426000,30.71
2011-08-15,35.02,35.10,34.65,34.98,6751700,31.24
2011-08-12,34.90,34.95,34.32,34.61,7302400,30.91
2011-08-11,33.51,34.72,33.43,34.46,10581200,30.78
2011-08-10,33.59,34.08,33.30,33.38,13655600,29.81
2011-08-09,32.39,33.95,31.90,33.88,21426400,30.26
2011-08-08,33.07,33.46,31.75,31.82,12700100,28.42
2011-08-05,33.88,34.42,32.84,33.72,14171300,30.12
2011-08-04,34.06,34.07,33.24,33.25,11632300,29.70
2011-08-03,35.70,35.75,33.85,34.66,24919500,30.96
2011-08-02,37.29,37.55,36.92,36.93,9871600,32.99
2011-08-01,37.61,37.77,36.75,37.00,5488600,33.05
2011-07-29,36.96,37.44,36.42,37.11,5884600,33.15
2011-07-28,37.56,37.83,37.16,37.24,4156500,33.26
2011-07-27,38.06,38.22,37.60,37.62,4534000,33.60
2011-07-26,37.95,38.45,37.95,38.27,4384900,34.18
2011-07-25,38.41,38.44,37.92,37.95,4981700,33.90
2011-07-22,38.07,38.69,38.01,38.66,10951600,34.53
2011-07-21,38.02,38.44,37.94,38.27,4644500,34.18
2011-07-20,38.07,38.07,37.72,37.76,6031800,33.73
2011-07-19,38.02,38.16,37.60,37.94,8192500,33.89
2011-07-18,38.30,38.34,37.43,37.83,7505400,33.79
2011-07-15,38.61,38.82,38.28,38.42,5308600,34.32
2011-07-14,39.00,39.13,38.46,38.54,10396200,34.42
2011-07-13,39.00,39.98,38.68,38.78,10394600,34.64
2011-07-12,39.60,39.60,39.30,39.31,3500300,35.11
2011-07-11,40.00,40.00,39.37,39.46,4873800,35.25
2011-07-08,40.48,40.70,40.16,40.31,6133500,36.00
2011-07-07,41.27,41.27,40.71,40.71,4142300,36.36
2011-07-06,41.02,41.32,40.81,40.91,3733000,36.54
2011-07-05,40.98,41.14,40.69,41.00,2939700,36.62
2011-07-01,40.44,41.10,40.44,41.03,2671100,36.65
2011-06-30,40.48,40.55,40.03,40.43,2807600,36.11
2011-06-29,39.98,40.31,39.80,40.26,3229900,35.96
2011-06-28,39.70,40.00,39.38,39.80,3840500,35.55
2011-06-27,39.28,39.63,38.97,39.63,3425300,35.40
2011-06-24,39.79,39.93,39.14,39.16,7271300,34.98
2011-06-23,39.72,39.76,39.12,39.71,3608600,35.47
2011-06-22,40.06,40.35,39.96,39.99,3542600,35.72
2011-06-21,39.80,40.13,39.74,40.06,3893600,35.78
2011-06-20,39.30,39.74,39.29,39.60,9304900,35.37
2011-06-17,39.85,39.92,39.39,39.45,6517900,35.24
2011-06-16,39.46,39.74,39.18,39.52,4204600,35.30
2011-06-15,39.78,39.78,39.15,39.33,6495700,35.13
2011-06-14,40.10,40.19,39.93,40.11,3032200,35.83
2011-06-13,39.85,40.34,39.79,39.85,3915400,35.59
2011-06-10,40.71,40.80,40.08,40.09,3831000,35.81
2011-06-09,40.81,41.12,40.27,40.89,4583100,36.52
2011-06-08,40.34,40.89,40.25,40.58,3933500,36.25
2011-06-07,40.73,40.79,40.32,40.34,4261500,36.03
2011-06-06,41.17,41.24,40.73,40.74,3267600,36.39
2011-06-03,41.55,41.61,41.25,41.26,3977200,36.85
2011-06-02,42.03,42.13,41.68,41.71,4448300,37.26
2011-06-01,43.21,43.30,42.61,42.68,5152800,37.47
2011-05-31,43.27,43.35,43.00,43.19,5433000,37.92
2011-05-27,43.08,43.15,42.85,43.03,2452800,37.78
2011-05-26,42.62,42.97,42.17,42.95,3910100,37.71
2011-05-25,42.57,42.91,42.26,42.57,4539900,37.38
2011-05-24,43.06,43.27,42.88,42.98,4292100,37.74
2011-05-23,42.87,43.23,42.60,43.05,3420900,37.80
2011-05-20,43.36,43.49,43.11,43.20,3462200,37.93
2011-05-19,43.16,43.36,42.90,43.36,4780500,38.07
2011-05-18,42.73,43.04,42.50,43.00,7236200,37.75
2011-05-17,42.15,42.73,42.01,42.70,5236400,37.49
2011-05-16,42.30,42.80,42.15,42.27,5476000,37.11
2011-05-13,42.27,42.62,42.13,42.42,6088700,37.25
2011-05-12,41.41,42.12,41.29,41.99,4800000,36.87
2011-05-11,41.28,41.80,41.18,41.41,4578500,36.36
2011-05-10,40.99,41.40,40.90,41.36,5136200,36.31
2011-05-09,40.90,40.91,40.51,40.82,4155600,35.84
2011-05-06,40.72,41.44,40.62,40.98,6568300,35.98
2011-05-05,40.39,40.88,39.28,40.48,8084000,35.54
2011-05-04,40.66,40.76,40.27,40.37,8881200,35.45
2011-05-03,40.53,40.93,40.48,40.59,4870800,35.64
2011-05-02,41.15,41.45,40.52,40.68,5323200,35.72
2011-04-29,40.32,41.12,40.29,40.78,5646300,35.81
2011-04-28,40.10,40.42,40.00,40.42,3908700,35.49
2011-04-27,40.37,40.50,39.87,40.14,6909700,35.24
2011-04-26,39.48,40.36,39.48,40.32,4500000,35.40
2011-04-25,39.51,39.63,38.66,39.39,5604300,34.59
2011-04-21,39.66,39.77,39.40,39.51,4228500,34.69
2011-04-20,39.64,39.84,39.39,39.55,3976500,34.73
2011-04-19,39.65,39.84,39.29,39.33,4268500,34.53
2011-04-18,39.79,39.86,39.32,39.51,4590800,34.69
2011-04-15,40.05,40.18,39.67,40.03,4256600,35.15
2011-04-14,39.98,40.34,39.88,40.00,3873300,35.12
2011-04-13,39.90,40.35,39.83,40.22,4006800,35.31
2011-04-12,40.19,40.35,39.70,39.83,5166800,34.97
2011-04-11,40.76,40.76,40.16,40.28,5007300,35.37
2011-04-08,40.65,41.00,40.36,40.46,4169600,35.52
2011-04-07,40.50,40.64,40.14,40.60,4385200,35.65
2011-04-06,40.18,40.85,39.94,40.64,7316800,35.68
2011-04-05,40.09,40.34,40.00,40.14,7272000,35.24
2011-04-04,41.14,41.14,40.00,40.23,9414000,35.32
2011-04-01,41.63,41.82,40.88,41.03,5949600,36.03
2011-03-31,41.67,41.86,41.37,41.55,13717100,36.48
2011-03-30,41.66,41.84,41.32,41.73,6161700,36.64
2011-03-29,40.93,41.51,40.75,41.45,3613000,36.39
2011-03-28,40.82,41.07,40.71,40.95,3201400,35.95
2011-03-25,41.22,41.22,40.81,40.97,4332600,35.97
2011-03-24,41.04,41.18,40.57,40.69,3334800,35.73
2011-03-23,40.88,40.97,40.54,40.90,2715100,35.91
2011-03-22,40.46,41.03,40.46,40.89,3909800,35.90
2011-03-21,42.13,42.19,40.42,40.48,6104300,35.54
2011-03-18,41.33,41.83,41.21,41.83,5936600,36.73
2011-03-17,40.30,40.97,40.02,40.81,4981200,35.83
2011-03-16,40.17,40.50,39.53,39.67,7749500,34.83
2011-03-15,39.76,40.27,39.45,40.07,4691400,35.18
2011-03-14,40.38,40.49,40.11,40.43,4177400,35.50
2011-03-11,40.17,40.54,40.08,40.45,2854800,35.52
2011-03-10,40.40,40.56,40.10,40.35,3759100,35.43
2011-03-09,40.45,40.76,40.02,40.68,3478600,35.72
2011-03-08,40.41,40.77,40.10,40.52,4289300,35.58
2011-03-07,40.56,40.59,39.84,40.09,4633800,35.20
2011-03-04,40.78,40.99,40.32,40.40,3517000,35.47
2011-03-03,41.09,41.34,40.39,40.81,4223800,35.83
2011-03-02,40.82,41.20,40.54,40.93,3717400,35.94
2011-03-01,41.27,41.50,40.50,40.50,4950700,35.56
2011-02-28,40.60,41.22,40.53,41.18,4553900,36.16
2011-02-25,40.37,40.62,40.15,40.44,3019200,35.51
2011-02-24,39.90,40.16,39.60,40.07,3947600,35.18
2011-02-23,40.55,40.72,39.85,40.05,4327200,35.16
2011-02-22,39.89,40.81,39.45,40.70,6231600,35.74
2011-02-18,42.09,42.18,40.88,41.23,7692200,36.20
2011-02-17,42.26,42.65,42.14,42.17,4629700,37.03
2011-02-16,43.27,43.33,41.94,42.66,8628400,37.46
2011-02-15,44.82,45.05,43.43,43.83,7070400,37.85
2011-02-14,45.08,45.34,45.00,45.14,3469400,38.98
2011-02-11,44.50,45.14,44.50,45.10,1910700,38.94
2011-02-10,44.42,44.79,44.35,44.70,2326300,38.60
2011-02-09,44.45,44.76,44.31,44.50,2050300,38.43
2011-02-08,44.24,44.56,44.17,44.50,2323300,38.43
2011-02-07,43.93,44.20,43.83,44.17,6634700,38.14
2011-02-04,43.88,43.98,43.45,43.64,6029300,37.68
2011-02-03,43.45,43.95,43.28,43.84,4849000,37.86
2011-02-02,43.39,43.72,43.24,43.58,2633000,37.63
2011-02-01,43.51,43.55,43.04,43.44,2758700,37.51
2011-01-31,43.16,43.61,43.13,43.24,3347000,37.34
2011-01-28,43.68,43.78,42.99,43.02,5735200,37.15
2011-01-27,43.86,43.91,43.06,43.54,3997000,37.60
2011-01-26,42.71,43.85,42.57,43.83,6735100,37.85
2011-01-25,42.07,42.24,41.65,42.20,3593200,36.44
2011-01-24,41.90,42.30,41.89,41.99,3688500,36.26
2011-01-21,42.60,42.83,41.71,42.16,4661900,36.40
2011-01-20,43.15,43.30,42.33,42.44,4857700,36.65
2011-01-19,43.83,43.99,43.09,43.35,4978000,37.43
2011-01-18,44.44,44.50,43.55,43.94,5070800,37.94
2011-01-14,44.72,44.99,44.22,44.27,4360300,38.23
2011-01-13,44.62,44.95,44.58,44.86,2860500,38.74
2011-01-12,44.67,44.87,44.51,44.63,3286600,38.54
2011-01-11,44.86,45.17,44.31,44.41,3519400,38.35
2011-01-10,44.86,45.16,44.72,44.96,3106600,38.82
2011-01-07,45.20,45.43,44.76,44.81,3973000,38.69
2011-01-06,46.36,46.42,44.70,45.44,5315700,39.24
2011-01-05,46.45,46.70,46.29,46.39,4091400,40.06
2011-01-04,46.75,46.78,46.32,46.73,3727200,40.35
2011-01-03,46.36,46.66,46.31,46.58,3266200,40.22
