Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,61.10,61.39,60.27,60.72,1357400,60.72
2011-12-29,60.95,61.48,60.47,61.34,1108400,61.34
2011-12-28,61.64,62.12,60.55,60.78,1481300,60.78
2011-12-27,61.96,62.77,61.89,61.98,883000,61.98
2011-12-23,61.22,62.34,60.77,62.04,1461300,62.04
2011-12-22,58.94,61.36,58.46,61.32,2431100,61.32
2011-12-21,61.62,61.70,56.79,58.46,4825500,58.46
2011-12-20,62.71,63.49,61.60,63.38,1759800,63.38
2011-12-19,64.49,64.78,61.32,61.52,2029600,61.52
2011-12-16,64.25,66.49,63.43,64.08,2800000,64.08
2011-12-15,65.05,65.35,62.86,63.89,1699300,63.89
2011-12-14,65.77,65.99,63.15,63.93,1862600,63.93
2011-12-13,69.42,69.99,66.06,66.37,1787500,66.37
2011-12-12,70.30,70.43,67.80,68.80,1904400,68.80
2011-12-09,70.11,71.69,69.84,71.26,1342300,71.26
2011-12-08,71.38,71.96,69.64,69.82,1181800,69.82
2011-12-07,72.90,72.90,71.01,72.14,1114600,72.14
2011-12-06,73.29,74.14,72.70,73.23,1062800,73.23
2011-12-05,72.49,74.74,72.40,73.01,1873100,73.01
2011-12-02,72.06,72.72,70.70,70.78,850400,70.78
2011-12-01,71.16,72.29,70.75,71.35,1154900,71.35
2011-11-30,68.57,71.44,68.52,71.39,2867100,71.39
2011-11-29,68.24,68.84,66.19,66.31,1987800,66.31
2011-11-28,66.26,68.81,66.26,68.39,1977000,68.39
2011-11-25,64.94,66.32,64.43,64.47,670500,64.47
2011-11-23,67.61,67.94,65.17,65.48,1635200,65.48
2011-11-22,68.86,69.28,67.68,68.17,1490200,68.17
2011-11-21,69.80,69.91,67.28,68.93,2348900,68.93
2011-11-18,71.87,72.00,70.05,70.54,2207000,70.54
2011-11-17,75.04,75.11,71.20,72.45,2204200,72.45
2011-11-16,75.39,77.74,74.97,75.29,2114600,75.29
2011-11-15,74.28,76.43,74.28,75.95,1662800,75.95
2011-11-14,74.02,76.05,73.81,74.58,2102300,74.58
2011-11-11,72.14,74.65,71.91,73.99,1774600,73.99
2011-11-10,71.76,71.89,69.62,71.09,1565300,71.09
2011-11-09,72.35,72.76,70.51,70.78,1752600,70.78
2011-11-08,74.19,74.49,72.50,74.28,1511900,74.28
2011-11-07,74.10,74.59,71.53,73.59,1558000,73.59
2011-11-04,73.62,74.97,72.66,74.23,1840600,74.23
2011-11-03,72.43,74.78,70.93,74.53,3172600,74.53
2011-11-02,70.93,72.43,70.24,71.56,2432600,71.56
2011-11-01,70.91,72.15,69.30,70.11,2604500,70.11
2011-10-31,72.80,73.98,71.91,72.83,3304100,72.83
2011-10-28,73.96,75.58,71.43,73.37,3971800,73.37
2011-10-27,74.89,78.00,72.95,75.35,7867400,75.35
2011-10-26,66.21,66.63,62.59,64.22,4409400,64.22
2011-10-25,66.01,66.06,65.00,65.29,1822500,65.29
2011-10-24,64.52,66.58,64.48,66.12,1458100,66.12
2011-10-21,64.76,65.02,63.37,64.44,1486400,64.44
2011-10-20,64.32,64.86,62.24,64.01,1879000,64.01
2011-10-19,65.31,66.35,63.39,64.18,3198100,64.18
2011-10-18,62.54,65.00,61.95,64.50,2703200,64.50
2011-10-17,62.77,63.50,61.61,62.21,1731100,62.21
2011-10-14,63.39,64.73,61.94,63.02,2451500,63.02
2011-10-13,61.86,62.70,61.50,62.34,2110600,62.34
2011-10-12,62.50,63.64,61.95,62.12,4130000,62.12
2011-10-11,57.60,61.33,57.22,61.19,3835800,61.19
2011-10-10,56.09,58.00,55.94,58.00,3075700,58.00
2011-10-07,55.71,55.92,53.62,54.94,4284100,54.94
2011-10-06,56.06,56.51,55.20,55.64,4000900,55.64
2011-10-05,55.78,56.13,54.48,55.96,2467200,55.96
2011-10-04,52.06,56.04,51.60,55.96,2718100,55.96
2011-10-03,53.99,54.46,52.79,52.95,2911400,52.95
2011-09-30,55.91,56.99,54.53,54.53,3045400,54.53
2011-09-29,58.60,59.21,55.45,56.86,3419000,56.86
2011-09-28,58.00,58.82,57.44,57.61,3130400,57.61
2011-09-27,56.64,58.97,56.60,57.95,2990700,57.95
2011-09-26,53.29,55.74,53.12,55.58,2878800,55.58
2011-09-23,51.49,53.32,51.49,53.12,2897700,53.12
2011-09-22,53.31,54.60,51.21,52.19,3788300,52.19
2011-09-21,55.24,57.45,54.96,55.00,3541200,55.00
2011-09-20,56.72,57.11,54.71,54.84,2722200,54.84
2011-09-19,57.26,57.51,55.52,56.05,2464600,56.05
2011-09-16,57.99,58.54,57.00,58.24,2289900,58.24
2011-09-15,57.11,58.33,56.50,57.75,3034000,57.75
2011-09-14,55.37,57.39,54.56,56.59,2954800,56.59
2011-09-13,55.01,55.28,54.18,55.14,2375100,55.14
2011-09-12,53.08,54.72,52.70,54.72,2280100,54.72
2011-09-09,55.67,56.45,52.95,53.58,3797700,53.58
2011-09-08,57.91,57.98,56.08,56.31,2871200,56.31
2011-09-07,57.26,58.34,56.76,57.96,2169000,57.96
2011-09-06,55.57,56.33,54.28,56.14,2741200,56.14
2011-09-02,57.95,58.50,56.92,57.35,2440200,57.35
2011-09-01,60.39,61.54,59.07,59.37,3003400,59.37
2011-08-31,58.76,61.61,58.75,60.43,5435200,60.43
2011-08-30,57.34,58.76,56.65,58.31,4123700,58.31
2011-08-29,56.11,57.76,55.77,57.73,2992600,57.73
2011-08-26,53.51,55.97,53.08,55.21,3508700,55.21
2011-08-25,54.92,56.07,53.49,53.81,2553600,53.81
2011-08-24,54.27,55.85,53.02,55.08,3492400,55.08
2011-08-23,52.05,54.46,51.31,54.46,4201900,54.46
2011-08-22,51.44,53.35,51.04,51.77,4688800,51.77
2011-08-19,51.52,53.23,50.21,50.31,4815900,50.31
2011-08-18,56.14,56.30,51.31,51.96,6771600,51.96
2011-08-17,59.98,60.28,57.30,58.70,4054600,58.70
2011-08-16,61.28,61.52,58.00,59.66,5397300,59.66
2011-08-15,61.14,62.60,60.80,62.02,2133200,62.02
2011-08-12,61.83,62.29,60.44,60.75,4081700,60.75
2011-08-11,59.47,62.51,59.37,61.74,3407900,61.74
2011-08-10,60.53,62.00,59.16,59.27,2892200,59.27
2011-08-09,59.11,61.91,57.56,61.90,5890200,61.90
2011-08-08,61.80,63.27,56.77,58.18,6651100,58.18
2011-08-05,66.82,68.70,62.27,64.41,5256200,64.41
2011-08-04,69.66,69.95,65.21,65.34,3604500,65.34
2011-08-03,69.36,70.93,67.90,70.83,2990900,70.83
2011-08-02,70.15,71.23,68.12,69.32,4324700,69.32
2011-08-01,72.66,72.84,69.79,70.87,2707600,70.87
2011-07-29,71.87,73.40,70.76,72.04,3447200,72.04
2011-07-28,69.70,74.17,69.57,72.82,5250900,72.82
2011-07-27,73.83,73.95,70.75,70.94,3795300,70.94
2011-07-26,74.70,74.86,72.60,74.51,2180800,74.51
2011-07-25,74.63,75.44,74.20,74.48,1032500,74.48
2011-07-22,73.98,75.80,73.98,75.27,1524300,75.27
2011-07-21,75.20,76.19,72.89,73.88,2751100,73.88
2011-07-20,78.11,78.91,75.15,75.29,2156000,75.29
2011-07-19,75.92,77.47,75.92,77.43,1553900,77.43
2011-07-18,75.99,76.47,74.23,75.18,1360800,75.18
2011-07-15,74.92,76.64,74.27,76.47,2056600,76.47
2011-07-14,76.35,76.35,73.71,74.40,3287700,74.40
2011-07-13,77.09,77.54,74.99,75.88,2529500,75.88
2011-07-12,79.41,79.74,75.83,76.37,2993200,76.37
2011-07-11,81.92,82.60,78.75,79.19,2068400,79.19
2011-07-08,81.75,82.98,81.27,82.98,894800,82.98
2011-07-07,83.10,84.00,82.60,82.69,1384600,82.69
2011-07-06,81.09,82.71,80.40,82.22,1691200,82.22
2011-07-05,80.74,81.49,79.93,81.06,1285000,81.06
2011-07-01,80.31,81.32,79.97,80.78,1686600,80.78
2011-06-30,78.69,80.02,78.55,80.00,1611700,80.00
2011-06-29,79.49,79.56,78.13,78.30,1468400,78.30
2011-06-28,78.98,80.31,78.64,79.30,1932800,79.30
2011-06-27,76.08,79.41,75.44,78.94,2262300,78.94
2011-06-24,76.64,77.78,75.96,76.24,1932600,76.24
2011-06-23,75.47,77.36,74.59,77.15,1885400,77.15
2011-06-22,76.66,76.96,75.89,76.10,1176500,76.10
