Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,14.29,14.32,14.13,14.22,2012400,13.64
2011-12-29,14.16,14.40,14.10,14.30,3017500,13.72
2011-12-28,14.48,14.49,13.96,14.08,2129100,13.51
2011-12-27,14.64,14.68,14.29,14.44,1823100,13.85
2011-12-23,14.34,14.85,14.25,14.64,3688800,14.04
2011-12-22,13.85,14.37,13.78,14.33,3980900,13.75
2011-12-21,13.37,13.87,13.10,13.82,4349700,13.26
2011-12-20,13.18,13.54,12.85,13.36,7916500,12.82
2011-12-19,13.25,13.41,12.89,13.00,8644200,12.47
2011-12-16,12.44,12.86,11.57,12.75,26867100,12.23
2011-12-15,14.17,14.17,13.91,13.93,1647500,13.36
2011-12-14,14.05,14.28,13.95,14.00,2396000,13.43
2011-12-13,14.54,14.78,14.03,14.14,3040200,13.57
2011-12-12,14.11,14.52,13.92,14.48,2881600,13.89
2011-12-09,14.05,14.35,14.04,14.23,3080500,13.65
2011-12-08,14.89,14.97,13.97,14.04,3944500,13.47
2011-12-07,14.71,15.02,14.61,14.95,3217800,14.34
2011-12-06,14.90,15.04,14.81,14.87,1670400,14.27
2011-12-05,15.21,15.30,14.80,14.94,2797200,14.33
2011-12-02,15.11,15.37,15.03,15.14,2260500,14.52
2011-12-01,15.02,15.17,14.88,14.94,3324700,14.33
2011-11-30,15.11,15.25,14.76,15.00,3933600,14.39
2011-11-29,14.80,14.96,14.69,14.74,2080800,14.14
2011-11-28,14.89,15.15,14.64,14.75,1949000,14.15
2011-11-25,14.22,14.67,14.18,14.48,711800,13.89
2011-11-23,14.47,14.54,14.18,14.22,1933600,13.64
2011-11-22,14.61,14.76,14.35,14.64,2219400,14.04
2011-11-21,14.56,14.78,14.42,14.66,2254400,14.06
2011-11-18,15.05,15.10,14.52,14.85,2871800,14.25
2011-11-17,15.13,15.32,14.87,14.96,2892000,14.35
2011-11-16,15.06,15.39,15.00,15.19,3041100,14.57
2011-11-15,15.06,15.35,14.98,15.25,1607300,14.63
2011-11-14,15.29,15.42,15.07,15.11,1933100,14.50
2011-11-11,15.23,15.50,15.14,15.43,1587200,14.80
2011-11-10,14.92,15.05,14.55,14.96,2790100,14.35
2011-11-09,14.84,14.99,14.60,14.62,3290800,14.03
2011-11-08,15.31,15.45,14.92,15.21,2878400,14.59
2011-11-07,15.37,15.75,15.04,15.30,4054300,14.53
2011-11-04,14.92,14.97,14.59,14.87,1997400,14.13
2011-11-03,14.68,15.14,14.46,15.00,2923600,14.25
2011-11-02,14.75,14.95,14.40,14.45,4615500,13.73
2011-11-01,14.41,14.79,14.18,14.59,4054500,13.86
2011-10-31,14.96,15.14,14.44,14.47,5626200,13.75
2011-10-28,17.00,17.00,14.50,15.14,11640300,14.38
2011-10-27,17.94,18.07,16.93,17.31,5427800,16.44
2011-10-26,17.77,17.87,17.39,17.51,3081700,16.63
2011-10-25,17.99,18.06,17.46,17.49,2837000,16.61
2011-10-24,17.66,18.14,17.63,18.07,3230700,17.17
2011-10-21,17.26,17.78,17.16,17.57,2690900,16.69
2011-10-20,17.38,17.44,16.75,16.96,1893600,16.11
2011-10-19,17.50,17.73,17.21,17.31,1567900,16.44
2011-10-18,17.17,17.82,16.93,17.54,2229700,16.66
2011-10-17,17.95,17.95,17.16,17.22,2104300,16.36
2011-10-14,17.76,18.25,17.68,18.11,2396400,17.20
2011-10-13,16.92,17.58,16.89,17.54,2569100,16.66
2011-10-12,17.42,17.47,16.99,17.04,3241000,16.19
2011-10-11,17.40,17.48,17.01,17.20,2237300,16.34
2011-10-10,16.71,17.50,16.69,17.48,2161500,16.61
2011-10-07,16.82,16.86,16.35,16.37,2076200,15.55
2011-10-06,16.13,16.78,16.09,16.69,2240900,15.85
2011-10-05,15.91,16.26,15.66,16.21,2901700,15.40
2011-10-04,14.98,15.92,14.45,15.88,4000000,15.09
2011-10-03,15.65,15.81,15.01,15.02,3493300,14.27
2011-09-30,16.37,16.47,15.71,15.73,2953800,14.94
2011-09-29,17.21,17.32,16.32,16.67,3141900,15.84
2011-09-28,17.91,18.00,16.99,17.06,2236400,16.21
2011-09-27,17.89,18.46,17.74,17.94,2661700,17.04
2011-09-26,17.19,17.50,16.83,17.44,3351300,16.57
2011-09-23,16.12,17.11,16.05,16.99,2955000,16.14
2011-09-22,16.17,16.42,15.93,16.25,4238700,15.44
2011-09-21,17.44,17.49,16.79,16.84,2371800,16.00
2011-09-20,17.70,18.03,17.46,17.49,2870200,16.61
2011-09-19,17.56,17.70,17.25,17.54,3289800,16.66
2011-09-16,17.54,18.13,17.50,17.86,3645000,16.97
2011-09-15,18.02,18.09,17.37,17.48,3596800,16.61
