Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.14,41.24,40.78,40.78,6213200,40.20
2011-12-29,41.19,41.35,40.93,41.16,3677700,40.57
2011-12-28,40.89,41.33,40.89,41.04,5182400,40.45
2011-12-27,40.81,41.30,40.60,41.01,5282000,40.42
2011-12-23,41.24,41.24,40.65,40.99,6713300,40.40
2011-12-22,40.41,41.19,40.29,40.96,10261900,40.37
2011-12-21,39.53,40.59,39.44,40.46,19554300,39.88
2011-12-20,38.02,39.97,37.81,39.80,25423000,39.23
2011-12-19,37.63,37.97,36.44,36.56,12202100,36.04
2011-12-16,37.61,37.93,37.54,37.55,17866400,37.01
2011-12-15,37.42,37.61,37.23,37.30,8198500,36.77
2011-12-14,37.67,38.02,36.98,37.04,8778000,36.51
2011-12-13,38.21,38.50,37.56,37.69,9866700,37.15
2011-12-12,38.28,38.28,37.76,38.15,7361800,37.60
2011-12-09,37.90,38.51,37.89,38.37,6229000,37.82
2011-12-08,38.07,38.44,37.61,37.70,8072000,37.16
2011-12-07,38.31,38.50,37.88,38.32,8656000,37.77
2011-12-06,38.23,38.45,38.06,38.27,6176200,37.72
2011-12-05,38.65,38.75,38.19,38.33,8308500,37.78
2011-12-02,38.72,38.81,38.20,38.29,9786500,37.74
2011-12-01,38.66,39.12,38.39,38.48,9832200,37.93
2011-11-30,38.67,39.30,38.62,38.84,13872900,38.28
2011-11-29,37.68,37.84,37.41,37.68,6237400,37.14
2011-11-28,37.60,37.87,37.12,37.38,9328200,36.85
2011-11-25,36.92,37.23,36.85,36.85,4440800,36.32
2011-11-23,37.42,37.52,36.91,37.04,11799700,36.51
2011-11-22,37.59,38.07,37.53,37.60,7906300,37.06
2011-11-21,37.78,38.15,37.56,37.72,11052900,37.18
2011-11-18,38.54,38.62,37.95,38.16,11573800,37.61
2011-11-17,38.34,38.88,38.15,38.48,9499600,37.93
2011-11-16,38.58,39.03,38.44,38.48,9365000,37.93
2011-11-15,38.83,39.25,38.69,38.95,7521400,38.39
2011-11-14,39.02,39.26,38.58,38.77,7651400,38.22
2011-11-11,38.87,39.40,38.78,39.24,7942400,38.68
2011-11-10,38.65,38.95,38.00,38.50,9947800,37.95
2011-11-09,38.07,38.97,37.56,38.39,13900500,37.84
2011-11-08,38.25,39.08,38.05,39.04,18018000,38.48
2011-11-07,38.05,38.35,37.75,38.23,11652500,37.68
2011-11-04,37.31,38.10,37.03,38.02,15695500,37.48
2011-11-03,36.97,37.42,36.77,37.31,18324000,36.78
2011-11-02,35.95,36.09,35.57,35.77,8569300,35.26
2011-11-01,35.42,35.89,35.09,35.45,10089500,34.94
2011-10-31,36.32,36.84,36.26,36.33,7509700,35.81
2011-10-28,37.12,37.36,36.68,36.84,7706900,36.31
2011-10-27,36.82,37.50,36.64,37.28,13610900,36.75
2011-10-26,36.06,36.34,35.58,36.22,12946400,35.70
2011-10-25,35.49,36.10,35.49,35.70,7641900,35.19
2011-10-24,35.57,36.00,35.45,35.81,6233800,35.30
2011-10-21,35.14,35.55,35.05,35.55,9348000,35.04
2011-10-20,34.79,34.95,34.28,34.78,8323200,34.28
2011-10-19,34.86,35.21,34.63,34.72,9288700,34.22
2011-10-18,34.70,35.27,34.64,35.15,9246400,34.52
2011-10-17,34.90,35.21,34.65,34.79,6849400,34.17
2011-10-14,35.11,35.18,34.74,35.13,6919200,34.50
2011-10-13,34.44,34.79,34.40,34.70,7503900,34.08
2011-10-12,34.49,35.01,34.38,34.67,9054300,34.05
2011-10-11,34.26,34.47,34.05,34.37,20192300,33.76
2011-10-10,34.24,34.56,34.16,34.35,6295100,33.74
2011-10-07,33.92,34.07,33.62,33.78,8338100,33.18
2011-10-06,33.13,33.79,33.13,33.75,11177000,33.15
2011-10-05,33.14,33.43,32.71,33.27,14316400,32.68
2011-10-04,32.60,33.04,32.28,33.00,20300000,32.41
2011-10-03,33.51,33.87,32.95,32.97,17712400,32.38
2011-09-30,33.68,34.18,33.50,33.59,11725500,32.99
2011-09-29,34.50,34.51,33.44,34.08,10468300,33.47
2011-09-28,34.70,35.00,33.95,34.02,13241900,33.41
2011-09-27,34.91,35.43,34.31,34.69,16772700,34.07
2011-09-26,34.21,34.48,33.88,34.40,7557300,33.79
2011-09-23,34.29,34.51,33.89,34.13,13772600,33.52
2011-09-22,34.33,34.88,34.19,34.61,15450300,33.99
2011-09-21,35.74,36.17,35.30,35.33,8727700,34.70
2011-09-20,35.89,36.34,35.57,35.81,11193400,35.17
2011-09-19,35.75,35.99,35.45,35.69,10584300,35.05
2011-09-16,37.12,37.21,36.17,36.22,14872400,35.58
2011-09-15,36.90,37.18,36.39,36.90,13947800,36.24
2011-09-14,36.63,37.04,36.34,36.67,13832500,36.02
2011-09-13,36.52,36.71,36.35,36.56,12029600,35.91
2011-09-12,36.04,36.84,36.02,36.78,8952000,36.13
2011-09-09,36.69,36.80,36.06,36.50,13548200,35.85
2011-09-08,36.72,37.46,36.51,37.02,8618800,36.36
2011-09-07,36.17,37.03,36.16,37.03,10271100,36.37
2011-09-06,34.43,35.86,34.26,35.81,11303700,35.17
2011-09-02,35.59,36.08,35.38,35.43,9795900,34.80
2011-09-01,35.85,36.37,35.77,35.78,8056500,35.14
2011-08-31,35.83,36.32,35.66,35.91,8120400,35.27
2011-08-30,35.42,36.00,35.21,35.76,9001400,35.12
2011-08-29,34.75,35.58,34.61,35.55,6822100,34.92
2011-08-26,33.82,34.62,33.14,34.34,8569100,33.73
2011-08-25,34.59,34.90,33.89,33.97,9072600,33.37
2011-08-24,33.80,34.50,33.73,34.44,11902000,33.83
2011-08-23,32.26,33.40,32.18,33.39,10228100,32.80
2011-08-22,33.05,33.10,32.14,32.21,9898500,31.64
2011-08-19,32.50,33.16,32.35,32.37,10449800,31.79
