Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,45.31,45.90,45.23,45.78,3359400,44.21
2011-12-29,45.48,45.93,45.46,45.85,3255100,44.28
2011-12-28,46.17,46.30,45.33,45.46,3479500,43.90
2011-12-27,46.03,46.48,45.90,46.23,2832800,44.65
2011-12-23,45.54,46.20,45.54,46.17,2827900,44.59
2011-12-22,45.39,45.75,45.19,45.57,4800600,44.01
2011-12-21,45.21,45.40,44.48,45.18,4888600,43.63
2011-12-20,44.16,45.10,44.06,45.01,6994900,43.47
2011-12-19,44.24,44.46,43.06,43.24,6089300,41.76
2011-12-16,44.02,44.52,43.60,43.98,9270400,42.47
2011-12-15,44.06,44.26,43.35,43.70,5909300,42.20
2011-12-14,43.32,43.96,43.06,43.22,8316000,41.74
2011-12-13,44.93,45.00,43.16,43.49,10580600,42.00
2011-12-12,44.06,44.45,43.60,43.91,8460400,42.41
2011-12-09,44.14,45.59,43.31,45.04,21885200,43.50
2011-12-08,47.54,47.72,46.38,46.52,6157200,44.93
2011-12-07,47.63,48.34,47.38,48.08,5118600,46.43
2011-12-06,47.94,48.41,47.62,47.94,5107000,46.30
2011-12-05,47.57,48.30,47.47,47.98,7092700,46.34
2011-12-02,47.83,47.95,46.95,47.02,4576000,45.41
2011-12-01,47.50,47.96,47.12,47.29,4871700,45.67
2011-11-30,46.73,47.78,46.73,47.72,8120200,46.09
2011-11-29,45.01,45.49,44.81,45.08,5383500,43.54
2011-11-28,45.26,45.53,44.64,45.01,6186600,43.47
2011-11-25,44.06,44.58,43.79,43.86,3036500,42.36
2011-11-23,44.89,45.01,44.07,44.08,6452400,42.57
2011-11-22,45.58,45.92,45.06,45.40,6188600,43.85
2011-11-21,45.49,45.90,45.05,45.48,7131800,43.92
2011-11-18,46.36,46.71,45.91,46.41,6108000,44.82
2011-11-17,46.88,47.22,45.55,46.07,8055800,44.49
2011-11-16,47.51,47.98,47.00,47.10,6611500,45.49
2011-11-15,47.97,48.64,47.63,48.30,5526000,46.65
2011-11-14,48.40,48.66,47.95,48.25,4470300,46.60
2011-11-11,48.32,48.91,48.20,48.52,5616700,46.86
2011-11-10,47.78,48.04,47.07,47.51,7953500,45.88
2011-11-09,48.77,48.93,47.29,47.59,11166500,45.57
2011-11-08,49.07,49.92,48.78,49.81,8290000,47.69
2011-11-07,48.56,49.00,47.96,48.99,10423100,46.91
2011-11-04,48.58,48.78,47.87,48.70,7063400,46.63
2011-11-03,48.58,48.96,47.67,48.85,7648000,46.77
2011-11-02,47.75,48.17,47.17,47.83,7603900,45.80
2011-11-01,46.46,47.82,46.21,46.88,13690900,44.89
2011-10-31,48.65,48.79,48.03,48.07,8956700,46.02
2011-10-28,48.40,49.48,48.30,49.36,9527900,47.26
2011-10-27,48.38,49.21,47.82,48.73,11887300,46.66
2011-10-26,45.78,46.38,44.99,46.10,9115800,44.14
2011-10-25,47.19,47.19,44.94,44.94,11298200,43.03
2011-10-24,45.24,46.16,45.22,46.09,7992300,44.13
2011-10-21,44.65,45.42,44.45,45.15,7601700,43.23
2011-10-20,44.07,44.37,43.15,44.13,6193700,42.25
2011-10-19,44.92,44.92,43.62,43.80,6746400,41.94
2011-10-18,43.81,45.27,43.20,44.98,7074300,43.07
2011-10-17,45.02,45.34,43.68,43.78,5602400,41.92
2011-10-14,44.56,45.14,44.12,45.09,5329400,43.17
2011-10-13,43.74,44.01,43.02,43.77,4517100,41.91
2011-10-12,43.72,44.40,43.54,43.98,6796700,42.11
2011-10-11,43.04,43.82,42.88,43.42,5330600,41.57
2011-10-10,42.58,43.34,42.53,43.17,5280400,41.33
2011-10-07,42.51,42.86,41.40,41.90,8070700,40.12
2011-10-06,41.59,42.15,40.95,41.86,8400100,40.08
2011-10-05,40.69,41.31,40.00,41.21,8499300,39.46
2011-10-04,37.93,40.26,37.10,40.23,15398300,38.52
2011-10-03,39.56,40.32,38.48,38.49,11851600,36.85
2011-09-30,40.73,41.16,39.94,39.97,8298600,38.27
2011-09-29,41.73,42.02,40.55,41.35,7540800,39.59
2011-09-28,42.54,42.65,40.80,40.89,8129000,39.15
2011-09-27,42.81,43.28,42.01,42.26,10415300,40.46
2011-09-26,40.91,41.60,40.40,41.54,14730200,39.77
2011-09-23,41.30,41.43,40.21,40.46,14706500,38.74
2011-09-22,43.18,43.18,40.83,41.65,21663400,39.88
2011-09-21,45.97,46.24,44.57,44.61,10759000,42.71
2011-09-20,46.45,46.78,45.93,45.96,6683600,44.00
2011-09-19,46.09,46.60,45.33,46.38,7968200,44.41
2011-09-16,46.77,47.17,46.36,47.12,11656600,45.12
2011-09-15,46.15,46.62,45.69,46.48,9678700,44.50
2011-09-14,44.86,46.18,44.38,45.52,10073300,43.58
2011-09-13,44.50,44.96,44.03,44.66,10777600,42.76
2011-09-12,44.89,45.32,43.76,44.28,14747500,42.40
2011-09-09,46.03,46.09,44.92,45.27,10135200,43.34
2011-09-08,47.20,47.60,46.14,46.40,8659400,44.43
2011-09-07,46.84,47.47,46.71,47.44,5831700,45.42
2011-09-06,45.03,46.21,44.87,46.14,8693300,44.18
2011-09-02,46.67,47.11,46.28,46.76,6994900,44.77
2011-09-01,48.03,48.86,47.74,47.82,7036800,45.79
2011-08-31,48.59,48.94,47.80,48.27,7473800,46.22
2011-08-30,47.34,48.53,47.21,48.22,8498600,46.17
2011-08-29,46.57,47.57,46.52,47.50,5722400,45.48
2011-08-26,45.12,46.41,44.18,46.09,7698700,44.13
2011-08-25,46.42,46.69,45.14,45.46,9088000,43.53
2011-08-24,45.31,46.17,45.08,46.11,7056400,44.15
2011-08-23,44.11,45.43,44.00,45.42,8319400,43.49
2011-08-22,44.80,44.92,43.61,43.82,7755100,41.96
2011-08-19,43.97,44.92,43.65,43.79,9598200,41.93
2011-08-18,45.72,45.80,44.00,44.40,13563100,42.51
2011-08-17,47.54,47.85,46.51,46.73,7030500,44.74
2011-08-16,47.18,47.47,46.29,46.89,10628700,44.90
2011-08-15,47.56,47.89,47.00,47.72,8707600,45.69
2011-08-12,47.26,47.99,46.85,47.36,8912100,45.35
2011-08-11,44.80,47.63,44.79,46.96,14403100,44.96
2011-08-10,45.43,46.84,44.70,44.83,18149800,42.53
2011-08-09,45.15,46.81,43.71,46.71,21630900,44.31
2011-08-08,45.73,46.85,43.60,44.06,19376800,41.80
2011-08-05,48.10,48.69,45.87,47.27,17664700,44.85
2011-08-04,49.73,49.73,47.21,47.24,15563300,44.82
2011-08-03,50.19,50.57,48.97,50.50,10132000,47.91
2011-08-02,51.07,51.70,50.04,50.05,10295700,47.48
2011-08-01,53.38,53.38,50.96,51.55,6953200,48.91
2011-07-29,51.97,52.11,51.29,51.42,10058900,48.78
2011-07-28,52.72,53.64,52.29,52.30,8243600,49.62
2011-07-27,53.51,53.58,52.07,52.28,8881400,49.60
2011-07-26,54.18,54.21,53.46,53.69,5001900,50.94
2011-07-25,54.23,54.53,54.04,54.10,5746900,51.32
2011-07-22,55.05,55.25,54.60,54.85,3889800,52.04
2011-07-21,54.59,55.40,54.39,54.81,5394000,52.00
2011-07-20,54.29,54.39,53.93,54.26,3352800,51.48
2011-07-19,53.76,54.35,53.75,54.10,4693400,51.32
2011-07-18,53.78,53.85,53.03,53.47,4272200,50.73
2011-07-15,54.21,54.21,53.60,54.09,6517100,51.32
2011-07-14,54.70,55.00,53.62,53.82,6677200,51.06
2011-07-13,54.63,55.30,54.40,54.60,4301200,51.80
2011-07-12,54.59,54.99,54.32,54.34,4842800,51.55
2011-07-11,54.83,55.08,54.34,54.80,5157300,51.99
2011-07-08,55.03,55.46,54.66,55.42,5662100,52.58
2011-07-07,55.53,56.20,55.52,55.84,6310500,52.98
2011-07-06,54.45,55.83,54.33,55.20,8571800,52.37
2011-07-05,54.36,54.90,54.36,54.45,4546500,51.66
2011-07-01,53.60,54.68,53.56,54.47,5595300,51.68
2011-06-30,53.53,54.49,53.32,54.05,6280400,51.28
2011-06-29,53.02,53.58,52.54,53.32,5695600,50.58
2011-06-28,52.05,52.71,51.91,52.66,5317700,49.96
2011-06-27,51.85,52.12,51.19,51.75,5776600,49.10
2011-06-24,51.71,51.98,50.92,51.96,11953700,49.29
2011-06-23,50.62,51.38,49.87,51.32,6743200,48.69
2011-06-22,51.48,51.98,51.25,51.32,5231600,48.69
2011-06-21,50.79,51.94,50.79,51.72,6307300,49.07
2011-06-20,49.50,50.59,49.46,50.39,4557400,47.81
2011-06-17,49.79,50.21,49.34,49.57,8861300,47.03
2011-06-16,49.46,49.89,48.64,49.34,6181500,46.81
2011-06-15,49.72,50.30,49.37,49.54,7441600,47.00
2011-06-14,50.18,50.63,49.75,50.29,9001300,47.71
2011-06-13,49.50,50.28,49.36,49.50,4527500,46.96
2011-06-10,50.34,50.52,49.70,49.78,5180000,47.23
2011-06-09,50.04,50.90,49.78,50.46,5665600,47.87
2011-06-08,50.14,50.44,49.52,49.74,5581800,47.19
2011-06-07,50.08,50.71,49.86,50.29,6102000,47.71
2011-06-06,50.30,50.69,49.75,49.85,5646700,47.29
2011-06-03,50.45,50.75,50.11,50.29,6056500,47.71
2011-06-02,51.66,52.00,50.63,51.17,6659000,48.54
2011-06-01,53.11,53.20,51.46,51.57,6424500,48.92
2011-05-31,53.18,53.39,52.45,53.30,6063000,50.57
2011-05-27,52.35,53.02,52.05,52.56,3806800,49.86
2011-05-26,51.96,52.32,51.55,51.97,4999800,49.30
2011-05-25,52.16,52.45,50.50,52.16,6396900,49.48
2011-05-24,51.71,52.21,51.19,51.25,5635900,48.62
2011-05-23,51.75,52.02,51.23,51.60,7803500,48.95
2011-05-20,53.33,53.45,52.42,52.74,5620100,50.03
2011-05-19,53.46,54.00,52.95,53.43,3817400,50.69
2011-05-18,52.53,53.38,52.19,53.29,5087300,50.56
2011-05-17,52.85,53.11,51.92,52.30,6227900,49.62
2011-05-16,52.74,53.62,52.50,52.92,6748200,50.21
2011-05-13,54.02,54.16,52.55,52.91,6943100,50.20
2011-05-12,54.11,54.18,53.31,53.89,5270900,51.13
2011-05-11,55.51,55.56,53.89,54.12,6266900,51.34
