Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,14.76,14.78,14.59,14.63,8690600,14.40
2011-12-29,14.70,14.78,14.67,14.76,7450900,14.53
2011-12-28,14.86,14.87,14.63,14.68,8347100,14.45
2011-12-27,14.86,14.97,14.83,14.86,6529300,14.63
2011-12-23,14.84,14.98,14.77,14.90,8552900,14.66
2011-12-22,14.80,14.85,14.73,14.77,27023900,14.54
2011-12-21,15.00,15.14,14.51,14.70,19184200,14.47
2011-12-20,14.95,15.34,14.92,15.15,14839000,14.91
2011-12-19,15.03,15.19,14.64,14.68,14961600,14.45
2011-12-16,15.10,15.36,15.00,15.03,21286900,14.79
2011-12-15,15.21,15.29,14.95,15.05,19056900,14.81
2011-12-14,15.20,15.23,14.95,15.05,19268700,14.81
2011-12-13,15.56,15.67,15.10,15.19,20616900,14.95
2011-12-12,15.49,15.63,15.20,15.42,14881000,15.18
2011-12-09,15.36,15.95,15.13,15.79,15822300,15.54
2011-12-08,15.79,15.86,15.45,15.50,16449800,15.26
2011-12-07,15.76,15.98,15.58,15.90,14382200,15.65
2011-12-06,15.92,16.01,15.78,15.86,17414900,15.61
2011-12-05,16.00,16.00,15.82,15.93,16652000,15.68
2011-12-02,15.89,16.00,15.70,15.70,14972900,15.45
2011-12-01,15.63,15.86,15.54,15.80,18001000,15.55
2011-11-30,15.26,15.79,15.23,15.76,29382800,15.51
2011-11-29,15.00,15.22,14.84,14.94,16639500,14.70
2011-11-28,14.58,15.03,14.51,14.98,20926100,14.74
2011-11-25,14.20,14.49,14.15,14.22,7123500,14.00
2011-11-23,14.67,14.80,14.30,14.30,29260600,14.07
2011-11-22,14.75,14.90,14.64,14.83,21420200,14.60
2011-11-21,14.69,15.00,14.63,14.87,27445100,14.64
2011-11-18,14.91,15.16,14.85,14.90,25881900,14.66
2011-11-17,15.05,15.12,14.65,14.92,27191900,14.68
2011-11-16,15.33,15.54,15.04,15.13,36938400,14.89
2011-11-15,15.25,15.76,15.21,15.63,30900200,15.38
2011-11-14,15.30,15.53,15.19,15.32,21433700,15.08
2011-11-11,15.14,15.47,15.11,15.35,17805000,15.11
2011-11-10,14.92,15.09,14.75,14.96,17888400,14.72
2011-11-09,15.25,15.34,14.69,14.80,27771400,14.57
2011-11-08,15.69,15.71,15.30,15.59,16439700,15.34
2011-11-07,15.38,15.57,15.15,15.55,20063800,15.30
2011-11-04,15.55,15.55,15.15,15.36,18161500,15.12
2011-11-03,15.57,15.72,15.12,15.67,22290900,15.42
2011-11-02,15.28,15.56,15.15,15.45,19278900,15.21
2011-11-01,15.36,15.42,15.04,15.13,25199100,14.89
2011-10-31,16.10,16.12,15.80,15.81,15757100,15.56
2011-10-28,16.23,16.34,16.03,16.31,18831300,16.05
2011-10-27,16.25,16.43,16.04,16.32,26379800,16.06
2011-10-26,15.83,16.01,15.45,15.91,21221000,15.66
2011-10-25,15.67,15.81,15.44,15.61,22416200,15.36
2011-10-24,15.28,15.75,15.27,15.70,35158500,15.45
2011-10-21,15.29,15.59,15.10,15.24,32842900,15.00
2011-10-20,15.55,15.62,14.70,15.05,63168200,14.81
2011-10-19,16.37,16.59,15.85,15.90,26861400,15.65
2011-10-18,15.91,16.53,15.62,16.37,18302600,16.11
2011-10-17,16.33,16.49,15.88,15.97,19112100,15.72
2011-10-14,16.46,16.65,16.29,16.62,16880400,16.36
2011-10-13,15.99,16.45,15.97,16.36,21644300,16.10
2011-10-12,16.28,16.39,16.13,16.24,17460900,15.98
2011-10-11,15.96,16.32,15.90,16.18,16360000,15.92
2011-10-10,15.49,16.11,15.45,16.10,23598600,15.85
2011-10-07,15.55,15.67,15.20,15.28,22272500,15.04
2011-10-06,15.28,15.56,15.11,15.55,25765600,15.30
2011-10-05,14.58,15.45,14.45,15.38,43638300,15.14
2011-10-04,13.70,14.60,13.61,14.53,33032000,14.30
2011-10-03,14.01,14.40,13.90,13.91,26403200,13.69
2011-09-30,14.71,14.82,14.14,14.14,25302800,13.92
2011-09-29,15.13,15.19,14.58,14.87,24878900,14.64
2011-09-28,15.20,15.48,14.85,14.90,19044700,14.66
2011-09-27,15.05,15.46,14.98,15.17,25017800,14.93
2011-09-26,14.44,14.76,14.24,14.75,23225400,14.52
2011-09-23,13.91,14.51,13.85,14.40,21153200,14.17
2011-09-22,14.25,14.44,13.78,14.00,32839600,13.78
2011-09-21,14.88,15.27,14.69,14.69,26088300,14.46
2011-09-20,14.97,15.22,14.85,14.88,21489900,14.65
2011-09-19,14.99,14.99,14.68,14.87,20097000,14.64
2011-09-16,15.32,15.39,15.05,15.20,45399400,14.96
2011-09-15,15.02,15.35,14.89,15.31,23805600,15.07
2011-09-14,14.64,15.05,14.48,14.86,27554600,14.63
2011-09-13,14.26,14.50,14.22,14.38,20933100,14.15
2011-09-12,13.75,14.22,13.72,14.19,20037100,13.97
2011-09-09,14.20,14.23,13.91,13.97,25653900,13.75
2011-09-08,14.47,14.70,14.29,14.34,14543500,14.11
2011-09-07,14.50,14.59,14.34,14.55,15831100,14.32
2011-09-06,13.85,14.29,13.75,14.25,20943500,14.03
2011-09-02,14.40,14.56,14.18,14.24,12658300,14.02
2011-09-01,14.93,15.02,14.70,14.70,15463000,14.47
2011-08-31,14.97,15.13,14.76,14.87,21561500,14.64
2011-08-30,14.87,14.98,14.62,14.86,20681900,14.63
2011-08-29,14.86,14.99,14.78,14.97,22260500,14.73
2011-08-26,14.21,14.87,14.15,14.69,24418500,14.46
2011-08-25,14.72,14.76,14.20,14.21,25207600,13.99
2011-08-24,14.60,14.73,14.25,14.68,19763500,14.45
2011-08-23,14.11,14.68,14.08,14.68,30359000,14.45
2011-08-22,14.30,14.30,13.91,14.02,37459200,13.80
2011-08-19,13.79,14.62,13.75,14.00,48893000,13.78
2011-08-18,13.87,13.88,13.29,13.76,53215700,13.54
2011-08-17,14.60,14.88,14.08,14.20,75710000,13.98
2011-08-16,15.52,15.96,15.40,15.80,51542900,15.55
2011-08-15,15.02,15.51,15.00,15.50,29810100,15.26
2011-08-12,14.67,15.04,14.48,14.87,25231100,14.64
2011-08-11,13.78,14.90,13.73,14.72,38406100,14.49
2011-08-10,14.15,14.36,13.62,13.65,43983400,13.43
2011-08-09,14.27,14.43,13.46,14.42,47209900,14.19
2011-08-08,14.49,14.76,13.95,13.95,40931100,13.73
2011-08-05,15.30,15.35,14.50,15.06,41848600,14.82
2011-08-04,15.62,15.79,14.96,15.00,39949300,14.76
2011-08-03,15.75,15.95,15.32,15.89,27619300,15.64
2011-08-02,16.05,16.28,15.78,15.78,17681600,15.53
2011-08-01,16.37,16.59,15.99,16.24,19252700,15.98
2011-07-29,16.39,16.60,16.15,16.24,22432400,15.98
2011-07-28,16.41,16.77,16.40,16.56,14441200,16.30
2011-07-27,16.90,16.96,16.41,16.45,23822600,16.19
2011-07-26,17.10,17.28,17.07,17.12,15505300,16.85
2011-07-25,16.90,17.22,16.82,17.13,15224000,16.86
2011-07-22,17.16,17.26,16.98,17.04,18813300,16.77
2011-07-21,17.48,17.50,17.08,17.11,34754000,16.84
2011-07-20,17.39,17.60,17.26,17.52,20160600,17.24
2011-07-19,16.93,17.44,16.93,17.42,24130500,17.15
2011-07-18,16.83,16.99,16.67,16.79,19252300,16.53
2011-07-15,16.70,16.99,16.66,16.97,19068300,16.70
2011-07-14,16.61,17.07,16.56,16.69,24893600,16.43
2011-07-13,16.61,16.80,16.48,16.53,13812500,16.27
2011-07-12,16.56,16.80,16.40,16.55,16753600,16.29
2011-07-11,16.98,17.05,16.55,16.65,17649400,16.39
2011-07-08,16.98,17.15,16.84,17.14,14499800,16.87
