Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,58.06,58.40,57.92,58.06,560000,57.41
2011-12-29,58.00,58.33,57.74,58.21,549600,57.55
2011-12-28,59.22,59.22,57.80,57.89,537800,57.24
2011-12-27,58.85,59.39,58.80,59.18,430500,58.51
2011-12-23,59.28,59.28,58.81,58.97,652900,58.31
2011-12-22,58.09,59.30,57.93,59.14,899400,58.47
2011-12-21,57.50,58.31,57.46,58.13,725600,57.48
2011-12-20,56.48,57.77,56.42,57.59,939500,56.94
2011-12-19,56.48,57.00,55.49,55.64,801200,55.01
2011-12-16,56.56,56.91,55.80,56.24,1224300,55.61
2011-12-15,56.05,56.71,55.77,56.18,992700,55.55
2011-12-14,55.51,56.50,55.47,55.67,975700,55.04
2011-12-13,56.07,56.77,55.35,55.60,844800,54.97
2011-12-12,56.84,56.87,55.72,55.93,704700,55.30
2011-12-09,56.57,57.38,56.48,57.16,683700,56.52
2011-12-08,57.30,57.81,56.38,56.49,769600,55.85
2011-12-07,57.50,58.05,56.77,57.75,911900,57.10
2011-12-06,57.89,58.13,57.35,57.70,675500,57.05
2011-12-05,59.25,59.37,57.30,57.67,1192400,57.02
2011-12-02,58.15,59.44,58.12,58.60,1399500,57.94
2011-12-01,58.42,58.98,57.69,57.77,1022600,57.12
2011-11-30,57.69,58.68,57.42,58.66,1323000,58.00
2011-11-29,55.95,56.88,55.93,56.51,1299000,55.87
2011-11-28,55.31,56.09,54.77,56.09,1707800,55.46
2011-11-25,55.06,55.33,54.42,54.43,435600,53.82
2011-11-23,55.54,55.74,54.95,55.24,1690500,54.62
2011-11-22,54.44,56.23,54.14,55.81,2254500,55.18
2011-11-21,54.35,54.83,54.19,54.62,1046800,54.00
2011-11-18,55.20,55.35,54.57,55.14,1234000,54.52
2011-11-17,55.31,55.54,54.25,55.06,2070900,54.44
2011-11-16,55.97,56.35,55.25,55.30,1052100,54.68
2011-11-15,57.33,57.47,56.61,56.70,1022500,56.06
2011-11-14,57.00,57.63,56.74,57.39,959400,56.74
2011-11-11,57.50,57.99,57.40,57.54,990300,56.89
2011-11-10,56.03,57.60,55.94,57.24,1488300,56.60
2011-11-09,56.38,56.51,55.18,55.64,1196900,55.01
2011-11-08,57.10,57.80,56.79,57.56,1235100,56.91
2011-11-07,56.64,57.13,56.01,56.83,1273900,56.19
2011-11-04,55.08,55.89,54.55,55.82,1146600,55.19
2011-11-03,56.00,56.31,55.42,55.59,1014400,54.96
2011-11-02,55.45,55.70,54.89,55.61,1164900,54.98
2011-11-01,55.07,55.61,54.37,54.73,2554600,54.11
2011-10-31,56.80,57.15,55.80,55.80,2232700,55.17
2011-10-28,56.45,57.78,55.95,57.61,1965300,56.96
2011-10-27,57.08,57.10,55.71,56.93,2753100,56.29
2011-10-26,56.34,56.81,55.44,56.07,3478800,55.44
2011-10-25,55.51,58.75,55.35,56.50,8236800,55.86
2011-10-24,50.12,51.19,49.60,50.98,1826000,50.41
2011-10-21,49.35,49.93,49.13,49.89,1125200,49.33
2011-10-20,49.16,49.29,48.03,48.80,1610100,48.25
2011-10-19,49.75,50.11,49.05,49.11,948500,48.56
2011-10-18,48.05,49.96,48.00,49.70,1637700,49.14
2011-10-17,48.44,48.56,48.02,48.12,865400,47.58
2011-10-14,48.33,48.58,47.87,48.52,661500,47.97
2011-10-13,48.09,48.11,47.24,47.93,780700,47.39
2011-10-12,48.17,48.85,47.96,48.37,774300,47.83
2011-10-11,47.16,48.44,46.70,47.97,1763800,47.43
2011-10-10,47.17,47.80,46.88,47.79,1113400,47.25
2011-10-07,47.24,47.48,46.34,47.03,1313000,46.50
2011-10-06,46.71,47.43,46.36,46.94,2044200,46.41
2011-10-05,47.54,47.93,46.32,46.62,2819000,46.09
2011-10-04,45.84,47.41,45.13,47.38,2800000,46.75
2011-10-03,49.28,49.30,46.03,46.29,2649400,45.67
2011-09-30,49.96,50.84,49.36,49.36,1932600,48.70
2011-09-29,50.49,50.72,49.75,50.71,1746800,50.03
2011-09-28,50.58,50.61,49.71,49.85,2230700,49.18
2011-09-27,50.22,51.02,49.77,50.36,1967000,49.69
2011-09-26,48.24,49.72,48.11,49.65,1415300,48.99
2011-09-23,46.75,48.14,46.75,48.05,1690000,47.41
2011-09-22,47.79,48.51,47.31,48.04,2494500,47.40
2011-09-21,49.57,50.14,49.13,49.13,2008700,48.47
2011-09-20,48.97,50.04,48.83,49.70,1867400,49.04
2011-09-19,48.33,48.86,47.99,48.67,1112400,48.02
2011-09-16,49.12,49.16,48.37,49.09,1870800,48.43
2011-09-15,49.89,49.89,47.48,48.60,3147500,47.95
2011-09-14,49.64,49.95,48.81,49.35,1187600,48.69
2011-09-13,48.88,49.56,48.61,49.44,1129700,48.78
2011-09-12,48.00,48.90,47.82,48.82,1408700,48.17
2011-09-09,49.21,49.22,48.15,48.32,1787400,47.68
2011-09-08,50.54,50.81,49.43,49.54,1369100,48.88
2011-09-07,49.78,50.93,49.73,50.82,1135000,50.14
