Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,47.31,47.44,47.00,47.04,1654000,46.95
2011-12-29,46.86,47.54,46.83,47.48,1681800,47.39
2011-12-28,47.54,47.91,46.72,46.85,1871000,46.76
2011-12-27,47.78,47.97,47.41,47.66,1594500,47.55
2011-12-23,47.11,47.79,46.92,47.78,2099900,47.67
2011-12-22,47.19,47.54,46.84,46.98,4135000,46.87
2011-12-21,48.09,48.13,46.65,47.14,2895000,47.03
2011-12-20,47.05,48.05,46.66,47.98,2859500,47.87
2011-12-19,46.69,46.87,46.02,46.21,2723400,46.10
2011-12-16,46.61,47.06,46.05,46.37,5087400,46.26
2011-12-15,46.42,46.80,46.05,46.18,4120200,46.07
2011-12-14,45.25,46.15,45.12,45.97,5158700,45.86
2011-12-13,45.74,46.38,45.06,45.36,4743400,45.25
2011-12-12,46.26,46.36,45.35,45.68,3133100,45.57
2011-12-09,46.06,47.05,45.92,46.92,3175100,46.81
2011-12-08,46.95,47.05,45.77,45.91,3398500,45.80
2011-12-07,47.73,47.79,46.67,47.34,3953100,47.23
2011-12-06,47.80,48.29,47.16,48.01,3573000,47.89
2011-12-05,48.45,48.47,47.24,47.63,3551900,47.52
2011-12-02,48.65,48.82,47.45,47.50,4875900,47.39
2011-12-01,48.43,49.00,48.26,48.41,2649000,48.29
2011-11-30,48.26,48.86,48.10,48.38,5237800,48.26
2011-11-29,46.62,47.06,46.30,46.55,2696000,46.44
2011-11-28,46.02,46.58,45.73,46.27,3881200,46.16
2011-11-25,44.44,45.34,44.39,44.56,1134500,44.45
2011-11-23,45.51,45.70,44.66,44.66,3164600,44.55
2011-11-22,46.00,46.50,45.49,46.04,2640900,45.93
2011-11-21,46.49,46.64,45.72,46.22,2324100,46.11
2011-11-18,47.50,47.66,46.87,47.32,2752800,47.21
2011-11-17,47.98,48.13,46.54,47.04,4009300,46.93
2011-11-16,48.83,49.44,48.15,48.23,3598500,48.11
2011-11-15,49.02,49.86,48.63,49.49,2559000,49.37
2011-11-14,49.50,49.73,49.02,49.27,1828000,49.15
2011-11-11,49.29,50.15,49.06,49.71,2207800,49.59
2011-11-10,48.67,49.15,48.30,48.59,4068600,48.47
2011-11-09,48.28,48.97,47.90,48.04,4069400,47.92
2011-11-08,49.23,49.72,48.70,49.62,3060600,49.50
2011-11-07,48.57,49.10,48.01,49.02,3014500,48.90
2011-11-04,48.56,48.94,47.85,48.75,2798300,48.63
2011-11-03,49.20,49.21,48.43,49.04,4886300,48.92
2011-11-02,48.92,48.92,47.91,48.49,3093100,48.37
2011-11-01,47.03,48.01,46.42,47.35,6080100,47.24
