Date,Open,High,Low,Close,Volume,Adj Close
2011-12-30,41.08,41.30,40.97,40.97,944300,40.97
2011-12-29,40.74,41.05,40.64,41.00,1611500,41.00
2011-12-28,40.52,40.93,40.33,40.66,1053900,40.66
2011-12-27,40.41,40.71,40.00,40.43,1003800,40.43
2011-12-23,40.47,40.59,40.34,40.52,1104600,40.52
2011-12-22,40.47,40.60,40.05,40.36,1169200,40.36
2011-12-21,40.76,40.84,40.13,40.33,1091400,40.33
2011-12-20,40.06,40.89,39.83,40.54,1206300,40.54
2011-12-19,40.13,40.71,39.33,39.40,1198800,39.40
2011-12-16,40.52,40.60,39.69,40.17,3664900,40.17
2011-12-15,40.53,40.95,40.13,40.20,1375800,40.20
2011-12-14,41.37,41.48,40.15,40.18,1626600,40.18
2011-12-13,41.62,42.09,41.07,41.22,1472500,41.22
2011-12-12,41.70,41.72,40.83,41.51,1826500,41.51
2011-12-09,41.25,42.04,41.16,41.91,1351400,41.91
2011-12-08,41.45,41.56,40.92,41.05,3144500,41.05
2011-12-07,41.69,42.06,41.00,41.79,1247100,41.79
2011-12-06,41.69,41.96,41.57,41.84,1089000,41.84
2011-12-05,42.19,42.24,41.17,41.64,1376400,41.64
2011-12-02,41.50,41.83,41.30,41.49,1490600,41.49
2011-12-01,41.94,41.98,41.08,41.18,1393300,41.18
2011-11-30,41.31,42.02,41.12,41.98,1748300,41.98
2011-11-29,40.32,40.78,40.00,40.25,1414400,40.25
2011-11-28,40.19,40.67,39.87,40.23,1263200,40.23
2011-11-25,38.97,39.63,38.86,39.22,440200,39.22
2011-11-23,39.89,40.03,39.01,39.04,1743900,39.04
2011-11-22,40.17,40.81,40.02,40.58,1378300,40.58
2011-11-21,40.17,40.32,39.47,40.09,1386100,40.09
2011-11-18,40.95,41.01,40.41,40.62,1102100,40.62
2011-11-17,41.33,41.44,40.54,40.72,1396300,40.72
2011-11-16,41.52,42.35,41.27,41.45,1414800,41.45
2011-11-15,42.66,42.81,41.75,42.01,2216700,42.01
2011-11-14,43.30,43.38,42.69,42.89,1231300,42.89
2011-11-11,42.47,43.42,42.30,43.39,1406800,43.39
2011-11-10,42.71,42.71,41.30,42.07,2522000,42.07
2011-11-09,43.55,43.87,41.69,42.00,2589000,42.00
2011-11-08,44.42,45.14,43.83,45.06,1290900,45.06
2011-11-07,44.02,44.27,43.55,44.19,975000,44.19
2011-11-04,44.01,44.24,43.55,44.02,1277600,44.02
2011-11-03,44.28,44.56,43.56,44.42,1716300,44.42
2011-11-02,43.46,44.11,42.78,44.02,4046600,44.02
2011-11-01,42.08,43.63,41.66,42.27,3359600,42.27
2011-10-31,42.57,43.87,42.41,43.46,2619500,43.46
2011-10-28,43.01,43.09,42.44,42.83,1285100,42.83
2011-10-27,43.20,43.31,42.72,43.07,1795400,43.07
2011-10-26,42.02,42.27,41.78,42.05,1745400,42.05
2011-10-25,42.62,42.97,42.05,42.15,875800,42.15
2011-10-24,42.70,43.29,42.51,43.01,1126000,43.01
2011-10-21,41.55,42.65,41.55,42.58,1751800,42.58
2011-10-20,41.14,41.34,40.72,41.06,1542700,41.06
2011-10-19,41.57,41.78,40.93,41.07,855600,41.07
2011-10-18,40.83,41.88,40.32,41.57,985900,41.57
2011-10-17,41.64,41.81,40.72,40.83,1009100,40.83
2011-10-14,41.14,41.78,40.96,41.76,1184400,41.76
2011-10-13,40.29,40.76,40.02,40.60,967300,40.60
2011-10-12,40.48,40.92,40.20,40.63,1443900,40.63
2011-10-11,39.08,40.39,38.84,40.07,2063600,40.07
2011-10-10,38.71,39.27,38.56,39.13,1281700,39.13
2011-10-07,38.81,38.81,37.70,38.09,1658200,38.09
2011-10-06,37.98,38.61,37.54,38.60,827300,38.60
2011-10-05,37.88,38.13,37.12,37.95,1760300,37.95
2011-10-04,36.27,37.81,35.65,37.75,2086100,37.75
2011-10-03,37.50,37.70,36.68,36.73,2500800,36.73
2011-09-30,38.12,38.36,37.48,37.62,2231000,37.62
2011-09-29,40.43,40.53,37.99,38.54,2720100,38.54
2011-09-28,41.91,41.91,39.66,39.76,2575000,39.76
2011-09-27,42.45,42.77,41.53,41.78,2050300,41.78
2011-09-26,40.34,41.71,40.00,41.66,2651700,41.66
2011-09-23,38.70,40.28,38.45,39.90,2088800,39.90
2011-09-22,38.95,39.37,37.96,38.74,3332100,38.74
2011-09-21,39.99,41.15,39.69,39.93,2937300,39.93
2011-09-20,39.86,40.31,39.59,39.74,1329800,39.74
2011-09-19,39.57,39.78,38.90,39.62,1668000,39.62
2011-09-16,40.44,40.89,39.71,40.16,2244400,40.16
2011-09-15,39.65,40.15,39.05,40.13,1658700,40.13
2011-09-14,38.68,39.71,38.18,39.22,1381400,39.22
2011-09-13,37.87,38.57,37.62,38.41,1443100,38.41
2011-09-12,37.76,38.37,36.94,37.78,2277500,37.78
2011-09-09,39.05,39.37,38.03,38.31,2377800,38.31
2011-09-08,40.18,40.49,39.44,39.48,1915400,39.48
2011-09-07,40.00,40.44,39.71,40.38,1778700,40.38
2011-09-06,38.95,39.99,38.67,39.77,2233700,39.77
2011-09-02,40.66,41.11,40.33,40.34,1709500,40.34
2011-09-01,42.19,42.45,41.36,41.37,2042700,41.37
2011-08-31,41.80,42.46,41.67,42.28,1953000,42.28
2011-08-30,40.64,41.98,40.50,41.59,1717800,41.59
2011-08-29,39.91,40.65,39.76,40.62,1354100,40.62
2011-08-26,37.87,39.57,37.65,39.52,2066100,39.52
2011-08-25,38.82,39.17,38.12,38.19,1532100,38.19
2011-08-24,37.53,38.73,37.32,38.68,1936700,38.68
2011-08-23,36.41,37.74,36.17,37.74,1750000,37.74
2011-08-22,37.02,37.19,36.12,36.28,2081500,36.28
2011-08-19,35.81,37.16,35.81,36.32,2626500,36.32
2011-08-18,38.17,38.17,35.97,36.47,3724000,36.47
2011-08-17,39.56,40.00,38.75,39.16,1247000,39.16
2011-08-16,39.03,39.77,38.76,39.42,1973100,39.42
2011-08-15,39.25,39.55,38.84,39.50,1469400,39.50
2011-08-12,38.69,39.35,38.31,39.03,3139200,39.03
2011-08-11,36.40,38.64,36.40,38.18,3936700,38.18
2011-08-10,36.36,37.45,35.87,36.16,4495000,36.16
2011-08-09,35.45,37.25,35.27,37.20,5117100,37.20
2011-08-08,36.71,36.73,34.75,34.75,5972100,34.75
2011-08-05,37.29,37.50,35.95,37.24,4819400,37.24
2011-08-04,38.26,38.89,36.72,36.76,5033000,36.76
2011-08-03,38.19,38.58,36.67,38.20,6152800,38.20
2011-08-02,38.92,39.36,38.13,38.14,2419200,38.14
2011-08-01,39.96,40.14,38.69,39.22,3572100,39.22
2011-07-29,39.81,40.24,39.69,39.80,1833100,39.80
2011-07-28,39.98,40.78,39.82,40.26,1994200,40.26
2011-07-27,39.82,40.12,39.50,39.92,3030100,39.92
2011-07-26,39.98,40.15,39.83,39.91,2465000,39.91
2011-07-25,40.55,40.60,39.99,40.05,2486100,40.05
2011-07-22,40.85,41.14,40.55,41.04,1795600,41.04
2011-07-21,40.57,40.99,40.48,40.77,2190500,40.77
2011-07-20,40.88,41.09,40.00,40.21,2638200,40.21
2011-07-19,40.87,41.15,40.75,40.97,1218500,40.97
2011-07-18,41.33,41.47,40.43,40.59,1375500,40.59
2011-07-15,41.70,41.87,41.24,41.60,1861500,41.60
2011-07-14,42.18,42.18,41.38,41.59,1635400,41.59
2011-07-13,42.00,42.29,41.69,41.82,1483300,41.82
2011-07-12,41.51,42.26,41.49,41.88,1657200,41.88
2011-07-11,41.42,41.94,41.33,41.58,1831200,41.58
2011-07-08,41.91,42.28,41.71,41.93,1549200,41.93
2011-07-07,42.08,42.52,41.86,42.50,2508600,42.50
2011-07-06,41.94,42.00,41.53,41.61,1397300,41.61
2011-07-05,41.70,42.33,41.47,42.07,1361700,42.07
2011-07-01,40.98,41.89,40.88,41.67,1223100,41.67
2011-06-30,41.04,41.51,40.95,40.96,2373500,40.96
2011-06-29,40.99,41.34,40.69,40.69,1861400,40.69
2011-06-28,40.52,40.90,40.40,40.87,912900,40.87
2011-06-27,40.24,40.52,39.92,40.36,1278200,40.36
2011-06-24,40.62,40.64,39.98,40.22,3410800,40.22
2011-06-23,39.71,40.71,39.71,40.64,2171400,40.64
2011-06-22,41.78,42.05,41.57,41.69,1202500,41.69
2011-06-21,41.06,42.12,41.06,42.04,2310900,42.04
2011-06-20,40.17,40.98,40.17,40.92,1667200,40.92
2011-06-17,40.61,40.91,40.38,40.41,1970200,40.41
